Master Customer Name,Master Customer Name Canonical,IsMerge,MergeGroupSize,Industrial Group,Industry Detail,Method,Status,Company Website,Example Customer Names,Example Locations,Approved Website (fill in),Notes (optional)
161 Springmill Properties,161 SPRINGMILL PROPERTIES,FALSE,1,Commercial Real Estate,,Rule-Based,,,161 Springmill Properties Llc C/O Kennmar Llc,"SPEEDWAY, IN",,
1633 Clio Avenue,1633 CLIO AVENUE,FALSE,1,Commercial Real Estate,Property/address entity,Rule-Based,Final,,1633  Clio Avenue,"CINCINNATI, OH",,
20 N Delaware,20 N DELAWARE,FALSE,1,Commercial Real Estate,Property/address entity,Rule-Based,Final,,20 N Delaware Llc,"DANVILLE, IN",,
21ST Mortgage,21ST MORTGAGE,FALSE,1,Financial Services,,Rule-Based,,,21St Mortgage Corporation,"KNOXVILLE, TN",,
2NDS IN Building Material,2NDS IN BUILDING MATERIAL,FALSE,1,Construction,Building materials supplier/contractor,Heuristic,Final,,2Nds In Building Material,"Chattanooga,, TN",,
3001 Highland Partnership,3001 HIGHLAND PARTNERSHIP,FALSE,1,Commercial Real Estate,Partnership/property entity,Rule-Based,Final,,3001 Highland Partnership,"CINCINNATI, OH",,
34 Market Square,34 MARKET SQUARE,FALSE,1,Commercial Real Estate,Property/address entity,Rule-Based,Final,,34 Market Square Llc,"KNOXVILLE, TN",,
3665 Mallory Jv,3665 MALLORY JV,FALSE,1,Commercial Real Estate,JV property entity,Rule-Based,Final,,3665 Mallory Jv Llc Co Foundry Commercial Llc,"NASHVILLE, TN",,
3D Technical Services,3D TECHNICAL SERVICES,FALSE,1,Construction,Technical services (construction/controls?),Heuristic,Final,,3D Technical Services,"FRANKLIN, OH",,
3LS Properties Chattanooga,3LS PROPERTIES CHATTANOOGA,FALSE,1,Commercial Real Estate,,Rule-Based,,,3Ls Properties Chattanooga C/O Realty Trust Group,"KNOXVILLE, TN",,
4000 Associates,4000 ASSOCIATES,FALSE,1,Commercial Services,Business Services,Heuristic,,,4000 Associates,"LOUISVILLE, KY",,
4J Redevelopment,4J REDEVELOPMENT,FALSE,1,Commercial Real Estate,Redevelopment/property entity,Rule-Based,Final,,4J Redevelopment Llc,"Cincinnati,, OH",,
502 Fletcher Ave,502 FLETCHER AVE,FALSE,1,Commercial Real Estate,Property/address entity,Rule-Based,Final,,502 Fletcher Ave Llc,"DANVILLE, IN",,
513 Property Management,513 PROPERTY MANAGEMENT,FALSE,1,Commercial Real Estate,,Rule-Based,,,513 Property Management,"CINCINNATI, OH",,
56 Street,56 STREET,FALSE,1,Commercial Real Estate,Property/address entity,Rule-Based,Final,,56 Street Llc,"INDIANAPOLIS, IN",,
625 Market Street,625 MARKET STREET,FALSE,1,Commercial Real Estate,Property/address entity,Rule-Based,Final,,625 Market Street,"KNOXVILLE, TN",,
93 Palladium Way Property,93 PALLADIUM WAY PROPERTY,FALSE,1,Commercial Real Estate,Property Ownership,Heuristic,,,93 Palladium Way Property Llc,"MCLEAN, VA",,
9998 East 121ST Street,9998 EAST 121ST STREET,FALSE,1,Commercial Real Estate,Property/address entity,Rule-Based,Final,,9998 East 121St Street,"RADNOR, PA",,
A Childs Hope Intl,A CHILDS HOPE INTL,FALSE,1,Non-Profit / Religious,Nonprofit charity,Rule-Based,Final,,A Childs Hope Int'L,"CINCINNATI, OH",,
A T Redevelopment,A T REDEVELOPMENT,FALSE,1,Commercial Real Estate,Redevelopment/property entity,Rule-Based,Final,,"A T Redevelopment Company, Llc","CINCINNATI, OH",,
AL Miller Plumbing,AL MILLER PLUMBING,FALSE,1,Construction,,Rule-Based,,,A.L. Miller Plumbing Inc.,"Cincinnati, OH",,
Abc Automotive Systems,ABC AUTOMOTIVE SYSTEMS,FALSE,1,Manufacturing,Automotive components,Heuristic,Final,,Abc Automotive Systems Inc,"LONDON, KY",,
Abloom Florist,ABLOOM FLORIST,FALSE,1,Commercial Services,Florist retail,Rule-Based,Final,,Abloom Florist,"KNOXVILLE, TN",,
Absolute Machine Tools,ABSOLUTE MACHINE TOOLS,FALSE,1,Manufacturing,Machine tool distribution,Rule-Based,Final,,Absolute Machine Tools,"MASON, OH",,
Accella Tire Fill Systems,ACCELLA TIRE FILL SYSTEMS,FALSE,1,Manufacturing,Industrial equipment,Heuristic,Final,,Accella Tire Fill Systems,"CARLISLE, PA",,
