Master Customer Name,Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,Method,Status,Confidence,Rationale,Support Category,Company Website,IsMerge,MergeGroupSize
Albert M Higley,ALBERT M HIGLEY,Construction,General Contractor,236220,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,amhigley.com,FALSE,1
Alec Blaine,ALEC BLAINE,Individual / Misc,Individual,,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,FALSE,1
Alhuda Foundation,ALHUDA FOUNDATION,Non-Profit / Religious,,81,Rule-Based,,High,Matched religious/non-profit keyword; Deterministic keyword/pattern match (evidence: 'Alhuda Foundation'),,,FALSE,1
Ali Industries,ALI INDUSTRIES,Manufacturing,Manufacturing (unclear),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,FALSE,1
All Eleven,ALL ELEVEN,Commercial Real Estate,Property Owner,531120,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,FALSE,1
All Occasions Equip Rentals,ALL OCCASIONS EQUIP RENTALS,Commercial Services,Equipment rental,5324,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,FALSE,1
All Pro Commercial Services,ALL PRO COMMERCIAL SERVICES,Construction,Commercial services/contractor,2362,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Mechanical Contractor,,FALSE,1
All Pro Parking,ALL PRO PARKING,Commercial Services,Parking services,8129,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,FALSE,1
Alliance Technical Group,ALLIANCE TECHNICAL GROUP,Commercial Services,Engineering/testing (ATG),5413,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,FALSE,1
Allied Crawford Cincinnati,ALLIED CRAWFORD CINCINNATI,Commercial Services,Services (unclear),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,FALSE,1
Allied Supply,ALLIED SUPPLY,Commercial Services,Distribution (unclear),4238,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,TRUE,2
Allison Abrasives,ALLISON ABRASIVES,Construction,Industrial abrasives supplier,4238,Heuristic,Final,High,Analyst-approved override (method: Heuristic),Mechanical Contractor,,FALSE,1
Alo Property Management,ALO PROPERTY MANAGEMENT,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: 'Alo Property Management'),,,FALSE,1
Aloft Louisville East,ALOFT LOUISVILLE EAST,Commercial Services,Hotel,7211,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),Hospitality,,FALSE,1
Alparc I Parkway Operating,ALPARC I PARKWAY OPERATING,Commercial Real Estate,Multifamily/parking operating entity (ALPARC),5311,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,FALSE,1
Alparc II Creek Run Operating,ALPARC II CREEK RUN OPERATING,Commercial Real Estate,Multifamily operating entity (ALPARC),5311,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,FALSE,1
Alparc II Dearborn Park Operating,ALPARC II DEARBORN PARK OPERATING,Commercial Real Estate,Multifamily operating entity (ALPARC),5311,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,FALSE,1
Alparc II Lakeview Operating,ALPARC II LAKEVIEW OPERATING,Commercial Real Estate,Multifamily operating entity (ALPARC),5311,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,FALSE,1
Alparc II Tuller Ridge Operating,ALPARC II TULLER RIDGE OPERATING,Commercial Real Estate,Multifamily operating entity (ALPARC),5311,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,FALSE,1
Alparc IV Citygate Operating,ALPARC IV CITYGATE OPERATING,Commercial Real Estate,Multifamily operating entity (ALPARC),5311,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,FALSE,1
Alparc IV Cramer Creek Operating,ALPARC IV CRAMER CREEK OPERATING,Commercial Real Estate,Multifamily operating entity (ALPARC),5311,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,FALSE,1
Alpha Technologies Services,ALPHA TECHNOLOGIES SERVICES,Commercial Services,Technology/services (unclear),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,TRUE,3
Alpla,ALPLA,Manufacturing,Packaging (plastics) manufacturing,3261,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,FALSE,1
Alstom,ALSTOM,Manufacturing,Rail/industrial manufacturing,3365,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,FALSE,1
Alt and Witzig Engineering,ALT AND WITZIG ENGINEERING,Construction,Engineering/contracting,5413,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),Mechanical Contractor,,TRUE,2
Alta Refrigeration,ALTA REFRIGERATION,Construction,Refrigeration contractor,2382,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Mechanical Contractor,,FALSE,1
Amano Cincinnati,AMANO CINCINNATI,Commercial Services,Parking systems/services,8129,Heuristic,Final,High,Analyst-approved override (method: Heuristic),Hospitality,,FALSE,1
Amazon,AMAZON,Commercial Services,Technology / E-Commerce,,Entity Inference,,Medium,Matched known entity 'AMAZON'; Known/recognized entity mapping (evidence: 'Amazon'),,,TRUE,4
Amcor Rigids,AMCOR RIGIDS,Manufacturing,Packaging (plastics) manufacturing,3261,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,TRUE,2
Ameresco,AMERESCO,Energy Services,Energy Services,,Entity Inference,,Medium,Matched known entity 'AMERESCO'; Known/recognized entity mapping (evidence: 'Ameresco'),,,FALSE,1
American Fuji Seal,AMERICAN FUJI SEAL,Manufacturing,Packaging and Labels,322220,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,fujiseal.com,FALSE,1
American Greetings,AMERICAN GREETINGS,Manufacturing,Greeting Card Publisher/Manufacturer,513191,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,americangreetings.com,FALSE,1
American Hermetic,AMERICAN HERMETIC,Manufacturing,HVAC Compressor Remanufacturing,811310,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,americanhermetics.net,FALSE,1
American House Halls,AMERICAN HOUSE HALLS,Healthcare / Senior Living,Senior Living / Memory Care,623312,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,americanhouse.com,FALSE,1
American Mortgage,AMERICAN MORTGAGE,Financial Services,,52,Rule-Based,,High,Matched financial keyword; Deterministic keyword/pattern match (evidence: 'American Mortgage'),,,FALSE,1
American Mortgage Service,AMERICAN MORTGAGE SERVICE,Financial Services,,52,Rule-Based,,High,Matched financial keyword; Deterministic keyword/pattern match (evidence: 'American Mortgage Service Company'),,,FALSE,1
American Red Cross,AMERICAN RED CROSS,Non-Profit / Religious,Non-Profit,,Entity Inference,,Medium,Matched known entity 'AMERICAN RED CROSS'; Known/recognized entity mapping (evidence: 'American Red Cross'),,,FALSE,1
American Regent,AMERICAN REGENT,Manufacturing,Pharmaceutical Manufacturing,325412,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,americanregent.com,FALSE,1
American Society for Clinical Pathology,AMERICAN SOCIETY FOR CLINICAL PATHOLOGY,Commercial Services,Professional association,8139,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,FALSE,1
American Standard,AMERICAN STANDARD,Manufacturing,Plumbing Fixture Manufacturing,327110,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,americanstandard-us.com,FALSE,1
Americas Collectibles Network,AMERICAS COLLECTIBLES NETWORK,Commercial Services,Jewelry Television / E-commerce,454110,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,jtv.com,FALSE,1
Amerimed,AMERIMED,Healthcare / Senior Living,Ambulance / Medical Transport,621910,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,amerimed.net,TRUE,2
Ameriplex 2,AMERIPLEX 2,Commercial Real Estate,Business Park Owner/Operator,531120,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,holladayproperties.com,FALSE,1
Amfine Chemical,AMFINE CHEMICAL,Manufacturing,,31-33,Rule-Based,,High,Matched manufacturing keyword; Deterministic keyword/pattern match (evidence: 'Amfine Chemical Corporation'),,,FALSE,1
Amk Services,AMK SERVICES,Commercial Services,Services (unclear),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,FALSE,1
Ammega US Dba Midwest Industrial Rubber,AMMEGA US DBA MIDWEST INDUSTRIAL RUBBER,Manufacturing,Industrial rubber products,3262,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,FALSE,1
Analysis and Measurement Services,ANALYSIS AND MEASUREMENT SERVICES,Manufacturing,Manufacturing/engineering services,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,FALSE,1
Ancra Cargo,ANCRA CARGO,Manufacturing,Cargo securing equipment,3339,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,TRUE,2
Anderson County Fiscal Court,ANDERSON COUNTY FISCAL COURT,Municipal / Local Government,,92,Rule-Based,,High,Matched county/agency keyword; Deterministic keyword/pattern match (evidence: 'Anderson County Fiscal Court'),,,FALSE,1
Andrew Kintz,ANDREW KINTZ,Individual / Misc,Individual,,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,FALSE,1
Andy Lindsey,ANDY LINDSEY,Individual / Misc,Individual,,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,FALSE,1
Ankaa Global Logistics,ANKAA GLOBAL LOGISTICS,Commercial Services,Logistics,4885,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,FALSE,1
Ann Schaad,ANN SCHAAD,Individual / Misc,Individual,,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,FALSE,1
Annunciation Greek Orthodox Church,ANNUNCIATION GREEK ORTHODOX CHURCH,Non-Profit / Religious,,81,Rule-Based,,High,Matched religious/non-profit keyword; Deterministic keyword/pattern match (evidence: 'Annunciation Greek Orthodox Church'),,,FALSE,1
Anson Logistics Assets,ANSON LOGISTICS ASSETS,Commercial Services,Logistics assets/entity,4885,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,FALSE,1
Answers IN Genesis of KY,ANSWERS IN GENESIS OF KY,Non-Profit / Religious,Religious Nonprofit / Attractions,813110,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,answersingenesis.org,FALSE,1
Anytime Fitness,ANYTIME FITNESS,Commercial Services,Fitness,,Heuristic,,Low,Matched weak fitness signal; Weak-signal best guess (evidence: 'Anytime Fitness'),Retail,,FALSE,1
Ao Smith Water Products,AO SMITH WATER PRODUCTS,Utilities,,22,Rule-Based,,High,Matched utility keyword; Deterministic keyword/pattern match (evidence: 'A.O. Smith Water Products Company'),,,FALSE,1
Ap Tech Group,AP TECH GROUP,Manufacturing,Water Treatment Manufacturing,325998,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,aptechgroup.com,FALSE,1
Aquisense,AQUISENSE,Manufacturing,UV Water Treatment Systems,335999,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,aquisense.com,FALSE,1
Aramark Gbs,ARAMARK GBS,Commercial Services,Facilities / Food Service,,Entity Inference,,Medium,Matched known entity 'ARAMARK'; Known/recognized entity mapping (evidence: 'Aramark Gbs'),,,FALSE,1
Arc,ARC,Commercial Services,Document Management / Printing,561439,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,e-arc.com,FALSE,1
Archdiocese of Cincinnati,ARCHDIOCESE OF CINCINNATI,Non-Profit / Religious,,81,Rule-Based,,High,Matched religious/non-profit keyword; Deterministic keyword/pattern match (evidence: 'Archdiocese Of Cincinnati'),,,TRUE,2
Arco Design Build Midwest,ARCO DESIGN BUILD MIDWEST,Construction,,23,Rule-Based,,High,"Matched construction keyword; Deterministic keyword/pattern match (evidence: 'Arco Design Build Midwest, Inc.')",,,FALSE,1
Arco Murray National Const,ARCO MURRAY NATIONAL CONST,Construction,Design-Build General Contractor,236220,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,arcomurray.com,FALSE,1
Argosy Casino Hotel,ARGOSY CASINO HOTEL,Commercial Services,Hospitality,72,Rule-Based,,High,Matched hospitality keyword; Deterministic keyword/pattern match (evidence: 'Argosy Casino Hotel'),Hospitality,,FALSE,1
Ark Brookvale,ARK BROOKVALE,Commercial Real Estate,Property Owner,531120,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,FALSE,1
Arku,ARKU,Manufacturing,Industrial Machinery (Leveling/Deburring),333517,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,arku.com,FALSE,1
Armstrong Relocation Louisville,ARMSTRONG RELOCATION LOUISVILLE,Commercial Services,Moving & Storage Services,484210,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,goarmstrong.com,FALSE,1
Armstrong Utilities,ARMSTRONG UTILITIES,Utilities,,22,Rule-Based,,High,Matched utility keyword; Deterministic keyword/pattern match (evidence: 'Armstrong Utilities'),,,FALSE,1
Arrow Dental,ARROW DENTAL,Healthcare / Senior Living,,62,Rule-Based,,High,Matched healthcare keyword; Deterministic keyword/pattern match (evidence: 'Arrow Dental'),,,FALSE,1
Arrow Wine and Spirits,ARROW WINE AND SPIRITS,Commercial Services,Alcohol Retail,445310,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,arrowwineandspirits.com,TRUE,2
Art Geissler,ART GEISSLER,Individual / Misc,Real Estate Agent,531210,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,FALSE,1
Artazn,ARTAZN,Manufacturing,Zinc Products Manufacturing,331491,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,artazn.com,FALSE,1
Artisan Mechanical,ARTISAN MECHANICAL,Construction,HVAC Contractor,238220,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,artisan-mech.com,FALSE,1
Arts Rental,ARTS RENTAL,Commercial Services,Equipment rental,5324,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,FALSE,1
Arvato Digital USA,ARVATO DIGITAL USA,Commercial Services,Digital services/fulfillment,5415,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,FALSE,1
Ashbusters Chimney Service,ASHBUSTERS CHIMNEY SERVICE,Construction,Chimney & Masonry Services,238140,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,ashbusters.net,FALSE,1
Ashland Avenue Baptist Church,ASHLAND AVENUE BAPTIST CHURCH,Non-Profit / Religious,,81,Rule-Based,,High,Matched religious/non-profit keyword; Deterministic keyword/pattern match (evidence: 'Ashland Avenue Baptist Church'),,,FALSE,1
Ashland Credit Union,ASHLAND CREDIT UNION,Financial Services,,52,Rule-Based,,High,Matched financial keyword; Deterministic keyword/pattern match (evidence: 'Ashland Credit Union'),,,FALSE,1
