Rank,Master Customer Name,Master Customer Name Canonical,IsMerge,MergeGroupSize,Search Query,Suggested Industrial Group,Suggested Industry Detail,Suggested Support Category,Suggested NAICS,Suggested Method,Suggested Confidence,Suggested Company Website,Example Original Names,Source 1 Title,Source 1 URL,Source 2 Title,Source 2 URL,Source 3 Title,Source 3 URL,Notes
35,On Display,ON DISPLAY,TRUE,2,On Display On Display Ltd,Unknown / Needs Review,,,,Unclassified,Low,,On Display Ltd,Wikidata: On Display,https://www.wikidata.org/wiki/Q64529738,,,,,
36,Ohio Valley Chapter Abc,OHIO VALLEY CHAPTER ABC,TRUE,2,Ohio Valley Chapter Abc Ohio Valley Chapter Abc,Unknown / Needs Review,,,,Unclassified,Low,,Ohio Valley Chapter Abc,,,,,,,
37,New Riff Distilling,NEW RIFF DISTILLING,TRUE,2,New Riff Distilling New Riff Distilling,Unknown / Needs Review,,,,Unclassified,Low,,New Riff Distilling,,,,,,,
38,Millers Textile Services,MILLERS TEXTILE SERVICES,TRUE,2,Millers Textile Services Miller'S Textile Services,Unknown / Needs Review,,,,Unclassified,Low,,Miller'S Textile Services,,,,,,,
39,Mazak,MAZAK,TRUE,2,Mazak company,Unknown / Needs Review,,,,Unclassified,Low,,Mazak | Mazak Corporation,Wikidata: Mazak,https://www.wikidata.org/wiki/Q36859001,,,,,
40,Kenco Logistics,KENCO LOGISTICS,TRUE,2,Kenco Logistics Kenco Logistics,Commercial Services,Commercial services,,,Unclassified,Low,,Kenco Logistics,,,,,,,
41,Kajima Building and Design Group,KAJIMA BUILDING AND DESIGN GROUP,TRUE,2,"Kajima Building and Design Group Kajima Building & Design Group, Inc",Unknown / Needs Review,,,,Unclassified,Low,,"Kajima Building & Design Group, Inc | Kajima Building & Design Group, Inc.",,,,,,,
42,Jm Smucker,JM SMUCKER,TRUE,2,Jm Smucker J.M. Smucker Company,Unknown / Needs Review,,,,Unclassified,Low,,"J.M. Smucker Company | Jm Smucker Company, Llc",,,,,,,
43,Intralot,INTRALOT,TRUE,2,"Intralot Intralot, Inc.",Unknown / Needs Review,,,,Unclassified,Low,http://www.intralot.com,"Intralot, Inc.",Wikidata: Intralot,https://www.wikidata.org/wiki/Q16987270,Official website,http://www.intralot.com,,,
44,Ingersoll-Rand,INGERSOLL-RAND,TRUE,2,Ingersoll-Rand Ingersoll Rand,Manufacturing,Manufacturing,,,AI-Assisted Search,Medium,http://www.ingersollrand.com,Ingersoll Rand | Ingersoll-Rand Customer Center,Wikidata: Ingersoll-Rand,https://www.wikidata.org/wiki/Q1663044,Official website,http://www.ingersollrand.com,,,
45,Hh Parkside,HH PARKSIDE,TRUE,2,Hh Parkside Hh Parkside Llc,Unknown / Needs Review,,,,Unclassified,Low,,Hh Parkside Llc | Hhb Parkside Llc,,,,,,,
46,Henry Schein,HENRY SCHEIN,TRUE,2,Henry Schein Henry Schein Inc,Unknown / Needs Review,,,,Unclassified,Low,http://www.henryschein.com,"Henry Schein Inc | Henry Schein, Inc.",Wikidata: Henry Schein,https://www.wikidata.org/wiki/Q905086,Official website,http://www.henryschein.com,,,
47,Hamilton Safe,HAMILTON SAFE,TRUE,2,Hamilton Safe Hamilton Safe,Unknown / Needs Review,,,,Unclassified,Low,,Hamilton Safe,,,,,,,
48,Gf Frank and Sons,GF FRANK AND SONS,TRUE,2,Gf Frank and Sons Gf Frank & Sons,Unknown / Needs Review,,,,Unclassified,Low,,Gf Frank & Sons | Gf Frank & Sons Inc.,,,,,,,
49,General Polymers,GENERAL POLYMERS,TRUE,2,General Polymers General Polymers,Unknown / Needs Review,,,,Unclassified,Low,,General Polymers,,,,,,,
50,Frontier a Citizens Communications,FRONTIER A CITIZENS COMMUNICATIONS,TRUE,2,Frontier a Citizens Communications Frontier A Citizens Communications Company,Unknown / Needs Review,,,,Unclassified,Low,,"Frontier A Citizens Communications Company | Frontier, A Citizens Communications Company",,,,,,,
51,Freeman Schwabe,FREEMAN SCHWABE,TRUE,2,Freeman Schwabe Freeman Schwabe,Unknown / Needs Review,,,,Unclassified,Low,,Freeman Schwabe,,,,,,,
52,Flint Group,FLINT GROUP,TRUE,2,Flint Group Flint Group,Manufacturing,Manufacturing,,,AI-Assisted Search,Medium,http://www.flintgrp.com,Flint Group,Wikidata: Flint Group,https://www.wikidata.org/wiki/Q5459507,Official website,http://www.flintgrp.com,,,
53,Feintool Cincinnati,FEINTOOL CINCINNATI,TRUE,2,Feintool Cincinnati Feintool Cincinnati Inc.,Commercial Services,Hospitality,Hospitality,,Unclassified,Low,,Feintool Cincinnati Inc.,,,,,,,
54,Evans Energy,EVANS ENERGY,TRUE,2,Evans Energy Evans Energy,Unknown / Needs Review,,,,Unclassified,Low,,Evans Energy | Evans Energy Llc,,,,,,,
55,Equity Group Four,EQUITY GROUP FOUR,TRUE,2,"Equity Group Four Equity Group Four, Llc",Unknown / Needs Review,,,,Unclassified,Low,,"Equity Group Four, Llc | The Equity Group Four",,,,,,,
56,Equitrans Midstream,EQUITRANS MIDSTREAM,TRUE,2,Equitrans Midstream Equitrans Midstream,Unknown / Needs Review,,,,Unclassified,Low,,Equitrans Midstream | Equitrans Midstream Corporation,Wikidata: Equitrans Midstream,https://www.wikidata.org/wiki/Q111948614,,,,,
57,Endress and Hauser,ENDRESS AND HAUSER,TRUE,2,"Endress and Hauser Endress & Hauser, Inc.",Unknown / Needs Review,,,,Unclassified,Low,,"Endress & Hauser, Inc. | Endress + Hauser",,,,,,,
58,Eby Brown,EBY BROWN,TRUE,2,Eby Brown Eby Brown,Unknown / Needs Review,,,,Unclassified,Low,http://www.eby-brown.com,Eby Brown,Wikidata: Eby Brown,https://www.wikidata.org/wiki/Q5332132,Official website,http://www.eby-brown.com,,,
59,Deaconess Memorial,DEACONESS MEMORIAL,TRUE,2,Deaconess Memorial Deaconess Long Term Care Of Oh,Unknown / Needs Review,,,,Unclassified,Low,,Deaconess Long Term Care Of Oh | Deaconess Memorial Medical Center,,,,,,,
60,Crocs,CROCS,TRUE,2,Crocs company,Unknown / Needs Review,,,,Unclassified,Low,https://www.crocs.com/,Crocs | Crocs Inc,Wikidata: Crocs,https://www.wikidata.org/wiki/Q125007648,Official website,https://www.crocs.com/,,,
61,City Link Center,CITY LINK CENTER,TRUE,2,City Link Center City Link Center,Unknown / Needs Review,,,,Unclassified,Low,,City Link Center,,,,,,,
62,Cincinnati Milacron,CINCINNATI MILACRON,TRUE,2,Cincinnati Milacron Cincinnati Milacron,Commercial Services,Hospitality,Hospitality,,AI-Assisted Search,Medium,,Cincinnati Milacron,Wikidata: Cincinnati Milacron,https://www.wikidata.org/wiki/Q107103099,,,,,
63,Cincinnati Belting and Transmission,CINCINNATI BELTING AND TRANSMISSION,TRUE,2,Cincinnati Belting and Transmission Cincinnati Belting & Transmission,Commercial Services,Hospitality,Hospitality,,Unclassified,Low,,Cincinnati Belting & Transmission,,,,,,,
64,Christie Cookie,CHRISTIE COOKIE,TRUE,2,Christie Cookie Christie Cookie Co,Unknown / Needs Review,,,,Unclassified,Low,,Christie Cookie Co | Christie Cookie Co.,,,,,,,
65,Charter Communications,CHARTER COMMUNICATIONS,TRUE,2,Charter Communications Charter Communications,Unknown / Needs Review,,,,Unclassified,Low,,Charter Communications,Wikidata: Charter Communications,https://www.wikidata.org/wiki/Q16910938,,,,,
66,Cer Services,CER SERVICES,TRUE,2,Cer Services Cer Services,Unknown / Needs Review,,,,Unclassified,Low,,Cer Services | Cer Services Inc.,,,,,,,
67,Cablemaster,CABLEMASTER,TRUE,2,Cablemaster Cablemaster,Unknown / Needs Review,,,,Unclassified,Low,,"Cablemaster | Cablemaster, Inc.",,,,,,,
68,Bway,BWAY,TRUE,2,Bway company,Unknown / Needs Review,,,,Unclassified,Low,,Bway Corporation,Wikidata: Bway,https://www.wikidata.org/wiki/Q32562547,,,,,
69,Bunzl,BUNZL,TRUE,2,Bunzl company,Unknown / Needs Review,,,,Unclassified,Low,https://www.bunzl.com/,Bunzl,Wikidata: Bunzl,https://www.wikidata.org/wiki/Q872718,Official website,https://www.bunzl.com/,,,
70,Bonitz,BONITZ,TRUE,2,Bonitz Bonitz,Unknown / Needs Review,,,,Unclassified,Low,,Bonitz,Wikidata: Bonitz,https://www.wikidata.org/wiki/Q23609334,,,,,
71,Bgis US Re Regions,BGIS US RE REGIONS,TRUE,2,Bgis US Re Regions Bgis Us Llc Re: Regions,Unknown / Needs Review,,,,Unclassified,Low,,Bgis Us Llc Re: Regions,,,,,,,HTTP Error 403: Forbidden
72,Beacon Ortohopaedics,BEACON ORTOHOPAEDICS,TRUE,2,"Beacon Ortohopaedics Beacon Orthopaedics Facilities, Llc",Unknown / Needs Review,,,,Unclassified,Low,,"Beacon Orthopaedics Facilities, Llc | Beacon Orthopedics & Sports Medicine",,,,,,,HTTP Error 403: Forbidden
73,Avi Foodsystems,AVI FOODSYSTEMS,TRUE,2,Avi Foodsystems Avi Foodsystems Inc,Unknown / Needs Review,,,,Unclassified,Low,,"Avi Foodsystems Inc | Avi Foodsystems, Inc.",,,,,,,HTTP Error 403: Forbidden
74,Austin Landing North,AUSTIN LANDING NORTH,TRUE,2,Austin Landing North Austin Landing North Llc,Unknown / Needs Review,,,,Unclassified,Low,,"Austin Landing North Llc | Austin Landing North, Llc",,,,,,,HTTP Error 403: Forbidden
75,Atlas Air,ATLAS AIR,TRUE,2,Atlas Air Atlas Air Inc,Unknown / Needs Review,,,,Unclassified,Low,https://www.atlasair.com,"Atlas Air Inc | Atlas Air, Inc",Wikidata: Atlas Air,https://www.wikidata.org/wiki/Q757135,Official website,https://www.atlasair.com,,,HTTP Error 403: Forbidden
76,Arrow Wine and Spirits,ARROW WINE AND SPIRITS,TRUE,2,Arrow Wine and Spirits Arrow Wine & Spirits,Unknown / Needs Review,,,,Unclassified,Low,,Arrow Wine & Spirits | Arrow Wine And Spirits Mason,,,,,,,HTTP Error 403: Forbidden
77,Ancra Cargo,ANCRA CARGO,TRUE,2,Ancra Cargo Ancra Cargo,Unknown / Needs Review,,,,Unclassified,Low,,Ancra Cargo,,,,,,,HTTP Error 403: Forbidden
78,Amerimed,AMERIMED,TRUE,2,Amerimed Amerimed,Unknown / Needs Review,,,,Unclassified,Low,,Amerimed,,,,,,,HTTP Error 403: Forbidden
79,Alt and Witzig Engineering,ALT AND WITZIG ENGINEERING,TRUE,2,Alt and Witzig Engineering Alt & Witzig Engineering,Unknown / Needs Review,,,,Unclassified,Low,,Alt & Witzig Engineering,,,,,,,
80,Allied Supply,ALLIED SUPPLY,TRUE,2,Allied Supply Allied Supply,Unknown / Needs Review,,,,Unclassified,Low,,Allied Supply | Allied Supply Company,Wikidata: Allied Supply,https://www.wikidata.org/wiki/Q114288122,,,,,
81,Accenture LLP,ACCENTURE LLP,TRUE,2,Accenture LLP Accenture Llp,Unknown / Needs Review,,,,Unclassified,Low,,Accenture Llp,,,,,,,
82,Zimmer Chysler Jeep Dodge,ZIMMER CHYSLER JEEP DODGE,FALSE,1,Zimmer Chysler Jeep Dodge Zimmer Chysler Jeep Dodge,Unknown / Needs Review,,,,Unclassified,Low,,Zimmer Chysler Jeep Dodge,,,,,,,
83,Zf Steering Systems,ZF STEERING SYSTEMS,FALSE,1,"Zf Steering Systems Zf Steering Systems, Llc",Unknown / Needs Review,,,,Unclassified,Low,,"Zf Steering Systems, Llc",,,,,,,
84,Zf North America,ZF NORTH AMERICA,FALSE,1,"Zf North America Zf North America, Inc.",Unknown / Needs Review,,,,Unclassified,Low,,"Zf North America, Inc.",,,,,,,
85,Zf Boge Elastmetall,ZF BOGE ELASTMETALL,FALSE,1,Zf Boge Elastmetall Zf Boge Elastmetall,Unknown / Needs Review,,,,Unclassified,Low,,Zf Boge Elastmetall,,,,,,,
86,Zamias Services,ZAMIAS SERVICES,FALSE,1,Zamias Services Zamias Services Inc,Commercial Real Estate,Commercial real estate,,,AI-Assisted Search,Medium,,Zamias Services Inc,Wikidata: Zamias Services,https://www.wikidata.org/wiki/Q65070148,,,,,
87,Yusa,YUSA,FALSE,1,Yusa company,Unknown / Needs Review,,,,Unclassified,Low,,Yusa Corporation,Wikidata: Yusa,https://www.wikidata.org/wiki/Q113437126,,,,,
88,Ysk,YSK,FALSE,1,Ysk company,Unknown / Needs Review,,,,Unclassified,Low,http://www.yokohamasakae.jp/,Ysk Corp,Wikidata: Ysk,https://www.wikidata.org/wiki/Q11543199,Official website,http://www.yokohamasakae.jp/,,,
89,Ymca of Harrison County,YMCA OF HARRISON COUNTY,FALSE,1,Ymca of Harrison County Ymca Of Harrison County,Municipal / Local Government,Government entity,,,Unclassified,Low,,Ymca Of Harrison County,,,,,,,
90,Ymca of Greater Cincinnati,YMCA OF GREATER CINCINNATI,FALSE,1,Ymca of Greater Cincinnati Ymca Of Greater Cincinnati,Commercial Services,Hospitality,Hospitality,,AI-Assisted Search,Medium,https://myy.org/,Ymca Of Greater Cincinnati,Wikidata: Ymca of Greater Cincinnati,https://www.wikidata.org/wiki/Q117750631,Official website,https://myy.org/,,,
91,Ymca,YMCA,FALSE,1,Ymca company,Unknown / Needs Review,,,,Unclassified,Low,,Ymca,Wikidata: Ymca,https://www.wikidata.org/wiki/Q68078474,,,,,
92,Ykk Ap,YKK AP,FALSE,1,Ykk Ap Ykk Ap,Unknown / Needs Review,,,,Unclassified,Low,http://www.ykkap.co.jp/,Ykk Ap,Wikidata: Ykk Ap,https://www.wikidata.org/wiki/Q11255064,Official website,http://www.ykkap.co.jp/,,,
93,Yh America,YH AMERICA,FALSE,1,Yh America Yh America Inc.,Unknown / Needs Review,,,,Unclassified,Low,,Yh America Inc.,,,,,,,
94,Yee Haw Brewing,YEE HAW BREWING,FALSE,1,Yee Haw Brewing Yee Haw Brewing,Unknown / Needs Review,,,,Unclassified,Low,,Yee Haw Brewing,,,,,,,
95,Yapp USA Automotive Systems,YAPP USA AUTOMOTIVE SYSTEMS,FALSE,1,Yapp USA Automotive Systems Yapp Usa Automotive Systems Inc,Unknown / Needs Review,,,,Unclassified,Low,,Yapp Usa Automotive Systems Inc,,,,,,,
96,Yanfeng Global Automotive Interiors,YANFENG GLOBAL AUTOMOTIVE INTERIORS,FALSE,1,Yanfeng Global Automotive Interiors Yanfeng Global Automotive Interiors,Unknown / Needs Review,,,,Unclassified,Low,,Yanfeng Global Automotive Interiors,,,,,,,
97,Yamota West,YAMOTA WEST,FALSE,1,Yamota West Yamota West,Unknown / Needs Review,,,,Unclassified,Low,,Yamota West,,,,,,,
98,Xtralease,XTRALEASE,FALSE,1,Xtralease Xtralease,Unknown / Needs Review,,,,Unclassified,Low,,Xtralease,,,,,,,
99,Xetron,XETRON,FALSE,1,Xetron Xetron,Unknown / Needs Review,,,,Unclassified,Low,http://meetngc.com/xetron/,Xetron,Wikidata: Xetron,https://www.wikidata.org/wiki/Q30621831,Official website,http://meetngc.com/xetron/,,,
100,Xenia Community Schools Business Office,XENIA COMMUNITY SCHOOLS BUSINESS OFFICE,FALSE,1,Xenia Community Schools Business Office Xenia Community Schools Business Office,Unknown / Needs Review,,,,Unclassified,Low,,Xenia Community Schools Business Office,,,,,,,
101,Wvlt Tv Channel 8,WVLT TV CHANNEL 8,FALSE,1,Wvlt Tv Channel 8 Wvlt Tv Channel 8,Unknown / Needs Review,,,,Unclassified,Low,,Wvlt Tv Channel 8,,,,,,,
102,Wsaz,WSAZ,FALSE,1,Wsaz company,Unknown / Needs Review,,,,Unclassified,Low,http://www.wsaz.com/,Wsaz,Wikidata: Wsaz,https://www.wikidata.org/wiki/Q7955485,Official website,http://www.wsaz.com/,,,
103,Wp General Partnership 9DBA Western Plaza OR Shops at Western P,WP GENERAL PARTNERSHIP 9DBA WESTERN PLAZA OR SHOPS AT WESTERN P,FALSE,1,"Wp General Partnership 9DBA Western Plaza OR Shops at Western P Wp General Partnership 9Dba Western Plaza, Or Shops At Western P",Unknown / Needs Review,,,,Unclassified,Low,,"Wp General Partnership 9Dba Western Plaza, Or Shops At Western P",,,,,,,
104,Worldsource Integration,WORLDSOURCE INTEGRATION,FALSE,1,Worldsource Integration Worldsource Integration,Unknown / Needs Review,,,,Unclassified,Low,,Worldsource Integration,,,,,,,
105,Wooster Motor Ways,WOOSTER MOTOR WAYS,FALSE,1,Wooster Motor Ways Wooster Motor Ways,Unknown / Needs Review,,,,Unclassified,Low,,Wooster Motor Ways,,,,,,,
106,Woodlawn Rubber,WOODLAWN RUBBER,FALSE,1,Woodlawn Rubber Woodlawn Rubber Company,Unknown / Needs Review,,,,Unclassified,Low,,Woodlawn Rubber Company,,,,,,,
107,Woodgrain Door Shop,WOODGRAIN DOOR SHOP,FALSE,1,Woodgrain Door Shop Woodgrain Door Shop,Unknown / Needs Review,,,,Unclassified,Low,,Woodgrain Door Shop,,,,,,,
108,Woodcraft Supply,WOODCRAFT SUPPLY,FALSE,1,Woodcraft Supply Woodcraft Supply Corp.,Commercial Services,Retail,Retail,,AI-Assisted Search,Medium,https://www.woodcraft.com/,Woodcraft Supply Corp.,Wikidata: Woodcraft Supply,https://www.wikidata.org/wiki/Q22026341,Official website,https://www.woodcraft.com/,,,
109,Wonton Food Tennessee,WONTON FOOD TENNESSEE,FALSE,1,Wonton Food Tennessee Wonton Food Inc - Tennessee,Unknown / Needs Review,,,,Unclassified,Low,,Wonton Food Inc - Tennessee,,,,,,,
110,Wkn Enterprises Dba Title Boxing Club,WKN ENTERPRISES DBA TITLE BOXING CLUB,FALSE,1,"Wkn Enterprises Dba Title Boxing Club Wkn Enterprises, Llc Dba Title Boxing Club",Unknown / Needs Review,,,,Unclassified,Low,,"Wkn Enterprises, Llc Dba Title Boxing Club",,,,,,,
111,Wishing U Well,WISHING U WELL,FALSE,1,Wishing U Well Wishing U Well Inc,Unknown / Needs Review,,,,Unclassified,Low,,Wishing U Well Inc,,,,,,,
112,Wischmeier Transportation Solutions,WISCHMEIER TRANSPORTATION SOLUTIONS,FALSE,1,Wischmeier Transportation Solutions Wischmeier Transportation Solutions,Unknown / Needs Review,,,,Unclassified,Low,,Wischmeier Transportation Solutions,,,,,,,
113,Winton Woods Schools,WINTON WOODS SCHOOLS,FALSE,1,Winton Woods Schools Winton Woods Schools,Unknown / Needs Review,,,,Unclassified,Low,,Winton Woods Schools,,,,,,,
114,Wine Shop,WINE SHOP,FALSE,1,Wine Shop The Wine Shop,Unknown / Needs Review,,,,Unclassified,Low,,The Wine Shop,Wikidata: Wine Shop,https://www.wikidata.org/wiki/Q21117149,,,,,
115,Windsor Suites,WINDSOR SUITES,FALSE,1,Windsor Suites Windsor Suites Llc,Commercial Services,Hospitality,Hospitality,,AI-Assisted Search,Medium,,Windsor Suites Llc,Wikidata: Windsor Suites,https://www.wikidata.org/wiki/Q111885852,,,,,
116,Willows at Springhurt,WILLOWS AT SPRINGHURT,FALSE,1,Willows at Springhurt Willows At Springhurt,Unknown / Needs Review,,,,Unclassified,Low,,Willows At Springhurt,,,,,,,
