Master Customer Name,Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,Method,Confidence,Rationale,Support Category,Company Website,IsMerge,MergeGroupSize
Arco Murray National Const,ARCO MURRAY NATIONAL CONST,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Arco Murray National Const. Co. Inc.'),,,FALSE,1
Ark Brookvale,ARK BROOKVALE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ark Llc - Brookvale C/O Avison Young'),,,FALSE,1
Arku,ARKU,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Arku'),,,FALSE,1
Armstrong Relocation Louisville,ARMSTRONG RELOCATION LOUISVILLE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Armstrong Relocation Louisville'),,,FALSE,1
Arrow Wine and Spirits,ARROW WINE AND SPIRITS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Arrow Wine and Spirits'),,,TRUE,2
Art Geissler,ART GEISSLER,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Art Geissler'),,,FALSE,1
Artazn,ARTAZN,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Artazn Llc'),,,FALSE,1
Artisan Mechanical,ARTISAN MECHANICAL,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Artisan Mechanical'),,,FALSE,1
Ashbusters Chimney Service,ASHBUSTERS CHIMNEY SERVICE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ashbusters Chimney Service'),,,FALSE,1
Aspen Grovethe Stanton Group,ASPEN GROVETHE STANTON GROUP,Construction,Contractor/property (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,Mechanical Contractor,,FALSE,1
Ateck,ATECK,Commercial Services,Services (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Automotive Steering Column,AUTOMOTIVE STEERING COLUMN,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Automotive Steering Column Llc'),,,FALSE,1
Avi Foodsystems,AVI FOODSYSTEMS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Avi Foodsystems Inc'),,,TRUE,2
Avis Phillips,AVIS PHILLIPS,Commercial Services,Individual/entity unclear,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Barger Concepts,BARGER CONCEPTS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Barger Concepts Llc'),,,FALSE,1
Belcan,BELCAN,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Belcan'),,,FALSE,1
Belflex Staffing Network,BELFLEX STAFFING NETWORK,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Belflex Staffing Network'),,,FALSE,1
Beltone,BELTONE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Beltone'),,,FALSE,1
Benison,BENISON,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'The Benison'),,,FALSE,1
Bernard Laboratories,BERNARD LABORATORIES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Bernard Laboratories Inc'),,,FALSE,1
Best Sanitizers,BEST SANITIZERS,Manufacturing,Sanitizer & Soap Manufacturing,325611,AI-Assisted Search,Low,Queued for AI-assisted search,,bestsanitizers.com,FALSE,1
Bestone Tire and Service of Lima,BESTONE TIRE AND SERVICE OF LIMA,Commercial Services,Auto Repair & Tire Service,811111,AI-Assisted Search,Low,Queued for AI-assisted search,,bestonecommercial.com,FALSE,1
Bgr,BGR,Commercial Services,Packaging & Industrial Supplies,424130,AI-Assisted Search,Low,Queued for AI-assisted search,,packbgr.com,TRUE,4
Blue Buffalo,BLUE BUFFALO,Manufacturing,Pet Food Manufacturing,311111,AI-Assisted Search,Low,Queued for AI-assisted search,,bluebuffalo.com,FALSE,1
Blue Star,BLUE STAR,Commercial Services,Technology Distribution,423430,AI-Assisted Search,Low,Queued for AI-assisted search,,bluestarinc.com,FALSE,1
Bob Sumerel Tire,BOB SUMEREL TIRE,Commercial Services,Commercial Tire & Fleet Services,811198,AI-Assisted Search,Low,Queued for AI-assisted search,,bobsumereltire.com,FALSE,1
Branded Group,BRANDED GROUP,Commercial Services,Facility Management,561210,AI-Assisted Search,Low,Queued for AI-assisted search,,branded-group.com,FALSE,1
Brandi,BRANDI,Unknown / Needs Review,Ambiguous Entity,,Unclassified,High,Master override,,,FALSE,1
Bri Kip,BRI KIP,Unknown / Needs Review,Ambiguous Entity,,Unclassified,High,Master override,,,FALSE,1
Bright Farms Greenhouse,BRIGHT FARMS GREENHOUSE,Manufacturing,Hydroponic Produce,111419,AI-Assisted Search,Low,Queued for AI-assisted search,,brightfarms.com,FALSE,1
Brighton Mills,BRIGHTON MILLS,Manufacturing,Flour Milling & Dry Blending,311211,AI-Assisted Search,Low,Queued for AI-assisted search,,brightonmills.com,FALSE,1
Bristol Group,BRISTOL GROUP,Commercial Real Estate,Real Estate Investment & Dev,531120,AI-Assisted Search,Low,Queued for AI-assisted search,,bristolgroupinc.com,FALSE,1
Brown Campbell,BROWN CAMPBELL,Manufacturing,Steel Grating Fabrication,332323,AI-Assisted Search,Low,Queued for AI-assisted search,,brown-campbell.com,FALSE,1
Bwi Indiana,BWI INDIANA,Manufacturing,Automotive Component Mfg,336340,AI-Assisted Search,Low,Queued for AI-assisted search,,bwigroup.com,FALSE,1
Byrna Technologies,BYRNA TECHNOLOGIES,Manufacturing,Non-Lethal Defense Technology,332999,AI-Assisted Search,Low,Queued for AI-assisted search,,byrna.com,FALSE,1
Byron Products,BYRON PRODUCTS,Manufacturing,Heat Treating & Brazing,332811,AI-Assisted Search,Low,Queued for AI-assisted search,,byronproducts.com,FALSE,1
CH2MHILL,CH2MHILL,Construction,Engineering & Construction,541330,AI-Assisted Search,Low,Queued for AI-assisted search,,jacobs.com,FALSE,1
Cablemaster,CABLEMASTER,Manufacturing,Industrial Cable Manufacturing,335929,AI-Assisted Search,Low,Queued for AI-assisted search,,,TRUE,2
Campbells Snacks,CAMPBELLS SNACKS,Manufacturing,Snack Food Manufacturing,311919,AI-Assisted Search,Low,Queued for AI-assisted search,,thecampbellscompany.com,FALSE,1
Candex Solutions,CANDEX SOLUTIONS,Commercial Services,Procurement Solutions,541614,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Capstone Concepts,CAPSTONE CONCEPTS,Commercial Services,Restaurant Group (Hospitality),722511,AI-Assisted Search,Low,Queued for AI-assisted search,,capstoneconcepts.com,FALSE,1
Carothers Corner,CAROTHERS CORNER,Commercial Real Estate,Retail Center,531120,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Catalyst Pdg,CATALYST PDG,Manufacturing,Product Development & Mfg,541715,AI-Assisted Search,Low,Queued for AI-assisted search,,catalystpdg.com,FALSE,1
Cazana Family Dcp General Partnership,CAZANA FAMILY DCP GENERAL PARTNERSHIP,Commercial Real Estate,Real Estate Partnership,531120,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Cb Ragland,CB RAGLAND,Commercial Real Estate,Real Estate Development,531120,AI-Assisted Search,Low,Queued for AI-assisted search,,cbragland.com,FALSE,1
Cbt,CBT,Commercial Services,Ambiguous,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Cc Industries Billing,CC INDUSTRIES BILLING,Commercial Services,Corporate billing entity,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Cer Services,CER SERVICES,Commercial Services,Services (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,TRUE,2
Ceredo Manor,CEREDO MANOR,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ceredo Manor'),,,FALSE,1
Charlie Pond,CHARLIE POND,Commercial Services,Individual/entity unclear,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Cheif Logan State Park,CHEIF LOGAN STATE PARK,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Cheif Logan State Park'),,,FALSE,1
Chemie Tek,CHEMIE TEK,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Chemie Tek'),,,FALSE,1
Cherokee Millwright,CHEROKEE MILLWRIGHT,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Cherokee Millwright Inc'),,,FALSE,1
Children,CHILDREN,Commercial Services,Too generic,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Christel House West,CHRISTEL HOUSE WEST,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Christel House West'),,,FALSE,1
Christie Cookie,CHRISTIE COOKIE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Christie Cookie Co'),,,TRUE,2
Chuck Davidson,CHUCK DAVIDSON,Commercial Services,Individual/entity unclear,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Ci Thornburg,CI THORNBURG,Commercial Services,Entity unclear,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Cincinnati Center for Autism,CINCINNATI CENTER FOR AUTISM,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Cincinnati Center For Autism'),,,FALSE,1
Cincinnati Childrens Med Center,CINCINNATI CHILDRENS MED CENTER,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Cincinnati Childrens Med Center'),,,FALSE,1
Cincinnati Facial Plastics,CINCINNATI FACIAL PLASTICS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Cincinnati Facial Plastics'),,,FALSE,1
Cincinnati Tennis Lindner Family Tennis Center,CINCINNATI TENNIS LINDNER FAMILY TENNIS CENTER,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Cincinnati Tennis, Llc, Lindner Family Tennis Center')",,,FALSE,1
Clarke Americanmirc Express,CLARKE AMERICANMIRC EXPRESS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Clarke American/Mirc Express'),,,FALSE,1
Classic Wood Products,CLASSIC WOOD PRODUCTS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Classic Wood Products'),,,FALSE,1
Clean Slate Services,CLEAN SLATE SERVICES,Commercial Services,Services (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Cold Jet,COLD JET,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Cold Jet'),,,FALSE,1
Core Group,CORE GROUP,Commercial Services,Too ambiguous (multiple “CORE”),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Core Resources,CORE RESOURCES,Commercial Services,Too ambiguous (multiple “CORE”),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Core of Scottsville,CORE OF SCOTTSVILLE,Commercial Services,Too ambiguous (multiple “CORE”),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Cornerstone Companies,CORNERSTONE COMPANIES,Commercial Services,Services/property/contracting (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Cornerstone Services,CORNERSTONE SERVICES,Commercial Services,Services/property/contracting (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Corsicana,CORSICANA,Commercial Services,Manufacturing/real estate (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Cps,CPS,Commercial Services,Ambiguous,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Crossroads,CROSSROADS,Commercial Services,Too ambiguous,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Curtismaruyasu America,CURTISMARUYASU AMERICA,Manufacturing,Manufacturing (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Dae IL USA,DAE IL USA,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Dae Il Usa Inc'),,,FALSE,1
Daltile,DALTILE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Daltile Corporation'),,,FALSE,1
Dana Danville,DANA DANVILLE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Dana Danville'),,,FALSE,1
Dana Louisville,DANA LOUISVILLE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Dana Louisville'),,,FALSE,1
Danimer Scientific Kentucky,DANIMER SCIENTIFIC KENTUCKY,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Danimer Scientific Kentucky'),,,FALSE,1
Danis,DANIS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Danis'),,,FALSE,1
Danis Building,DANIS BUILDING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Danis Building'),,,FALSE,1
Data Tech Depot Hamilton,DATA TECH DEPOT HAMILTON,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Data Tech Depot - Hamilton'),,,FALSE,1
Dave Agricola,DAVE AGRICOLA,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Dave Agricola'),,,FALSE,1
David Agricola,DAVID AGRICOLA,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'David Agricola'),,,FALSE,1
Davis Distribution Systems,DAVIS DISTRIBUTION SYSTEMS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Davis Distribution Systems'),,,FALSE,1
Dayton Art Institute,DAYTON ART INSTITUTE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Dayton Art Institute'),,,FALSE,1
Dayton Masonic Center,DAYTON MASONIC CENTER,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Dayton Masonic Center'),,,FALSE,1
Dcm Products,DCM PRODUCTS,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Dcm Products, Inc.')",,,FALSE,1
Deaconess Memorial,DEACONESS MEMORIAL,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Deaconess Memorial'),,,TRUE,2
Debrakuempel,DEBRAKUEMPEL,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Debra-Kuempel'),,,FALSE,1
Deceuninck North America,DECEUNINCK NORTH AMERICA,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Deceuninck North America'),,,FALSE,1
Delta Hotels Ashland Downtown,DELTA HOTELS ASHLAND DOWNTOWN,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Delta Hotels Ashland Downtown'),,,FALSE,1
Deluxe Nails Billing,DELUXE NAILS BILLING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Deluxe Nails Billing'),,,FALSE,1
Deming Enterprise,DEMING ENTERPRISE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Deming Enterprise Inc'),,,FALSE,1
Denhamblythe,DENHAMBLYTHE,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Denham-Blythe Company, Inc.')",,,FALSE,1
Dennis Group,DENNIS GROUP,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'The Dennis Group, Llc')",,,FALSE,1
Dependable Supply Chain Services,DEPENDABLE SUPPLY CHAIN SERVICES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Dependable Supply Chain Services'),,,FALSE,1
Det Beverages,DET BEVERAGES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Det Beverages Llc'),,,FALSE,1
Dex Imaging,DEX IMAGING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Dex Imaging'),,,FALSE,1
Dhl,DHL,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Dhl'),,,TRUE,8
Digital Futures Office 2,DIGITAL FUTURES OFFICE 2,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Digital Futures Office 2 Llc'),,,FALSE,1
Director of Choice Grants Tennesse Department of Education,DIRECTOR OF CHOICE GRANTS TENNESSE DEPARTMENT OF EDUCATION,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Director Of Choice Grants Tennesse Department Of Education'),,,FALSE,1
Distribution International,DISTRIBUTION INTERNATIONAL,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Distribution International'),,,FALSE,1
Diversified Gas and Oil,DIVERSIFIED GAS AND OIL,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Diversified Gas & Oil'),,,FALSE,1
Dixon Bayco,DIXON BAYCO,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Dixon Bayco'),,,FALSE,1
Dnu IN Motion Orthopaedics,DNU IN MOTION ORTHOPAEDICS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Dnu In Motion Orthopaedics'),,,FALSE,1
Dnu Lifetime Products,DNU LIFETIME PRODUCTS,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Dnu - Lifetime Products, Inc.')",,,FALSE,1
Do It Right Excavating,DO IT RIGHT EXCAVATING,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Do It Right Excavating, Llc')",,,FALSE,1
Do Not Use,DO NOT USE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Do Not Use'),,,FALSE,1
Dole Fresh Vegetables,DOLE FRESH VEGETABLES,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Dole Fresh Vegetables, Inc.')",,,FALSE,1
Domestic Uniform Rental,DOMESTIC UNIFORM RENTAL,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Domestic Uniform Rental'),,,FALSE,1
Dominican Fathers Province of St Joseph,DOMINICAN FATHERS PROVINCE OF ST JOSEPH,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Dominican Fathers Province Of St Joseph'),,,FALSE,1
Donaldson,DONALDSON,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Donaldson Company, Inc.')",,,FALSE,1
Dorman Products,DORMAN PRODUCTS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Dorman Products'),,,FALSE,1
Doug Newberry,DOUG NEWBERRY,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Doug Newberry'),,,FALSE,1
Downtime Rebuild,DOWNTIME REBUILD,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Downtime Rebuild'),,,FALSE,1
Dpsg,DPSG,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Dpsg'),,,FALSE,1
Dr Eli Karam Phd,DR ELI KARAM PHD,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Dr Eli Karam  Phd'),,,FALSE,1
Dr Monica Newby,DR MONICA NEWBY,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Dr. Monica Newby'),,,FALSE,1
Dr Newby,DR NEWBY,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Dr Newby'),,,FALSE,1
Dream Logistics,DREAM LOGISTICS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Dream Logistics'),,,FALSE,1
Dugan and Meyers,DUGAN AND MEYERS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Dugan & Meyers'),,,FALSE,1
Dunnhumby,DUNNHUMBY,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Dunnhumby'),,,FALSE,1
Duro Dyne,DURO DYNE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Duro Dyne Corp'),,,FALSE,1
E Beam,E BEAM,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'E Beam'),,,FALSE,1
Eagle Composites,EAGLE COMPOSITES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Eagle Composites'),,,FALSE,1
Eastway Supplies,EASTWAY SUPPLIES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Eastway Supplies Inc'),,,FALSE,1
Ebay Enterprise,EBAY ENTERPRISE,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Ebay Enterprise, Inc')",,,FALSE,1
Eby Brown,EBY BROWN,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Eby Brown'),,,TRUE,2
Ec Shaw,EC SHAW,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'E.C. Shaw'),,,FALSE,1
Ecl Corbin Dba the Mint Gaming Hall,ECL CORBIN DBA THE MINT GAMING HALL,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ecl Corbin Llc Dba The Mint Gaming Hall'),,,FALSE,1
Eco Tec Engineering,ECO TEC ENGINEERING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Eco Tec Engineering'),,,FALSE,1
Ed Bullard,ED BULLARD,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'E.D. Bullard Co.'),,,FALSE,1
Edfinancial Services Billing,EDFINANCIAL SERVICES BILLING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Edfinancial Services - Billing'),,,FALSE,1
Egc,EGC,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'E.G.C. Corporation'),,,FALSE,1
Ei Ceramics,EI CERAMICS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ei Ceramics Llc'),,,FALSE,1
Element Materials Technology,ELEMENT MATERIALS TECHNOLOGY,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Element Materials Technology'),,,FALSE,1
Elitaire,ELITAIRE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Elitaire'),,,FALSE,1
Ellison Technologies,ELLISON TECHNOLOGIES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ellison Technologies'),,,FALSE,1
Elmington Capital Group,ELMINGTON CAPITAL GROUP,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Elmington Capital Group'),,,FALSE,1
Embassy Suites Charleston,EMBASSY SUITES CHARLESTON,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Embassy Suites Charleston'),,,FALSE,1
Embraer Aircraft Maintenance,EMBRAER AIRCRAFT MAINTENANCE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Embraer Aircraft Maintenance'),,,FALSE,1
Emcor Facility Services,EMCOR FACILITY SERVICES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Emcor Facility Services'),,,FALSE,1
Emergency Radio Services,EMERGENCY RADIO SERVICES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Emergency Radio Services'),,,FALSE,1
Emerson Hermetic Motor,EMERSON HERMETIC MOTOR,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Emerson Hermetic Motor'),,,FALSE,1
Emj,EMJ,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Emj Corporation'),,,FALSE,1
Employers Resource Association,EMPLOYERS RESOURCE ASSOCIATION,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Employers Resource Association'),,,FALSE,1
Enable Injections,ENABLE INJECTIONS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Enable Injections'),,,FALSE,1
Endress and Hauser,ENDRESS AND HAUSER,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Endress & Hauser, Inc.')",,,TRUE,2
Energy Optimizers USA,ENERGY OPTIMIZERS USA,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Energy Optimizers, Usa')",,,FALSE,1
Energy Solutionsduratek,ENERGY SOLUTIONSDURATEK,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Energy Solutions/Duratek, Inc.')",,,FALSE,1
Energy Systems Group,ENERGY SYSTEMS GROUP,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Energy Systems Group'),,,FALSE,1
Enprotec,ENPROTEC,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Enprotec'),,,FALSE,1
Environmental Air Products,ENVIRONMENTAL AIR PRODUCTS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Environmental Air Products'),,,FALSE,1
Envisionaire,ENVISIONAIRE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Envisionaire'),,,FALSE,1
Enzo Building and Design,ENZO BUILDING AND DESIGN,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Enzo Building & Design'),,,TRUE,3
