Customer Key,Customer Name,Address1,City,State,Zip,Project Revenue,Service Contract Revenue,T&M Revenue,Total Revenue
CN992334SERV_GP,"45NINETY CONSTRUCTION, INC",5533 FAIR LANE,Cincinnati,OH,45227,$205254,,$40816,$246070
IN990440SERV_GP,502 FLETCHER AVE LLC,PO BOX 706,DANVILLE,IN,46122,$136900,,,$136900
CN992127SERV_GP,513 PROPERTY MANAGEMENT,537 PETE ROSE WAY,Cincinnati,OH,45202,,,$602,$602
IN990273SERV_GP,56 STREET LLC,9105 E 56 STREET LLC,Indianapolis,IN,46216,$3930,$3600,$665,$8195
TN991242SERV_GP,625 MARKET STREET,C/O TROTTER INCORPORATED,KNOXVILLE,TN,37902,$5968,$13650,$31751,$51369
IN990246SERV_GP,8200 HAVERSTICK LLC C/O JLL,8200 HAVERSTICK RD,Indianapolis,IN,46240,,$12888,,$12888
TN991662SERV_GP,93 PALLADIUM WAY PROPERTY LLC,C/O DIVARIS PROPERTY MANAGMENET CORP,MCLEAN,VA,22102,$909901,$464621,$213704,$1588226
IN990522SERV_GP,9998 EAST 121ST STREET,100 MATSONFORD ROAD,RADNOR,PA,19087,,,$1522,$1522
CN992110SERV_GP,A CHILDS HOPE INT'L,2430 E KEMPER ROAD,Cincinnati,OH,45241,,,$842,$842
AT REDEVELOPMECH_GP,"A T REDEVELOPMENT COMPANY, LLC",5375 Medpace Way,Cincinnati,OH,45227,$10326,,,$10326
AL MILLERMECH_GP,A.L. Miller Plumbing Inc.,609 Nordyke Road,Cincinnati,OH,45255,$87635,,,$87635
NV00108SERV_GP,A.O. SMITH WATER PRODUCTS COMPANY,500 TENNESSEE PKWY,Ashland City,TN,37015,$91631,$318204,$40475,$450311
CN992062SERV_GP,ABB OPTICAL GROUP,12301 NORTHWEST 39TH ST,CORAL SPRINGS,FL,33065,,,$23688,$23688
LX990368SERV_GP,ABC AUTOMOTIVE SYSTEMS INC,145 CORPORATE DR,LONDON,KY,40741,,,$6255,$6255
TN991418SERV_GP,ABLOOM FLORIST,P.O. BOX 11144,KNOXVILLE,TN,37939,,,$5353,$5353
CN991906SERV_GP,ABSOLUTE MACHINE TOOLS,7944 INNOVATION WAY,Mason,OH,45040,$81314,$18443,$36837,$136594
IN990292SERV_GP,ABSOLUTE VALUE MANAGEMENT,1111 EAST PUTNAM AVE,RIVERSIDE,CT,06878,,$12710,$5213,$17923
LV990433SERV_GP,ABSOLUTE VALUE MANAGEMENT,1111 EAST PUTNAM AVE,RIVERSIDE,CT,06878,,$5856,$6232,$12088
TN991439SERV_GP,ACCELLA TIRE FILL SYSTEMS,ATTN: AP,CARLISLE,PA,17013,,$41418,$38808,$80226
TN992163SERV_GP,ACCENTURE LLP,1965 HAWKS LANDING,Louisville,TN,37777,,$9713,$28370,$38083
IN990319SERV_GP,ACCENTURE LLP,500 W MADISON ST,CHICAGO,IL,60661,,$2200,$385,$2585
CN992211SERV_GP,ACCUMET SPECIALTY METALS INC.,5188 DUFF DRIVE,WEST CHESTER TOWNSHIP,OH,45246,,,$1927,$1927
ACCURATEMECH_GP,Accurate Mechanical Solutions,7702 Jason Ct,Middletown,OH,45044,$22669,,,$22669
DY991126SERV_GP,ACTIVATE GAMES,PO BOX 1627,LEXINGTON,KY,40588,,$3392,,$3392
ADAIR COUNTYMECH_GP,Adair County Fiscal Court,424 Public Square,Columbia,KY,42728,$351744,,,$351744
LX990293SERV_GP,ADAIR COUNTY JAIL,204 GREENSBURG ST,Columbia,KY,42728,$6949,,$37141,$44090
CN992253SERV_GP,ADAMS COUNTY REGIONAL MEDICAL CENTER,230 MEDICAL CENTER DR,SEAMAN,OH,45679,$18448,$85356,$77113,$180917
ADAMS COUNTYMECH_GP,ADAMS COUNTY/OHIO VALLEY SCHOOL,549 LLYOD RD,WEST UNION,OH,43693,$1999729,,,$1999729
"ADAMS, DOUGMECH_GP","ADAMS, DOUG",6928 MIAMI BLUFF,MARIEMONT,OH,45227,$266,,,$266
LX990465SERV_GP,ADDICTION RECOVERY CARE,PO BOX 726,LOUISA,KY,41230,,,$2879,$2879
LX990471SERV_GP,ADKEV INC,664 S IROQUOIS ST PO BOX 390,GOODLAND,IN,47948,,,$422,$422
TN992228SERV_GP,"ADMAN ELECTRIC, INC",P.O. BOX 3069,CHATTANOOGA,TN,37404,,,$2082,$2082
IN990364SERV_GP,ADVANCED AGRILYTICS,1023 MARKET ST,Indianapolis,IN,46202,$5080,$9462,$3740,$18282
ADVANCED INDUSTMECH_GP,"ADVANCED INDUSTRIAL MANAGMENT, INC.",998 NANDINO BLVD,LEXINGTON,KY,40511,$811976,,,$811976
TN992112SERV_GP,ADVANCED LABLEWORX INC,1006 LARSON DR,OAK RIDGE,TN,37830,$123568,,$5054,$128622
ADVANTAGEENGINMECH_GP,ADVANTAGE ENGINEERING,525 E. STOP 18 ROAD,GREENWOOD,IN,46142,$8461,,,$8461
CN992111SERV_GP,AEGIS PROTECTIVE SERVICES,3033 ROBERTSON AVE,Cincinnati,OH,45209,$3461,,$1948,$5409
IN990410SERV_GP,AEL-SPAN,6032 GATEWAY DR,Plainfield,IN,46168,,,$1316,$1316
CN990200SERV_GP,AERO-BLAST,11019 MOSTELLER ROAD,Cincinnati,OH,45241,$12416,$7632,$13377,$33425
DY991111SERV_GP,AEROSPACE LUBRICANTS INC,1600 GEORGESVILLE RD,Columbus,OH,43228,,,$16310,$16310
DY991123SERV_GP,AESTHETIC EYE OCULOPLASTIC SURGERY,10 REMICK BLVD,SPRINGBORO,OH,45066,$60489,,$742,$61231
TN991883SERV_GP,AFC URGENT CARE,"","","","",,$16174,$15249,$31423
LX990334SERV_GP,AFFORD A VET - PASADENA,185 PASADENA DR STE 115,LEXINGTON,KY,40503,,,$1344,$1344
LX990333SERV_GP,AFFORD A VET - RICHMOND RD,3101 RICHMOND RD STE 306,LEXINGTON,KY,40509,,,$4659,$4659
TN991753SERV_GP,AFFORDABLE DENTURES,PO BOX 938,LENOIR CITY,TN,37771,,,$1134,$1134
AFFORDABLESERVIMECH_GP,AFFORDABLE SERVICE SOLUTIONS,PO BOX 627,RICHMOND,KY,40476,$6520,,,$6520
CN992331SERV_GP,AG STONES,8550 SEWARD RD STE 100,FAIRFIELD,OH,45011,,,$1835,$1835
IN990270SERV_GP,AGELLAN COMMERCIAL REIT,2151 AIRWEST BLVD,Plainfield,IN,46168,,$1614,$697,$2311
IN990393SERV_GP,AGREE REALTY CORPORATION,32301 WOODWARD AVE,Royal Oak,MI,48073,,,$5802,$5802
NV00151SERV_GP,AHC CLARKSVILLE,900 PROFESSIONAL PARK DR,CLARKSVILLE,TN,37040,,,$1729,$1729
CN991511SERV_GP,AICHOLTZ LLC,8289 JORDAN ROAD,Cleves,OH,45002,$717710,$93192,$162326,$973228
CN992148SERV_GP,AIGC SOLUTIONS,2810 E TRINITY MILLS RD 209-242,Carrollton,TX,75006,,,$392,$392
DY991010SERV_GP,AIR ENERGY,4790 WEST 73RD STREET,Indianapolis,INDIANA,46268,,,$1985,$1985
AIR ENERGYMECH_GP,AIR ENERGY SYSTEMS,4790 WEST 73RD ST,Indianapolis,IN,46268,$72095,,,$72095
AIR FORCE ONEMECH_GP,"Air Force one, Inc.",5810 Shier Rings Rd,Dublin,OH,43016,$635,,,$635
LX950098SERV_GP,AIR GAS,PO BOX 9219,Marietta,GA,30065,,$9246,$1191,$10437
LX990301SERV_GP,AISIN AUTOMOTIVE,4870 EAST STATE HIGHWAY 552,LONDON,KY,40744,$284442,,$2497,$286939
NV00103SERV_GP,AISIN WORLD CORP OF AMERICA,8560 CENTREPOINTE WAY,LA VERGNE,TN,37806,,$7252,$828,$8080
AJKMECH_GP,"AJK Management, Inc.",2690 Madison Rd,"Cincinnati,",OH,45206,$56454,,,$56454
AKERSMECH_GP,Akers Packaging,2820 Lefferson Rd,Middletown,OH,45042-0610,$101326,,,$101326
AL NEYERMECH_GP,"AL. NEYER, LLC",302 W. THIRD STREET,Cincinnati,OH,45202,$13720713,,,$13720713
ALBA MANUFACTURMECH_GP,"ALBA MANUFACTURING, INC.",8950 SEWARD RD,FAIRFIELD,OH,45011,$32480,,,$32480
ALBERT HIGLEYMECH_GP,Albert M. Higley Co.,2926 Chester Ave,Cleveland,OH,44114,$1101663,,,$1101663
TN991254SERV_GP,ALEC BLAINE,9223 COLCHESTER RIDGE,KNOXVILLE,TN,37922,,,$3246,$3246
IN990472SERV_GP,ALHUDA FOUNDATION,12213 LANTERN ROAD,FISHERS,IN,46038,,$18605,$3641,$22246
DY991063SERV_GP,ALI INDUSTRIES INC.,747 E XENIA DRIVE,FAIRBORN,OH,45324,,,$1820,$1820
TN992196SERV_GP,ALL ELEVEN C/O NAI,255 N PETERS RD,KNOXVILLE,TN,37923,$24365,$7282,$3381,$35027
ALL OCCASIONSMECH_GP,ALL OCCASIONS EQUIP. RENTALS,10629 Reading Rd,Cincinnati,OH,45241,$95984,,,$95984
IN990431SERV_GP,ALL PRO COMMERCIAL SERVICES,7604 BAKER BLVD,RICHLAND HILLS,TX,76118,,,$709,$709
CN991496SERV_GP,ALL PRO PARKING,1123 SYCAMORE ST,Cincinnati,OH,45202,$2715,$7592,$2013,$12320
TN992230SERV_GP,ALLIANCE TECHNICAL GROUP LLC,255 GRANT ST SE,DECATUR,AL,35601,,$6279,,$6279
CN991912SERV_GP,ALLIED CRAWFORD (CINCINNATI),213 INDUSTRIAL DR,Franklin,OH,45005,,$10031,$7090,$17121
CN991970SERV_GP,ALLIED SUPPLY,1100 E MONUMENT ST,Dayton,OH,45402,,,$10741,$10741
ALLIED SUPPLYMECH_GP,ALLIED SUPPLY COMPANY,1100 E MONUMENT STREET,Dayton,OH,45402,$81150,,,$81150
LX990385SERV_GP,ALLISON ABRASIVES,PO BOX 192,LANCASTER,KY,40444,,,$522,$522
IN990258SERV_GP,ALO PROPERTY MANAGEMENT,9075 N MERIDIAN ST,Indianapolis,IN,46260,$142237,$75030,$96603,$313870
LV990536SERV_GP,ALOFT LOUISVILLE EAST,10700 WESTPORT RD,Louisville,KY,40241,,,$2944,$2944
DY991103SERV_GP,ALP-ARC I PARKWAY OPERATING COMPANY LLC,1600 MARKET ST,PHILADELPHIA,PA,19103,$2995,,$897,$3892
DY991106SERV_GP,ALP-ARC II CREEK RUN OPERATING COMPANY LLC,1600 MARKET ST,PHILADELPHIA,PA,19103,,,$1695,$1695
DY991105SERV_GP,ALP-ARC II DEARBORN PARK OPERATING COMPANY LLC,1600 MARKET ST,PHILADELPHIA,PA,19103,,$5972,$2415,$8387
DY991104SERV_GP,ALP-ARC II LAKEVIEW OPERATING COMPANY LLC,1600 MARKET ST,PHILADELPHIA,PA,19103,,$3825,$5793,$9618
DY991100SERV_GP,ALP-ARC II TULLER RIDGE OPERATING COMPANY LLC,1600 MARKET ST,PHILADELPHIA,PA,19103,$48140,$4467,$432,$53039
DY991102SERV_GP,ALP-ARC IV CITYGATE OPERATING COMPANY LLC,2120 CITYGATE DR,Columbus,OH,43219,,$5008,$1848,$6855
DY991101SERV_GP,"ALP-ARC IV CRAMER CREEK OPERATING COMPANY, LLC",1600 MARKET STREET,PHILADELPHIA,PA,19103,,$5826,$432,$6258
DY990987SERV_GP,ALPHA TECHNOLOGIES SERVICES INC,3767 ALPHA WAY,BELLINGHAM,WA,98226,$15832,,$510,$16342
LV990350SERV_GP,ALPHA TECHNOLOGIES SERVICES INC,3767 ALPHA WAY,BELLINGHAM,WA,98226,$147922,$495222,$662766,$1305910
WV990246SERV_GP,ALPHA TECHNOLOGIES SERVICES INC,3767 ALPHA WAY,BELLINGHAM,WA,98226,,$35792,$26205,$61997
DY990973SERV_GP,ALPLA INC.,289 HIGHWAY 155 SOUTH,MCDONOUGH,GA,30253,,$17992,$12796,$30788
ALSTOMMECH_GP,ALSTOM,1500 Jamike Ave,Erlanger,KY,41018,$31843,,,$31843
CN992159SERV_GP,ALT & WITZIG ENGINEERING,4105 W 99TH STREET,CARMEL,IN,46032,,,$3457,$3457
CN990124SERV_GP,ALT & WITZIG ENGINEERING,6205 SCHUMACHER PARK DR,WEST CHESTER,OH,45069,,$4183,$2074,$6257
ALTAMECH_GP,"Alta Refrigeration, Inc.",403 Dividend Dr,Peachtree City,GA,30269,$41273,,,$41273
CN940085SERV_GP,AMANO CINCINNATI INC.,29J COMMERCE WAY,TOTOWA,NJ,07512,$29326,$6747,$35655,$71728
LX990388SERV_GP,AMAZON CUSTOMER SERVICE,1919 ROLLING HILLS LN,Winchester,KY,40391,$50942,,,$50942
CN992042SERV_GP,"AMAZON DATA SERVICES, INC.",A/P NON-INVENTORY,SEATTLE,WA,98109,$77062,$161013,$9134,$247209
AMAZON.COMMECH_GP,AMAZON.COM,1155 WORLDWIDE BLVD,Hebron,KY,41048,$8988,,,$8988
AMAZONMECH_GP,AMAZON.COM SERVICES LLC,410 TERRY AVENUE NORTH,SEATTLE,WA,98109,$5650,,,$5650
WV990109SERV_GP,AMAZON.COM SERVICES LLC,HTS3 AMAZON WV CS,HUNTINGTON,WV,25701,$175000,$5906,$0,$180906
IN990187SERV_GP,AMCOR RIGID PLASTICS USA INC,SOUTH HIGHWAY M-52,MANCHESTER,MI,48158,$126270,$120700,$18570,$265540
IN990397SERV_GP,AMCOR RIGIDS C/O ARAMARK GBS FACILITY OPERATIONS CENTER,5880 NOLENSVILLE PIKE,NASHVILLE,TN,37211,$289588,$948526,$217353,$1455467
AMERESCOMECH_GP,AMERESCO,8900 KEYSTONE CROSSING,Indianapolis,IN,46240,$1988633,,,$1988633
LV990351SERV_GP,AMERICAN FUJI SEAL INC,1051 BLOOMFIELD RD,BARDSTOWN,KY,40004,$22370,$130424,$68613,$221407
LX990462SERV_GP,AMERICAN GREETINGS CORPORATION,ONE AMERICAN BLVD,WESTLAKE,OH,44145,$567088,,$2570,$569658
AME001SERV_GP,American Hermetic,248 Hermitage Avenue,NASHVILLE,TN,37210,,,$2842,$2842
TN992139SERV_GP,AMERICAN HOUSE HALLS,7521 ANDERSONVILLE PIKE,KNOXVILLE,TN,37938,,,$9807,$9807
CN991108SERV_GP,AMERICAN MORTGAGE,11503 SPRINGFIELD PIKE,Cincinnati,OH,45246,$14925,$9914,$14228,$39067
IN990328SERV_GP,AMERICAN MORTGAGE SERVICE COMPANY,11503 SPRINGFIELD PIKE,Cincinnati,OH,45246,,$2095,$0,$2095
CN992145SERV_GP,AMERICAN RED CROSS,2111 DANA AVE,Cincinnati,OH,45207,$12229,,$4487,$16716
DY991045SERV_GP,AMERICAN REGENT,5 RAMSEY RD,SHIRLEY,NY,11967,$113712,$851563,$163629,$1128904
IN990363SERV_GP,AMERICAN SOCIETY FOR CLINICAL PATHOLOGY,7750 ZIONSVILLE RD,Indianapolis,IN,46268,,$2450,$640,$3090
DY991139SERV_GP,AMERICAN STANDARD,6600 PORT RD,GROVEPORT,OH,43125,,,$12021,$12021
TN991469SERV_GP,AMERICA'S COLLECTIBLES NETWORK,9600 PARKSIDE DR,KNOXVILLE,TN,37922,$39231,$1343085,$31102,$1413417
AMERIMEDMECH_GP,AMERIMED,9961 CINCINNATI DAYTON RD,WEST CHESTER,OH,45069,$13408,,,$13408
CN992267SERV_GP,AMERIMED,9961 CINCYDAY RD,WEST CHESTER,OH,45069,,$1852,$3154,$5005
IN990372SERV_GP,AMERIPLEX 2 LLC C/O JONES LANG LASALLE AMERICAS INC,8900 KEYSTONE CROSSING STE 1150,Indianapolis,IN,46240,,,$2289,$2289
NV15074SERV_GP,AMFINE CHEMICAL CORPORATION,6805 JOHN RIVERS RD,HOPKINSVILLE,KY,42240,,$12984,$10384,$23368
LX990479SERV_GP,AMK SERVICES LLC,9291 CROUSE WILLISON RD,JOHNSTON,OH,43031,,$6845,$11242,$18086
LV990473SERV_GP,AMMEGA US INC DBA MIDWEST INDUSTRIAL RUBBER,10431 MIDWEST INDUSTRIAL DR,St Louis,MO,63132,,,$1955,$1955
TN991940SERV_GP,ANALYSIS AND MEASUREMENT SERVICES CORPORATION,9119 CROSS PARK DR,KNOXVILLE,TN,37923,,$3800,,$3800
CN992363SERV_GP,ANCRA CARGO,1655 WORLDWIDE BLVD,Hebron,KY,41048,,,$432,$432
CN992050SERV_GP,ANCRA CARGO,315 SHORLAND DR,WALTON,KY,41094,,$2353,$3430,$5783
ANDERSONMECH_GP,ANDERSON COUNTY FISCAL COURT,137 SOUTH MAIN STREET,LAWRENCEBURG,KY,40342,$1671076,,,$1671076
NV00117SERV_GP,ANDREW KINTZ,513 SKYVIEW DRIVE,NASHVILLE,TN,37206,$5077,,$353,$5430
LV990485SERV_GP,ANDY LINDSEY,1017 PARK STREET,BOWLING GREEN,KY,42101,,,$1458,$1458
LV990500SERV_GP,ANKAA GLOBAL LOGISTICS,2400 SW 145TH AVE STE 300,MIRAMAR,FL,33027,,$20682,$8408,$29090
TN991722SERV_GP,ANN SCHAAD,7129 HICKORY HILLS,KNOXVILLE,TN,37919,,,$2760,$2760
DY991157SERV_GP,ANNUNCIATION GREEK ORTHODOX CHURCH,500 BELMONTE PARK N,Dayton,OH,45405,$26750,,,$26750
DY991021SERV_GP,ANSON LOGISTICS ASSETS LLC,325 JOHN H. MCCONNELL LBVD SUITE 450,Columbus,OH,43215,,$11617,$3312,$14929
ANSWERSINGENESIMECH_GP,"ANSWERS IN GENESIS OF KY, INC.",2800 BULLITTSBURG CHURCH RD,PETERSBURG,KY,41080,$135062,,,$135062
CN991945SERV_GP,ANYTIME FITNESS,1920 DECLARATION DR,INDEPENDENCE,KY,41051,,$3681,$6480,$10161
CN991455SERV_GP,AP TECH GROUP,5130 RIALTO ROAD,WEST CHESTER,OH,45069,$16086,$13317,$39847,$69250
CN992036SERV_GP,AQUISENSE,4400 OLYMPIC BLVD,Erlanger,KY,41018,,$5027,$4354,$9381
DY991113SERV_GP,ARAMARK GBS,5880 NOLENSVILLE PIKE,NASHVILLE,TN,37221,$25908,$8807,$12192,$46906
ARCMECH_GP,ARC,310 SPRING STREET,JEFFERSONVILLE,IN,47130,$596835,,,$596835
CN992205SERV_GP,ARCHDIOCESE OF CINCINNATI,100 E 8TH STREET,Cincinnati,Ohio,45202,,,$422,$422
ARCHDIOCESE CINMECH_GP,ARCHDIOCESES OF CINCINNATI,"",Cincinnati,OH,45202,$10012,,,$10012
ARCOMECH_GP,"Arco Design Build Midwest, Inc.",325 S. Alabama Street,Indianapolis,IN,46204,$1905329,,,$1905329
ARCOMURRAYMECH_GP,ARCO MURRAY NATIONAL CONST. CO. INC.,3113 WOODCREEK DRIVE,DOWNER GROVE,IL,60515,$5235,,,$5235
ARGOSY CASINOMECH_GP,ARGOSY CASINO HOTEL,777 ARGOSY PARKWAY,LAWRENCEBURG,IN,47025,$13936,,,$13936
TN992032SERV_GP,ARK LLC - BROOKVALE C/O AVISON YOUNG,PO BOX 36901,CHARLOTTE,NC,27236,$141364,$67707,$67991,$277062
CN992147SERV_GP,ARKU,7251 EAST KEMPER RD,Cincinnati,OH,45249,,$10478,$7529,$18007
LV990436SERV_GP,ARMSTRONG RELOCATION LOUISVILLE,1750 RESEARCH DR,Louisville,KY,40299,,$6183,$1672,$7855
WV990284SERV_GP,ARMSTRONG UTILITIES,311 MAIN STREET,HAMLIN,WV,25523,$8048,,$19049,$27097
LX990505SERV_GP,ARROW DENTAL,105 SPRUCE ST,LEXINGTON,KY,40507,,,$1564,$1564
ARROW WINEMECH_GP,ARROW WINE & SPIRITS,2950 FAR HILLS AVE,Dayton,OH,45419,$1355,,,$1355
CN992207SERV_GP,ARROW WINE AND SPIRITS MASON,6061 RADIO WAY,Mason,OH,45040,,$4557,$3121,$7678
LV990154SERV_GP,ART GEISSLER,10531A TIMBERWOOD CIRCLE,Louisville,KY,40223,,$1373,,$1373
TN992081SERV_GP,ARTAZN LLC,2500 OLD STAGE RD,Greenville,TN,37745,$164308,$175443,$201162,$540912
ARTISANMECH_GP,Artisan Mechanical,11567 Goldcoast Dr.,Cincinnati,OH,45249,$122669,,,$122669
CN992128SERV_GP,ART'S RENTAL,11916 TRAMWAY DR,Cincinnati,OH,45241,,,$477,$477
LV990367SERV_GP,ARVATO DIGITAL USA LLC C/O ACCOUNTS PAYABLE,PO BOX 801270,SANTA CLARITA,CA,91380-1270,$348310,$226693,$159687,$734689
TN992172SERV_GP,ASHBUSTERS CHIMNEY SERVICE,3500 WORKMAN ROAD SUITE 104,KNOXVILLE,TN,37921,,,$362,$362
LX9900113SERV_GP,ASHLAND AVENUE BAPTIST CHURCH,483 WEST REYNOLDS ROAD,LEXINGTON,KY,40503,$100113,$26233,$29079,$155425
WV990307SERV_GP,ASHLAND CREDIT UNION,305 MARTIN LUTHER KING JR BLVD,ASHLAND,KY,41101,,$3316,$7418,$10734
NV15106SERV_GP,ASPEN GROVE-THE STANTON GROUP,PO BOX 993,BRENTWOOD,TN,37024,,$197,$0,$197
LX950226SERV_GP,ASPHALT INSTITUTE,2696 RESEARCH PARK DRIVE,LEXINGTON,KY,40511,,$11190,,$11190
TN991946SERV_GP,"AT&T SERVICES, INC.",308 S AKARD STREET,DALLAS,TX,75202,$7984,,,$7984
ATCHISON HELLERMECH_GP,ATCHISON HELLER CONSTRUCTION CO,3399 TATES CREEK ROAD,LEXINGTON,KY,40502,$468,,,$468
ATECK CORPMECH_GP,ATECK CORPORATION,432 WEST MAIN STREET,WARSAW,KY,41095,$253241,,,$253241
CN992238SERV_GP,ATHENAEUM OF OHIO/MT. ST. MARY'S SEMINARY,6616 BEECHMONT AVE,Cincinnati,OH,45230,$71199,,$23863,$95062
CN991568SERV_GP,ATKINS & PEARCE,1 BRAID WAY,COVINGTON,KY,41017,$57346,$14648,$2893,$74888
ATKINS STANGMECH_GP,Atkins & Stang,1031 Meta Dr,Cincinnati,OH,45237,$56945,,,$56945
CN991873SERV_GP,ATLAS AIR INC,C/O IPAYABLES,OREM,UT,84059,,,$27124,$27124
ATLAS AIRMECH_GP,"ATLAS AIR, INC",2000 WESTCHESTER AVE,PURCHASE,NY,10577,$5190,,,$5190
TN992207SERV_GP,ATRIUM LP C/O COMMERCIAL & INVESTMENTPROPERTIES,1225 E WEISGARBER RD #390,KNOXVILLE,TN,37909,$42360,,,$42360
TN991899SERV_GP,AUDI KNOXVILLE,9735 KINGSTON PIKE,KNOXVILLE,TN,37922,$39794,$20581,$14929,$75304
CN991226SERV_GP,AUGLAIZE COUNTY,"209 S. BLACKHOOF STREET, ROOM 201",WAPAKONETA,OH,45895,$208186,$368063,$32839,$609088
AUGLAIZE COMECH_GP,AUGLAIZE COUNTY COMMISSIONERS,209 S. BLACKHOOF STREET,WAPAKONETA,OH,45895-1972,$1600582,,,$1600582
TN992189SERV_GP,AURORA PROPERTIES LLC C/O AVISON YOUNG,630 S CONCORD ST,KNOXVILLE,TN,37919,$34674,$6910,$8009,$49593
DY990994SERV_GP,AUSTIN LANDING NORTH LLC,10100 INNOVATION DR,MIAMISBURG,OH,45342,$326661,$996332,$61966,$1384959
DY991020SERV_GP,"AUSTIN LANDING NORTH, LLC",71 SYDNEY AVE,DEAL,NJ,07723,,,$965,$965
LV990428SERV_GP,AUTO TRUCK GROUP,30 KINGBROOK PKWY,SIMPSONVILLE,KY,40067,$6347,$18915,$23720,$48982
CN992001SERV_GP,AUTOMOTIVE STEERING COLUMN LLC,7639 TURFWAY RD,Florence,KY,41042,$15693,$125347,$20206,$161246
CN991055SERV_GP,AVEDA MID AMERICA,C/O ACCOUNTS PAYABLE,BLANE,MN,55449,,$3549,$5270,$8819
LV990463SERV_GP,AVENUES RECOVERY,211 BLVD OF THE AMERICAS,LAKEWOOD,NJ,08701,$16939,,,$16939
IN990469SERV_GP,AVI FOODSYSTEMS INC,2590 ELM ROAD,Warren,OH,44483,,$3525,$4260,$7785
AVIMECH_GP,"AVI Foodsystems, Inc.",2950 N. Elm Rd,Warren,OH,44483,$88400,,,$88400
TN992102SERV_GP,AVIS PHILLIPS,800 BRIXWORTH BLVD,KNOXVILLE,TN,37934,,,$1540,$1540
TN960672SERV_GP,AVISON YOUNG,PO BOX 36901,CHARLOTTE,NC,28236,,,$10111,$10111
NV00086SERV_GP,AVISON YOUNG - BILLING,700 12TH AVENUE S STE 200,NASHVILLE,TN,37203,$8267,$3818,$2282,$14367
IN990478SERV_GP,AZENTA US INC,200 SUMMIT DRIVE,BURINGTON,MA,01803,$143969,$181317,$20151,$345437
CN992016SERV_GP,AZZ GALVANIZING,4454 STEEL PLACE,Cincinnati,OH,45209,,$9782,$7732,$17513
TN991827SERV_GP,B&B PROPERTIES,800 OAK RIDGE TURNPIKE STE A-201,OAK RIDGE,TN,37830,$146964,$83698,$96494,$327156
DY991133SERV_GP,BABYLIST,521 EXCHANGE WAY,COMMERICAL POINT,OH,43116,,,$3499,$3499
BAE SYSTEMSMECH_GP,"BAE SYSTEMS, LLC",9113 LE SAINT DRIVE,FAIRFIELD,OH,45014,$330,,,$330
CN991599SERV_GP,"BAEOLOPHUS PARTNERS, LLC.",4 BIRDHAVEN LANE,Cincinnati,Ohio,45242,$44528,$32037,$39912,$116478
DY980007SERV_GP,BAKER CONSTRUCTION ENTERPRISES INC,900 N. GARVER ROAD,Monroe,OH,45050,$929730,$144178,$75613,$1149522
CN940029SERV_GP,BALDWIN BUILDING,655 EDEN PARK DRIVE,Cincinnati,OH,45202,,,$570,$570
BALFOUR BEATTYMECH_GP,"BALFOUR BEATTY CONSTRUCTION, LLC","1930 CAMDEN RD, SUITE 280",CHARLOTTE,NC,28203,$214530,,,$214530
CN991589SERV_GP,BALL CORPORATION,Accounts Payable,BROOMFIELD,CO,80038-0589,,$5141,$0,$5141
