Master Customer Name Canonical,Company Website,NAICS,Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Rationale,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome,Notes,Updated At
BATTLE GROUND ACADEMY,battlegroundacademy.org,611110,Private School,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
BAY GOV VIKING PARTNERS MANAGEMENT,vikingpartners.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
BC TERMINALS,cipknoxville.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
BDG PROPERTIES,,531120,Property Holding,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
BEARDEN HILL OFFICE PARTNERS,,531120,Office Property Entity,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
BELLARMINE UNIVERSITY,bellarmine.edu,611310,Private University,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
BEXLEY CITY SCHOOL DISTRICT,bexleyschools.org,611110,Public School District,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
BLOOMFIELDSCHON AND PARTNERS,bloomfieldschon.com,531312,Commercial Real Estate Developer,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
BLUE HOLDINGS,foundrycommercial.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
BOGHANI PROPERTIES,,531120,Real Estate Investment,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
BOONE COUNTY SCHOOLS,boonecountyboe.org,611110,Public School District,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
BOYLE COUNTY FISCAL COURT,boylecountyky.gov,921110,Local Government,Verified,,,Analyst,,2026-01-19 14:59:47,,,
BRAINTREE PROPERTIES,,531120,Property Holding,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
BROADWAY DEVELOPMENT 2001,,531120,Real Estate Development,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
BROOKS MANAGEMENT,,531312,Property Management,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
BUILDING MANAGEMENT PARTNERS,buildingmanagementpartners.com,561210,Facilities Support Services,Verified,,,Analyst,,2026-01-19 14:59:47,,,
BUTLER RURAL ELECTRIC COOPERATIVE,butlerrural.coop,221122,Electric Cooperative,Verified,,,Analyst,,2026-01-19 14:59:47,,,
C AND L PROPERTIES,,531120,Property Holding,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
C BANKS PROPERTY MANAGEMENT,,531312,Property Management,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
CABLEMASTER,cablemaster.com,423610,Electrical Apparatus Wholesaler,Verified,,,Analyst,,2026-01-19 14:59:47,,,
CAMPBELLSVILLE UNIVERSITY,campbellsville.edu,611310,Private University,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
CAPITAL COMMERCIAL REAL ESTATE,capitalrealestate.com,531210,Commercial Real Estate Brokerage,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
CARESOURCE MANAGEMENT GROUP,caresource.com,524114,Health Insurance,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
CARROLL COUNTY SCHOOL DISTRICT,carroll.kyschools.us,611110,Public School District,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
CFI PROPERTIES,,531120,Property Holding,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
CGM CAPITAL HOLDINGS,,531120,Real Estate Holding,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
CH FOREST PARK PARTNERS GP,ppmknox.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
CHAVEZ PROPERTIES,chavezproperties.com,531120,Parking & Real Estate Mgmt,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
CHEVY CHASE PLAZA,equity-management.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
CHRISTEL HOUSE ACADEMY,chschools.org,611110,Charter School Network,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
CINFAB,cinfab.com,238220,HVAC Fabrication,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
CITY OF NORTH COLLEGE HILL,northcollegehill.org,921110,Local Government,Verified,,,Analyst,,2026-01-19 14:59:47,,,
CLARK COUNTY SCHOOLS,clarkschools.net,611110,Public School District,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
COLLEGE OF BIBLICAL STUDIES,cbshouston.edu,611310,Private College,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
COLLEGE OF MT ST JOSEPH,msj.edu,611310,Private University,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
COLUMBUS CITY SCHOOLS,ccsoh.us,611110,Public School District,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
COMMERCIAL AND INVESTMENT PROPERTIES,cipknoxville.com,531312,Commercial Real Estate Developer,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
COMMERCIAL INVESTMENT PROPERTIES,cipknoxville.com,531312,Commercial Real Estate Developer,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
CORE5 INDUSTRIAL PARTNERS,c5ip.com,531312,Industrial Real Estate Developer,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
CORNERSTONE ACADEMY,lcstn.org,611110,Private Christian School,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
CORPORATE SQUARE LP,cipknoxville.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
CORPOREX DEVELOPEMEN AND CONSTMANAGEMENT,corporex.com,531312,Commercial Real Estate Developer,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
CORPOREX DEVELOPMENT SERVICES,corporex.com,531312,Commercial Real Estate Developer,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
CORPOREX MGMT AND LEASING,corporex.com,531312,Commercial Real Estate Developer,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
CPIII GP,cipknoxville.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
CREW HQ,alopg.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
CS LEASING,,531120,Real Estate Leasing,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
DAM HOLDINGS,damholdings.managebuilding.com,531311,Residential Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:20:03,,,2026-01-19 15:20:03
DAYTON BOARD OF EDUCATION,dps.k12.oh.us,611110,Public School District,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
DCP HOLDING,dentalcareplus.com,524114,Dental Insurance Provider,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
DCT PROPERTY MANAGEMENT,dtproperties.com,531311,Residential Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
DDC DOWELL SPRINGS,realtytrustgroup.com,531312,Healthcare Real Estate Mgmt,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
DENISION UNIVERSITY,denison.edu,611310,Private University,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
DERMATOLOGY ASSOC OF KY,haymakercompany.com,531312,Medical Office Property,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
DEVITT AND ASSOCIATES,devittassociates.com,531210,Commercial Real Estate Brokerage,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
DIVERSIFIED MANAGEMENT PLUS,diversifiedmanagementplus.com,531311,Residential Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
DSH AND ASSOCIATES,dshassociates.com,541330,Engineering & Construction,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
DUKE REALTY,prologis.com,531120,Industrial REIT,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
EAGLE DAYTON PROPERTIES,,531110,Residential Rental Property,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
EDISON STATE COMMUNITY COLLEGE,edisonohio.edu,611210,Community College,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
EQUITRANS LP,eqt.com,486210,Natural Gas Transmission,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
ERM REAL ESTATE,ermassoc.com,531210,Real Estate Services,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
EV BISHOFF,evbco.com,531120,Commercial Real Estate Owner,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
EXCALIBUR DEVELOPMENT,,531120,Real Estate Development,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
EXETER REALTY GROUP,eqtexeter.com,531120,Real Estate Investment,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
EXXCEL CONTRACT MANAGEMENT,exxcel.com,236220,Construction Management,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
FIRST HIGHLAND MANAGEMENT AND DEVELOPMENT,,531120,Real Estate Development,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
FITWORKS HOLDING,fitworks.com,713940,Fitness Center Chain,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
FLEMING COUNTY SCHOOLS,fleming.kyschools.us,611110,Public School District,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
FREEDHARDEMAN UNIVERSITY,fhu.edu,611310,Private University,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
FRITZ FARM RETAIL,fritzfarmlex.com,531120,Retail Center,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
GATEWAY HOLDINGS,,531120,Real Estate Holding,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
GC PARTNERS,,531120,Real Estate Partnership,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
GEORGETOWN COLLEGE,georgetowncollege.edu,611310,Private College,Verified,,,Analyst,1,2026-01-19 15:24:59,,,2026-01-19 15:24:59
GPCM LOCKERBIE PARTNERS,citimarkinc.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
GRANT COUNTY BOARD OF EDUCATION,grant.kyschools.us,611110,Public School District,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
GREEN HILLS OFFICE PARTNERS,brooksideproperties.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
GRIFFIN POWELL PROPERTIES,,531110,Residential Rental Property,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
GRUBB AND ELLIS MANAGEMENT SERVICES,,531312,Legacy Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
H AND H PROPERTIES,,531120,Property Holding,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
H AND W MANAGEMENT,hwhotels.com,721110,Hotel Management,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
HARRISON OH PARTNERS,,531120,Real Estate Partnership,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
HASFAM,ppmknox.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
HATCHER HILL PROPERTIES,hatcherhill.com,531312,Commercial Real Estate Developer,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
HENDERSONVILLE HF ASSETS,ppmknox.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
HH ASSOCIATES US,hhglobal.com,541810,Marketing Execution,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
HIFIVE DEVELOPMENT SERVICES,hifive.com,236220,Design-Build Construction,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
HIGHWOODS PROPERTIES,highwoods.com,531120,Office REIT,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
HILLCREST ELDERLY APARTMENTS,benchmarkgrp.com,623312,Senior Housing,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
HILLWOOD PROPERTIES,hillwood.com,531312,Real Estate Development,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
HOLROB JOHNSON CITY I,realtytrustgroup.com,531312,Healthcare Real Estate Mgmt,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
HOLROB SOUTHERN HOLDING GP,ppmknox.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
HOLROB SPUR GP,ppmknox.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
HOSNY PROPERTIES,,531110,Residential Rental Property,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
HUBER MANAGEMENT,hubermgt.com,531311,Residential Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
IMS INVESTORS MANAGEMENT SERVICE,,531312,Property Management,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
INGERSOLL-RAND,irco.com,333912,Industrial Machinery Mfg,Verified,,,Analyst,,2026-01-19 14:59:47,,,
INNATECH,innatech.com,336390,Manufacturing,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
ISM MANAGEMENT FOR OTN RETAIL FOUR,ismrem.com,531311,Residential Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
J AND B ROBERTS HOLDINGS,,531120,Real Estate Holding,Verified,,,Analyst,1,2026-01-19 15:31:02,,,2026-01-19 15:31:02
J AND J MANAGEMENT,jjmanagement.net,531311,Property Management,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
JA DOEPKER ASSOCIATES,jadoepkerassociates.com,541611,Management Consulting,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
JACKSON COUNTY BOARD OF EDUCATION,jackson.k12.wv.us,611110,Public School District,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
JESSIES LANDING CONDOMINIUM,towneproperties.com,531311,Condo Association Mgmt,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
JM SMUCKER,jmsmucker.com,311999,Food Manufacturing,Verified,,,Analyst,,2026-01-19 14:59:47,,,
KHDAR,neyermanagement.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
KIMCO REALTY,kimcorealty.com,531120,Retail REIT,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
LA QUINTA MANAGEMENT LLC,wyndhamhotels.com,721110,Hotel Management,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
LAKESIDE CENTRE REALTY PARTNERS,,531120,Real Estate Partnership,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
LEASING GROUP,,531120,Real Estate Leasing,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
LEXINGTON GREEN PARTNERS,lexingtongreen.com,531120,Retail Center,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
LEXINGTON PROFESSIONAL MANAGEMENT LLCL,,531311,Property Management,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
LOUISVILLE SEMINARY,lpts.edu,611310,Theological Seminary,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
LOUISVILLE TOWER PROPERTIES,,531120,Real Estate Holding,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
MADISON ACADEMY,madisonacademy.com,611110,Private School,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
MADISON COUNTY BOARD OF EDUCATION,madison.k12.ky.us,611110,Public School District,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
MADISON ST APARTMENTS,,531110,Residential Rental Property,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
MARYVILLE COLLEGE FACILITIES DEPT,maryvillecollege.edu,611310,Private College,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
MATANDY REALTY,matandysteel.com,531120,Industrial Property Holding,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
MATILDA DEVELOPMENT,,531120,Real Estate Development,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
MAYWEST,,531120,Investment Partnership,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
MEDICOUNT MANAGEMENT,medicount.com,561440,Medical Billing Services,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
MERCER COUNTY BOARD OF EDUCATION,mercer.k12.wv.us,611110,Public School District,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
MERCY ACADEMY,mercyacademy.com,611110,Private High School,Verified,,,Analyst,1,2026-01-19 15:46:39,,,2026-01-19 15:46:39
MERIDIAN MANAGEMENT,,531311,Property Management,Verified,,,Analyst,1,2026-01-19 15:54:29,,,2026-01-19 15:54:29
MIDDLE TENNEESSE STATE UNIVERSITY,mtsu.edu,611310,Public University,Verified,,,Analyst,1,2026-01-19 15:46:39,,,2026-01-19 15:46:39
MIDDLETOWN MANAGEMENT,middletownhotelmanagement.com,721110,Hotel Management,Verified,,,Analyst,1,2026-01-19 15:46:39,,,2026-01-19 15:46:39
MIG PARTNERS,avisonyoung.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:46:39,,,2026-01-19 15:46:39
MOBEJOE HOLDINGS,,531120,Real Estate Holding,Verified,,,Analyst,1,2026-01-19 15:46:39,,,2026-01-19 15:46:39
MODERNFOLD,modernfold.com,332322,Movable Walls Manufacturing,Verified,,,Analyst,1,2026-01-19 15:46:39,,,2026-01-19 15:46:39
MOUNTAINEER CHALLENGE ACADEMY SOUTH,wvchallenge.org,611110,Military School,Verified,,,Analyst,1,2026-01-19 15:46:39,,,2026-01-19 15:46:39
MT HOLDINGS,nainashville.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:35:49,,,2026-01-19 15:35:49
NORTH AMERICAN PROPERTIES CINCINNATI,naproperties.com,531312,Real Estate Development,Verified,,,Analyst,1,2026-01-19 15:46:39,,,2026-01-19 15:46:39
NORTH COLLEGE HILL CITY SCHOOLS,nchcityschools.org,611110,Public School District,Verified,,,Analyst,1,2026-01-19 15:46:39,,,2026-01-19 15:46:39
NSG BUILDING MANAGEMENT,nsg-inc.com,561720,Facilities Services,Verified,,,Analyst,1,2026-01-19 15:46:39,,,2026-01-19 15:46:39
NTH CYCLE HOLDINGS,nthcycle.com,333298,Battery Recycling Tech,Verified,,,Analyst,1,2026-01-19 15:46:39,,,2026-01-19 15:46:39
O AND M HOLDINGS,,531120,Real Estate Holding,Verified,,,Analyst,1,2026-01-19 15:46:39,,,2026-01-19 15:46:39
ONEIL AND ASSOCIATES,oneil.com,541330,Technical Documentation,Verified,,,Analyst,1,2026-01-19 15:46:39,,,2026-01-19 15:46:39
PERFORMANCE PLACE GROUP,,531120,Real Estate Partnership,Verified,,,Analyst,1,2026-01-19 15:46:39,,,2026-01-19 15:46:39
PHILLIPS MANAGEMENT AND SERVICES,,531311,Property Management,Verified,,,Analyst,1,2026-01-19 15:46:39,,,2026-01-19 15:46:39
PHYSICIANS REALTY TRUST,docreit.com,531120,Healthcare REIT,Verified,,,Analyst,1,2026-01-19 15:46:39,,,2026-01-19 15:46:39
PRINCETON PROPERTIES,,531110,Residential Rental Property,Verified,,,Analyst,1,2026-01-19 15:54:29,,,2026-01-19 15:54:29
PROLINE DEVELOPMENT DBA PROLINE TECHNOLOGY,prolinetechnology.net,541511,IT Solutions,Verified,,,Analyst,1,2026-01-19 15:46:39,,,2026-01-19 15:46:39
PRONOVA HOLDINGS,,531120,Real Estate Holding,Verified,,,Analyst,1,2026-01-19 15:46:39,,,2026-01-19 15:46:39
PROVIDENCE CHILDCARE AND PRESCHOOL,providenceccps.com,624410,Child Care Center,Verified,,,Analyst,1,2026-01-19 15:46:39,,,2026-01-19 15:46:39
PRUDENT VENTURES,hcrky.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:54:29,,,2026-01-19 15:54:29
PS BUSINESS MANAGEMENT,psbmgmt.com,541611,Business Management,Verified,,,Analyst,1,2026-01-19 15:54:29,,,2026-01-19 15:54:29
PYRAMIDS PARK PROPERTIES,kennmar.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:54:29,,,2026-01-19 15:54:29
QUANTUM INVESTMENT AND MANAGEMENT,,531311,Property Management,Verified,,,Analyst,1,2026-01-19 15:54:29,,,2026-01-19 15:54:29
R AND R PROPERTIES,rrproperties.com,531120,Real Estate Investment,Verified,,,Analyst,1,2026-01-19 15:54:29,,,2026-01-19 15:54:29
REAL ESTATE PLACE COUNCIL OF,,813990,Property Owners Association,Verified,,,Analyst,1,2026-01-19 15:54:29,,,2026-01-19 15:54:29
REAL ESTATE RESOURCES,reriwv.com,531210,Real Estate Services,Verified,,,Analyst,1,2026-01-19 15:54:29,,,2026-01-19 15:54:29
REGENCY PROPERTIES,regency-properties.com,531120,Commercial Real Estate Owner,Verified,,,Analyst,1,2026-01-19 15:54:29,,,2026-01-19 15:54:29
RESICOM DEVELOPMENT,,531120,Real Estate Development,Verified,,,Analyst,1,2026-01-19 15:54:29,,,2026-01-19 15:54:29
RG PROPERTIES,rgproperties.com,531120,Real Estate Development,Verified,,,Analyst,1,2026-01-19 15:54:29,,,2026-01-19 15:54:29
RICOR INVESTMENT MANAGEMENT,lee-associates.com,531210,Commercial Real Estate Brokerage,Verified,,,Analyst,1,2026-01-19 15:54:29,,,2026-01-19 15:54:29
RNS PROPERTIES,,531120,Real Estate Holding,Verified,,,Analyst,1,2026-01-19 15:54:29,,,2026-01-19 15:54:29
RNS PROPERTIES II,,531120,Real Estate Holding,Verified,,,Analyst,1,2026-01-19 15:54:29,,,2026-01-19 15:54:29
ROBERT G CAMPBELL AND ASSOCIATES,rgc-a.com,541330,Civil Engineering,Verified,,,Analyst,1,2026-01-19 15:54:29,,,2026-01-19 15:54:29
ROOKWOOD ENCORE APARTMENTS,onerookwood.com,531110,Residential Rental Property,Verified,,,Analyst,1,2026-01-19 15:54:29,,,2026-01-19 15:54:29
ROY JORGENSON ASSOCIATES,royjorgensen.com,541611,Facilities Maintenance Mgmt,Verified,,,Analyst,1,2026-01-19 15:54:29,,,2026-01-19 15:54:29
RRHIQ,,531120,Real Estate Holding,Verified,,,Analyst,1,2026-01-19 15:54:29,,,2026-01-19 15:54:29
SANDOR DEVELOPMENT,sandordev.com,531120,Retail Real Estate Development,Verified,,,Analyst,1,2026-01-19 15:54:29,,,2026-01-19 15:54:29
ST AGNES CHURCH,saintagnes.com,813110,Religious Organization,Verified,,,Analyst,,2026-01-19 14:59:47,,,
TARGET,target.com,452210,Department Store,Verified,,,Analyst,,2026-01-19 14:59:47,,,
TGT TRANSPORTATION,tgt-transport.com,484121,General Freight Trucking,Verified,,,Analyst,,2026-01-19 14:59:47,,,
THYSSENKRUPP BILSTEIN,bilstein.com,336330,Auto Parts Manufacturing,Verified,,,Analyst,,2026-01-19 14:59:47,,,
