Master Customer Name Canonical,Logo Domain,Logo Status,Attempt Count,Last Attempted At,Notes,Updated At,Hosted Logo URL
JEFFERSON COUNTY SCHOOLS,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/JEFFERSON_COUNTY_SCHOOLS.png
JESSAMINE COUNTY FISCAL COURT,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/JESSAMINE_COUNTY_FISCAL_COURT.png
JM SMUCKER,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/JM_SMUCKER.png
LAWRENCE COUNTY OH,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/LAWRENCE_COUNTY_OH.png
MADISON COUNTY FISCAL COURT,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/MADISON_COUNTY_FISCAL_COURT.png
MARY QUEEN OF THE HOLY ROSARY,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/MARY_QUEEN_OF_THE_HOLY_ROSARY.png
MORGAN COUNTY IN,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/MORGAN_COUNTY_IN.png
MORGAN FOODS,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/MORGAN_FOODS.png
OWEN COUNTY FISCAL COURT,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/OWEN_COUNTY_FISCAL_COURT.png
PICKAWAY COUNTY COMMISSIONERS,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/PICKAWAY_COUNTY_COMMISSIONERS.png
PIKE COUNTY FISCAL COURT,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/PIKE_COUNTY_FISCAL_COURT.png
POWELL COUNTY FISCAL COURT,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/POWELL_COUNTY_FISCAL_COURT.png
PULASKI COUNTY FISCAL COURT,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/PULASKI_COUNTY_FISCAL_COURT.png
PUTNAM COUNTY COMMISSIONERS,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/PUTNAM_COUNTY_COMMISSIONERS.png
ROBERT BOSCH AUTOMOTIVE,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/ROBERT_BOSCH_AUTOMOTIVE.svg
ROBERT BOSCH AUTOMOTIVE STEERING,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/ROBERT_BOSCH_AUTOMOTIVE_STEERING.svg
SYCAMORE COMMUNITY SCHOOLS,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/SYCAMORE_COMMUNITY_SCHOOLS.png
TIPPECANOE SCHOOL,,Hosted,0,,,2026-01-21 12:23:27,https://stgreen.blob.core.windows.net/logos/TIPPECANOE_SCHOOL.png
WAPAKONETA CITY SCHOOLS,,Hosted,0,,,2026-01-21 12:23:27,https://stgreen.blob.core.windows.net/logos/WAPAKONETA_CITY_SCHOOLS.png
WASHINGTON COUNTY COURTHOUSE,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/WASHINGTON_COUNTY_COURTHOUSE.png
WAYNE COUNTY GOVERNMENT,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/WAYNE_COUNTY_GOVERNMENT.png
WILSON COUNTY SCHOOLS,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/WILSON_COUNTY_SCHOOLS.png
WOODFORD COUNTY FISCAL COURT,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/WOODFORD_COUNTY_FISCAL_COURT.png
