Master Customer Name,Master Customer Name Canonical,Industrial Group,Industrial Group Source,Industry Detail,Industry Detail Source,NAICS,NAICS Raw,NAICS Source,NAICS Sector Code,NAICS Sector Title,NAICS Subsector Code,NAICS Subsector Title,NAICS Industry Group Code,NAICS Industry Group Title,NAICS Industry Code,NAICS Industry Title,NAICS National Industry Code,NAICS National Industry Title,Method,Status,Confidence,Rationale,Support Category,Support Category Source,Company Website,Company Website Source,Company Logo URL,Company Logo URL Source,Company Logo URL (Apistemic),Company Logo URL (Apistemic) Source,Company Logo URL (Logo.dev),Company Logo URL (Logo.dev) Source,Enrichment Status,Enrichment Rationale,IsMerge,MergeGroupSize
3665 Mallory Jv,3665 MALLORY JV,Commercial Real Estate,Master Override,JV property entity,Master Override,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,,,,,,,,,Deferred,,FALSE,1
3D Technical Services,3D TECHNICAL SERVICES,Construction,Master Override,Technical services (construction/controls?),Master Override,5413,5413,Master Override,54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5413,"Architectural, Engineering, and Related Services",,,,,Heuristic,Final,High,Verified enrichment updated: Company Website,Mechanical Contractor,Master Override,3-dtechnicalservices.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:3-dtechnicalservices.com,Computed from Company Website,https://img.logo.dev/3-dtechnicalservices.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
3LS Properties Chattanooga,3LS PROPERTIES CHATTANOOGA,Commercial Real Estate,Segmentation Logic,Healthcare Real Estate Mgmt,Verified Enrichment,531312,531312,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5313,Activities Related to Real Estate,53131,Real Estate Property Managers,531312,Nonresidential Property Managers,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,realtytrustgroup.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:realtytrustgroup.com,Computed from Company Website,https://img.logo.dev/realtytrustgroup.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
4000 Associates,4000 ASSOCIATES,Commercial Services,Segmentation Logic,Property Holding,Verified Enrichment,531120,531120,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,53112,Lessors of Nonresidential Buildings (except Miniwarehouses),531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Heuristic,,Low,"Verified enrichment updated: NAICS, Industry Detail",,,,,,,,,,,Verified,,FALSE,1
45NINETY Construction,45NINETY CONSTRUCTION,Construction,Segmentation Logic,Commercial Construction,Verified Enrichment,236220,236220,Verified Enrichment,23,Construction,236,Construction of Buildings,2362,Nonresidential Building Construction,23622,Commercial and Institutional Building Construction,236220,Commercial and Institutional Building Construction,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,45ninety.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:45ninety.com,Computed from Company Website,https://img.logo.dev/45ninety.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,TRUE,2
4J Redevelopment,4J REDEVELOPMENT,Commercial Real Estate,Master Override,Redevelopment/property entity,Master Override,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,,,coreredevelopment.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:coreredevelopment.com,Computed from Company Website,https://img.logo.dev/coreredevelopment.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
502 Fletcher Ave,502 FLETCHER AVE,Commercial Real Estate,Master Override,Property/address entity,Master Override,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,,,,,,,,,Deferred,,FALSE,1
513 Property Management,513 PROPERTY MANAGEMENT,Commercial Real Estate,Segmentation Logic,Property Management,Verified Enrichment,531312,531312,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5313,Activities Related to Real Estate,53131,Real Estate Property Managers,531312,Nonresidential Property Managers,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,513apartments.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:513apartments.com,Computed from Company Website,https://img.logo.dev/513apartments.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
56 Street,56 STREET,Commercial Real Estate,Master Override,Property/address entity,Master Override,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,,,,,,,,,Deferred,,FALSE,1
625 Market Street,625 MARKET STREET,Commercial Real Estate,Master Override,Property/address entity,Master Override,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,,,,,,,,,Deferred,,FALSE,1
93 Palladium Way Property,93 PALLADIUM WAY PROPERTY,Commercial Real Estate,Segmentation Logic,Property Ownership,Segmentation Logic,531,531,Segmentation Logic,53,Real Estate and Rental and Leasing,531,Real Estate,,,,,,,Heuristic,,Low,Matched weak property-ownership signal; Weak-signal best guess (evidence: '93 Palladium Way Property Llc'),,,,,,,,,,,Deferred,,FALSE,1
9998 East 121ST Street,9998 EAST 121ST STREET,Commercial Real Estate,Master Override,Property/address entity,Master Override,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,,,,,,,,,Deferred,,FALSE,1
A Childs Hope Intl,A CHILDS HOPE INTL,Non-Profit / Religious,Master Override,Nonprofit charity,Master Override,8132,8132,Master Override,81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8132,Grantmaking and Giving Services,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,,,achildshopeintl.org,Verified Enrichment,,,https://logos-api.apistemic.com/domain:achildshopeintl.org,Computed from Company Website,https://img.logo.dev/achildshopeintl.org?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
A T Redevelopment,A T REDEVELOPMENT,Commercial Real Estate,Master Override,Redevelopment/property entity,Master Override,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,,,coreredevelopment.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:coreredevelopment.com,Computed from Company Website,https://img.logo.dev/coreredevelopment.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
AL Miller Plumbing,AL MILLER PLUMBING,Construction,Segmentation Logic,,,23,23,Segmentation Logic,23,Construction,,,,,,,,,Rule-Based,,High,Matched construction keyword; Deterministic keyword/pattern match (evidence: 'A.L. Miller Plumbing Inc.'),,,,,,,,,,,Deferred,,FALSE,1
AL Neyer,AL NEYER,Construction,Master Override,Design-Build / Construction Services,Master Override,236,236,Master Override,23,Construction,236,Construction of Buildings,,,,,,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,alneyer.com,Master Override,,,https://logos-api.apistemic.com/domain:alneyer.com,Computed from Company Website,https://img.logo.dev/alneyer.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Abb Optical Group,ABB OPTICAL GROUP,Commercial Services,Master Override,Wholesale / Optical Distribution,Master Override,423460,423460,Master Override,42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,42346,Ophthalmic Goods Merchant Wholesalers,423460,Ophthalmic Goods Merchant Wholesalers,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,abboptical.com,Master Override,,,https://logos-api.apistemic.com/domain:abboptical.com,Computed from Company Website,https://img.logo.dev/abboptical.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Abc Automotive Systems,ABC AUTOMOTIVE SYSTEMS,Manufacturing,Master Override,Automotive components,Master Override,3363,3363,Master Override,31-33,Manufacturing,336,Transportation Equipment Manufacturing,3363,Motor Vehicle Parts Manufacturing,,,,,Heuristic,Final,High,Verified enrichment updated: Company Website,,,abctechnologies.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:abctechnologies.com,Computed from Company Website,https://img.logo.dev/abctechnologies.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Abloom Florist,ABLOOM FLORIST,Commercial Services,Master Override,Florist retail,Master Override,4531,4531,Master Override,44-45,Retail Trade,453,,4531,,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,Hospitality,Master Override,abloomflorist.net,Verified Enrichment,,,https://logos-api.apistemic.com/domain:abloomflorist.net,Computed from Company Website,https://img.logo.dev/abloomflorist.net?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Absolute Machine Tools,ABSOLUTE MACHINE TOOLS,Manufacturing,Master Override,Machine tool distribution,Master Override,4238,4238,Master Override,42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,,,absolutemachine.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:absolutemachine.com,Computed from Company Website,https://img.logo.dev/absolutemachine.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Absolute Value Management,ABSOLUTE VALUE MANAGEMENT,Commercial Services,Segmentation Logic,Residential Property Mgmt,Verified Enrichment,531311,531311,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5313,Activities Related to Real Estate,53131,Real Estate Property Managers,531311,Residential Property Managers,Heuristic,,Low,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,avmre.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:avmre.com,Computed from Company Website,https://img.logo.dev/avmre.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,TRUE,2
Accella Tire Fill Systems,ACCELLA TIRE FILL SYSTEMS,Manufacturing,Master Override,Industrial equipment,Master Override,3339,3339,Master Override,31-33,Manufacturing,333,Machinery Manufacturing,3339,Other General Purpose Machinery Manufacturing,,,,,Heuristic,Final,High,Verified enrichment updated: Company Website,,,carlisletyrfil.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:carlisletyrfil.com,Computed from Company Website,https://img.logo.dev/carlisletyrfil.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Accenture LLP,ACCENTURE LLP,Commercial Services,Master Override,Consulting,Master Override,5416,5416,Master Override,54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",,,,,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,accenture.com,Approved Website,,,https://logos-api.apistemic.com/domain:accenture.com,Computed from Company Website,https://img.logo.dev/accenture.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,TRUE,2
Accumet Specialty Metals,ACCUMET SPECIALTY METALS,Manufacturing,Master Override,Specialty metals,Master Override,331,331,Master Override,31-33,Manufacturing,331,Primary Metal Manufacturing,,,,,,,Heuristic,Final,High,Verified enrichment updated: Company Website,,,accumet.net,Verified Enrichment,,,https://logos-api.apistemic.com/domain:accumet.net,Computed from Company Website,https://img.logo.dev/accumet.net?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Accurate Mechanical Solutions,ACCURATE MECHANICAL SOLUTIONS,Construction,Master Override,Mechanical contractor,Master Override,2382,2382,Master Override,23,Construction,238,Specialty Trade Contractors,2382,Building Equipment Contractors,,,,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Mechanical Contractor,Master Override,,,,,,,,,Deferred,,FALSE,1
Activate Games,ACTIVATE GAMES,Commercial Services,Master Override,Entertainment/arcade,Master Override,7139,7139,Master Override,71,"Arts, Entertainment, and Recreation",713,"Amusement, Gambling, and Recreation Industries",7139,Other Amusement and Recreation Industries,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,Hospitality,Master Override,playactivate.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:playactivate.com,Computed from Company Website,https://img.logo.dev/playactivate.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Adair County Fiscal Court,ADAIR COUNTY FISCAL COURT,Municipal / Local Government,Segmentation Logic,Local Government,Verified Enrichment,921110,921110,Verified Enrichment,92,Public Administration,921,"Executive, Legislative, and Other General Government Support",9211,"Executive, Legislative, and Other General Government Support",92111,Executive Offices,921110,Executive Offices,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,adair.ky.gov,Verified Enrichment,https://stgreen.blob.core.windows.net/logos/ADAIR_COUNTY_FISCAL_COURT.png,Master Logos,https://logos-api.apistemic.com/domain:adair.ky.gov,Computed from Company Website,https://img.logo.dev/adair.ky.gov?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,TRUE,2
Adams County Regional Medical Center,ADAMS COUNTY REGIONAL MEDICAL CENTER,Municipal / Local Government,Segmentation Logic,General Medical & Surgical Hospitals,Verified Enrichment,622110,622110,Verified Enrichment,62,Health Care and Social Assistance,622,Hospitals,6221,General Medical and Surgical Hospitals,62211,General Medical and Surgical Hospitals,622110,General Medical and Surgical Hospitals,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,acrmc.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:acrmc.com,Computed from Company Website,https://img.logo.dev/acrmc.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Adams Countyohio Valley School,ADAMS COUNTYOHIO VALLEY SCHOOL,Municipal / Local Government,Segmentation Logic,Public School District,Verified Enrichment,611110,611110,Verified Enrichment,61,Educational Services,611,Educational Services,6111,Elementary and Secondary Schools,61111,Elementary and Secondary Schools,611110,Elementary and Secondary Schools,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,ovsd.us,Verified Enrichment,,,https://logos-api.apistemic.com/domain:ovsd.us,Computed from Company Website,https://img.logo.dev/ovsd.us?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Adams Doug,ADAMS DOUG,Individual / Misc,Segmentation Logic,,,,,,,,,,,,,,,,Rule-Based,,High,"Matched personal-name pattern; Deterministic keyword/pattern match (evidence: 'Adams, Doug')",,,,,,,,,,,Deferred,,FALSE,1
Addiction Recovery Care,ADDICTION RECOVERY CARE,Healthcare / Senior Living,Segmentation Logic,Substance Abuse Treatment Center,Verified Enrichment,623220,623220,Verified Enrichment,62,Health Care and Social Assistance,623,Nursing and Residential Care Facilities,6232,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",62322,Residential Mental Health and Substance Abuse Facilities,623220,Residential Mental Health and Substance Abuse Facilities,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,arccenters.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:arccenters.com,Computed from Company Website,https://img.logo.dev/arccenters.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Adkev,ADKEV,Commercial Services,Master Override,Services (unclear),Master Override,326199,326199,Verified Enrichment,31-33,Manufacturing,326,Plastics and Rubber Products Manufacturing,3261,Plastics Product Manufacturing,32619,Other Plastics Product Manufacturing,326199,All Other Plastics Product Manufacturing,AI Analyst Research,Final,High,"Verified enrichment updated: NAICS, Company Website",,,adkev.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:adkev.com,Computed from Company Website,https://img.logo.dev/adkev.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Adman Electric,ADMAN ELECTRIC,Utilities,Segmentation Logic,Electrical Contractor,Verified Enrichment,238210,238210,Verified Enrichment,23,Construction,238,Specialty Trade Contractors,2382,Building Equipment Contractors,23821,Electrical Contractors and Other Wiring Installation Contractors,238210,Electrical Contractors and Other Wiring Installation Contractors,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,admanelectric.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:admanelectric.com,Computed from Company Website,https://img.logo.dev/admanelectric.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Advanced Agrilytics,ADVANCED AGRILYTICS,Commercial Services,Master Override,Ag analytics/services,Master Override,5417,5417,Master Override,54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5417,Scientific Research and Development Services,,,,,Entity Inference,Final,High,Verified enrichment updated: Company Website,,,advancedagrilytics.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:advancedagrilytics.com,Computed from Company Website,https://img.logo.dev/advancedagrilytics.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Advanced Industrial Managment,ADVANCED INDUSTRIAL MANAGMENT,Commercial Services,Master Override,Industrial services (unclear),Master Override,423830,423830,Verified Enrichment,42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",42383,Industrial Machinery and Equipment Merchant Wholesalers,423830,Industrial Machinery and Equipment Merchant Wholesalers,AI Analyst Research,Final,High,"Verified enrichment updated: NAICS, Company Website",,,otpnet.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:otpnet.com,Computed from Company Website,https://img.logo.dev/otpnet.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Advanced Lableworx,ADVANCED LABLEWORX,Commercial Services,Master Override,Printing/labels,Master Override,3231,3231,Master Override,31-33,Manufacturing,323,Printing and Related Support Activities,3231,Printing and Related Support Activities,,,,,Heuristic,Final,High,Verified enrichment updated: Company Website,,,advancedlabelworx.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:advancedlabelworx.com,Computed from Company Website,https://img.logo.dev/advancedlabelworx.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Advantage Engineering,ADVANTAGE ENGINEERING,Commercial Services,Master Override,Engineering services,Master Override,5413,5413,Master Override,54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5413,"Architectural, Engineering, and Related Services",,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,,,advantageengineering.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:advantageengineering.com,Computed from Company Website,https://img.logo.dev/advantageengineering.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Aegis Protective Services,AEGIS PROTECTIVE SERVICES,Commercial Services,Master Override,Security services,Master Override,5616,5616,Master Override,56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5616,Investigation and Security Services,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,,,aegis-ps.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:aegis-ps.com,Computed from Company Website,https://img.logo.dev/aegis-ps.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Aelspan,AELSPAN,Manufacturing,Master Override,Aerospace/industrial (likely “AELSPAN” related),Master Override,488510,488510,Verified Enrichment,48-49,Transportation and Warehousing,488,Support Activities for Transportation,4885,Freight Transportation Arrangement,48851,Freight Transportation Arrangement,488510,Freight Transportation Arrangement,AI Analyst Research,Final,High,"Verified enrichment updated: NAICS, Company Website",,,aelspan.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:aelspan.com,Computed from Company Website,https://img.logo.dev/aelspan.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Aeroblast,AEROBLAST,Manufacturing,Master Override,Industrial equipment/services,Master Override,327910,327910,Verified Enrichment,31-33,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3279,Other Nonmetallic Mineral Product Manufacturing,32791,Abrasive Product Manufacturing,327910,Abrasive Product Manufacturing,AI Analyst Research,Final,High,"Verified enrichment updated: NAICS, Company Website",,,aeroblastmedias.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:aeroblastmedias.com,Computed from Company Website,https://img.logo.dev/aeroblastmedias.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Aerospace Lubricants,AEROSPACE LUBRICANTS,Manufacturing,Master Override,Specialty lubricants,Master Override,3241,3241,Master Override,31-33,Manufacturing,324,Petroleum and Coal Products Manufacturing,3241,Petroleum and Coal Products Manufacturing,,,,,Heuristic,Final,High,Verified enrichment updated: Company Website,,,aerospacelubricants.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:aerospacelubricants.com,Computed from Company Website,https://img.logo.dev/aerospacelubricants.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
