Customer Key,Original Name,Master Customer Name,Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,NAICS Raw,NAICS Source,NAICS Sector Code,NAICS Sector Title,NAICS Subsector Code,NAICS Subsector Title,NAICS Industry Group Code,NAICS Industry Group Title,NAICS Industry Code,NAICS Industry Title,NAICS National Industry Code,NAICS National Industry Title,Method,Status,Confidence,Rationale,Support Category,Company Website,Company Logo URL,Company Logo URL (Apistemic),Company Logo URL (Logo.dev),Source
NV15030SERV_GP,3665 Mallory Jv Llc Co Foundry Commercial Llc,3665 Mallory Jv,3665 MALLORY JV,Commercial Real Estate,JV property entity,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,,,,SERV_GP
3D TECHMECH_GP,3D Technical Services,3D Technical Services,3D TECHNICAL SERVICES,Construction,Technical services (construction/controls?),5413,5413,Master Override,54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5413,"Architectural, Engineering, and Related Services",,,,,Heuristic,Final,High,Verified enrichment updated: Company Website,Mechanical Contractor,3-dtechnicalservices.com,,https://logos-api.apistemic.com/domain:3-dtechnicalservices.com,https://img.logo.dev/3-dtechnicalservices.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,MECH_GP
TN992018SERV_GP,3Ls Properties Chattanooga C/O Realty Trust Group,3LS Properties Chattanooga,3LS PROPERTIES CHATTANOOGA,Commercial Real Estate,Healthcare Real Estate Mgmt,531312,531312,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5313,Activities Related to Real Estate,53131,Real Estate Property Managers,531312,Nonresidential Property Managers,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,realtytrustgroup.com,,https://logos-api.apistemic.com/domain:realtytrustgroup.com,https://img.logo.dev/realtytrustgroup.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
4000 ASSOCIATESMECH_GP,4000 Associates,4000 Associates,4000 ASSOCIATES,Commercial Services,Property Holding,531120,531120,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,53112,Lessors of Nonresidential Buildings (except Miniwarehouses),531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Heuristic,,Low,"Verified enrichment updated: NAICS, Industry Detail",,,,,,MECH_GP
45NINETYCONSTRUMECH_GP,45 Ninety Construction,45NINETY Construction,45NINETY CONSTRUCTION,Construction,Commercial Construction,236220,236220,Verified Enrichment,23,Construction,236,Construction of Buildings,2362,Nonresidential Building Construction,23622,Commercial and Institutional Building Construction,236220,Commercial and Institutional Building Construction,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,45ninety.com,,https://logos-api.apistemic.com/domain:45ninety.com,https://img.logo.dev/45ninety.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,MECH_GP
CN992334SERV_GP,"45Ninety Construction, Inc",45NINETY Construction,45NINETY CONSTRUCTION,Construction,Commercial Construction,236220,236220,Verified Enrichment,23,Construction,236,Construction of Buildings,2362,Nonresidential Building Construction,23622,Commercial and Institutional Building Construction,236220,Commercial and Institutional Building Construction,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,45ninety.com,,https://logos-api.apistemic.com/domain:45ninety.com,https://img.logo.dev/45ninety.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
4J REDEVLOPMECH_GP,4J Redevelopment Llc,4J Redevelopment,4J REDEVELOPMENT,Commercial Real Estate,Redevelopment/property entity,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,,coreredevelopment.com,,https://logos-api.apistemic.com/domain:coreredevelopment.com,https://img.logo.dev/coreredevelopment.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,MECH_GP
IN990440SERV_GP,502 Fletcher Ave Llc,502 Fletcher Ave,502 FLETCHER AVE,Commercial Real Estate,Property/address entity,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,,,,SERV_GP
CN992127SERV_GP,513 Property Management,513 Property Management,513 PROPERTY MANAGEMENT,Commercial Real Estate,Property Management,531312,531312,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5313,Activities Related to Real Estate,53131,Real Estate Property Managers,531312,Nonresidential Property Managers,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,513apartments.com,,https://logos-api.apistemic.com/domain:513apartments.com,https://img.logo.dev/513apartments.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
IN990273SERV_GP,56 Street Llc,56 Street,56 STREET,Commercial Real Estate,Property/address entity,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,,,,SERV_GP
TN991242SERV_GP,625 Market Street,625 Market Street,625 MARKET STREET,Commercial Real Estate,Property/address entity,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,,,,SERV_GP
IN990246SERV_GP,8200 Haverstick Llc C/O Jll,JLL Property Management,JLL PROPERTY MANAGEMENT,Commercial Real Estate,Commercial Real Estate Services,531210,531210,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5312,Offices of Real Estate Agents and Brokers,53121,Offices of Real Estate Agents and Brokers,531210,Offices of Real Estate Agents and Brokers,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,jll.com,,https://logos-api.apistemic.com/domain:jll.com,https://img.logo.dev/jll.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
TN991662SERV_GP,93 Palladium Way Property Llc,93 Palladium Way Property,93 PALLADIUM WAY PROPERTY,Commercial Real Estate,Property Ownership,531,531,Segmentation Logic,53,Real Estate and Rental and Leasing,531,Real Estate,,,,,,,Heuristic,,Low,Matched weak property-ownership signal; Weak-signal best guess (evidence: '93 Palladium Way Property Llc'),,,,,,SERV_GP
IN990522SERV_GP,9998 East 121St Street,9998 East 121ST Street,9998 EAST 121ST STREET,Commercial Real Estate,Property/address entity,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,,,,SERV_GP
CN992110SERV_GP,A Childs Hope Int'L,A Childs Hope Intl,A CHILDS HOPE INTL,Non-Profit / Religious,Nonprofit charity,8132,8132,Master Override,81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8132,Grantmaking and Giving Services,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,,achildshopeintl.org,,https://logos-api.apistemic.com/domain:achildshopeintl.org,https://img.logo.dev/achildshopeintl.org?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
AT REDEVELOPMECH_GP,"A T Redevelopment Company, Llc",A T Redevelopment,A T REDEVELOPMENT,Commercial Real Estate,Redevelopment/property entity,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,,coreredevelopment.com,,https://logos-api.apistemic.com/domain:coreredevelopment.com,https://img.logo.dev/coreredevelopment.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,MECH_GP
AL MILLERMECH_GP,A.L. Miller Plumbing Inc.,AL Miller Plumbing,AL MILLER PLUMBING,Construction,,23,23,Segmentation Logic,23,Construction,,,,,,,,,Rule-Based,,High,Matched construction keyword; Deterministic keyword/pattern match (evidence: 'A.L. Miller Plumbing Inc.'),,,,,,MECH_GP
NV00108SERV_GP,A.O. Smith Water Products Company,Ao Smith Water Products,AO SMITH WATER PRODUCTS,Utilities,Water Heater Mfg,335220,335220,Verified Enrichment,31-33,Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",3352,Household Appliance Manufacturing,33522,Major Household Appliance Manufacturing,335220,Major Household Appliance Manufacturing,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,aosmith.com,,https://logos-api.apistemic.com/domain:aosmith.com,https://img.logo.dev/aosmith.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
CN992062SERV_GP,Abb Optical Group,Abb Optical Group,ABB OPTICAL GROUP,Commercial Services,Wholesale / Optical Distribution,423460,423460,Master Override,42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,42346,Ophthalmic Goods Merchant Wholesalers,423460,Ophthalmic Goods Merchant Wholesalers,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,abboptical.com,,https://logos-api.apistemic.com/domain:abboptical.com,https://img.logo.dev/abboptical.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
LX990368SERV_GP,Abc Automotive Systems Inc,Abc Automotive Systems,ABC AUTOMOTIVE SYSTEMS,Manufacturing,Automotive components,3363,3363,Master Override,31-33,Manufacturing,336,Transportation Equipment Manufacturing,3363,Motor Vehicle Parts Manufacturing,,,,,Heuristic,Final,High,Verified enrichment updated: Company Website,,abctechnologies.com,,https://logos-api.apistemic.com/domain:abctechnologies.com,https://img.logo.dev/abctechnologies.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
TN991418SERV_GP,Abloom Florist,Abloom Florist,ABLOOM FLORIST,Commercial Services,Florist retail,4531,4531,Master Override,44-45,Retail Trade,453,,4531,,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,Hospitality,abloomflorist.net,,https://logos-api.apistemic.com/domain:abloomflorist.net,https://img.logo.dev/abloomflorist.net?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
CN991906SERV_GP,Absolute Machine Tools,Absolute Machine Tools,ABSOLUTE MACHINE TOOLS,Manufacturing,Machine tool distribution,4238,4238,Master Override,42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,,absolutemachine.com,,https://logos-api.apistemic.com/domain:absolutemachine.com,https://img.logo.dev/absolutemachine.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
IN990292SERV_GP,Absolute Value Management,Absolute Value Management,ABSOLUTE VALUE MANAGEMENT,Commercial Services,Residential Property Mgmt,531311,531311,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5313,Activities Related to Real Estate,53131,Real Estate Property Managers,531311,Residential Property Managers,Heuristic,,Low,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,avmre.com,,https://logos-api.apistemic.com/domain:avmre.com,https://img.logo.dev/avmre.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
LV990433SERV_GP,Absolute Value Management,Absolute Value Management,ABSOLUTE VALUE MANAGEMENT,Commercial Services,Residential Property Mgmt,531311,531311,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5313,Activities Related to Real Estate,53131,Real Estate Property Managers,531311,Residential Property Managers,Heuristic,,Low,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,avmre.com,,https://logos-api.apistemic.com/domain:avmre.com,https://img.logo.dev/avmre.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
TN991439SERV_GP,Accella Tire Fill Systems,Accella Tire Fill Systems,ACCELLA TIRE FILL SYSTEMS,Manufacturing,Industrial equipment,3339,3339,Master Override,31-33,Manufacturing,333,Machinery Manufacturing,3339,Other General Purpose Machinery Manufacturing,,,,,Heuristic,Final,High,Verified enrichment updated: Company Website,,carlisletyrfil.com,,https://logos-api.apistemic.com/domain:carlisletyrfil.com,https://img.logo.dev/carlisletyrfil.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
IN990319SERV_GP,Accenture Llp,Accenture LLP,ACCENTURE LLP,Commercial Services,Consulting,5416,5416,Master Override,54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",,,,,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,accenture.com,,https://logos-api.apistemic.com/domain:accenture.com,https://img.logo.dev/accenture.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
TN992163SERV_GP,Accenture Llp,Accenture LLP,ACCENTURE LLP,Commercial Services,Consulting,5416,5416,Master Override,54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",,,,,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,accenture.com,,https://logos-api.apistemic.com/domain:accenture.com,https://img.logo.dev/accenture.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
CN992211SERV_GP,Accumet Specialty Metals Inc.,Accumet Specialty Metals,ACCUMET SPECIALTY METALS,Manufacturing,Specialty metals,331,331,Master Override,31-33,Manufacturing,331,Primary Metal Manufacturing,,,,,,,Heuristic,Final,High,Verified enrichment updated: Company Website,,accumet.net,,https://logos-api.apistemic.com/domain:accumet.net,https://img.logo.dev/accumet.net?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
ACCURATEMECH_GP,Accurate Mechanical Solutions,Accurate Mechanical Solutions,ACCURATE MECHANICAL SOLUTIONS,Construction,Mechanical contractor,2382,2382,Master Override,23,Construction,238,Specialty Trade Contractors,2382,Building Equipment Contractors,,,,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Mechanical Contractor,,,,,MECH_GP
DY991126SERV_GP,Activate Games,Activate Games,ACTIVATE GAMES,Commercial Services,Entertainment/arcade,7139,7139,Master Override,71,"Arts, Entertainment, and Recreation",713,"Amusement, Gambling, and Recreation Industries",7139,Other Amusement and Recreation Industries,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,Hospitality,playactivate.com,,https://logos-api.apistemic.com/domain:playactivate.com,https://img.logo.dev/playactivate.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
ADAIR COUNTYMECH_GP,Adair County Fiscal Court,Adair County Fiscal Court,ADAIR COUNTY FISCAL COURT,Municipal / Local Government,Local Government,921110,921110,Verified Enrichment,92,Public Administration,921,"Executive, Legislative, and Other General Government Support",9211,"Executive, Legislative, and Other General Government Support",92111,Executive Offices,921110,Executive Offices,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,adair.ky.gov,https://stgreen.blob.core.windows.net/logos/ADAIR_COUNTY_FISCAL_COURT.png,https://logos-api.apistemic.com/domain:adair.ky.gov,https://img.logo.dev/adair.ky.gov?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,MECH_GP
LX990293SERV_GP,Adair County Jail,Adair County Fiscal Court,ADAIR COUNTY FISCAL COURT,Municipal / Local Government,Local Government,921110,921110,Verified Enrichment,92,Public Administration,921,"Executive, Legislative, and Other General Government Support",9211,"Executive, Legislative, and Other General Government Support",92111,Executive Offices,921110,Executive Offices,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,adair.ky.gov,https://stgreen.blob.core.windows.net/logos/ADAIR_COUNTY_FISCAL_COURT.png,https://logos-api.apistemic.com/domain:adair.ky.gov,https://img.logo.dev/adair.ky.gov?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
CN992253SERV_GP,Adams County Regional Medical Center,Adams County Regional Medical Center,ADAMS COUNTY REGIONAL MEDICAL CENTER,Municipal / Local Government,General Medical & Surgical Hospitals,622110,622110,Verified Enrichment,62,Health Care and Social Assistance,622,Hospitals,6221,General Medical and Surgical Hospitals,62211,General Medical and Surgical Hospitals,622110,General Medical and Surgical Hospitals,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,acrmc.com,,https://logos-api.apistemic.com/domain:acrmc.com,https://img.logo.dev/acrmc.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
ADAMS COUNTYMECH_GP,Adams County/Ohio Valley School,Adams Countyohio Valley School,ADAMS COUNTYOHIO VALLEY SCHOOL,Municipal / Local Government,Public School District,611110,611110,Verified Enrichment,61,Educational Services,611,Educational Services,6111,Elementary and Secondary Schools,61111,Elementary and Secondary Schools,611110,Elementary and Secondary Schools,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,ovsd.us,,https://logos-api.apistemic.com/domain:ovsd.us,https://img.logo.dev/ovsd.us?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,MECH_GP
"ADAMS, DOUGMECH_GP","Adams, Doug",Adams Doug,ADAMS DOUG,Individual / Misc,,,,,,,,,,,,,,,Rule-Based,,High,"Matched personal-name pattern; Deterministic keyword/pattern match (evidence: 'Adams, Doug')",,,,,,MECH_GP
LX990465SERV_GP,Addiction Recovery Care,Addiction Recovery Care,ADDICTION RECOVERY CARE,Healthcare / Senior Living,Substance Abuse Treatment Center,623220,623220,Verified Enrichment,62,Health Care and Social Assistance,623,Nursing and Residential Care Facilities,6232,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",62322,Residential Mental Health and Substance Abuse Facilities,623220,Residential Mental Health and Substance Abuse Facilities,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,arccenters.com,,https://logos-api.apistemic.com/domain:arccenters.com,https://img.logo.dev/arccenters.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
LX990471SERV_GP,Adkev Inc,Adkev,ADKEV,Commercial Services,Services (unclear),326199,326199,Verified Enrichment,31-33,Manufacturing,326,Plastics and Rubber Products Manufacturing,3261,Plastics Product Manufacturing,32619,Other Plastics Product Manufacturing,326199,All Other Plastics Product Manufacturing,AI Analyst Research,Final,High,"Verified enrichment updated: NAICS, Company Website",,adkev.com,,https://logos-api.apistemic.com/domain:adkev.com,https://img.logo.dev/adkev.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
TN992228SERV_GP,"Adman Electric, Inc",Adman Electric,ADMAN ELECTRIC,Utilities,Electrical Contractor,238210,238210,Verified Enrichment,23,Construction,238,Specialty Trade Contractors,2382,Building Equipment Contractors,23821,Electrical Contractors and Other Wiring Installation Contractors,238210,Electrical Contractors and Other Wiring Installation Contractors,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,admanelectric.com,,https://logos-api.apistemic.com/domain:admanelectric.com,https://img.logo.dev/admanelectric.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
IN990364SERV_GP,Advanced Agrilytics,Advanced Agrilytics,ADVANCED AGRILYTICS,Commercial Services,Ag analytics/services,5417,5417,Master Override,54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5417,Scientific Research and Development Services,,,,,Entity Inference,Final,High,Verified enrichment updated: Company Website,,advancedagrilytics.com,,https://logos-api.apistemic.com/domain:advancedagrilytics.com,https://img.logo.dev/advancedagrilytics.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
ADVANCED INDUSTMECH_GP,"Advanced Industrial Managment, Inc.",Advanced Industrial Managment,ADVANCED INDUSTRIAL MANAGMENT,Commercial Services,Industrial services (unclear),423830,423830,Verified Enrichment,42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",42383,Industrial Machinery and Equipment Merchant Wholesalers,423830,Industrial Machinery and Equipment Merchant Wholesalers,AI Analyst Research,Final,High,"Verified enrichment updated: NAICS, Company Website",,otpnet.com,,https://logos-api.apistemic.com/domain:otpnet.com,https://img.logo.dev/otpnet.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,MECH_GP
TN992112SERV_GP,Advanced Lableworx Inc,Advanced Lableworx,ADVANCED LABLEWORX,Commercial Services,Printing/labels,3231,3231,Master Override,31-33,Manufacturing,323,Printing and Related Support Activities,3231,Printing and Related Support Activities,,,,,Heuristic,Final,High,Verified enrichment updated: Company Website,,advancedlabelworx.com,,https://logos-api.apistemic.com/domain:advancedlabelworx.com,https://img.logo.dev/advancedlabelworx.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
ADVANTAGEENGINMECH_GP,Advantage Engineering,Advantage Engineering,ADVANTAGE ENGINEERING,Commercial Services,Engineering services,5413,5413,Master Override,54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5413,"Architectural, Engineering, and Related Services",,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,,advantageengineering.com,,https://logos-api.apistemic.com/domain:advantageengineering.com,https://img.logo.dev/advantageengineering.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,MECH_GP
CN992111SERV_GP,Aegis Protective Services,Aegis Protective Services,AEGIS PROTECTIVE SERVICES,Commercial Services,Security services,5616,5616,Master Override,56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5616,Investigation and Security Services,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,,aegis-ps.com,,https://logos-api.apistemic.com/domain:aegis-ps.com,https://img.logo.dev/aegis-ps.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
