BrandNormalized,Category,DEF,DEFNormalized,IsCompressedType,SegmentsN,OptionsN,UniqueOptionsN,ExampleOptionsJson,ExampleSLJson,PositionCoveragePct,AlreadyCanonicalAttribute
CARRIER/ICP,Package,Type,,false,27,82,63,"[""50- AC W ELEC HT"", ""A- Cooling"", ""Y- HP"", ""G- Gas / ELEC"", ""48GP- GH / ELEC AC"", ""48GX- GH / ELEC AC"", ""48GS- GH / ELEC AC"", ""48SD- GH / ELEC AC"", ""48TJ- ELEC AC / GH / CV"", ""-- NA"", ""A- STD Unit"", ""N- LNOX""]","[""4"", ""2"", ""1"", ""5""]",100.0,false
YORK/JCI,Air Handler,Revision,,true,27,0,0,[],"[""1""]",100.0,false
GOODMAN/AMANA/DAIKIN,Air Handler,Revision,,true,26,0,0,[],"[""1"", ""2""]",100.0,false
LENNOX,Furnace,Gas Heat,,true,26,0,0,[],"[""3"", ""2""]",100.0,false
PALOMA,Air Handler,Revision,,true,26,0,0,[],"[""1""]",100.0,false
YORK/JCI,Condenser,Cooling,,true,26,0,0,[],"[""2"", ""3""]",100.0,false
ARMSTRONG,Package,Revision,,true,25,0,0,[],"[""1"", ""2""]",100.0,false
CARRIER/ICP,Condenser,Class,,true,25,0,0,[],"[""1"", ""2""]",100.0,false
LENNOX,Condenser,Class,,true,25,0,0,[],"[""2"", ""1""]",100.0,false
LENNOX,Package,Lennox Voltage,Voltage,true,25,0,0,[],"[""1"", ""3""]",100.0,false
YORK/JCI,Condenser,York Voltage,,true,25,0,0,[],"[""1"", ""2""]",100.0,false
YORK/JCI,Furnace,Revision,,true,25,0,0,[],"[""1""]",100.0,false
CARRIER/ICP,Condenser,Energy Rating,,true,24,0,0,[],"[""1"", ""2""]",100.0,false
GOODMAN/AMANA/DAIKIN,Package,Revision,,true,24,0,0,[],"[""1""]",100.0,false
LENNOX,Air Handler,Spacer,,true,24,0,0,[],"[""1""]",100.0,false
LENNOX,Furnace,Spacer,,true,23,0,0,[],"[""1""]",100.0,false
NORTEK,Furnace,Revision,,true,23,0,0,[],"[""1""]",100.0,false
GOODMAN/AMANA/DAIKIN,Condenser,Cooling,,true,22,0,0,[],"[""2"", ""3""]",100.0,false
LENNOX,Package,Type,,false,22,30,18,"[""GCS- PKG GH"", ""CHP- PKG HP"", ""GCS- PKG Gas/ ELEC AC"", ""GCS- PKG Gas/ ELEC"", ""L- COM PKG Unit"", ""D- PKG DUF ( HP / GH )"", ""G- PKG GH W ELEC AC"", ""CHA- PKG AC Unit"", ""RP- RES PKG Unit"", ""RCE- PKG ELEC / ELEC"", ""RHP- PKG HP"", ""C- PKG ELEC AC W OPT ELEC HT""]","[""3"", ""1"", ""2""]",100.0,false
PALOMA,Condenser,Revision,,true,22,0,0,[],"[""1"", ""2""]",100.0,false
CARRIER/ICP,Furnace,Gas Heat,,true,21,0,0,[],"[""3""]",100.0,false
NORTEK,Package,Revision,,true,21,0,0,[],"[""1""]",100.0,false
GOODMAN/AMANA/DAIKIN,Condenser,Daikin Voltage,Voltage,true,20,0,0,[],"[""1"", ""2""]",100.0,false
LENNOX,Coil,Spacer,,true,20,0,0,[],"[""1""]",100.0,false
LENNOX,Condenser,Energy Rating,,true,20,0,0,[],"[""2""]",100.0,false
LENNOX,Furnace,Motor,,true,20,0,0,[],"[""1""]",100.0,false
MITSUBISHI,Mini-Split,Revision,,true,20,0,0,[],"[""1"", ""2""]",100.0,false
PALOMA,Furnace,Revision,,true,20,0,0,[],"[""1"", ""2""]",100.0,false
PALOMA,Package,Revision,,true,20,0,0,[],"[""1""]",100.0,false
CARRIER/ICP,Condenser,Type,,false,19,51,32,"[""A- AC"", ""Y- HP"", ""C- COND"", ""H- HP"", ""E- AC COND"", ""T- AC COND"", ""Q- HP COND"", ""S- AC COND"", ""G- CP COND"", ""38AKS- COM ARCD AC"", ""38AQS- Split SYS HP"", ""38AR- COM ARCD COND""]","[""1"", ""4"", ""5"", ""2""]",100.0,false
COPELAND,Compressor,Revision,,true,19,0,0,[],"[""1"", ""3""]",100.0,false
GOODMAN/AMANA/DAIKIN,Condenser,Type,,false,19,73,37,"[""Z- HP R2"", ""V- INV"", ""X- AC R2"", ""H- HP R1"", ""C- AC COND R1"", ""X- AC COND R2"", ""C- Splits"", ""CKF- COND 10 SEER"", ""CKL- COND LG 10 SEER"", ""CKJ- COND HI EFF 12 SEER"", ""CLJ- COND LG 12 SEER"", ""CLT- COND LG 13 SEER""]","[""1"", ""3"", ""4""]",100.0,false
TRANE,Chiller,Revision,,true,19,0,0,[],"[""1"", ""2"", ""3""]",100.0,false
GOODMAN/AMANA/DAIKIN,Air Handler,Cooling,,true,18,0,0,[],"[""2"", ""3""]",100.0,false
GOODMAN/AMANA/DAIKIN,Package,Cooling,,true,18,0,0,[],"[""2"", ""3""]",94.4,false
LENNOX,Mini-Split,Revision,,true,18,0,0,[],"[""1""]",100.0,false
NORTEK,Furnace,Gas Heat,,true,18,0,0,[],"[""3""]",100.0,false
PALOMA,Air Handler,Rheem Brands,,true,18,0,0,[],"[""1"", ""2""]",100.0,false
TRANE,Package Rooftop Unit,IntelliPak Options,,true,18,0,0,[],"[""1""]",100.0,false
TRANE,Package Rooftop Unit,Revision,,true,18,0,0,[],"[""1"", ""2"", ""3""]",100.0,false
YORK/JCI,Package,York Voltage,,true,18,0,0,[],"[""1"", ""2""]",100.0,false
GOODMAN/AMANA/DAIKIN,Air Handler,Daikin Voltage,Voltage,true,17,0,0,[],"[""1""]",100.0,false
GOODMAN/AMANA/DAIKIN,Package,Daikin Voltage,Voltage,true,17,0,0,[],"[""1""]",94.1,false
INGERSOLL RAND,Air Handler,Revision,,true,17,0,0,[],"[""1"", ""2""]",100.0,false
LENNOX,Condenser,Refrigerant,Refrigerant,true,17,0,0,[],"[""1""]",100.0,true
LENNOX,Furnace,DZN,,false,17,53,19,"[""20- 78% WhisperHeat"", ""14- Pulse CONG 90%"", ""21- Pulse CONG 90%"", ""24- MED EFF 80% UF DF HORZ"", ""40- Merit 80%"", ""50- Elite 80%"", ""60- 2 STG 80%"", ""27- MED EFF 80% UF DF HORZ"", ""61- 90% MINI AFUE"", ""26- Elite 90% UF"", ""32- Elite 94%"", ""16- 80% Rack Burner""]","[""2"", ""1""]",100.0,false
LENNOX,Furnace,Revision,,true,17,0,0,[],"[""1"", ""2""]",100.0,false
MULTIAQUA,Air Handler,Spacer,,true,17,0,0,[],"[""1""]",88.2,false
NORTEK,Furnace,Type,,false,17,36,10,"[""R- RES"", ""S- SGL STG"", ""T- RES 2 STG"", ""M- MH"", ""T- RES Two STG"", ""K- FURN"", ""F- FURN"", ""V- Air Temp"", ""M- MODU"", ""L- NG""]","[""1""]",100.0,false
NORTEK,Package,Cooling,,true,17,0,0,[],"[""2"", ""3""]",100.0,false
NORTEK,Package,ICP Voltage,Voltage,true,17,0,0,[],"[""1""]",100.0,false
CARRIER/ICP,Air Handler,Cooling,,true,16,0,0,[],"[""2"", ""3""]",100.0,false
CARRIER/ICP,Coil,Revision,,true,16,0,0,[],"[""1"", ""3"", ""2""]",100.0,false
CARRIER/ICP,Condenser,ICP Voltage,Voltage,true,16,0,0,[],"[""1""]",100.0,false
CARRIER/ICP,Mini-Split,Revision,,true,16,0,0,[],"[""1"", ""2""]",87.5,false
CARRIER/ICP,Package,Gas Heat,,true,16,0,0,[],"[""3""]",100.0,false
CARRIER/ICP,Package,ICP Voltage,Voltage,true,16,0,0,[],"[""1""]",100.0,false
LENNOX,Furnace,Class,,true,16,0,0,[],"[""1"", ""2""]",100.0,false
LENNOX,Furnace,Tons CFM,,true,16,0,0,[],"[""1""]",100.0,false
LENNOX,Package,Energy Rating,,true,16,0,0,[],"[""2""]",100.0,false
LENNOX,Package,Gas Heat,,true,16,0,0,[],"[""3"", ""2""]",100.0,false
MAGIC PAK,PTAC,Revision,,true,16,0,0,[],"[""1"", ""2""]",100.0,false
MAGIC PAK,Package,Revision,,true,16,0,0,[],"[""1"", ""2""]",100.0,false
NORTEK,Package,APP,,false,16,26,10,"[""P- AC PKG Unit"", ""Q- HP"", ""PG- PKG Unit"", ""Q- PKG HP Unit"", ""WC- WALM AC"", ""WY- WALM W HT"", ""DF- DUF HP"", ""R- Gas/ ELEC PKG Unit"", ""DF- DUF PKG Unit"", ""R- PKG RTU""]","[""1"", ""2""]",100.0,false
PALOMA,Air Handler,Rheem Voltage,,true,16,0,0,[],"[""1""]",100.0,false
PALOMA,Condenser,Cooling,,true,16,0,0,[],"[""2"", ""3""]",100.0,false
YORK/JCI,Air Handler,York Voltage,,true,16,0,0,[],"[""1"", ""2""]",100.0,false
YORK/JCI,Condenser,Class,,true,16,0,0,[],"[""1"", ""2""]",100.0,false
AAON,Condenser,Spacer,,true,15,0,0,[],"[""1""]",100.0,false
CARRIER/ICP,Package,OPT,,false,15,188,139,"[""AD- LG"", ""TP- TNP INDR CL Hairpins"", ""XT- LG + VYC ODR CL fin"", ""BT- AL EVAP VYC COND"", ""CC- AL EVAP CU COND"", ""CU- CU EVAP + COND"", ""TP- Base unit W TNP INDR CL hairpins"", ""--- WG"", ""BT- WG + VYC ODR CL fin"", ""CC- WG AL INDR + CU / CU ODR CL"", ""CU- WG CU / CU INDR + ODR CL"", ""AC- LG AL INDR + CU / CU ODR CL""]","[""2"", ""1""]",100.0,false
CARRIER/ICP,Water Source HP,Revision,,true,15,0,0,[],"[""1""]",100.0,false
GOODMAN/AMANA/DAIKIN,Air Handler,Metering Device,,true,15,0,0,[],"[""1""]",100.0,false
GOODMAN/AMANA/DAIKIN,Package,Daikin Brands,,true,15,0,0,[],"[""1""]",93.3,false
LENNOX,Air Handler,Cooling,,true,15,0,0,[],"[""3"", ""2""]",100.0,false
LENNOX,Air Handler,Lennox Voltage,Voltage,true,15,0,0,[],"[""3"", ""1""]",100.0,false
LENNOX,Coil,Revision,,true,15,0,0,[],"[""2"", ""1""]",100.0,false
NORTEK,Package,Energy Rating,,true,15,0,0,[],"[""1""]",100.0,false
PALOMA,Condenser,Rheem Voltage,,true,15,0,0,[],"[""1""]",100.0,false
PALOMA,Package,Rheem Brands,,true,15,0,0,[],"[""1"", ""2""]",100.0,false
PEERLESS,Boiler,SER,,false,15,15,12,"[""PF- PureFire"", ""64- PKG RES / Semi COM"", ""63- PKG RES / Semi COM"", ""92- RES"", ""WB90- RES"", ""PC- RES"", ""GM- PKG RES / Semi COM"", ""MI- PKG RES"", ""DE- PKG RES"", ""MI85- PKG RES"", ""PSCII- PKG RES"", ""MIHII- PKG RES""]","[""2"", ""4"", ""5""]",100.0,false
YORK/JCI,Coil,Revision,,true,15,0,0,[],"[""1""]",100.0,false
YORK/JCI,Condenser,Energy Rating,,true,15,0,0,[],"[""1"", ""2""]",100.0,false
YORK/JCI,Package,Cooling,,true,15,0,0,[],"[""3"", ""2""]",100.0,false
AAON,Air Handler,Spacer,,true,14,0,0,[],"[""1""]",100.0,false
CARRIER/ICP,Condenser,Carrier Capacity,,true,14,0,0,[],"[""3"", ""2""]",100.0,false
CARRIER/ICP,Package Rooftop Unit,Carrier Voltage,Voltage,true,14,0,0,[],"[""1""]",100.0,false
DUCANE,Package,Revision,,true,14,0,0,[],"[""1""]",100.0,false
GOODMAN/AMANA/DAIKIN,Air Handler,Refrigerant,Refrigerant,true,14,0,0,[],"[""1""]",100.0,true
GOODMAN/AMANA/DAIKIN,Furnace,Gas Heat,,true,14,0,0,[],"[""3""]",100.0,false
GOODMAN/AMANA/DAIKIN,Package,Class,,true,14,0,0,[],"[""1"", ""2""]",92.9,false
NORTEK,Air Handler,Revision,,true,14,0,0,[],"[""1"", ""2""]",100.0,false
PALOMA,Condenser,Class,,true,14,0,0,[],"[""1""]",100.0,false
PALOMA,Package,Rheem Voltage,,true,14,0,0,[],"[""1""]",100.0,false
PEERLESS,Boiler,Fuel,,false,14,27,2,"[""N- NG"", ""L- LP""]","[""1""]",100.0,false
TRANE,Mini-Split,Revision,,true,14,0,0,[],"[""1"", ""3"", ""2""]",100.0,false
YORK/JCI,Air Handler,Cabinet Width,,true,14,0,0,[],"[""1""]",100.0,false
YORK/JCI,Condenser,York Brands,,true,14,0,0,[],"[""1""]",100.0,false
YORK/JCI,Furnace,Gas Heat,,true,14,0,0,[],"[""3""]",100.0,false
YORK/JCI,Package,Category,,false,14,33,16,"[""Z- AC SGL PKG R2"", ""X- HP SGL PKG R2"", ""D- AC SGL PKG"", ""B- HP SGL PKG"", ""D- SGL PKG AC"", ""B- SGL PKG HP"", ""Z- AC SGL PKG"", ""U- SGL PKG HP"", ""N- SGL PKG AC"", ""Y- Split COND AC R2"", ""P- Split COND HP R2"", ""KQ- PKG AC 3-5 Tons STD EFF""]","[""1"", ""2""]",100.0,false
AMERICAN STANDARD-TRANE,Package Rooftop Unit,Voyager Options,,true,13,0,0,[],"[""1""]",100.0,false
CARRIER/ICP,Chiller,Revision,,true,13,0,0,[],"[""1"", ""2""]",100.0,false
CARRIER/ICP,Condenser,Spacer,,true,13,0,0,[],"[""1"", ""2""]",100.0,false
CARRIER/ICP,Mini-Split,Cooling,,true,13,0,0,[],"[""2"", ""3""]",92.3,false
CARRIER/ICP,Package,Class,,true,13,0,0,[],"[""1""]",100.0,false
LENNOX,Air Handler,Class,,true,13,0,0,[],"[""2""]",100.0,false
NORTEK,Condenser,Revision,,true,13,0,0,[],"[""1""]",100.0,false
NORTEK,Furnace,Cabinet Width,,true,13,0,0,[],"[""1""]",100.0,false
PALOMA,Furnace,Rheem Brands,,true,13,0,0,[],"[""1"", ""2""]",100.0,false
PEERLESS,Boiler,SECT,,false,13,58,30,"[""03- 70 MBH Input"", ""04- 105 MBH Input"", ""05- 140 MBH Input"", ""08- 399 MBH Input"", ""06- 175 MBH Input"", ""07- 195 MBH Input"", ""08- 227.5 MBH Input"", ""09- 260 MBH Input"", ""07- 345 MBH Input"", ""09- 460 MBH Input"", ""10- 518 MBH Input"", ""11- 575 MBH Input""]","[""2"", ""3"", ""1""]",100.0,false
TRANE,Condenser,Revision,,true,13,0,0,[],"[""1"", ""2""]",100.0,false
YORK/JCI,Air Handler,Cooling,,true,13,0,0,[],"[""2"", ""3""]",100.0,false
YORK/JCI,Furnace,CFM Tons,,true,13,0,0,[],"[""2""]",100.0,false
CARRIER/ICP,Coil,Cooling,,true,12,0,0,[],"[""2"", ""3""]",100.0,false
CARRIER/ICP,Package,Style,,false,12,20,7,"[""P- PKG"", ""P- SGL PKG"", ""R- RTU PKG"", ""G- Gas / ELEC"", ""A- AC"", ""P- PKG / RES"", ""R- RTU""]","[""1""]",100.0,false
CARRIER/ICP,Package Rooftop Unit,Revision,,true,12,0,0,[],"[""1"", ""2""]",100.0,false
CARRIER/ICP,Package Rooftop Unit,Type,,false,12,18,11,"[""48- GH PKG RTU"", ""50- AC / AC W ELEC HT"", ""48- AC Unit W GH"", ""50- AC Unit Only"", ""50- AC Unit W ELEC HT"", ""50- AC Unit"", ""48- AC Unit W NG HT"", ""50- AC / AC W OPT ELEC HT"", ""50- ELEC HT PKG RTU"", ""50- PKG RTU Cooling only W ELEC HT / HYD HT"", ""48- PKG RTU AC / GH""]","[""2""]",100.0,false
DUNHAM-BUSH,Air Handler,Spacer,,true,12,0,0,[],"[""1""]",100.0,false
GOODMAN/AMANA/DAIKIN,Air Handler,Type,,false,12,13,6,"[""A- AH"", ""A- SGL Piece AH"", ""B- BLC"", ""OAH- ODR AH"", ""OAC- ODR CPT"", ""C- AH""]","[""1"", ""3""]",100.0,false
GOODMAN/AMANA/DAIKIN,Condenser,Energy Rating,,true,12,0,0,[],"[""2"", ""1""]",100.0,false
GOODMAN/AMANA/DAIKIN,Furnace,Revision,,true,12,0,0,[],"[""1""]",100.0,false
GOODMAN/AMANA/DAIKIN,Mini-Split,Revision,,true,12,0,0,[],"[""2"", ""1""]",100.0,false
GOODMAN/AMANA/DAIKIN,Package,Energy Rating,,true,12,0,0,[],"[""2"", ""1""]",100.0,false
LENNOX,Air Handler,Configure,,true,12,0,0,[],"[""2"", ""1""]",100.0,false
LENNOX,Coil,Type,,false,12,18,5,"[""CH- HORZ"", ""CR- DF"", ""C- UF"", ""C- INDR CL UF"", ""C- CL UF""]","[""1"", ""2""]",100.0,false
LENNOX,Furnace,Configure,,true,12,0,0,[],"[""2"", ""1""]",100.0,false
NORTEK,Furnace,CONF,,false,12,81,15,"[""A- 80% UF / HORZ"", ""C- 92.1% or 95.1% UF / HORZ"", ""K- 80% DF"", ""L- 92.1% or 95.1% DF"", ""Q- 96.4% UF / HORZ"", ""E- UF CONG"", ""D- 95% UF / HORZ"", ""M- 95% DF"", ""N- 96% DF"", ""D- 95.0% SS UF / HORZ"", ""M- 95.0% SS DF"", ""F- Front RT DF""]","[""1""]",100.0,false
PALOMA,Condenser,Rheem Brands,,true,12,0,0,[],"[""1"", ""2""]",100.0,false
PALOMA,Package,Cooling,,true,12,0,0,[],"[""3"", ""2""]",100.0,false
PAYNE,Furnace,Revision,,true,12,0,0,[],"[""1"", ""2"", ""3""]",100.0,false
YORK/JCI,Condenser,Refrigerant,Refrigerant,true,12,0,0,[],"[""1""]",100.0,true
YORK/JCI,Package,Identifier,,false,12,97,75,"[""PB- 10 SEER AC"", ""K- 90.1 W RHT"", ""R- RHT"", ""NA- 10 SEER Champion"", ""EM- 13 SEER R1 PKG"", ""EZ- 13 SEER R2 PKG"", ""EQ- 14 SEER R2 PKG ( SGL STG )"", ""EY- 14 SEER R2 PKG ( Two STG )"", ""EX- 15 SEER R2 PKG"", ""NP- 13 SEER R1 YAC"", ""NY- 14 SEER R2 YAC"", ""HP- 13 SEER R1 HP""]","[""1"", ""2""]",100.0,false
ARMSTRONG,Package,Class,,true,11,0,0,[],"[""2"", ""3""]",100.0,false
ARMSTRONG,Package,Cooling,,true,11,0,0,[],"[""2""]",100.0,false
ARMSTRONG,Package,Energy Rating,,true,11,0,0,[],"[""2""]",100.0,false
ARMSTRONG,Package,Lennox Voltage,Voltage,true,11,0,0,[],"[""1""]",100.0,false
CARRIER/ICP,Air Handler,Carrier Voltage,Voltage,true,11,0,0,[],"[""1""]",100.0,false
GOODMAN/AMANA/DAIKIN,Condenser,Daikin Brands,,true,11,0,0,[],"[""1""]",100.0,false
GOODMAN/AMANA/DAIKIN,Furnace,Tons CFM,,true,11,0,0,[],"[""1""]",100.0,false
GOODMAN/AMANA/DAIKIN,Mini-Split,SYS Type,,false,11,40,25,"[""X- R2 HP"", ""K- R2 AC"", ""G- R2 Quaternity"", ""FT- WALM"", ""FD- Slim Duct"", ""CT- WALM"", ""CD- Slim Duct"", ""FX- VRV SYS IDU"", ""Q- R2 HP"", ""R- R2 AC"", ""X- HP"", ""K- AC""]","[""1"", ""2""]",100.0,false
GOODMAN/AMANA/DAIKIN,Package,Category,,false,11,11,2,"[""P- PKG Unit"", ""PS- PKG Unit SYS""]","[""1"", ""2""]",100.0,false
GOODMAN/AMANA/DAIKIN,Package,Gas Heat,,true,11,0,0,[],"[""3""]",100.0,false
LENNOX,Coil,Cooling,,true,11,0,0,[],"[""2""]",100.0,false
MARVAIR,Package,Class,,true,11,0,0,[],"[""2"", ""1""]",100.0,false
MARVAIR,Package,Cooling,,true,11,0,0,[],"[""2"", ""3""]",100.0,false
NORTEK,Furnace,Class,,true,11,0,0,[],"[""1""]",100.0,false
PALOMA,Air Handler,Cabinet Width,,true,11,0,0,[],"[""2""]",100.0,false
PALOMA,Air Handler,Cooling,,true,11,0,0,[],"[""2"", ""3""]",100.0,false
PALOMA,Condenser,Energy Rating,,true,11,0,0,[],"[""2"", ""1""]",100.0,false
PALOMA,Furnace,Configure,,true,11,0,0,[],"[""1"", ""2""]",100.0,false
YORK/JCI,Furnace,Configure,,true,11,0,0,[],"[""2"", ""1""]",100.0,false
ARMSTRONG,Condenser,Revision,,true,10,0,0,[],"[""1"", ""2""]",100.0,false
CARRIER/ICP,Air Handler,Type,,false,10,30,27,"[""F- TTW"", ""H- STD ELEC FURN"", ""R- FCU"", ""A- AH"", ""40RM- COM PKG AH"", ""40RU- PKG AH W R2"", ""39M- Aero AH"", ""40RU- Carrier FCU"", ""A- STD DX CL"", ""S- CH H2O CL"", ""A- RNC"", ""B- Base R2""]","[""1"", ""4"", ""3""]",100.0,false
CARRIER/ICP,Condenser,PCG,,false,10,21,16,"[""0- Base Unit"", ""1- DMST"", ""1 - STD"", ""1- STD Skid + CL PROT"", ""2- Skid + CL PROT"", ""3- Full Crate Top + BTM Skid CL PROT Full PL Bag"", ""4- Full Crate"", ""1- SGL Pack DMST"", ""-- STD DMST CL PROT"", ""2- OPT DMST Skid + CL PROT"", ""3- STD EXP Top BTM Skid CL PROT Full Bag"", ""4- OPT EXP Full Wooden Crate""]","[""1""]",100.0,false
CARRIER/ICP,Furnace,CFM Tons,,true,10,0,0,[],"[""2"", ""3""]",100.0,false
ECR INTERNATIONAL,Mini-Split,Revision,,true,10,0,0,[],"[""1""]",100.0,false
GOODMAN/AMANA/DAIKIN,Air Handler,Finish,,false,10,30,3,"[""U- UPTD"", ""P- PTD"", ""N- UCAS""]","[""1""]",100.0,false
GOODMAN/AMANA/DAIKIN,Air Handler,Heat Kit,,true,10,0,0,[],"[""2""]",100.0,false
GOODMAN/AMANA/DAIKIN,Furnace,Daikin Brands,,true,10,0,0,[],"[""1""]",100.0,false
GOODMAN/AMANA/DAIKIN,Mini-Split,Cooling,,true,10,0,0,[],"[""2""]",100.0,false
LENNOX,Boiler,Spacer,,true,10,0,0,[],"[""1""]",100.0,false
MARVAIR,Package,VENT,,false,10,67,25,"[""H- Green WHL ERV"", ""N- 0-15% FA W MANDP No PR RLF"", ""Y- 0 to 450 CFM Of OA FLD ADJ MANDP No PR RLF"", ""Z- 0 to 450 CFM Of OA FLD ADJ MANDP W PR RLF"", ""B- 0 to 450 CFM Of OA MTZD W PR RLF"", ""C- ECON Capable Of 100% Of Rated COLG Using OA"", ""Q- GreenCube ERV"", ""C- ECON"", ""N- MUDP"", ""B- MTZ FAD"", ""J- PWR Vent W MTZD"", ""A- Solid Front Door""]","[""1""]",100.0,false
MITSUBISHI,Mini-Split,Cooling,,true,10,0,0,[],"[""2""]",100.0,false
NORTEK,Condenser,Class,,true,10,0,0,[],"[""1"", ""2""]",100.0,false
NORTEK,Condenser,Connection,,true,10,0,0,[],"[""1""]",100.0,false
NORTEK,Condenser,Cooling,,true,10,0,0,[],"[""3"", ""2""]",100.0,false
NORTEK,Condenser,Energy Rating,,true,10,0,0,[],"[""1""]",100.0,false
NORTEK,Condenser,ICP Voltage,Voltage,true,10,0,0,[],"[""1""]",100.0,false
PALOMA,Air Handler,Category,,false,10,16,3,"[""H- AH"", ""F- Front RT"", ""W- HYD AH""]","[""1""]",100.0,false
PALOMA,Furnace,Gas Heat,,true,10,0,0,[],"[""3"", ""2""]",100.0,false
PEERLESS,Boiler,Distribution,,false,10,12,5,"[""WPC- H2O PKG W Circulator"", ""W- H2O Knockdown"", ""S- STM Knockdown"", ""SP- STM PKG"", ""WP- H2O PKG""]","[""3"", ""2"", ""1""]",100.0,false
PEERLESS,Boiler,Lighting,,false,10,10,2,"[""SPRK- Spark IGN"", ""SPARK- Spark IGN""]","[""4"", ""5""]",100.0,false
TRANE,Package,Trane Voltage,Voltage,true,10,0,0,[],"[""1""]",100.0,false
YORK/JCI,Air Handler,Type,,false,10,18,11,"[""A- SGL Piece AH"", ""M- MB"", ""C- FCU"", ""H- SGL Piece"", ""MA- MOD AH"", ""MV- MOD VAR SPD"", ""AVY- VAR SPD AH"", ""AHP- PSC AH"", ""AHE- ECM Air AH"", ""AHR- PSC AH"", ""R- RMT""]","[""1"", ""2"", ""3""]",100.0,false
YORK/JCI,Package,ARF,,false,10,145,95,"[""A- STD MTR"", ""N- HI ST"", ""R- HI ST / MTZD"", ""N- HI ST MTR"", ""2- Low ST"", ""A- DD"", ""B- STD ST"", ""D- HI ST"", ""D- STD MTR / MTZD"", ""B- STD MTR / ECON / BARO RLF ( DF Only )"", ""C- STD MTR / ECON / PWR EXH ( DF Only )"", ""D- STD MTR / MTZD ( DF Only )""]","[""1""]",100.0,false
CARRIER/ICP,Air Handler,Heat Kit,,true,9,0,0,[],"[""2"", ""3""]",100.0,false
CARRIER/ICP,Condenser,Bryant Family,,true,9,0,0,[],"[""3"", ""1"", ""2""]",100.0,false
CARRIER/ICP,Condenser,FAM,,false,9,21,10,"[""A- RES AC"", ""H- RES HP"", ""V- VAR SPD"", ""38- Split COND"", ""50- SGL PKG"", ""C- COND"", ""V- VS"", ""T- Two STG"", ""09DE- ARCD COND"", ""09DK- ARCD COND""]","[""1"", ""2"", ""4""]",100.0,false
CARRIER/ICP,Package,HT,,false,9,68,50,"[""-- None"", ""D- Low"", ""-- STD"", ""Q- HP"", ""E- MED"", ""F- HI"", ""L- LNOX Low"", ""M- LNOX MED"", ""N- LNOX HI"", ""N- LNOX"", ""S- Low W SS HX"", ""R- MED W SS HX""]","[""1""]",100.0,false
GOODMAN/AMANA/DAIKIN,Air Handler,Daikin Brands,,true,9,0,0,[],"[""1""]",100.0,false
GOODMAN/AMANA/DAIKIN,Mini-Split,Compatibility,,false,9,9,2,"[""U- USA"", ""UA- USA""]","[""1"", ""2""]",100.0,false
GOODMAN/AMANA/DAIKIN,Package,Refrigerant,Refrigerant,true,9,0,0,[],"[""1""]",100.0,true
HEAT CONTROLLER,Air Handler,Cooling,,true,9,0,0,[],"[""2"", ""3""]",100.0,false
HEAT CONTROLLER,Air Handler,Revision,,true,9,0,0,[],"[""1""]",100.0,false
