BrandNormalized,Category,DEF,DEFNormalized,note
LENNOX,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
TRANE,Air Handler,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
WHIRLPOOL,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
ADP,Coil,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
ALLSTYLE,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
BOSCH,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
BOSCH,Package Rooftop Unit,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
CARRIER-TOSHIBA,Multi,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
COMFORT AIRE,Air Handler,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
COMFORT AIRE,Coil,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
COMFORT AIRE,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
DUCANE,Package,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
DURASTAR,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
EUBANK,Package,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
FEDDERS,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
FUJITSU,Mini-Split,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
GOODMAN/AMANA/DAIKIN,Multi,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
INGERSOLL RAND,Air Handler,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
INGERSOLL RAND,Coil,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
INGERSOLL RAND,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
LENNOX,Air Handler,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
NORTEK,Package,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
PALOMA,Coil,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
PALOMA,Mini-Split,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
PAYNE,Air Handler,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
PAYNE,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
SPACEPAK,Air Handler,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
SPACEPAK,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
TRANE,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
TRANE,Mini-Split,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
WHIRLPOOL,Package,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
YORK/JCI,Mini-Split,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
AIRTEMP,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
AIRTEMP,Package,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
ALLIED,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
ALLIED,Package,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
AMERICAN STANDARD,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
AMERICAN STANDARD-TRANE,Air Handler,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
AMERICAN STANDARD-TRANE,Mini-Split,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
AMERICAN STANDARD-TRANE,Multi,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
AMERICAN STANDARD-TRANE,Package Rooftop Unit,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
AMERISTAR,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
AMERISTAR,Mini-Split,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
ARMSTRONG,Coil,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
ARRCO,Compressor,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
BOSCH,Air Handler,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
CARRIER-TOSHIBA,VRF,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
CARRIER/ICP,Mini-Split,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
DUNHAM-BUSH,Chiller,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
FRIGIDAIRE,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
GOODMAN/AMANA/DAIKIN,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
GOODMAN/AMANA/DAIKIN,Mini-Split,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
GRANDAIRE,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
GRANDAIRE,Package,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
GREE,Mini-Split,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
HEAT CONTROLLER,Coil,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
HEAT CONTROLLER,Package,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
INGERSOLL RAND,Mini-Split,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
INGERSOLL RAND,VRF,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
MCQUAY,Package Rooftop Unit,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
MRCOOL,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
MRCOOL,Package,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
NORTEK,Coil,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
NORTEK,Mini-Split,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
PIONEER,Air Handler,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
RETROAIRE,Water Source Console Unit,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
REVOLV,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
TRANE,Compressor,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
TRANE,Package Rooftop Unit,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
WEIL-MCLAIN,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
WHIRLPOOL,Coil,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
YORK/JCI,Package,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
,,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
