Customer Name,Customer Number,Customer Key,Source,Last Billing Date (Any Stream)
A Childs Hope Int'L,CN992110,CN992110SERV_GP,SERV_GP,2021-03-03 00:00:00
"A T Redevelopment Company, Llc",AT REDEVELOP,AT REDEVELOPMECH_GP,MECH_GP,2014-09-01 00:00:00
A.L. Miller Plumbing Inc.,AL MILLER,AL MILLERMECH_GP,MECH_GP,2012-12-01 00:00:00
A.O. Smith Water Products Company,NV00108,NV00108SERV_GP,SERV_GP,2025-11-01 00:00:00
Abb Optical Group,CN992062,CN992062SERV_GP,SERV_GP,2022-07-07 00:00:00
Abc Automotive Systems Inc,LX990368,LX990368SERV_GP,SERV_GP,2021-08-09 00:00:00
Abloom Florist,TN991418,TN991418SERV_GP,SERV_GP,2023-03-10 00:00:00
Absolute Machine Tools,CN991906,CN991906SERV_GP,SERV_GP,2026-01-07 00:00:00
Absolute Value Management,IN990292,IN990292SERV_GP,SERV_GP,2021-08-11 00:00:00
Absolute Value Management,LV990433,LV990433SERV_GP,SERV_GP,2022-07-06 00:00:00
Accella Tire Fill Systems,TN991439,TN991439SERV_GP,SERV_GP,2025-11-01 00:00:00
Accenture Llp,IN990319,IN990319SERV_GP,SERV_GP,2023-01-01 00:00:00
Accenture Llp,TN992163,TN992163SERV_GP,SERV_GP,2025-12-19 00:00:00
Accumet Specialty Metals Inc.,CN992211,CN992211SERV_GP,SERV_GP,2023-01-26 00:00:00
Accurate Mechanical Solutions,ACCURATE,ACCURATEMECH_GP,MECH_GP,2013-03-01 00:00:00
Activate Games,DY991126,DY991126SERV_GP,SERV_GP,2025-10-01 00:00:00
Adair County Fiscal Court,ADAIR COUNTY,ADAIR COUNTYMECH_GP,MECH_GP,2015-08-01 00:00:00
Adair County Jail,LX990293,LX990293SERV_GP,SERV_GP,2025-12-05 00:00:00
Adams County Regional Medical Center,CN992253,CN992253SERV_GP,SERV_GP,2025-12-31 00:00:00
Adams County/Ohio Valley School,ADAMS COUNTY,ADAMS COUNTYMECH_GP,MECH_GP,2011-07-01 00:00:00
"Adams, Doug","ADAMS, DOUG","ADAMS, DOUGMECH_GP",MECH_GP,2011-09-01 00:00:00
Addiction Recovery Care,LX990465,LX990465SERV_GP,SERV_GP,2025-02-14 00:00:00
Adkev Inc,LX990471,LX990471SERV_GP,SERV_GP,2024-07-08 00:00:00
"Adman Electric, Inc",TN992228,TN992228SERV_GP,SERV_GP,2025-09-25 00:00:00
Advanced Agrilytics,IN990364,IN990364SERV_GP,SERV_GP,2025-03-11 00:00:00
"Advanced Industrial Managment, Inc.",ADVANCED INDUST,ADVANCED INDUSTMECH_GP,MECH_GP,2013-09-01 00:00:00
Advanced Lableworx Inc,TN992112,TN992112SERV_GP,SERV_GP,2025-06-25 00:00:00
Advantage Engineering,ADVANTAGEENGIN,ADVANTAGEENGINMECH_GP,MECH_GP,2025-09-01 00:00:00
Aegis Protective Services,CN992111,CN992111SERV_GP,SERV_GP,2021-10-20 00:00:00
Ael-Span,IN990410,IN990410SERV_GP,SERV_GP,2022-10-21 00:00:00
Aero-Blast,CN990200,CN990200SERV_GP,SERV_GP,2025-07-14 00:00:00
Aerospace Lubricants Inc,DY991111,DY991111SERV_GP,SERV_GP,2025-05-15 00:00:00
Aesthetic Eye Oculoplastic Surgery,DY991123,DY991123SERV_GP,SERV_GP,2025-07-01 00:00:00
Afc Urgent Care,TN991883,TN991883SERV_GP,SERV_GP,2025-09-04 00:00:00
Afford A Vet - Pasadena,LX990334,LX990334SERV_GP,SERV_GP,2023-03-23 00:00:00
Afford A Vet - Richmond Rd,LX990333,LX990333SERV_GP,SERV_GP,2023-09-25 00:00:00
Affordable Dentures,TN991753,TN991753SERV_GP,SERV_GP,2021-08-30 00:00:00
Affordable Service Solutions,AFFORDABLESERVI,AFFORDABLESERVIMECH_GP,MECH_GP,2025-10-01 00:00:00
Ag Stones,CN992331,CN992331SERV_GP,SERV_GP,2025-12-30 00:00:00
Agellan Commercial Reit,IN990270,IN990270SERV_GP,SERV_GP,2022-05-02 00:00:00
Agree Realty Corporation,IN990393,IN990393SERV_GP,SERV_GP,2021-08-13 00:00:00
Ahc Clarksville,NV00151,NV00151SERV_GP,SERV_GP,2021-05-27 00:00:00
Aicholtz Llc,CN991511,CN991511SERV_GP,SERV_GP,2025-12-15 00:00:00
Aigc Solutions,CN992148,CN992148SERV_GP,SERV_GP,2022-03-22 00:00:00
Air Energy,DY991010,DY991010SERV_GP,SERV_GP,2021-02-12 00:00:00
Air Energy Systems,AIR ENERGY,AIR ENERGYMECH_GP,MECH_GP,2020-02-01 00:00:00
"Air Force One, Inc.",AIR FORCE ONE,AIR FORCE ONEMECH_GP,MECH_GP,2014-06-01 00:00:00
Air Gas,LX950098,LX950098SERV_GP,SERV_GP,2025-11-01 00:00:00
Aisin Automotive,LX990301,LX990301SERV_GP,SERV_GP,2026-01-01 00:00:00
Aisin World Corp Of America,NV00103,NV00103SERV_GP,SERV_GP,2024-02-29 00:00:00
"Ajk Management, Inc.",AJK,AJKMECH_GP,MECH_GP,2005-06-01 00:00:00
Akers Packaging,AKERS,AKERSMECH_GP,MECH_GP,2011-08-01 00:00:00
"Al. Neyer, Llc",AL NEYER,AL NEYERMECH_GP,MECH_GP,2026-01-01 00:00:00
"Alba Manufacturing, Inc.",ALBA MANUFACTUR,ALBA MANUFACTURMECH_GP,MECH_GP,2011-08-01 00:00:00
Albert M. Higley Co.,ALBERT HIGLEY,ALBERT HIGLEYMECH_GP,MECH_GP,2014-12-01 00:00:00
Alec Blaine,TN991254,TN991254SERV_GP,SERV_GP,2023-09-14 00:00:00
Alhuda Foundation,IN990472,IN990472SERV_GP,SERV_GP,2025-12-30 00:00:00
Ali Industries Inc.,DY991063,DY991063SERV_GP,SERV_GP,2022-10-18 00:00:00
All Eleven C/O Nai,TN992196,TN992196SERV_GP,SERV_GP,2026-01-02 00:00:00
All Occasions Equip. Rentals,ALL OCCASIONS,ALL OCCASIONSMECH_GP,MECH_GP,2014-11-01 00:00:00
All Pro Commercial Services,IN990431,IN990431SERV_GP,SERV_GP,2023-02-24 00:00:00
All Pro Parking,CN991496,CN991496SERV_GP,SERV_GP,2025-10-01 00:00:00
Alliance Technical Group Llc,TN992230,TN992230SERV_GP,SERV_GP,2025-11-01 00:00:00
Allied Crawford (Cincinnati),CN991912,CN991912SERV_GP,SERV_GP,2025-11-18 00:00:00
Allied Supply,CN991970,CN991970SERV_GP,SERV_GP,2022-12-13 00:00:00
Allied Supply Company,ALLIED SUPPLY,ALLIED SUPPLYMECH_GP,MECH_GP,2019-09-01 00:00:00
Allison Abrasives,LX990385,LX990385SERV_GP,SERV_GP,2021-07-23 00:00:00
Alo Property Management,IN990258,IN990258SERV_GP,SERV_GP,2025-12-31 00:00:00
Aloft Louisville East,LV990536,LV990536SERV_GP,SERV_GP,2025-10-24 00:00:00
Alp-Arc I Parkway Operating Company Llc,DY991103,DY991103SERV_GP,SERV_GP,2024-08-01 00:00:00
Alp-Arc Ii Creek Run Operating Company Llc,DY991106,DY991106SERV_GP,SERV_GP,2024-05-30 00:00:00
Alp-Arc Ii Dearborn Park Operating Company Llc,DY991105,DY991105SERV_GP,SERV_GP,2024-11-25 00:00:00
Alp-Arc Ii Lakeview Operating Company Llc,DY991104,DY991104SERV_GP,SERV_GP,2024-12-01 00:00:00
Alp-Arc Ii Tuller Ridge Operating Company Llc,DY991100,DY991100SERV_GP,SERV_GP,2025-02-01 00:00:00
Alp-Arc Iv Citygate Operating Company Llc,DY991102,DY991102SERV_GP,SERV_GP,2024-11-25 00:00:00
"Alp-Arc Iv Cramer Creek Operating Company, Llc",DY991101,DY991101SERV_GP,SERV_GP,2024-11-25 00:00:00
Alpha Technologies Services Inc,DY990987,DY990987SERV_GP,SERV_GP,2024-02-16 00:00:00
Alpha Technologies Services Inc,LV990350,LV990350SERV_GP,SERV_GP,2025-12-29 00:00:00
Alpha Technologies Services Inc,WV990246,WV990246SERV_GP,SERV_GP,2025-07-14 00:00:00
Alpla Inc.,DY990973,DY990973SERV_GP,SERV_GP,2022-07-01 00:00:00
Alstom,ALSTOM,ALSTOMMECH_GP,MECH_GP,2010-05-01 00:00:00
Alt & Witzig Engineering,CN990124,CN990124SERV_GP,SERV_GP,2025-10-01 00:00:00
Alt & Witzig Engineering,CN992159,CN992159SERV_GP,SERV_GP,2024-07-24 00:00:00
"Alta Refrigeration, Inc.",ALTA,ALTAMECH_GP,MECH_GP,2013-08-01 00:00:00
Amano Cincinnati Inc.,CN940085,CN940085SERV_GP,SERV_GP,2025-01-02 00:00:00
"Amazon Data Services, Inc.",CN992042,CN992042SERV_GP,SERV_GP,2023-03-01 00:00:00
Amazon.Com,AMAZON.COM,AMAZON.COMMECH_GP,MECH_GP,2015-02-01 00:00:00
Amazon.Com Services Llc,AMAZON,AMAZONMECH_GP,MECH_GP,2023-04-01 00:00:00
Amazon.Com Services Llc,WV990109,WV990109SERV_GP,SERV_GP,2021-10-01 00:00:00
Amcor Rigid Plastics Usa Inc,IN990187,IN990187SERV_GP,SERV_GP,2024-09-01 00:00:00
Amcor Rigids C/O Aramark Gbs Facility Operations Center,IN990397,IN990397SERV_GP,SERV_GP,2026-01-06 00:00:00
Ameresco,AMERESCO,AMERESCOMECH_GP,MECH_GP,2014-05-01 00:00:00
American Fuji Seal Inc,LV990351,LV990351SERV_GP,SERV_GP,2025-11-01 00:00:00
American Greetings Corporation,LX990462,LX990462SERV_GP,SERV_GP,2026-01-01 00:00:00
American Hermetic,AME001,AME001SERV_GP,SERV_GP,2024-03-07 00:00:00
American House Halls,TN992139,TN992139SERV_GP,SERV_GP,2024-01-31 00:00:00
American Mortgage,CN991108,CN991108SERV_GP,SERV_GP,2023-02-28 00:00:00
American Mortgage Service Company,IN990328,IN990328SERV_GP,SERV_GP,2023-04-01 00:00:00
American Red Cross,CN992145,CN992145SERV_GP,SERV_GP,2025-12-08 00:00:00
American Regent,DY991045,DY991045SERV_GP,SERV_GP,2025-12-01 00:00:00
American Society For Clinical Pathology,IN990363,IN990363SERV_GP,SERV_GP,2025-06-01 00:00:00
American Standard,DY991139,DY991139SERV_GP,SERV_GP,2025-12-19 00:00:00
America'S Collectibles Network,TN991469,TN991469SERV_GP,SERV_GP,2025-11-14 00:00:00
Amerimed,AMERIMED,AMERIMEDMECH_GP,MECH_GP,2017-04-01 00:00:00
Amerimed,CN992267,CN992267SERV_GP,SERV_GP,2024-12-03 00:00:00
Ameriplex 2 Llc C/O Jones Lang Lasalle Americas Inc,IN990372,IN990372SERV_GP,SERV_GP,2021-02-04 00:00:00
Amfine Chemical Corporation,NV15074,NV15074SERV_GP,SERV_GP,2025-04-01 00:00:00
Amk Services Llc,LX990479,LX990479SERV_GP,SERV_GP,2025-12-11 00:00:00
Ammega Us Inc Dba Midwest Industrial Rubber,LV990473,LV990473SERV_GP,SERV_GP,2023-09-05 00:00:00
Analysis And Measurement Services Corporation,TN991940,TN991940SERV_GP,SERV_GP,2021-01-01 00:00:00
Ancra Cargo,CN992050,CN992050SERV_GP,SERV_GP,2025-06-11 00:00:00
Ancra Cargo,CN992363,CN992363SERV_GP,SERV_GP,2025-07-18 00:00:00
Anderson County Fiscal Court,ANDERSON,ANDERSONMECH_GP,MECH_GP,2025-03-01 00:00:00
Andrew Kintz,NV00117,NV00117SERV_GP,SERV_GP,2021-07-01 00:00:00
Andy Lindsey,LV990485,LV990485SERV_GP,SERV_GP,2024-09-09 00:00:00
Ankaa Global Logistics,LV990500,LV990500SERV_GP,SERV_GP,2025-11-21 00:00:00
Ann Schaad,TN991722,TN991722SERV_GP,SERV_GP,2022-12-29 00:00:00
Annunciation Greek Orthodox Church,DY991157,DY991157SERV_GP,SERV_GP,2026-01-01 00:00:00
Anson Logistics Assets Llc,DY991021,DY991021SERV_GP,SERV_GP,2023-06-15 00:00:00
"Answers In Genesis Of Ky, Inc.",ANSWERSINGENESI,ANSWERSINGENESIMECH_GP,MECH_GP,2011-12-01 00:00:00
Anytime Fitness,CN991945,CN991945SERV_GP,SERV_GP,2023-09-22 00:00:00
Ap Tech Group,CN991455,CN991455SERV_GP,SERV_GP,2025-12-22 00:00:00
Aquisense,CN992036,CN992036SERV_GP,SERV_GP,2023-04-01 00:00:00
Aramark Gbs,DY991113,DY991113SERV_GP,SERV_GP,2025-11-01 00:00:00
Arc,ARC,ARCMECH_GP,MECH_GP,2024-05-01 00:00:00
Archdiocese Of Cincinnati,CN992205,CN992205SERV_GP,SERV_GP,2022-10-14 00:00:00
Archdioceses Of Cincinnati,ARCHDIOCESE CIN,ARCHDIOCESE CINMECH_GP,MECH_GP,2012-02-01 00:00:00
"Arco Design Build Midwest, Inc.",ARCO,ARCOMECH_GP,MECH_GP,2026-01-01 00:00:00
Arco Murray National Const. Co. Inc.,ARCOMURRAY,ARCOMURRAYMECH_GP,MECH_GP,2026-01-01 00:00:00
Argosy Casino Hotel,ARGOSY CASINO,ARGOSY CASINOMECH_GP,MECH_GP,2008-05-01 00:00:00
Ark Llc - Brookvale C/O Avison Young,TN992032,TN992032SERV_GP,SERV_GP,2025-11-17 00:00:00
Arku,CN992147,CN992147SERV_GP,SERV_GP,2025-11-01 00:00:00
Armstrong Relocation Louisville,LV990436,LV990436SERV_GP,SERV_GP,2025-07-31 00:00:00
Armstrong Utilities,WV990284,WV990284SERV_GP,SERV_GP,2025-09-23 00:00:00
Arrow Dental,LX990505,LX990505SERV_GP,SERV_GP,2025-12-16 00:00:00
Arrow Wine & Spirits,ARROW WINE,ARROW WINEMECH_GP,MECH_GP,2020-07-01 00:00:00
Arrow Wine And Spirits Mason,CN992207,CN992207SERV_GP,SERV_GP,2025-11-21 00:00:00
Art Geissler,LV990154,LV990154SERV_GP,SERV_GP,2025-09-01 00:00:00
Artazn Llc,TN992081,TN992081SERV_GP,SERV_GP,2025-12-22 00:00:00
Artisan Mechanical,ARTISAN,ARTISANMECH_GP,MECH_GP,2009-03-01 00:00:00
Art'S Rental,CN992128,CN992128SERV_GP,SERV_GP,2021-07-07 00:00:00
Arvato Digital Usa Llc C/O Accounts Payable,LV990367,LV990367SERV_GP,SERV_GP,2025-12-21 00:00:00
Ashbusters Chimney Service,TN992172,TN992172SERV_GP,SERV_GP,2024-06-12 00:00:00
Ashland Avenue Baptist Church,LX9900113,LX9900113SERV_GP,SERV_GP,2026-01-01 00:00:00
Ashland Credit Union,WV990307,WV990307SERV_GP,SERV_GP,2025-12-23 00:00:00
Aspen Grove-The Stanton Group,NV15106,NV15106SERV_GP,SERV_GP,2025-12-19 00:00:00
Asphalt Institute,LX950226,LX950226SERV_GP,SERV_GP,2025-06-12 00:00:00
Atchison Heller Construction Co,ATCHISON HELLER,ATCHISON HELLERMECH_GP,MECH_GP,2015-05-01 00:00:00
Ateck Corporation,ATECK CORP,ATECK CORPMECH_GP,MECH_GP,2025-12-01 00:00:00
Athenaeum Of Ohio/Mt. St. Mary'S Seminary,CN992238,CN992238SERV_GP,SERV_GP,2025-12-01 00:00:00
Atkins & Pearce,CN991568,CN991568SERV_GP,SERV_GP,2021-03-01 00:00:00
Atkins & Stang,ATKINS STANG,ATKINS STANGMECH_GP,MECH_GP,2018-08-01 00:00:00
Atlas Air Inc,CN991873,CN991873SERV_GP,SERV_GP,2024-02-24 00:00:00
"Atlas Air, Inc",ATLAS AIR,ATLAS AIRMECH_GP,MECH_GP,2018-12-01 00:00:00
Atrium Lp C/O Commercial & Investmentproperties,TN992207,TN992207SERV_GP,SERV_GP,2025-10-01 00:00:00
Audi Knoxville,TN991899,TN991899SERV_GP,SERV_GP,2025-11-01 00:00:00
Auglaize County,CN991226,CN991226SERV_GP,SERV_GP,2025-12-01 00:00:00
Auglaize County Commissioners,AUGLAIZE CO,AUGLAIZE COMECH_GP,MECH_GP,2016-01-01 00:00:00
Aurora Properties Llc C/O Avison Young,TN992189,TN992189SERV_GP,SERV_GP,2026-01-01 00:00:00
Austin Landing North Llc,DY990994,DY990994SERV_GP,SERV_GP,2026-01-01 00:00:00
"Austin Landing North, Llc",DY991020,DY991020SERV_GP,SERV_GP,2021-06-16 00:00:00
Auto Truck Group,LV990428,LV990428SERV_GP,SERV_GP,2024-12-16 00:00:00
Automotive Steering Column Llc,CN992001,CN992001SERV_GP,SERV_GP,2024-01-12 00:00:00
Aveda Mid America,CN991055,CN991055SERV_GP,SERV_GP,2023-11-01 00:00:00
Avi Foodsystems Inc,IN990469,IN990469SERV_GP,SERV_GP,2025-12-04 00:00:00
"Avi Foodsystems, Inc.",AVI,AVIMECH_GP,MECH_GP,2020-01-01 00:00:00
Avis Phillips,TN992102,TN992102SERV_GP,SERV_GP,2022-09-15 00:00:00
Avison Young,TN960672,TN960672SERV_GP,SERV_GP,2025-08-25 00:00:00
Avison Young - Billing,NV00086,NV00086SERV_GP,SERV_GP,2024-03-27 00:00:00
Azenta Us Inc,IN990478,IN990478SERV_GP,SERV_GP,2026-01-01 00:00:00
Azz Galvanizing,CN992016,CN992016SERV_GP,SERV_GP,2025-11-17 00:00:00
B&B Properties,TN991827,TN991827SERV_GP,SERV_GP,2023-01-16 00:00:00
Babylist,DY991133,DY991133SERV_GP,SERV_GP,2025-01-23 00:00:00
"Bae Systems, Llc",BAE SYSTEMS,BAE SYSTEMSMECH_GP,MECH_GP,2010-09-01 00:00:00
"Baeolophus Partners, Llc.",CN991599,CN991599SERV_GP,SERV_GP,2026-01-01 00:00:00
Baker Construction Enterprises Inc,DY980007,DY980007SERV_GP,SERV_GP,2025-12-01 00:00:00
Baldwin Building,CN940029,CN940029SERV_GP,SERV_GP,2021-06-08 00:00:00
"Balfour Beatty Construction, Llc",BALFOUR BEATTY,BALFOUR BEATTYMECH_GP,MECH_GP,2015-07-01 00:00:00
Ball Corporation,CN991589,CN991589SERV_GP,SERV_GP,2021-04-01 00:00:00
Baltimore Air Coil Company,BAC,BACMECH_GP,MECH_GP,2009-11-01 00:00:00
Bambeck And Vest,BAMBECK,BAMBECKMECH_GP,MECH_GP,2007-03-01 00:00:00
Bar Louie Murfreesboro,NV15093,NV15093SERV_GP,SERV_GP,2025-11-01 00:00:00
Bar Louie Nashville,NV15099,NV15099SERV_GP,SERV_GP,2025-11-01 00:00:00
Barger Concepts Llc,TN992143,TN992143SERV_GP,SERV_GP,2023-11-28 00:00:00
Bark Box Inc,CN992310,CN992310SERV_GP,SERV_GP,2025-09-19 00:00:00
Batavia Local School District,CN980097,CN980097SERV_GP,SERV_GP,2026-01-09 00:00:00
Batteries Plus 294,NV00132,NV00132SERV_GP,SERV_GP,2021-01-29 00:00:00
Battle Ground Academy,NV15070,NV15070SERV_GP,SERV_GP,2024-08-01 00:00:00
Bay Gov Llc Viking Partners Management Inc,CN992024,CN992024SERV_GP,SERV_GP,2020-10-20 00:00:00
Bc Terminals Llc C/O Commercial & Investment Properties,TN992079,TN992079SERV_GP,SERV_GP,2025-12-03 00:00:00
Bdg Properties,LV990153,LV990153SERV_GP,SERV_GP,2023-06-01 00:00:00
Beacon Electric Company,BEACON ELECT,BEACON ELECTMECH_GP,MECH_GP,2010-01-01 00:00:00
"Beacon Orthopaedics Facilities, Llc",BEACONORTHOFACI,BEACONORTHOFACIMECH_GP,MECH_GP,2024-12-01 00:00:00
Beacon Orthopedics & Sports Medicine,BEACON,BEACONMECH_GP,MECH_GP,2005-10-01 00:00:00
Bearded Iris Brewing,NV15076,NV15076SERV_GP,SERV_GP,2025-12-19 00:00:00
Bearden Hill Office Partners,TN991798,TN991798SERV_GP,SERV_GP,2025-12-22 00:00:00
Beautiful Savior Lutheran Church And School,CN992339,CN992339SERV_GP,SERV_GP,2025-12-17 00:00:00
Beaver Dam Baptist Church,TN960660,TN960660SERV_GP,SERV_GP,2025-12-18 00:00:00
Beckley Arh Hospital,WV990184,WV990184SERV_GP,SERV_GP,2026-01-01 00:00:00
Bedford Acres Christian Church,LX990112,LX990112SERV_GP,SERV_GP,2020-10-07 00:00:00
Belcan,BELCAN,BELCANMECH_GP,MECH_GP,2011-08-01 00:00:00
Belflex Staffing Network,LV990305,LV990305SERV_GP,SERV_GP,2021-11-05 00:00:00
Belkin Inc.,IN990317,IN990317SERV_GP,SERV_GP,2023-11-27 00:00:00
Bell County Fiscal Court,BELL COUNTY,BELL COUNTYMECH_GP,MECH_GP,2020-08-01 00:00:00
Bellarmine University,LV990382,LV990382SERV_GP,SERV_GP,2024-08-31 00:00:00
Belterra Resort Indiana,LV990499,LV990499SERV_GP,SERV_GP,2025-07-01 00:00:00
"Belterra Resort Indiana, Llc",BELTERRA,BELTERRAMECH_GP,MECH_GP,2010-04-01 00:00:00
Beltone,LX990435,LX990435SERV_GP,SERV_GP,2023-04-18 00:00:00
Benchmark Physical Therapy,TN992148,TN992148SERV_GP,SERV_GP,2023-12-18 00:00:00
Bernard Laboratories Inc,CN992242,CN992242SERV_GP,SERV_GP,2024-02-29 00:00:00
"Bertke Electric Co., Inc.",BERTKE ELECT,BERTKE ELECTMECH_GP,MECH_GP,2010-09-01 00:00:00
Best Sanitizers Inc.,BEST SANITIZERS,BEST SANITIZERSMECH_GP,MECH_GP,2014-04-01 00:00:00
Best-One Tire & Service Of Lima,DY991048,DY991048SERV_GP,SERV_GP,2022-05-17 00:00:00
Bethlehem High School,LV990133,LV990133SERV_GP,SERV_GP,2025-11-01 00:00:00
Bexley City School District,CN991515,CN991515SERV_GP,SERV_GP,2025-12-01 00:00:00
Bgis Us Llc Re: Regions,IN990497,IN990497SERV_GP,SERV_GP,2025-08-04 00:00:00
Bgis Us Llc Re: Regions,TN992075,TN992075SERV_GP,SERV_GP,2025-12-18 00:00:00
Bgr,BGR,BGRMECH_GP,MECH_GP,2006-06-01 00:00:00
Bgr Inc,CN990123,CN990123SERV_GP,SERV_GP,2025-08-01 00:00:00
Bgr Packaging,LV990510,LV990510SERV_GP,SERV_GP,2026-01-01 00:00:00
Bgr Packaging - Indianapolis,IN990514,IN990514SERV_GP,SERV_GP,2025-10-01 00:00:00
Bhdp Architecture,BHDP ARCHITECTU,BHDP ARCHITECTUMECH_GP,MECH_GP,2017-09-01 00:00:00
Bible Center Church,WV990148,WV990148SERV_GP,SERV_GP,2025-11-21 00:00:00
Bible Harris Smith Pc,TN991797,TN991797SERV_GP,SERV_GP,2025-11-01 00:00:00
Big Lots Stores Inc,IN990167,IN990167SERV_GP,SERV_GP,2024-12-01 00:00:00
Bill & Lisa Hughes,CN992226,CN992226SERV_GP,SERV_GP,2025-01-03 00:00:00
Bill Kenney,BILL KENNEY,BILL KENNEYMECH_GP,MECH_GP,2013-09-01 00:00:00
Billerud Us Production Holdings Llc,DY991150,DY991150SERV_GP,SERV_GP,2025-12-01 00:00:00
Billy Hays,LV990486,LV990486SERV_GP,SERV_GP,2023-12-08 00:00:00
Binford Electric,WV990306,WV990306SERV_GP,SERV_GP,2026-01-01 00:00:00
Birtley Industrial Equipment Corporation,LX990440,LX990440SERV_GP,SERV_GP,2025-11-24 00:00:00
Biscan Construction,BISCAN,BISCANMECH_GP,MECH_GP,2022-10-01 00:00:00
Bishop Fenwick High School,DY990915,DY990915SERV_GP,SERV_GP,2025-07-16 00:00:00
Black Rifle Coffee Company,NV00104,NV00104SERV_GP,SERV_GP,2024-10-03 00:00:00
Blaine Construction Corporation,TN200410,TN200410SERV_GP,SERV_GP,2025-12-09 00:00:00
Bloomfield/Schon + Partners,BLOOMFIELD SCHO,BLOOMFIELD SCHOMECH_GP,MECH_GP,2009-11-01 00:00:00
"Blount Memorial Hospital, Inc",TN992095,TN992095SERV_GP,SERV_GP,2025-11-01 00:00:00
Blue Ash Acquistions C/O Collier,COLLIERSINT,COLLIERSINTMECH_GP,MECH_GP,2024-11-01 00:00:00
Blue Buffalo Co,CN991548,CN991548SERV_GP,SERV_GP,2023-01-01 00:00:00
Blue Holdings Llc Co Foundry Commerical Llc,NV15029,NV15029SERV_GP,SERV_GP,2025-12-16 00:00:00
"Blue Ridge Realty, Inc C/O Lakeside Centre Realty Partners Llc",TN991975,TN991975SERV_GP,SERV_GP,2023-08-21 00:00:00
"Blue Ridge Realty, Inc. C/O Brookvale Ii, Llc.",TN991871,TN991871SERV_GP,SERV_GP,2023-11-01 00:00:00
"Blue Ridge Realty, Inc. C/O Brookview Promenade, Llc",TN991863,TN991863SERV_GP,SERV_GP,2025-12-17 00:00:00
"Blue Ridge Realty, Inc. C/O Cross Park Plaza Association, Inc",TN991860,TN991860SERV_GP,SERV_GP,2026-01-01 00:00:00
"Blue Ridge Realty, Inc. C/O Pellissippi South, Llc",TN991861,TN991861SERV_GP,SERV_GP,2025-12-16 00:00:00
"Blue Ridge Realty, Inc. C/O Two Lakeside Realty, Llc",TN991862,TN991862SERV_GP,SERV_GP,2025-12-23 00:00:00
Blue River Career Programs,IN990479,IN990479SERV_GP,SERV_GP,2025-12-15 00:00:00
Blue Star,BLUE STAR,BLUE STARMECH_GP,MECH_GP,2007-06-01 00:00:00
Blue Star Plastics,LX990179,LX990179SERV_GP,SERV_GP,2022-11-18 00:00:00
Bluegrace Logistics,IN990374,IN990374SERV_GP,SERV_GP,2021-02-24 00:00:00
Bluegrass Community Hospital C/O Lifepoint,LX990500,LX990500SERV_GP,SERV_GP,2025-12-15 00:00:00
