DivisionCode,Division,Region,Company
INDY VACA,Indianapolis,Indianapolics,Service
INDY TRAINING,Indianapolis,Indianapolics,Service
NASH DOWNTIME,Nashville,Nashville,Service
NASH SUPERVISE,Nashville,Nashville,Service
NASH TRAINING,Nashville,Nashville,Service
NASH VAC/HOL,Nashville,Nashville,Service
KNOX DOWNTIME,Knoxville,South,Service
KNOX SUPERVISE,Knoxville,South,Service
KNOX TRAINING,Knoxville,South,Service
KNOX I,Knoxville,South,Service
KNOX A,Knoxville,South,Service
CHAT A,Chattanooga,South,Service
CINCY OM PROJ,Cincinnati,North,Service
KNOX OM CNTRACT,Knoxville,South,Service
CHAT C,Chattanooga,South,Service
DAY C,Dayton,North,Service
CINCY A,Cincinnati,North,Service
NASH PROJ,Nashville,Nashville,Service
DAY A,Dayton,North,Service
DAY OM CONTRACT,Dayton,North,Service
CINCY I,Cincinnati,North,Service
CINCY OM CONT,Cincinnati,North,Service
COL A,Columbus,North,Service
INDY PROJ,Indianapolis,Indianapolics,Service
INDY C,Indianapolis,Indianapolics,Service
COL OM CONTRACT,Columbus,North,Service
INDY OM CONT,Indianapolis,Indianapolics,Service
COL OM REPAIR,Columbus,North,Service
INDY I,Indianapolis,Indianapolics,Service
INDY A,Indianapolis,Indianapolics,Service
WVA PROJ,West Virginia,Central,Service
WVA OM PROJ,West Virginia,Central,Service
LOU PROJ,Louisville,Central,Service
LEX PROJ,Lexington,Central,Service
LOU A,Louisville,Central,Service
CFS A,TFS,TFS,TFS
CFS OM CONTRACT,TFS,TFS,TFS
CFS C,TFS,TFS,TFS
CFS OM PROJECT,TFS,TFS,TFS
LOU I,Louisville,Central,Service
LEX OM PROJ,Lexington,Central,Service
WVA A,West Virginia,Central,Service
CFS PROJ,TFS,TFS,TFS
CFS SLS ASSIST,TFS,TFS,TFS
LEX OM CONT,Lexington,Central,Service
LEX SALES ASST,Lexington,Central,Service
WVA SALES ASST,West Virginia,Central,Service
CINCY OM DOWNTI,Cincinnati,North,Service
CINCY SALES AST,Cincinnati,North,Service
CINCY R&D,Cincinnati,North,Service
CINCY TRNING,Cincinnati,North,Service
CINCY VACA,Cincinnati,North,Service
DAY OM DOWNTIME,Dayton,North,Service
DAY SALES ASST,Dayton,North,Service
DAY SUPERVSN,Dayton,North,Service
DAY VACA,Dayton,North,Service
INDY SALES ASST,Indianapolis,Indianapolics,Service
INDY SUPERVSN,Indianapolis,Indianapolics,Service
NASH SALES ASST,Nashville,Nashville,Service
KNOX SALES ASST,Knoxville,South,Service
KNOX VACATION,Knoxville,South,Service
DAY OM PROJ,Dayton,North,Service
KNOX REPAIR,Knoxville,South,Service
CINCY REPAIR,Cincinnati,North,Service
NASH REPAIR,Nashville,Nashville,Service
INDY REPAIR,Indianapolis,Indianapolics,Service
LEX REPAIR,Lexington,Central,Service
LOUISV REPAIR,Louisville,Central,Service
DAY REPAIR,Dayton,North,Service
WVA REPAIR,West Virginia,Central,Service
COL REPAIR,Columbus,North,Service
WVA OM REPAIR,West Virginia,Central,Service
CFS REPAIR,TFS,TFS,TFS
CFS OM REPAIR,TFS,TFS,TFS
CHATT REPAIR,Chattanooga,South,Service
DAYTON REPAIR,Dayton,North,Service
CINCY OM REPAIR,Cincinnati,North,Service
CN PROJ REPAIR,Cincinnati,North,Service
DAY OM REPAIR,Dayton,North,Service
WVA SUPERVISION,West Virginia,Central,Service
DY PROJ REPAIR,Dayton,North,Service
NV PROJ REPAIR,Unknown,Misc,Misc
LX PROJ REPAIR,Lexington,Central,Service
WV PROJ REPAIR,West Virginia,Central,Service
LV PROJ REPAIR,Unknown,Misc,Misc
CFS PROJ REPAIR,TFS,TFS,TFS
KX PROJ REPAIR,Knoxville,South,Service
IN PROJ REPAIR,Indianapolis,Indianapolics,Service
NASH OM REPAIR,Nashville,Nashville,Service
