CUSTOMER_NUMBER,CUSTOMER_KEY,CUSTOMER_NAME,CUSTOMER_CLASS,ADDRESS1,ADDRESS2,COUNTRY,CITY,STATE,ZIP,PHONE1,PAYMENT_TERM,CREATED,UPDATED
IN990500,IN990500SERV_GP,1ELEVANBIO,INDIANAPOLIS   ,12001 EXIT 5 PRKWY,,,FISHERS,IN,46037,57425017900000,Net 30               ,4/21/2025 0:00,4/21/2025 0:00
IN990470,IN990470SERV_GP,20 N DELAWARE LLC,INDIANAPOLIS   ,PO BOX 706,,,DANVILLE,IN,46122-0706,31765872700000,Net 30               ,5/14/2024 0:00,10/30/2024 0:00
TN991431,TN991431SERV_GP,21ST MORTGAGE CORPORATION,KNOXVILLE      ,PO BOX 2706,,,KNOXVILLE,TN,37901,86552321201592,Net 30               ,3/14/2013 0:00,1/30/2023 0:00
LV990360,LV990360SERV_GP,25 AGAIN BY BODY SHAPES MEDICAL,LOUISVILLE     ,9600 BROWNSBORO RD SUITE 200,,,LOUISVILLE,KY,40241,50242505000000,Net 30               ,5/23/2017 0:00,10/26/2021 0:00
CN990912,CN990912SERV_GP,299 SHOE WAREHOUSE,CINCINNATI     ,6060 HAMILTON AVENUE,,,CINCINNATI,OH,45224,00000000000000,Net 30               ,8/1/2005 0:00,1/26/2021 0:00
CN980064,CN980064SERV_GP,2-J SUPPLY CO INC,CINCINNATI     ,872 VALLEY STREET,,,DATYON,OH,45404,00000000000000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
DY980064,DY980064SERV_GP,2-J SUPPLY CO INC,DAYTON         ,872 VALLEY STREET,,,DAYTON,OH,45404,80022813250000,                     ,10/6/2004 0:00,1/26/2021 0:00
CN990361,CN990361SERV_GP,2ND NATIONAL BANK,CINCINNATI     ,830 MAIN STREET,,,CINCINNATI,OH,45202,51324603130000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
CN990014,CN990014SERV_GP,2ND SOURCE CELLULAR,CINCINNATI     ,2205 GLOBAL WAY,,,HEBRON,KY,41048,85968902230000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
2NDS IN BLDG,2NDS IN BLDGMECH_GP,2nds in Building Material,COMMERCIAL     ,6052 Lee Highway,,,"Chattanooga,",TN,37421,51384191500000,Net 10               ,4/21/2004 0:00,4/21/2004 0:00
DY990863,DY990863SERV_GP,3 D TECHNICAL SERVICES,DAYTON         ,255 INDUSTRIAL DRIVE,,,FRANKLIN,OH,45005,93774629010000,                     ,10/13/2006 0:00,1/26/2021 0:00
TN991744,TN991744SERV_GP,300 GAY STREET CONDOMINIUMS INC,KNOXVILLE      ,300 GAY STREET CONDOMINIUMS INC,,,KNOXVILLE,TN,37902,86548236020000,Net 30               ,8/28/2015 0:00,1/30/2023 0:00
CN940350,CN940350SERV_GP,3001 HIGHLAND PARTNERSHIP,CINCINNATI     ,3001 HIGHLAND AVE,,,CINCINNATI,OH,45219,51396188610000,Net 30               ,10/6/2004 0:00,10/6/2023 0:00
COR001,COR001SERV_GP,308 Corporate Center,NASHVILLE      ,308 Seaboard Lane,,,Franklin,TN,37067,61545632010000,Net 30               ,6/3/2014 0:00,6/16/2014 0:00
FL00017,FL00017SERV_GP,30916D/LINCOLN HARRIS,FLORIDA        ,1121 NW 64TH TERRACE SUTIE C,,,GAINESVILLE,FL,32605,35233288820000,Net 30               ,2/1/2016 0:00,2/1/2016 0:00
FL00014,FL00014SERV_GP,30916E/LINCOLN HARRIS,FLORIDA        ,1121 NW 64TH TERRACE SUITE C,,,GAINESVILLE,FL,32605,35233288820000,Net 30               ,2/1/2016 0:00,2/1/2016 0:00
TN992121,TN992121SERV_GP,34 MARKET SQUARE LLC,KNOXVILLE      ,28 MARKET SQUARE,,,KNOXVILLE,TN,37902,86525547750000,Net 30               ,4/28/2023 0:00,5/10/2023 0:00
NV15030,NV15030SERV_GP,3665 MALLORY JV LLC CO FOUNDRY COMMERCIAL LLC,NASHVILLE      ,511 UNION ST STE 810,,,NASHVILLE,TN,37219,62920313970000,Net 30               ,1/30/2023 0:00,1/30/2023 0:00
NV15105,NV15105SERV_GP,"38 VENTURES, LLC",NASHVILLE      ,PO BOX 993,,,BRENTWOD,TN,37027,61592819390000,Net 30               ,10/21/2025 0:00,10/21/2025 0:00
3D TECH,3D TECHMECH_GP,3D TECHNICAL SERVICES,COMMERCIAL     ,255 INDUSTRIAL DRIVE,,,FRANKLIN,OH,45005,93774629010000,Net 10               ,12/19/2006 0:00,12/19/2006 0:00
TN992018,TN992018SERV_GP,3LS PROPERTIES CHATTANOOGA C/O REALTY TRUST GROUP,KNOXVILLE      ,2220 SUTHERLAND AVENUE,,,KNOXVILLE,TN,37919,86552106300000,Net 30               ,9/30/2020 0:00,1/30/2023 0:00
LX950057,LX950057SERV_GP,3M,LEXINGTON      ,1308 NEW LAIR RD,,,CYNTHIANA,KY,41031,85923456710000,Net 30               ,10/12/2004 0:00,4/14/2009 0:00
DY990867,DY990867SERV_GP,4 OVER,DAYTON         ,7801 TECHNOLOGY BLVD.,,,HUBER HEIGHTS,OH,45424,81824611700203,Net 30               ,6/15/2007 0:00,1/26/2021 0:00
IN990305,IN990305SERV_GP,40 PREMIER COMMERCIAL REAL ESTATE,INDIANAPOLIS   ,6284 RUCKER RD,SUITE M,,INDIANAPOLIS,IN,46220,31745471710000,Net 30               ,8/13/2018 0:00,1/26/2021 0:00
4000 ASSOCIATES,4000 ASSOCIATESMECH_GP,4000 ASSOCIATES,COMMERCIAL     ,1113 RED FOX RD,,,LOUISVILLE,KY,40205,50255310890000,Net 10               ,7/10/2007 0:00,7/10/2007 0:00
LV990059,LV990059SERV_GP,4000 ASSOCIATES,LOUISVILLE     ,1113 RED FOX ROAD,,,LOUISVILLE,KY,40205,50255310890000,Net 30               ,6/30/2007 0:00,4/14/2009 0:00
IN990133,IN990133SERV_GP,429 TIC C/O STENZ MANAGEMENT CO,INDIANAPOLIS   ,429 N PENNSYLVANIA STREET,,,INDIANAPOLIS,IN,46204,31726249990000,Net 30               ,6/5/2013 0:00,1/26/2021 0:00
45NINETYCONSTRU,45NINETYCONSTRUMECH_GP,45 NINETY CONSTRUCTION,COMMERCIAL     ,5533 FAIR LANE,,,CINCINNATI,OH,45227,51326323770000,Net 10               ,12/30/2024 0:00,2/6/2025 0:00
CN992334,CN992334SERV_GP,"45NINETY CONSTRUCTION, INC",CINCINNATI     ,5533 FAIR LANE,,,CINCINNATI,OH,45227,51356245900000,Net 30               ,3/13/2025 0:00,1/5/2026 0:00
4J REDEVLOP,4J REDEVLOPMECH_GP,4J Redevelopment LLC,COMMERCIAL     ,403 Vine Street,,,"Cincinnati,",OH,45202,51323535600000,Net 10               ,2/19/2008 0:00,2/19/2008 0:00
LV990332,LV990332SERV_GP,4TH STREET LIVE,LOUISVILLE     ,411 SOUTH 4TH ST,SUITE 180,,LOUISVILLE,KY,40202,50258523300000,Net 30               ,6/28/2016 0:00,6/28/2016 0:00
WV990274,WV990274SERV_GP,5/3 BANK,WEST VIRGINIA  ,1422 WINCHESTER AVE,,,ASHLAND,KY,41101,51388377810000,Net 30               ,7/28/2022 0:00,5/7/2024 0:00
2,2SERV_QUAD,502 Fletcher Ave LLC,,,,,,,,,,,
IN990440,IN990440SERV_GP,502 FLETCHER AVE LLC,INDIANAPOLIS   ,PO BOX 706,,,DANVILLE,IN,46122,31765872700000,Net 30               ,5/18/2023 0:00,5/18/2023 0:00
CN992127,CN992127SERV_GP,513 PROPERTY MANAGEMENT,CINCINNATI     ,537 PETE ROSE WAY,,,CINCINNATI,OH,45202,51380020100000,Net 30               ,6/29/2021 0:00,6/29/2021 0:00
LX990324,LX990324SERV_GP,521 ASSOCIATES LLP,LOUISVILLE     ,8704 OLDBURY CT,,,LOUISVILLE,KY,40222,50226281850000,Net 30               ,6/14/2016 0:00,6/14/2016 0:00
TN950055,TN950055SERV_GP,531 CORPORATION,KNOXVILLE      ,531 S. GAY STREET,,,KNOXVILLE,TN,37902,61554418080000,Net 30               ,10/6/2005 0:00,1/30/2023 0:00
IN990483,IN990483SERV_GP,5501-5599 WEST 74TH ST (IN),INDIANAPOLIS   ,"100 MATSONFORD RD, STE 250",NXS 6831 - 004950,,RADNOR,PA,19087,48463986320000,Net 30               ,10/9/2024 0:00,1/15/2026 0:00
IN990273,IN990273SERV_GP,56 STREET LLC,INDIANAPOLIS   ,9105 E 56 STREET LLC,,,INDIANAPOLIS,IN,46216,31751352020000,Net 30               ,10/20/2017 0:00,2/24/2022 0:00
IN990525,IN990525SERV_GP,6024-6108 WEST 79TH STREET (IN),INDIANAPOLIS   ,"100 MATSONFORD RD, STE 250",NX 6834 - 004950,,RADNOR,PA,19087,31728900500000,Net 30               ,1/15/2026 0:00,1/15/2026 0:00
617 VINE,617 VINEMECH_GP,"617 Vine Street, LLC",COMMERCIAL     ,617 Vine Street,,,Cincinnati,OH,45202,00000000000000,Net 10               ,8/12/2003 0:00,8/12/2003 0:00
TN991242,TN991242SERV_GP,625 MARKET STREET,KNOXVILLE      ,C/O TROTTER INCORPORATED,"625 MARKET STREET., SUITE 1500",,KNOXVILLE,TN,37902,86552548002220,Net 30               ,11/11/2008 0:00,5/26/2023 0:00
CN991250,CN991250SERV_GP,7251 E KEMPER RD LLC C/O NEYER REAL ESTATE MANAGEMENT LLC,CINCINNATI     ,644 LINN STREET,SUITE 1233,,CINCINNATI,OH,45203,51334562770000,Net 30               ,3/2/2010 0:00,1/21/2022 0:00
LV990102,LV990102SERV_GP,732 SOCIAL,LOUISVILLE     ,732 EAST MARKET STREET,,,LOUISVILLE,KY,40202,50258368820000,Net 30               ,6/16/2010 0:00,6/16/2010 0:00
IN990528,IN990528SERV_GP,7451 - 7543 WINTON DRIVE (IN),INDIANAPOLIS   ,"100 MATSONFORD RD, STE 250",,,RADNOR,PA,19087,31728900500000,Net 30               ,1/15/2026 0:00,1/15/2026 0:00
IN990246,IN990246SERV_GP,8200 HAVERSTICK LLC C/O JLL,INDIANAPOLIS   ,8200 HAVERSTICK RD,,,INDIANAPOLIS,IN,46240,31781501470000,Net 30               ,4/11/2017 0:00,1/26/2021 0:00
CN991445,CN991445SERV_GP,8TH MAIN STREET,CINCINNATI     ,8 MAIN STREET,,,MILFOD,OH,45150,51396702000000,Net 30               ,7/13/2012 0:00,1/26/2021 0:00
IN990321,IN990321SERV_GP,9292 N MERIDIAN ST. LLC,INDIANAPOLIS   ,9292 N MERIDIAN ST.,,,INDIANAPOLIS,IN,46260,31784483000000,Net 30               ,1/15/2019 0:00,1/26/2021 0:00
TN991662,TN991662SERV_GP,93 PALLADIUM WAY PROPERTY LLC,KNOXVILLE      ,C/O DIVARIS PROPERTY MANAGMENET CORP,C/O DIVARIS PROPERTY MANAGEMENT CORP,,MCLEAN,VA,22102,98081900890000,Net 30               ,3/17/2014 0:00,7/23/2025 0:00
CN992294,CN992294SERV_GP,9349 WATERSTONE BLVD LLC,CINCINNATI     ,PO BOX 744,,,DAYTON,OH,45401-0744,93793666260000,Net 30               ,6/4/2024 0:00,6/4/2024 0:00
WV990083,WV990083SERV_GP,966 ASSET MANAGEMENT,WEST VIRGINIA  ,6900 COUNTRY CLUB DRIVE,,,HUNTINGTON,WV,25705,20596864480000,Net 30               ,6/9/2009 0:00,4/26/2021 0:00
IN990522,IN990522SERV_GP,9998 EAST 121ST STREET,INDIANAPOLIS   ,"100 MATSONFORD ROAD, STE 250",NXS 7406 - 004950,,RADNOR,PA,19087,48463986320000,Net 30               ,12/2/2025 0:00,12/2/2025 0:00
NV15069,NV15069SERV_GP,A & M MECHANICAL SERVICE INC,NASHVILLE      ,3522 CENTRAL PIKE,# 212,,HERMITAHE,TN,37076,61597309080000,Net 30               ,5/2/2024 0:00,5/2/2024 0:00
CN960140,CN960140SERV_GP,"A CAMACHO, INC.",CINCINNATI     ,2791 CIRCLEPORT DRIVE,,,ERLANGER,KY,41018,85937111660000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
CN992110,CN992110SERV_GP,A CHILDS HOPE INT'L,CINCINNATI     ,2430 E KEMPER ROAD,,,CINCINNATI,OH,45241,51377122440000,Net 30               ,3/3/2021 0:00,3/3/2021 0:00
TN960047,TN960047SERV_GP,A T & T,KNOXVILLE      ,J M CURREN 61211D,,,LEXINGTON,KY,40500,00000000000000,Net 30               ,10/6/2005 0:00,1/30/2023 0:00
LV960047,LV960047SERV_GP,A T & T,LOUISVILLE     ,115 SOUTH 84TH STREET SUITE 10,Attn: Cindy Green,,MILWAUKEE,WI,53214,00000000000000,Net 30               ,10/12/2004 0:00,4/14/2009 0:00
AT REDEVELOP,AT REDEVELOPMECH_GP,"A T REDEVELOPMENT COMPANY, LLC",COMMERCIAL     ,5375 MEDPACE WAY,,,CINCINNATI,OH,45227,51357999110000,Net 10               ,5/20/2013 0:00,5/20/2013 0:00
LX990192,LX990192SERV_GP,A&B INDUSTRIAL SHEET METAL INC,LEXINGTON      ,636 KENNEDY ROAD,,,LEXINGTON,KY,40511,85925326650000,Net 30               ,12/15/2010 0:00,12/15/2010 0:00
AL MILLER,AL MILLERMECH_GP,A.L. Miller Plumbing Inc.,COMMERCIAL     ,609 Nordyke Road,,,Cincinnati,OH,45255,51347449150000,Net 10               ,7/16/2007 0:00,7/16/2007 0:00
108,108SERV_QUAD,A.O. Smith Water Products,,,,,,,,,,,
NV00108,NV00108SERV_GP,A.O. SMITH WATER PRODUCTS COMPANY,NASHVILLE      ,500 TENNESSEE PKWY,,,ASHLAND CITY,TN,37015,86536298986283,Net 30               ,4/21/2020 0:00,12/19/2024 0:00
TN991393,TN991393SERV_GP,A.O. SMITH/AMERICAN WATER HEATER,KNOXVILLE      ,P.O. BOX 1378,,,JOHNSON CITY,TN,37605-1378,42343416720000,Net 30               ,11/16/2011 0:00,1/30/2023 0:00
CN991929,CN991929SERV_GP,"A.W. HOLDINGS, LLC DBA BENCHMARK HUMAN SERVICES",CINCINNATI     ,8515 BLUFFTON RD,,,FORT WAYNE,IN,46809,51364893600000,Net 30               ,3/2/2018 0:00,1/26/2021 0:00
TN991729,TN991729SERV_GP,A-1 CERTIFIED SERVICE,KNOXVILLE      ,2511 BYINGTON SOLWAY ROAD,,,KNOXVILLE,TN,37931,86569150880000,Net 30               ,6/2/2015 0:00,1/30/2023 0:00
LX990355,LX990355SERV_GP,AA PROPERTY MANAGEMENT,LEXINGTON      ,3311 TATES CREEK RD,,,LEXINGTON,KY,40502,85936117900000,Net 30               ,12/5/2018 0:00,12/5/2018 0:00
CN991932,CN991932SERV_GP,AAA,CINCINNATI     ,1500 CENTRAL PARKWAY,,,CINCINNATI,OH,45202,51328415890000,Net 30               ,3/9/2018 0:00,1/26/2021 0:00
LX200519,LX200519SERV_GP,AAA FASTENERS,LEXINGTON      ,236 GOLD RUSH ROAD,,,LEXINGTON,KY,40503,85927654300000,Net 30               ,9/20/2005 0:00,4/14/2009 0:00
CN990330,CN990330SERV_GP,"AAON, INC.",CINCINNATI     ,2425 SOUTH YUKON,,,TULSA,OK,74107,91858322660000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
DY990330,DY990330SERV_GP,"AAON, INC.",DAYTON         ,2425 SOUTH YUKON,,,TULSA,OK,,91858322660000,                     ,10/6/2004 0:00,1/26/2021 0:00
AAON,AAONMECH_GP,"AAON, Inc.",COMMERCIAL     ,2425 S. Yukon Ave.,,,Tulsa,OK,74107-2728,,Net 10               ,1/16/2001 0:00,3/28/2001 0:00
CN992021,CN992021SERV_GP,AAP INC.,CINCINNATI     ,PO BOX 430,16388 INDUSTRIAL DR,,MILFORD,VA,22514,80463394540000,Net 30               ,6/20/2019 0:00,1/26/2021 0:00
LV980035,LV980035SERV_GP,"AARVIG, MARK",LOUISVILLE     ,2215 WALTERDALE TERRACE,,,LOUISVILLE,KY,40205,50245657440000,Net 30               ,10/12/2004 0:00,4/14/2009 0:00
CN992062,CN992062SERV_GP,ABB OPTICAL GROUP,CINCINNATI     ,12301 NORTHWEST 39TH ST,,,CORAL SPRINGS,FL,33065,51337756470000,Net 30               ,3/4/2020 0:00,4/20/2021 0:00
LX990368,LX990368SERV_GP,ABC AUTOMOTIVE SYSTEMS INC,LEXINGTON      ,145 CORPORATE DR,,,LONDON,KY,40741,60687820220000,Net 30               ,12/13/2019 0:00,10/26/2021 0:00
LX950023,LX950023SERV_GP,ABC COMPANY,LEXINGTON      ,6975 DANVILLE ROAD,,,NICHOLASVILLE,KY.,40356,85988744060000,Net 30               ,10/12/2004 0:00,4/14/2009 0:00
CN992041,CN992041SERV_GP,ABC SUPPLY CO. INC.,CINCINNATI     ,2599 COMMERCE BLVD,,,CINCINNATI,OH,45241,51397550620000,Net 30               ,10/16/2019 0:00,1/26/2021 0:00
ABLE CONST,ABLE CONSTMECH_GP,"Able Construction Co., Inc.",COMMERCIAL     ,4600 Robards Lane,,,Louisville,KY,40218,00000000000000,Net 10               ,7/18/2001 0:00,7/18/2001 0:00
CN990685,CN990685SERV_GP,ABLECARE MEDICAL,CINCINNATI     ,7798 READING ROAD,,,CINCINNATI,OH,45237,51376122730000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
TN991418,TN991418SERV_GP,ABLOOM FLORIST,KNOXVILLE      ,P.O. BOX 11144,,,KNOXVILLE,TN,37939,86558873840000,Net 30               ,11/2/2012 0:00,1/30/2023 0:00
ABM001,ABM001SERV_GP,ABM Building Solutions,NASHVILLE      ,152 Technology Drive,,,Irvine,CA,92677,94933015590000,Net 30               ,6/3/2014 0:00,10/26/2020 0:00
308,308SERV_QUAD,ABM Manufacturing and Distribution,,,,,,,,,,,
TN991220,TN991220SERV_GP,"ABS NATIONAL AUTO SERVICE, INC.",KNOXVILLE      ,9000 EXECUTIVE PARK DRIVE,SUITE A-115,,KNOXVILLE,TN,37923,86553179440219,Net 30               ,10/8/2007 0:00,1/30/2023 0:00
CN990851,CN990851SERV_GP,"ABSOLUTAIRE, INC",CINCINNATI     ,5496 N RIVERVIEW DRIVE,,,KALAMAZOO,MI,49004,80087440000000,Net 30               ,1/17/2005 0:00,1/26/2021 0:00
CN991906,CN991906SERV_GP,ABSOLUTE MACHINE TOOLS,CINCINNATI     ,7944 INNOVATION WAY,,,MASON,OH,45040,51322246020000,Net 30               ,12/28/2017 0:00,10/7/2025 0:00
LV990433,LV990433SERV_GP,ABSOLUTE VALUE MANAGEMENT,LOUISVILLE     ,1111 EAST PUTNAM AVE,,,RIVERSIDE,CT,06878,20398770910205,Net 30               ,10/12/2021 0:00,7/6/2023 0:00
IN990292,IN990292SERV_GP,ABSOLUTE VALUE MANAGEMENT,INDIANAPOLIS   ,1111 EAST PUTNAM AVE,,,RIVERSIDE,CT,06878,20398770910000,Net 30               ,3/7/2018 0:00,7/12/2021 0:00
ABTEK,ABTEKMECH_GP,"ABTEK Commercial Corp., Inc.",COMMERCIAL     ,33 Glendale Milford Road,,,Loveland,OH,45140,51356313400000,Net 10               ,10/19/2000 0:00,3/28/2001 0:00
CN990607,CN990607SERV_GP,ACARB,CINCINNATI     ,1 CARBON WAY,,,WALTON,KY,41094,85981730680000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
IN990043,IN990043SERV_GP,ACCELL CONSTRUCTION MANAGEMENT INC,INDIANAPOLIS   ,1201 E MAIN STREET,,,PLAINFIELD,IN,46168,31783899650000,Net 30               ,11/22/2006 0:00,1/26/2021 0:00
TN991439,TN991439SERV_GP,ACCELLA TIRE FILL SYSTEMS,KNOXVILLE      ,ATTN: AP,PO BOX 7000,,CARLISLE,PA,17013,42369704690000,Net 30               ,5/1/2013 0:00,1/30/2023 0:00
TN992163,TN992163SERV_GP,ACCENTURE LLP,KNOXVILLE      ,1965 HAWKS LANDING,,,LOUISVILLE,TN,37777,86571296500000,Net 30               ,3/27/2024 0:00,7/14/2025 0:00
IN990319,IN990319SERV_GP,ACCENTURE LLP,INDIANAPOLIS   ,500 W MADISON ST,,,CHICAGO,IL,60661,81227878880000,Net 30               ,12/7/2018 0:00,7/12/2022 0:00
146,146SERV_QUAD,"Accenture, LLP",,,,,,,,,,,
TN991357,TN991357SERV_GP,ACCIDENT INSURANCE COMPANY,KNOXVILLE      ,800 OAK RIDGE TURNPIKE,SUITE A-1000,,OAK RIDGE,TN,37830,86542574010000,Net 30               ,8/15/2011 0:00,1/30/2023 0:00
ACC001,ACC001SERV_GP,Accu - Tech,NASHVILLE      ,P. O. Box 656,,,Roswell,GA,30077-0656,00000000000000,Net 30               ,6/3/2014 0:00,6/16/2014 0:00
CN992211,CN992211SERV_GP,ACCUMET SPECIALTY METALS INC.,CINCINNATI     ,5188 DUFF DRIVE,,,WEST CHESTER TOWNSHIP,OH,45246,51350811400000,Net 30               ,12/9/2022 0:00,12/9/2022 0:00
DY990889,DY990889SERV_GP,ACCURATE MECHANICAL,DAYTON         ,2810 HIGHLAND AVE,,,CINCINNATI,OH,45212,51326204240000,                     ,12/9/2015 0:00,1/26/2021 0:00
ACCURATE,ACCURATEMECH_GP,Accurate Mechanical Solutions,COMMERCIAL     ,7702 Jason Ct,,,Middletown,OH,45044,51335111000000,Net 10               ,6/30/2011 0:00,6/30/2011 0:00
CN991590,CN991590SERV_GP,ACCURATE PERSONNEL,CINCINNATI     ,11798 SPRINGFIELD PIKE,,,CINCINNATI,OH,45246,51327516560000,Net 30               ,6/23/2014 0:00,1/26/2021 0:00
CN991098,CN991098SERV_GP,ACE HARDWARE,CINCINNATI     ,8515 US 42,,,FLORENCE,KY,41042,85952520380000,Net 30               ,3/28/2008 0:00,1/26/2021 0:00
DY970011,DY970011SERV_GP,ACE TRAILER COMPANY,DAYTON         ,8800 OLD AIRPORT HIGHWAY,,,HOLLAND,OH,43528,80077974440000,                     ,10/6/2004 0:00,1/26/2021 0:00
259,259SERV_QUAD,ACES Power,,,,,,,,,,,
CN991626,CN991626SERV_GP,ACKERMANN GROUP,CINCINNATI     ,4030 SMITH ROAD,SUITE 130,,CINCINNATI,OH,45209,51384230000000,Net 30               ,1/12/2015 0:00,1/26/2021 0:00
CN990218,CN990218SERV_GP,ACME CORPORATE SERVICES LLC.,CINCINNATI     ,1000 SUMMIT DRIVE,,,MILFORD,OH,45150,51357672000000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
CN990192,CN990192SERV_GP,ACORDIA,CINCINNATI     ,1014 VINE STREET,,,CINCINNATI,OH,45202-1195,51333320530000,Net 30               ,10/6/2004 0:00,1/26/2021 0:00
CN991356,CN991356SERV_GP,ACS BUILDING,CINCINNATI     ,6249 STEWART AVENUE,,,CINCINNATI,OH,45227,51352777000000,Net 30               ,3/3/2011 0:00,1/26/2021 0:00
CN991329,CN991329SERV_GP,ACTION MINISTRIES,CINCINNATI     ,4375 BORON DRIVE,,,COVINGTON,KY,41015,85935635220000,Net 30               ,11/3/2010 0:00,1/26/2021 0:00
TN991360,TN991360SERV_GP,ACTION MOBILE,KNOXVILLE      ,3678 FOX RIDGE ROAD,,,LOUISVILLE,TN,37777,86538989440000,Net 30               ,9/9/2011 0:00,1/30/2023 0:00
251,251SERV_QUAD,Activate Games,,,,,,,,,,,
DY991126,DY991126SERV_GP,ACTIVATE GAMES,COLUMBUS       ,PO BOX 1627,,,LEXINGTON,KY,40588,85953369690000,Net 30               ,10/10/2024 0:00,1/5/2026 0:00
LX000003,LX000003SERV_GP,ACTON MOBIL INDUSTRIES,LEXINGTON      ,PO BOX 99186,,,LOUISVILLE,KY,40269,80025116000000,Net 30               ,10/12/2004 0:00,4/14/2009 0:00
ACT001,ACT001SERV_GP,Acton Mobile Industries,NASHVILLE      ,809 Gleneagles Court,Suite 300,,Baltimore,MD,21286,00000000000000,Net 30               ,6/3/2014 0:00,10/23/2025 0:00
ADAIR COUNTY,ADAIR COUNTYMECH_GP,Adair County Fiscal Court,COMMERCIAL     ,424 Public Square,,,Columbia,KY,42728,27038447030000,Net 10               ,3/11/2014 0:00,3/11/2014 0:00
LX990293,LX990293SERV_GP,ADAIR COUNTY JAIL,LEXINGTON      ,204 GREENSBURG ST,,,COLUMBIA,KY,42728,27038457010000,Net 30               ,8/25/2014 0:00,8/25/2014 0:00
CN992253,CN992253SERV_GP,ADAMS COUNTY REGIONAL MEDICAL CENTER,CINCINNATI     ,230 MEDICAL CENTER DR,,,SEAMAN,OH,45679,51347618100000,Net 30               ,9/22/2023 0:00,8/13/2025 0:00
ADAMS COUNTY,ADAMS COUNTYMECH_GP,ADAMS COUNTY/OHIO VALLEY SCHOOL,COMMERCIAL     ,549 LLYOD RD,,,WEST UNION,OH,43693,61462115750000,Net 10               ,5/16/2008 0:00,9/25/2008 0:00
CN991163,CN991163SERV_GP,ADAMS COUNTY/OHIO VALLEY SCHOOL DISTRICT,CINCINNATI     ,DIRECTOR OF BUSINES AFFAIRS,141 LLOYD ROAD,,WEST UNION,OH,45693,93754455860000,Net 30               ,1/21/2009 0:00,1/26/2021 0:00
WV990169,WV990169SERV_GP,"ADAMS ONE, INC - BILLING",WEST VIRGINIA  ,"#4 HALLISON CIRCLE, REAR",,,MILTON,WV,25541,30474366200000,Net 30               ,2/12/2015 0:00,1/26/2021 0:00
"ADAMS, DOUG","ADAMS, DOUGMECH_GP","ADAMS, DOUG",COMMERCIAL     ,6928 MIAMI BLUFF,,,MARIEMONT,OH,45227,51356124400000,Net 10               ,5/27/2011 0:00,5/27/2011 0:00
