Source Type,Source File,Raw Name,Canonical,Expected Status,In MasterEnrichment,MasterEnrichment Status,MasterEnrichment Website,MasterEnrichment NAICS,MasterEnrichment Industry Detail,In MasterWebsites,MasterWebsites Website,Appears In Apply Reports
enrichment_log,Batch_20260120_1423.md,WKN ENTERPRISES DBA TITLE BOXING CLUB,WKN ENTERPRISES DBA TITLE BOXING CLUB,Verified,TRUE,Verified,titleboxingclub.com,713940,Fitness and Recreational Sports Centers,TRUE,titleboxingclub.com,TRUE
enrichment_log,Batch_20260120_1423.md,WONTON FOOD TENNESSEE,WONTON FOOD TENNESSEE,Verified,TRUE,Verified,wontonfood.com,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing",TRUE,wontonfood.com,TRUE
enrichment_log,Batch_20260120_1423.md,WORLDSOURCE INTEGRATION,WORLDSOURCE INTEGRATION,Verified,TRUE,Verified,worldsourceintegration.com,541512,Computer Systems Design Services,TRUE,worldsourceintegration.com,TRUE
enrichment_log,Batch_20260120_1423.md,XETRON,XETRON,Verified,TRUE,Verified,xetron.com,334290,Other Communications Equipment Manufacturing,TRUE,xetron.com,TRUE
enrichment_log,Batch_20260120_1423.md,YH AMERICA,YH AMERICA,Verified,TRUE,Verified,y-yokohama.com,336330,Motor Vehicle Steering and Suspension Components Manufacturing,TRUE,yh-america.com,TRUE
enrichment_log,Batch_20260120_1423.md,YUSA,YUSA,Verified,TRUE,Verified,yusa.com,326291,Rubber Product Manufacturing for Mechanical Use,TRUE,yusa.com,TRUE
enrichment_log,Batch_20260120_1423.md,ZAMIAS SERVICES,ZAMIAS SERVICES,Verified,TRUE,Verified,zamias.com,531312,Nonresidential Property Managers,TRUE,zamias.com,TRUE
enrichment_log,Batch_20260120_1423.md,EQUITY GROUP FOUR,EQUITY GROUP FOUR,Verified,TRUE,Verified,equitygroupproperties.com,531311,Residential Property Managers,FALSE,,TRUE
enrichment_log,Batch_20260120_1423.md,HH PARKSIDE,HH PARKSIDE,Verified,TRUE,Verified,hhbagels.com,722515,Snack and Nonalcoholic Beverage Bars,FALSE,,TRUE
enrichment_log,Batch_20260120_1423.md,YAMOTA WEST,YAMOTA WEST,Deferred,TRUE,Deferred,,,,TRUE,yamota.co.jp,TRUE
enrichment_log,Batch_20260120_1429.md,10% Cabinetry,10% CABINETRY,Verified,TRUE,Verified,10percentcabinetry.com,238350,Finish Carpentry Contractors,FALSE,,TRUE
enrichment_log,Batch_20260120_1429.md,2NDS IN Building Material,2NDS IN BUILDING MATERIAL,Verified,TRUE,Verified,southeasternsalvage.com,444190,Other Building Material Dealers,FALSE,,TRUE
enrichment_log,Batch_20260120_1429.md,3001 Highland Partnership,3001 HIGHLAND PARTNERSHIP,Verified,TRUE,Verified,psychotherapycincinnati.com,531120,Lessors of Nonresidential Buildings,FALSE,,TRUE
enrichment_log,Batch_20260120_1429.md,3D Technical Services,3D TECHNICAL SERVICES,Verified,TRUE,Verified,3-dtechnicalservices.com,541330,Engineering Services,FALSE,,TRUE
enrichment_log,Batch_20260120_1429.md,4J Redevelopment,4J REDEVELOPMENT,Verified,TRUE,Verified,coreredevelopment.com,531110,Lessors of Residential Buildings,FALSE,,TRUE
enrichment_log,Batch_20260120_1429.md,A Childs Hope Intl,A CHILDS HOPE INTL,Verified,TRUE,Verified,achildshopeintl.org,624110,Child and Youth Services,FALSE,,TRUE
enrichment_log,Batch_20260120_1429.md,A T Redevelopment,A T REDEVELOPMENT,Verified,TRUE,Verified,coreredevelopment.com,531110,Lessors of Residential Buildings,FALSE,,TRUE
enrichment_log,Batch_20260120_1429.md,Abc Automotive Systems,ABC AUTOMOTIVE SYSTEMS,Verified,TRUE,Verified,abctechnologies.com,336390,Other Motor Vehicle Parts Manufacturing,FALSE,,TRUE
enrichment_log,Batch_20260120_1429.md,Abloom Florist,ABLOOM FLORIST,Verified,TRUE,Verified,abloomflorist.net,453110,Florists,FALSE,,TRUE
enrichment_log,Batch_20260120_1429.md,Absolute Machine Tools,ABSOLUTE MACHINE TOOLS,Verified,TRUE,Verified,absolutemachine.com,423830,Industrial Machinery and Equipment Merchant Wholesalers,FALSE,,TRUE
enrichment_log,Batch_20260120_1429.md,Accella Tire Fill Systems,ACCELLA TIRE FILL SYSTEMS,Verified,TRUE,Verified,carlisletyrfil.com,326299,All Other Rubber Product Manufacturing,FALSE,,TRUE
enrichment_log,Batch_20260120_1429.md,Activate Games,ACTIVATE GAMES,Verified,TRUE,Verified,playactivate.com,713120,Amusement Arcades,FALSE,,TRUE
enrichment_log,Batch_20260120_1429.md,Advanced Agrilytics,ADVANCED AGRILYTICS,Verified,TRUE,Verified,advancedagrilytics.com,541990,"All Other Professional, Scientific, and Technical Services",FALSE,,TRUE
enrichment_log,Batch_20260120_1429.md,Advanced Lableworx,ADVANCED LABLEWORX,Verified,TRUE,Verified,advancedlabelworx.com,323111,Commercial Printing (except Screen and Books),FALSE,,TRUE
enrichment_log,Batch_20260120_1429.md,Advantage Engineering,ADVANTAGE ENGINEERING,Verified,TRUE,Verified,advantageengineering.com,333249,Other Industrial Machinery Manufacturing,FALSE,,TRUE
enrichment_log,Batch_20260120_1429.md,Aegis Protective Services,AEGIS PROTECTIVE SERVICES,Verified,TRUE,Verified,aegis-ps.com,561612,Security Guards and Patrol Services,FALSE,,TRUE
enrichment_log,Batch_20260120_1429.md,Aerospace Lubricants,AEROSPACE LUBRICANTS,Verified,TRUE,Verified,aerospacelubricants.com,324191,Petroleum Lubricating Oil and Grease Manufacturing,FALSE,,TRUE
enrichment_log,Batch_20260120_1429.md,Afc Urgent Care,AFC URGENT CARE,Verified,TRUE,Verified,afcurgentcare.com,621493,Freestanding Ambulatory Surgical and Emergency Centers,FALSE,,TRUE
enrichment_log,Batch_20260120_1429.md,3665 Mallory Jv,3665 MALLORY JV,Deferred,TRUE,Deferred,,,,FALSE,,TRUE
enrichment_log,Batch_20260120_1429.md,Accurate Mechanical Solutions,ACCURATE MECHANICAL SOLUTIONS,Deferred,TRUE,Deferred,,,,FALSE,,TRUE
enrichment_log,Batch_20260120_1436.md,Affordable Dentures,AFFORDABLE DENTURES,Verified,TRUE,Verified,affordabledentures.com,621210,Offices of Dentists,FALSE,,TRUE
enrichment_log,Batch_20260120_1436.md,Affordable Service Solutions,AFFORDABLE SERVICE SOLUTIONS,Verified,TRUE,Verified,affordableservicesolutions.com,238220,"Plumbing, Heating, and Air-Conditioning Contractors",FALSE,,TRUE
enrichment_log,Batch_20260120_1436.md,Ag Stones,AG STONES,Verified,TRUE,Verified,agstones.com,423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",FALSE,,TRUE
enrichment_log,Batch_20260120_1436.md,Agellan Commercial Reit,AGELLAN COMMERCIAL REIT,Verified,TRUE,Verified,agellan.com,531120,Lessors of Nonresidential Buildings,FALSE,,TRUE
enrichment_log,Batch_20260120_1436.md,Ahc Clarksville,AHC CLARKSVILLE,Verified,TRUE,Verified,ahcseniorcare.com,623110,Nursing Care Facilities (Skilled Nursing Facilities),FALSE,,TRUE
enrichment_log,Batch_20260120_1436.md,Air Gas,AIR GAS,Verified,TRUE,Verified,airgas.com,325120,Industrial Gas Manufacturing,FALSE,,TRUE
enrichment_log,Batch_20260120_1436.md,Aisin Automotive,AISIN AUTOMOTIVE,Verified,TRUE,Verified,aisinauto.com,336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,FALSE,,TRUE
enrichment_log,Batch_20260120_1436.md,Aisin World of America,AISIN WORLD OF AMERICA,Verified,TRUE,Verified,aisinworld.com,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,FALSE,,TRUE
enrichment_log,Batch_20260120_1436.md,All Occasions Equip Rentals,ALL OCCASIONS EQUIP RENTALS,Verified,TRUE,Verified,aorents.com,532289,All Other Consumer Goods Rental,FALSE,,TRUE
enrichment_log,Batch_20260120_1436.md,All Pro Commercial Services,ALL PRO COMMERCIAL SERVICES,Verified,TRUE,Verified,allproifm.com,561720,Janitorial Services,FALSE,,TRUE
enrichment_log,Batch_20260120_1436.md,All Pro Parking,ALL PRO PARKING,Verified,TRUE,Verified,allproparking.com,812930,Parking Lots and Garages,FALSE,,TRUE
enrichment_log,Batch_20260120_1436.md,Alliance Technical Group,ALLIANCE TECHNICAL GROUP,Verified,TRUE,Verified,alliancetechnicalgroup.com,541330,Engineering Services,FALSE,,TRUE
enrichment_log,Batch_20260120_1436.md,Allison Abrasives,ALLISON ABRASIVES,Verified,TRUE,Verified,allisonabrasives.com,327910,Abrasive Product Manufacturing,FALSE,,TRUE
enrichment_log,Batch_20260120_1436.md,Aicholtz,AICHOLTZ,Deferred,TRUE,Deferred,,,,FALSE,,TRUE
enrichment_log,Batch_20260120_1436.md,All Eleven,ALL ELEVEN,Deferred,TRUE,Deferred,,,,FALSE,,TRUE
enrichment_log,Batch_20260120_1436.md,Alparc I Parkway Operating,ALPARC I PARKWAY OPERATING,Deferred,TRUE,Deferred,,,,FALSE,,TRUE
enrichment_log,Batch_20260120_1436.md,Alparc II Creek Run Operating,ALPARC II CREEK RUN OPERATING,Deferred,TRUE,Deferred,,,,FALSE,,TRUE
enrichment_log,Batch_20260120_1436.md,Alparc II Dearborn Park Operating,ALPARC II DEARBORN PARK OPERATING,Deferred,TRUE,Deferred,,,,FALSE,,TRUE
enrichment_log,Batch_20260120_1436.md,Alparc II Lakeview Operating,ALPARC II LAKEVIEW OPERATING,Deferred,TRUE,Deferred,,,,FALSE,,TRUE
enrichment_log,Batch_20260120_1436.md,Alparc II Tuller Ridge Operating,ALPARC II TULLER RIDGE OPERATING,Deferred,TRUE,Deferred,,,,FALSE,,TRUE
enrichment_log,Batch_20260120_1448.md,ALPLA,ALPLA,Verified,TRUE,Verified,alpla.com,326199,All Other Plastics Product Manufacturing,FALSE,,TRUE
enrichment_log,Batch_20260120_1448.md,ALSTOM,ALSTOM,Verified,TRUE,Verified,alstom.com,336510,Railroad Rolling Stock Manufacturing,FALSE,,TRUE
enrichment_log,Batch_20260120_1448.md,ALTA REFRIGERATION,ALTA REFRIGERATION,Verified,TRUE,Verified,altarefrigeration.com,238220,"Plumbing, Heating, and Air-Conditioning Contractors",FALSE,,TRUE
enrichment_log,Batch_20260120_1448.md,AMANO CINCINNATI,AMANO CINCINNATI,Verified,TRUE,Verified,amanocincinnati.com,333999,All Other Miscellaneous General Purpose Machinery Manufacturing,FALSE,,TRUE
enrichment_log,Batch_20260120_1448.md,AMERICAN SOCIETY FOR CLINICAL PATHOLOGY,AMERICAN SOCIETY FOR CLINICAL PATHOLOGY,Verified,TRUE,Verified,ascp.org,813920,Professional Organizations,FALSE,,TRUE
enrichment_log,Batch_20260120_1448.md,AMMEGA US DBA MIDWEST INDUSTRIAL RUBBER,AMMEGA US DBA MIDWEST INDUSTRIAL RUBBER,Verified,TRUE,Verified,mir-belting.com,326220,Rubber and Plastics Hoses and Belting Manufacturing,FALSE,,TRUE
enrichment_log,Batch_20260120_1448.md,ANKAA GLOBAL LOGISTICS,ANKAA GLOBAL LOGISTICS,Verified,TRUE,Verified,ankaaglobal.com,488510,Freight Transportation Arrangement,FALSE,,TRUE
enrichment_log,Batch_20260120_1448.md,ARGOSY CASINO HOTEL,ARGOSY CASINO HOTEL,Verified,TRUE,Verified,hollywoodindiana.com,721120,Casino Hotels,FALSE,,TRUE
enrichment_log,Batch_20260120_1448.md,ART GEISSLER,ART GEISSLER,Verified,TRUE,Verified,remax.com,531210,Offices of Real Estate Agents and Brokers,FALSE,,TRUE
enrichment_log,Batch_20260120_1448.md,ARTS RENTAL,ARTS RENTAL,Verified,TRUE,Verified,artsrental.com,532289,All Other Consumer Goods Rental,FALSE,,TRUE
enrichment_log,Batch_20260120_1448.md,ARVATO DIGITAL USA,ARVATO DIGITAL USA,Verified,TRUE,Verified,arvato.com,541614,"Process, Physical Distribution, and Logistics Consulting Services",FALSE,,TRUE
enrichment_log,Batch_20260120_1448.md,ASPHALT INSTITUTE,ASPHALT INSTITUTE,Verified,TRUE,Verified,asphaltinstitute.org,813910,Business Associations,FALSE,,TRUE
enrichment_log,Batch_20260120_1448.md,ATKINS AND PEARCE,ATKINS AND PEARCE,Verified,TRUE,Verified,atkinsandpearce.com,313220,Narrow Fabric Mills and Schiffli Machine Embroidery,FALSE,,TRUE
enrichment_log,Batch_20260120_1448.md,AUDI KNOXVILLE,AUDI KNOXVILLE,Verified,TRUE,Verified,audiknoxville.com,441110,New Car Dealers,FALSE,,TRUE
enrichment_log,Batch_20260120_1448.md,ALPARC IV CITYGATE OPERATING,ALPARC IV CITYGATE OPERATING,Deferred,TRUE,Deferred,,,,FALSE,,TRUE
enrichment_log,Batch_20260120_1448.md,ALPARC IV CRAMER CREEK OPERATING,ALPARC IV CRAMER CREEK OPERATING,Deferred,TRUE,Deferred,,,,FALSE,,TRUE
enrichment_log,Batch_20260120_1448.md,ANSON LOGISTICS ASSETS,ANSON LOGISTICS ASSETS,Deferred,TRUE,Deferred,,,,FALSE,,TRUE
enrichment_log,Batch_20260120_1448.md,ARK BROOKVALE,ARK BROOKVALE,Deferred,TRUE,Deferred,,,,FALSE,,TRUE
enrichment_log,Batch_20260120_1448.md,ATKINS AND STANG,ATKINS AND STANG,Deferred,TRUE,Deferred,,,,FALSE,,TRUE
enrichment_log,Batch_20260120_1448.md,ATRIUM LP,ATRIUM LP,Deferred,TRUE,Deferred,,,,FALSE,,TRUE
batch_enrichment_md,Batch_Enrichment_6.md,MAGNA PROPERTIES,MAGNA PROPERTIES,ApprovedWebsite,FALSE,,,,,TRUE,magnaproperties.com,FALSE
batch_enrichment_md,Batch_Enrichment_6.md,MIDWEST PROPERTIES,MIDWEST PROPERTIES,ApprovedWebsite,FALSE,,,,,TRUE,mw1corp.com,FALSE
batch_enrichment_md,Batch_Enrichment_6.md,NORTHPOINT DEVELOPMENT,NORTHPOINT DEVELOPMENT,ApprovedWebsite,TRUE,Verified,northpointkc.com,531312,Industrial Real Estate Development,TRUE,northpointkc.com,FALSE
batch_enrichment_md,Batch_Enrichment_6.md,MARK SPAULDING CONSTRUCTION,MARK SPAULDING CONSTRUCTION,ApprovedWebsite,FALSE,,,,,TRUE,markspaulding.com,FALSE
batch_enrichment_md,Batch_Enrichment_6.md,PCL CONSTRUCTION SERVICES,PCL CONSTRUCTION SERVICES,ApprovedWebsite,FALSE,,,,,TRUE,pcl.com,FALSE
batch_enrichment_md,Batch_Enrichment_6.md,MAZAK,MAZAK,ApprovedWebsite,FALSE,,,,,TRUE,mazakusa.com,FALSE
batch_enrichment_md,Batch_Enrichment_6.md,OLIVERTOLAS HEALTHCARE PACKAGING,OLIVERTOLAS HEALTHCARE PACKAGING,ApprovedWebsite,FALSE,,,,,TRUE,oliverhcp.com,FALSE
batch_enrichment_md,Batch_Enrichment_6.md,PACIFIC MANUFACTURING OHIO,PACIFIC MANUFACTURING OHIO,ApprovedWebsite,FALSE,,,,,TRUE,pacific-ind.com,FALSE
batch_enrichment_md,Batch_Enrichment_6.md,MCLEAN COUNTY FISCAL COURT,MCLEAN COUNTY FISCAL COURT,ApprovedWebsite,FALSE,,,,,TRUE,mcleancounty.ky.gov,FALSE
batch_enrichment_md,Batch_Enrichment_6.md,MORGAN COUNTY IN,MORGAN COUNTY IN,ApprovedWebsite,FALSE,,,,,TRUE,morgancounty.in.gov,FALSE
batch_enrichment_md,Batch_Enrichment_6.md,OWEN COUNTY FISCAL COURT,OWEN COUNTY FISCAL COURT,ApprovedWebsite,FALSE,,,,,TRUE,owencountyky.us,FALSE
batch_enrichment_md,Batch_Enrichment_6.md,MILLERS TEXTILE SERVICES,MILLERS TEXTILE SERVICES,ApprovedWebsite,FALSE,,,,,TRUE,millerstextile.com,FALSE
batch_enrichment_md,Batch_Enrichment_6.md,PARIS INDEPENDENT SCHOOLS,PARIS INDEPENDENT SCHOOLS,ApprovedWebsite,FALSE,,,,,TRUE,paris.kyschools.us,FALSE
batch_enrichment_md,Batch_Enrichment_6.md,PEASLEE NEIGHBORHOOD CENTER,PEASLEE NEIGHBORHOOD CENTER,ApprovedWebsite,FALSE,,,,,TRUE,peasleecenter.org,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,CER SERVICES,CER SERVICES,ApprovedWebsite,FALSE,,,,,TRUE,cerservicesllc.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,EMILY LICHTENBERG CONSTRUCTION,EMILY LICHTENBERG CONSTRUCTION,ApprovedWebsite,FALSE,,,,,TRUE,mlichtenberg.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,MARK SPAULDING CONSTRUCTION,MARK SPAULDING CONSTRUCTION,ApprovedWebsite,FALSE,,,,,TRUE,markspaulding.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,OVERBERG CONSTRUCTION,OVERBERG CONSTRUCTION,ApprovedWebsite,FALSE,,,,,TRUE,overbergconstruction.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,PCL CONSTRUCTION SERVICES,PCL CONSTRUCTION SERVICES,ApprovedWebsite,FALSE,,,,,TRUE,pcl.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,PRECISION CONSTRUCTION MANAGEMENT,PRECISION CONSTRUCTION MANAGEMENT,ApprovedWebsite,FALSE,,,,,TRUE,pcm-epc.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,RADIUS CONSTRUCTION,RADIUS CONSTRUCTION,ApprovedWebsite,FALSE,,,,,TRUE,radiusconstruction.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,RH SINCLAIR CONSTRUCTION,RH SINCLAIR CONSTRUCTION,ApprovedWebsite,FALSE,,,,,TRUE,sinclairconst.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,RYANS ALL GLASS,RYANS ALL GLASS,ApprovedWebsite,FALSE,,,,,TRUE,ryansallglass.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,SILCO FIRE AND SECURITY,SILCO FIRE AND SECURITY,ApprovedWebsite,FALSE,,,,,TRUE,silcofs.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,EVANS ENERGY,EVANS ENERGY,ApprovedWebsite,FALSE,,,,,TRUE,evansenergyllc.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,MAGNA PROPERTIES,MAGNA PROPERTIES,ApprovedWebsite,FALSE,,,,,TRUE,magnaproperties.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,MIDWEST PROPERTIES,MIDWEST PROPERTIES,ApprovedWebsite,FALSE,,,,,TRUE,mw1corp.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,NORTHPOINT DEVELOPMENT,NORTHPOINT DEVELOPMENT,ApprovedWebsite,TRUE,Verified,northpointkc.com,531312,Industrial Real Estate Development,TRUE,northpointkc.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,REGENCY,REGENCY,ApprovedWebsite,FALSE,,,,,TRUE,regencycondos.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,MAZAK,MAZAK,ApprovedWebsite,FALSE,,,,,TRUE,mazakusa.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,OLIVERTOLAS HEALTHCARE PACKAGING,OLIVERTOLAS HEALTHCARE PACKAGING,ApprovedWebsite,FALSE,,,,,TRUE,oliverhcp.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,PACIFIC MANUFACTURING OHIO,PACIFIC MANUFACTURING OHIO,ApprovedWebsite,FALSE,,,,,TRUE,pacific-ind.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,PRATT INDUSTRIES,PRATT INDUSTRIES,ApprovedWebsite,FALSE,,,,,TRUE,prattindustries.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,MCLEAN COUNTY FISCAL COURT,MCLEAN COUNTY FISCAL COURT,ApprovedWebsite,FALSE,,,,,TRUE,mcleancounty.ky.gov,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,MORGAN COUNTY IN,MORGAN COUNTY IN,ApprovedWebsite,FALSE,,,,,TRUE,morgancounty.in.gov,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,OWEN COUNTY FISCAL COURT,OWEN COUNTY FISCAL COURT,ApprovedWebsite,FALSE,,,,,TRUE,owencountyky.us,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,POWELL COUNTY FISCAL COURT,POWELL COUNTY FISCAL COURT,ApprovedWebsite,FALSE,,,,,TRUE,powellcountyky.us,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,PULASKI COUNTY FISCAL COURT,PULASKI COUNTY FISCAL COURT,ApprovedWebsite,FALSE,,,,,TRUE,pulaskigov.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,MILLERS TEXTILE SERVICES,MILLERS TEXTILE SERVICES,ApprovedWebsite,FALSE,,,,,TRUE,millerstextile.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,PENSKE TRUCK LEASING,PENSKE TRUCK LEASING,ApprovedWebsite,FALSE,,,,,TRUE,pensketruckleasing.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,PNK OHIO DBA BELTERRA PARK,PNK OHIO DBA BELTERRA PARK,ApprovedWebsite,FALSE,,,,,TRUE,belterrapark.boydgaming.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,SERVICE WHOLESALE,SERVICE WHOLESALE,ApprovedWebsite,FALSE,,,,,TRUE,dtbdistributors.com,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,PARIS INDEPENDENT SCHOOLS,PARIS INDEPENDENT SCHOOLS,ApprovedWebsite,FALSE,,,,,TRUE,paris.kyschools.us,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,PEASLEE NEIGHBORHOOD CENTER,PEASLEE NEIGHBORHOOD CENTER,ApprovedWebsite,FALSE,,,,,TRUE,peasleecenter.org,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,SAINT JAMES EPISCOPAL CHURCH,SAINT JAMES EPISCOPAL CHURCH,ApprovedWebsite,FALSE,,,,,TRUE,stjamescincy.org,FALSE
batch_enrichment_md,Batch_Enrichment_7.md,PIKEVILLE COLLEGE,PIKEVILLE COLLEGE,ApprovedWebsite,FALSE,,,,,TRUE,upike.edu,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,CARTER COUNTY FISCAL COURT,CARTER COUNTY FISCAL COURT,ApprovedWebsite,FALSE,,,,,TRUE,cartercountyky.com,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,CITY OF CYNTHIANA,CITY OF CYNTHIANA,ApprovedWebsite,TRUE,Verified,cynthianaky.com,921110,Local Government,TRUE,cynthianaky.com,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,CITY OF FRANKLIN IN,CITY OF FRANKLIN IN,ApprovedWebsite,FALSE,,,,,TRUE,franklin.in.gov,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,CITY OF HAMMOND IN,CITY OF HAMMOND IN,ApprovedWebsite,FALSE,,,,,TRUE,gohammond.com,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,CITY OF LAWRENCE INDIANA,CITY OF LAWRENCE INDIANA,ApprovedWebsite,TRUE,Verified,cityoflawrence.org,921110,Local Government,TRUE,cityoflawrence.org,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,CITY OF MONROE,CITY OF MONROE,ApprovedWebsite,TRUE,Verified,monroeohio.org,921110,Local Government,TRUE,monroeohio.org,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,CITY OF SOUTH CHARLESTON WV,CITY OF SOUTH CHARLESTON WV,ApprovedWebsite,FALSE,,,,,TRUE,cityofsouthcharleston.com,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,CITY OF ST BERNARD,CITY OF ST BERNARD,ApprovedWebsite,TRUE,Verified,cityofstbernard.org,921110,Local Government,TRUE,cityofstbernard.org,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,CLINTON COUNTY OH,CLINTON COUNTY OH,ApprovedWebsite,FALSE,,,,,TRUE,clinton.oh.us,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,DEERFIELD TOWNSHIP,DEERFIELD TOWNSHIP,ApprovedWebsite,FALSE,,,,,TRUE,choosedeerfield.com,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,GREENUP COUNTY FISCAL COURT,GREENUP COUNTY FISCAL COURT,ApprovedWebsite,FALSE,,,,,TRUE,greenupcountyky.gov,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,MADISON COUNTY FISCAL COURT,MADISON COUNTY FISCAL COURT,ApprovedWebsite,FALSE,,,,,TRUE,madisoncountyky.gov,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,DAYTON PUBLIC SCHOOLS,DAYTON PUBLIC SCHOOLS,ApprovedWebsite,FALSE,,,,,TRUE,dps.k12.oh.us,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,GREATER CLARK COUNTY SCHOOLS,GREATER CLARK COUNTY SCHOOLS,ApprovedWebsite,FALSE,,,,,TRUE,gccschools.com,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,JEFFERSON COUNTY SCHOOLS,JEFFERSON COUNTY SCHOOLS,ApprovedWebsite,FALSE,,,,,TRUE,jc-tn.net,FALSE
batch_enrichment_md,Batch_Enrichment_Catchup.md,CINCINNATI MILACRON,CINCINNATI MILACRON,ApprovedWebsite,FALSE,,,,,TRUE,milacron.com,FALSE
