"Master Customer Name","Master Customer Name Canonical","IsMerge","MergeGroupSize","Industrial Group","Industry Detail (Current)","NAICS (Current)","Company Website (Current)","Method","Status","Confidence (Current)","Rationale (Current)","Enrichment Targets","Attempt Count","Last Attempted At","Attempt Outcome","Example Customer Names","Example Locations","Industry Detail (Approved)","NAICS (Approved)","Company Website (Approved)","Enrichment Status","Enrichment Confidence","Enrichment Rationale","Enrichment Source","Attempt Outcome.1","Notes"
"Broadway Development 2001","BROADWAY DEVELOPMENT 2001","False","1","Commercial Real Estate","Real Estate Development","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","2","2026-01-21 15:44:12","","Broadway Development 2001, Ltd","Cincinnati,, OH","Real Estate Development","531120","","Verified","High","","Analyst","",""
"Brooks Management","BROOKS MANAGEMENT","False","1","Commercial Services","Property Management","531312","","Heuristic","","Low","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:13","","Brooks Management","Springboro, OH","","","","Deferred","","Ambiguous Property Entity","Analyst","","No specific match for Springboro verified."
"Building 3800 Redbank Road","BUILDING 3800 REDBANK ROAD","False","1","Commercial Real Estate","Property entity","5311","","Rule-Based","Final","High","Analyst-approved override (method: Rule-Based)","Website","2","2026-01-21 15:44:12","","Building 3800 Redbank Road, Llc","CINCINNATI, OH","Office Building Lessor","531120","","Verified","High","","Analyst","",""
"C Banks Property Management","C BANKS PROPERTY MANAGEMENT","False","1","Commercial Real Estate","Property Management","531312","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","2","2026-01-21 15:44:12","","C. Banks Property Management Llc.","HIGHLAND HEIGHTS, KY","Residential Property Management","531311","","Verified","High","","Analyst","",""
"C and L Properties","C AND L PROPERTIES","False","1","Commercial Real Estate","Property Holding","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:20","","C&L Properties","KNOXVILLE, TN","","","","Deferred","","Ambiguous Property Entity","Analyst","","Generic name. No specific match for Knoxville operations confirmed."
"Cac","CAC","False","1","Commercial Services","Distribution/logistics (unclear)","4931","","Heuristic","Final","High","Analyst-approved override (method: Heuristic)","Website","2","2026-01-21 15:44:12","","Cac","CINCY, OH","HVAC Equipment Wholesaler","423730","","Verified","High","","Analyst","",""
"Cac Distribution","CAC DISTRIBUTION","False","1","Commercial Services","Distribution/logistics (unclear)","4931","","Heuristic","Final","High","Analyst-approved override (method: Heuristic)","Website","2","2026-01-21 15:44:12","","Cac Distribution","Cincinnati, OH","HVAC Equipment Wholesaler","423730","","Verified","High","","Analyst","",""
"Captains Watch Coa","CAPTAINS WATCH COA","False","1","Commercial Services","Condo association","8139","","Rule-Based","Final","High","Analyst-approved override (method: Rule-Based)","Website","2","2026-01-21 15:44:12","","Captain'S Watch Coa","CINCINNATI, OH","Condominium Owners Association","813990","","Verified","High","","Analyst","",""
"Caregivers","CAREGIVERS","False","1","Commercial Services","Home care (unclear)","6216","","Heuristic","Final","High","Analyst-approved override (method: Heuristic)","Website","1","1/20/2026 15:29","","Caregivers","CINCINNATI, OH","","","","Deferred","","Ambiguous Home Care Entity","Analyst","","Multiple home care agencies using this name in Cincinnati."
"Carothers Corner","CAROTHERS CORNER","False","1","Commercial Real Estate","Retail Center","531120","","AI Analyst Research","Final","High","Analyst-approved override (method: AI Analyst Research)","Website","2","2026-01-21 15:44:12","","Carothers Corner Llc","BRENTWOOD, TN","Retail Center Lessor","531120","","Verified","High","","Analyst","",""
"Cashing the Bluegrass","CASHING THE BLUEGRASS","False","1","Commercial Services","Financial services","5223","","Rule-Based","Final","High","Analyst-approved override (method: Rule-Based)","Website","2","2026-01-21 15:44:12","","Cashing The Bluegrass Llc","LEXINGTON, KY","Check Cashing Services","522390","","Verified","High","","Analyst","",""
"Cfi Properties","CFI PROPERTIES","False","1","Commercial Real Estate","Property Holding","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:20","","Cfi Properties","KNOXVILLE, TN","","","","Deferred","","Ambiguous Property Entity","Analyst","","Generic name. No distinct commercial website found for Knoxville entity."
"Cgm Capital Holdings","CGM CAPITAL HOLDINGS","False","1","Commercial Services","Real Estate Holding","531120","","Heuristic","","Low","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:20","","Cgm Capital Holdings C/O Harrell Tague 10531D","LOUISVILLE, KY","","","","Deferred","","Ambiguous Property Entity","Analyst","","Likely a private investment fund. No distinct website found."
"Cincinnati 3301 Mp WRK7","CINCINNATI 3301 MP WRK7","False","1","Commercial Real Estate","Property/site entity (coded)","5311","","Heuristic","Final","High","Analyst-approved override (method: Heuristic)","Website","1","1/20/2026 15:35","","Cincinnati 3301 Mp Wrk7 Llc","AUSTIN, TX","","","","Deferred","","Ambiguous Property Entity","Analyst","","Likely an internal property code."
"Cousin Construction","COUSIN CONSTRUCTION","False","1","Construction","Residential Remodel","236118","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","2","2026-01-21 15:56:55","","Cousin Construction Co","CINCINNATI, OH","Commercial Building Construction","236220","","Verified","High","","Analyst","",""
"Cp VI Llv","CP VI LLV","False","1","Commercial Real Estate","Property entity (coded)","5311","","Heuristic","Final","High","Analyst-approved override (method: Heuristic)","Website","1","1/20/2026 15:54","","Cp Vi Llv","KNOXVILLE, TN","","","","Deferred","","Ambiguous Property Entity","Analyst","","Likely a private real estate holding code."
"Cross Keys Condo Association","CROSS KEYS CONDO ASSOCIATION","False","1","Commercial Services","Condo association","8139","","Rule-Based","Final","High","Analyst-approved override (method: Rule-Based)","Website","2","2026-01-21 15:56:55","","Cross Keys Condo Association","CINCINNATI, OH","Condominium Owners Association","813990","","Verified","High","","Analyst","",""
"DTWPH2","DTWPH2","False","1","Commercial Real Estate","Property entity (coded)","5311","","Heuristic","Final","High","Analyst-approved override (method: Heuristic)","Website","1","1/20/2026 15:54","","Dtwph2 C/O Nai","KNOXVILLE, TN","","","","Deferred","","Ambiguous Property Entity","Analyst","","Likely a private real estate holding code."
"Dearringer Buildings","DEARRINGER BUILDINGS","False","1","Commercial Real Estate","Property/building entity","5311","","Rule-Based","Final","High","Analyst-approved override (method: Rule-Based)","Website","2","2026-01-21 15:56:55","","Dearringer Buildings Llc","WESTFIELD, IN","Nonresidential Building Lessor","531120","","Verified","High","","Analyst","",""
"Do It Right Excavating","DO IT RIGHT EXCAVATING","False","1","Construction","Excavation Contractor","238910","","AI Analyst Research","Final","High","Analyst-approved override (method: AI Analyst Research)","Website","2","2026-01-21 15:56:55","","Do It Right Excavating, Llc","CLARKSVILLE, OH","Site Preparation Contractor","238910","","Verified","High","","Analyst","",""
"Do Not Use Knoxville Properties PARTNERSHIP2CS","DO NOT USE KNOXVILLE PROPERTIES PARTNERSHIP2CS","False","1","Commercial Services","Food distribution","424490","","Rule-Based","Final","High","Analyst-approved override (method: Rule-Based)","Website","1","1/20/2026 16:04","","Do Not Use Knoxville Properties Partnership-2Cs C/O Avison Young","CHARLOTTE, NC","","","","Deferred","","Ambiguous Property Entity","Analyst","","Likely a property holding partnership code."
"Dollywoods Dream More Resort","DOLLYWOODS DREAM MORE RESORT","False","1","Commercial Services","Resort hotel and hospitality","721110","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","2","2026-01-21 15:56:55","","Dollywoods Dream More Resort","PIGEON FORGE, TN","Hotel & Resort","721110","dollywood.com/resort","Verified","High","","Analyst","",""
"Downtown West Village II Owners Association","DOWNTOWN WEST VILLAGE II OWNERS ASSOCIATION","False","1","Commercial Real Estate","HOA/owners association","8139","","Rule-Based","Final","High","Analyst-approved override (method: Rule-Based)","Website","2","2026-01-21 15:56:55","","Downtown West Village Ii Owners Association Inc C/O Blue Ridge R","KNOXVILLE, TN","Property Owners Association","813990","","Verified","High","","Analyst","",""
"Dtwp","DTWP","False","1","Commercial Real Estate","Property entity (coded)","5311","","Heuristic","Final","High","Analyst-approved override (method: Heuristic)","Website","1","1/20/2026 16:04","","Dtwp C/O Nai","KNOXVILLE, TN","","","","Deferred","","Ambiguous Property Entity","Analyst","","Likely a private real estate holding code."
"Eagle Dayton Properties","EAGLE DAYTON PROPERTIES","False","1","Commercial Real Estate","Residential Rental Property","531110","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:24","","Eagle Dayton Properties Llc","VANDALIA, OH","Residential Property Lessor","531110","","Verified","High","","Analyst","",""
"First Highland Management and Development","FIRST HIGHLAND MANAGEMENT AND DEVELOPMENT","False","1","Commercial Real Estate","Real Estate Development","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","2","2026-01-21 15:56:55","","First Highland Management & Development Co","FAIRFIELD, OH","Industrial Real Estate Development","531390","","Verified","High","","Analyst","",""
"Fithian Etowah Spe","FITHIAN ETOWAH SPE","False","1","Commercial Real Estate","Property SPE","5311","","Rule-Based","Final","High","Analyst-approved override (method: Rule-Based)","Website","1","1/20/2026 16:16","","Fithian Etowah Spe Llc","CINCINNATI, OH","","","","Deferred","","Ambiguous Property Entity","Analyst","","Likely a special purpose entity."
"Gaslight Court","GASLIGHT COURT","False","1","Commercial Real Estate","Property entity","5311","","Heuristic","Final","High","Analyst-approved override (method: Heuristic)","Website","2","2026-01-21 15:56:55","","Gaslight Court","JEFFERSONTOWN, KY","Assisted Living Facility","623311","ccinvest.com/properties/gaslight-court-apartments/","Verified","High","","Analyst","",""
"Gc Partners","GC PARTNERS","False","1","Commercial Services","Real Estate Partnership","531120","","Heuristic","","Low","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:24","","Gc Partners","CINCINNATI, OH","","","","Deferred","","Ambiguous Holding Entity","Analyst","","Common holding company name. No specific match confirmed."
"Good Fortune","GOOD FORTUNE","False","1","Commercial Services","Supermarket / Retail","445110","","AI Analyst Research","Final","High","Analyst-approved override (method: AI Analyst Research)","Website","1","1/20/2026 16:16","","Good Fortune Inc","FRANKLIN, TN","","","","Deferred","","Ambiguous Entity","Analyst","","Too common a name for specific verification in Franklin, TN."
"Griffin Powell Properties","GRIFFIN POWELL PROPERTIES","False","1","Commercial Real Estate","Residential Rental Property","531110","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:31","","Griffin Powell Properties","JEFFERSONVILLE, IN","Residential Property Managers","531311","","Verified","High","","Analyst","",""
"Grubb and Ellis Management Services","GRUBB AND ELLIS MANAGEMENT SERVICES","False","1","Commercial Services","Legacy Property Mgmt","531312","","Heuristic","","Low","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:31","","Grubb & Ellis Management Services","CINCINNATI, OH","Commercial Property Management","531312","","Verified","High","","Analyst","",""
"H and H Properties","H AND H PROPERTIES","False","1","Commercial Real Estate","Property Holding","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:31","","H&H Properties","MARYVILLE, TN","Land Subdivision","237210","","Verified","High","","Analyst","",""
"Harlan County Fiscal Court","HARLAN COUNTY FISCAL COURT","False","1","Municipal / Local Government","Local Government","921110","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/20/2026 11:08","","Harlan County Fiscal Court","HARLAN, KY","County Government Court","922110","judge-executive.harlanonline.net","Verified","High","","Analyst","",""
"Harrison OH Partners","HARRISON OH PARTNERS","False","1","Commercial Services","Real Estate Partnership","531120","","Heuristic","","Low","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:31","","Harrison Oh Partners","HARRISON, OH","","","","Deferred","","Ambiguous Entity","Analyst","","No specific entity found. Likely related to city/regional development partnerships."
"Hatcher Hill Investment Group IV","HATCHER HILL INVESTMENT GROUP IV","False","1","Commercial Real Estate","Investment/property entity","5311","","Rule-Based","Final","High","Analyst-approved override (method: Rule-Based)","Website","1","1/20/2026 16:27","","Hatcher Hill Investment Group Iv Llc","KNOXVILLE, TN","Commercial Real Estate Development","531120","hatcher-hill.com","Verified","High","","Analyst","",""
"Hosny Properties","HOSNY PROPERTIES","False","1","Commercial Real Estate","Residential Rental Property","531110","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:31","","Hosny Properties, Llc","WILMORE, KY","Residential Property Managers","531311","","Verified","High","","Analyst","",""
"Ims Investors Management Service","IMS INVESTORS MANAGEMENT SERVICE","False","1","Commercial Services","Property Management","531312","","Heuristic","","Low","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:31","","Ims Investors Management Service, Inc","KNOXVILLE, TN","Real Estate Property Managers","531312","ims-inc.info","Verified","High","","Analyst","",""
"Indy Power Systems","INDY POWER SYSTEMS","False","1","Utilities","Electric Power Distribution","221122","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/20/2026 11:08","","Indy Power Systems","Indianapolis, IN","Automotive Engine Parts Manufacturing","336310","indypowerproducts.com","Verified","High","","Analyst","",""
"Innovation Re","INNOVATION RE","False","1","Commercial Real Estate","Real estate entity","5311","","Rule-Based","Final","High","Analyst-approved override (method: Rule-Based)","Website","1","1/20/2026 16:27","","Innovation Re Llc","INDIANAPOLIS, IN","Creative Marketing Agency","541810","innovativei.com","Verified","High","","Analyst","",""
"Interra Sky Waterfront","INTERRA SKY WATERFRONT","False","1","Commercial Real Estate","Property/community","5311","","Heuristic","Final","High","Analyst-approved override (method: Heuristic)","Website","1","1/20/2026 16:27","","Interra Sky Waterfront, Llc","HOUSTON, TX","Real Estate Investment","531110","interracapital.com","Verified","High","","Analyst","",""
"Irg Batavia 1","IRG BATAVIA 1","False","1","Commercial Real Estate","Industrial property entity","5311","","Rule-Based","Final","High","Analyst-approved override (method: Rule-Based)","Website","1","1/20/2026 16:27","","Irg Batavia 1","BATAVIA, OH","Nonresidential Property Managers","531312","industrialrealtygroup.com","Verified","High","","Analyst","",""
"Irmscher Construction","IRMSCHER CONSTRUCTION","False","1","Construction","General Contractor","236220","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/20/2026 11:12","","Irmscher Construction","Fort Wayne, IN","General Contractor","236220","","Verified","High","","Analyst","",""
"J and B Roberts Holdings","J AND B ROBERTS HOLDINGS","False","1","Commercial Services","Real Estate Holding","531120","","Heuristic","","Low","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:31","","J And B Roberts Holdings Llc","STAWBERRY PLAINS, TN","","","","Deferred","","Ambiguous Holding Entity","Analyst","","No distinct website found."
"Johann Plumbing","JOHANN PLUMBING","False","1","Construction","Plumbing Contractor","238220","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/20/2026 11:12","","Johann Plumbing","CLEVES, OH","Plumbing Contractor","238220","","Verified","High","","Analyst","",""
"K and L Allstar Investments","K AND L ALLSTAR INVESTMENTS","False","1","Commercial Real Estate","Real Estate Investment","531390","","AI Analyst Research","Final","High","Analyst-approved override (method: AI Analyst Research)","Website","1","1/20/2026 16:27","","K&L Allstar Investments Llc C/O Equity","HILLIARD, OH","Residential Property Lessor","531110","","Verified","High","","Analyst","",""
"Knoxville Properties Partnershipapp","KNOXVILLE PROPERTIES PARTNERSHIPAPP","False","1","Commercial Services","Food distribution","424490","","Rule-Based","Final","High","Analyst-approved override (method: Rule-Based)","Website","1","1/20/2026 16:31","","Knoxville Properties Partnership-App C/O Avison Young","CHARLOTTE, NC","Nonresidential Property Lessor","531120","","Verified","High","","Analyst","",""
"Kpa Nightingale Lane","KPA NIGHTINGALE LANE","False","1","Commercial Real Estate","Property entity (address/LP-style)","5311","","Rule-Based","Final","High","Analyst-approved override (method: Rule-Based)","Website","1","1/20/2026 16:31","","Kpa Nightingale  Lane, Llc","KNOXVILLE, TN","","","","Verified","","","Analyst","",""
"Lakeside Centre Realty Partners","LAKESIDE CENTRE REALTY PARTNERS","False","1","Commercial Real Estate","Real Estate Partnership","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:35","","Lakeside Centre Realty Partners Llc","KNOXVILLE, TN","","","","Verified","","","Analyst","",""
"Land Oak 2","LAND OAK 2","False","1","Commercial Real Estate","Property entity","5311","","Rule-Based","Final","High","Analyst-approved override (method: Rule-Based)","Website","1","1/20/2026 16:31","","Land Oak 2 C/O Nai","KNOXVILLE, TN","","","","Verified","","","Analyst","",""
"Landen Square 3","LANDEN SQUARE 3","False","1","Commercial Real Estate","Property entity","5311","","Rule-Based","Final","High","Analyst-approved override (method: Rule-Based)","Website","1","1/20/2026 16:31","","Landen Square 3 Llc Co Integris Ventures","CREVE COEUR, MO","","","","Verified","","","Analyst","",""
"Landmark Center","LANDMARK CENTER","False","1","Commercial Real Estate","Property entity","5311","","Rule-Based","Final","High","Analyst-approved override (method: Rule-Based)","Website","1","1/20/2026 16:31","","Landmark Center Llc","EVANSVILLE, INDIANA","","","","Verified","","","Analyst","",""
"Lexington Professional Management LLCl","LEXINGTON PROFESSIONAL MANAGEMENT LLCL","False","1","Commercial Services","Property Management","531311","","Heuristic","","Low","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:35","","Lexington Professional Management, Llcl","LEXINGTON, KY","","","","Verified","","","Analyst","",""
"Louisville Tower Properties","LOUISVILLE TOWER PROPERTIES","False","1","Commercial Real Estate","Real Estate Holding","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:35","","Louisville Tower Properties Llc","INDIANAPOLIS, IN","","","","Verified","","","Analyst","",""
"Madison St Apartments","MADISON ST APARTMENTS","False","1","Commercial Real Estate","Residential Rental Property","531110","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:35","","Madison St Apartments Llc","SALEM, OR","","","","Verified","","","Analyst","",""
"Matilda Development","MATILDA DEVELOPMENT","False","1","Commercial Real Estate","Real Estate Development","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:35","","Matilda Development Llc","CINCINNATI, OH","","","","Verified","","","Analyst","",""
"Maywest","MAYWEST","False","1","Individual / Misc","Investment Partnership","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:35","","Maywest, Llc","CINCINNATI, OH","","","","Verified","","","Analyst","",""
"Meridian Management","MERIDIAN MANAGEMENT","False","1","Commercial Services","Property Management","531311","","Heuristic","","Low","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:54","","Meridian Management Corp.","Covington, KY","","","","Verified","","","Analyst","",""
"Midwest Builders","MIDWEST BUILDERS","False","1","Construction","General Contractor","236220","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/20/2026 11:24","","Mid-West Builders Inc","PEEWEE VALLEY, KY","","","","Verified","","","Analyst","",""
"Miljavac Electric","MILJAVAC ELECTRIC","False","1","Utilities","Electrical Contractor","238210","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/20/2026 11:24","","Miljavac Electric Corporation","ST JOSEPH, MO","","","","Verified","","","Analyst","",""
"Mobejoe Holdings","MOBEJOE HOLDINGS","False","1","Commercial Services","Real Estate Holding","531120","","Heuristic","","Low","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:46","","Mobejoe Holdings Llc","DAYTON, OH","","","","Verified","","","Analyst","",""
"O and M Holdings","O AND M HOLDINGS","False","1","Commercial Services","Real Estate Holding","531120","","Heuristic","","Low","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:46","","O&M Holdings, Llc C/O Ims Inc","KNOXVILLE, TN","","","","Verified","","","Analyst","",""
"Osborn Enterprises","OSBORN ENTERPRISES","False","1","Commercial Real Estate","Real Estate Development","531110","","AI Analyst Research","Final","High","Analyst-approved override (method: AI Analyst Research)","Website","1","2026-01-21 12:57:40","","Osborn Enterprises","PROSPECT, KY","","","","Verified","","","Analyst","",""
"Performance Place Group","PERFORMANCE PLACE GROUP","False","1","Commercial Real Estate","Real Estate Partnership","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:46","","Performance Place Group C/O Turner Properties","DAYTON, OH","","","","Verified","","","Analyst","",""
"Phillips Management and Services","PHILLIPS MANAGEMENT AND SERVICES","False","1","Commercial Services","Property Management","531311","","Heuristic","","Low","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:46","","Phillips  Management And Services, Llc","KNOXVILLE, TN","","","","Verified","","","Analyst","",""
"Plumb Tech Services","PLUMB TECH SERVICES","False","1","Construction","Plumbing contractor","2382","","Rule-Based","Final","High","Analyst-approved override (method: Rule-Based)","Website","1","2026-01-21 13:07:56","","Plumb Tech Services","BATAVIA, OH","","","","Verified","","","Analyst","",""
"Princeton Properties","PRINCETON PROPERTIES","False","1","Commercial Real Estate","Residential Rental Property","531110","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:54","","Princeton Properties","CINCINNATI, OH","","","","Verified","","","Analyst","",""
"Pronova Holdings","PRONOVA HOLDINGS","False","1","Commercial Services","Real Estate Holding","531120","","Heuristic","","Low","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:46","","Pronova Holdings Llc","KNOXVILLE, TN","","","","Verified","","","Analyst","",""
"Quantum Investment and Management","QUANTUM INVESTMENT AND MANAGEMENT","False","1","Commercial Services","Property Management","531311","","Heuristic","","Low","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:54","","Quantum Investment & Management","TIPTON, MI","","","","Verified","","","Analyst","",""
"Ramsey Pike","RAMSEY PIKE","False","1","Commercial Real Estate","Real Estate Agency","531210","","AI Analyst Research","Final","High","Analyst-approved override (method: AI Analyst Research)","Website","1","2026-01-21 13:28:11","","Ramsey Pike Llc","PIKEVILLE, KY","","","","Verified","","","Analyst","",""
"Rdj Cole Properties","RDJ COLE PROPERTIES","False","1","Commercial Real Estate","Commercial property entity","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/21/2026 9:09","","Rdj Cole Properties Llc","MORRISTOWN, TN","","","","Verified","","","Analyst","",""
"Real Estate Place Council of","REAL ESTATE PLACE COUNCIL OF","False","1","Commercial Real Estate","Property Owners Association","813990","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:54","","Real Estate Place Council Of Co Owners","LOUISVILLE, KY","","","","Verified","","","Analyst","",""
"Resicom Development","RESICOM DEVELOPMENT","False","1","Commercial Real Estate","Real Estate Development","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:54","","Resicom Development","BELLE CENTER, OH","","","","Verified","","","Analyst","",""
"Resistatemps","RESISTATEMPS","False","1","Healthcare / Senior Living","Dental Laboratory","339116","","AI Analyst Research","Final","High","Analyst-approved override (method: AI Analyst Research)","Website","1","2026-01-21 13:48:43","","Resista-Temps","INDIANAPOLIS, IN","","","","Verified","","","Analyst","",""
"Ridge K","RIDGE K","False","1","Construction","Home Renovations","236118","","AI Analyst Research","Final","High","Analyst-approved override (method: AI Analyst Research)","Website","1","2026-01-21 13:48:43","","Ridge K, Llc","CINCINNATI, OH","","","","Verified","","","Analyst","",""
"Riteway Plumbing and Heating","RITEWAY PLUMBING AND HEATING","False","1","Construction","Plumbing Contractor","238220","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/20/2026 11:43","","Riteway Plumbing And Heating","GRAND RAPIDS, MI","","","","Verified","","","Analyst","",""
"Riverside Industrial","RIVERSIDE INDUSTRIAL","False","1","Unknown / Needs Review","Unidentified","531120","","Unclassified","Final","High","Verified enrichment updated: NAICS","Website","1","1/20/2026 12:32","","Riverside Industrial Inc","EDGEWOOD, KY","","","","Verified","","","Analyst","",""
