Master Customer Name,Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,Method,Status,Confidence,Rationale,Support Category,Company Website,IsMerge,MergeGroupSize,Customer Key,Customer Number,Original Name,Source,Last Billing Date (Any Stream)
J and N Distribution and Design,J AND N DISTRIBUTION AND DESIGN,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'J&N Distribution & Design, Inc.')",,,FALSE,1,CN990856SERV_GP,CN990856,"J&N Distribution & Design, Inc.",SERV_GP,2025-10-01 00:00:00
Ja Fielden,JA FIELDEN,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Ja Fielden'),,,FALSE,1,CN990026SERV_GP,CN990026,Ja Fielden,SERV_GP,2020-11-05 00:00:00
Jabil Circuit,JABIL CIRCUIT,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jabil Circuit Inc'),,,FALSE,1,CN992076SERV_GP,CN992076,Jabil Circuit Inc,SERV_GP,2025-04-01 00:00:00
Jack Albrecht,JACK ALBRECHT,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jack Albrecht'),,,FALSE,1,TN200502SERV_GP,TN200502,Jack Albrecht,SERV_GP,2025-04-21 00:00:00
Jack Albrecht Residents,JACK ALBRECHT RESIDENTS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jack Albrecht Residents'),,,FALSE,1,"ALBRECHT, JACKMECH_GP","ALBRECHT, JACK",Jack Albrecht Residents,MECH_GP,2015-08-01 00:00:00
Jackson Control,JACKSON CONTROL,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jackson Control Co Inc'),,,FALSE,1,TN992073SERV_GP,TN992073,Jackson Control Co Inc,SERV_GP,2023-04-19 00:00:00
Jaguar Land Rover Cincinnati,JAGUAR LAND ROVER CINCINNATI,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jaguar Land Rover Cincinnati'),,,FALSE,1,CN990911SERV_GP,CN990911,Jaguar Land Rover Cincinnati,SERV_GP,2025-07-01 00:00:00
Jamie Endaya,JAMIE ENDAYA,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jamie Endaya'),,,FALSE,1,CN992181SERV_GP,CN992181,Jamie Endaya,SERV_GP,2025-06-27 00:00:00
Janell Concrete,JANELL CONCRETE,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Janell Concrete'),,,FALSE,1,CN991866SERV_GP,CN991866,Janell Concrete,SERV_GP,2025-09-01 00:00:00
Jay Hewitt,JAY HEWITT,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jay Hewitt'),,,FALSE,1,NV00129SERV_GP,NV00129,Jay Hewitt,SERV_GP,2022-04-02 00:00:00
Jayco Cleaning Technologies,JAYCO CLEANING TECHNOLOGIES,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jayco Cleaning Technologies'),,,FALSE,1,CN992064SERV_GP,CN992064,Jayco Cleaning Technologies,SERV_GP,2021-10-01 00:00:00
Jdl Warm,JDL WARM,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jdl Warm'),,,FALSE,1,JDLMECH_GP,JDL,Jdl Warm,MECH_GP,2024-12-01 00:00:00
Jeff Wyler Fairfield,JEFF WYLER FAIRFIELD,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jeff Wyler Fairfield'),,,FALSE,1,CN991185SERV_GP,CN991185,Jeff Wyler Fairfield,SERV_GP,2026-01-01 00:00:00
Jeffersonville Animal Shelter,JEFFERSONVILLE ANIMAL SHELTER,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jeffersonville Animal Shelter'),,,FALSE,1,LV990492SERV_GP,LV990492,Jeffersonville Animal Shelter,SERV_GP,2024-01-17 00:00:00
Jennifer Banner Residence,JENNIFER BANNER RESIDENCE,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jennifer Banner Residence'),,,FALSE,1,TN991453SERV_GP,TN991453,Jennifer Banner Residence,SERV_GP,2025-08-18 00:00:00
Jennifer Hawkins State Farm,JENNIFER HAWKINS STATE FARM,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jennifer Hawkins State Farm'),,,FALSE,1,LX990436SERV_GP,LX990436,Jennifer Hawkins State Farm,SERV_GP,2023-04-06 00:00:00
Jerrod Herron,JERROD HERRON,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jerrod Herron'),,,FALSE,1,TN992241SERV_GP,TN992241,Jerrod Herron,SERV_GP,2025-11-04 00:00:00
Jerry R Smith Architect,JERRY R SMITH ARCHITECT,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jerry R Smith Architect'),,,FALSE,1,WV990262SERV_GP,WV990262,Jerry R Smith Architect,SERV_GP,2021-03-05 00:00:00
Jf Berns,JF BERNS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jf Berns'),,,FALSE,1,CN992096SERV_GP,CN992096,Jf Berns,SERV_GP,2024-01-22 00:00:00
Jfk Enterprises,JFK ENTERPRISES,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jfk Enterprises Llc'),,,FALSE,1,TN992149SERV_GP,TN992149,Jfk Enterprises Llc,SERV_GP,2025-11-01 00:00:00
Jm Smucker,JM SMUCKER,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'J.M. Smucker Company'),,,TRUE,2,LX950130SERV_GP,LX950130,J.M. Smucker Company,SERV_GP,2025-07-01 00:00:00
Jm Smucker,JM SMUCKER,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'J.M. Smucker Company'),,,TRUE,2,JM SMUCKERSMECH_GP,JM SMUCKERS,"Jm Smucker Company, Llc",MECH_GP,2018-02-01 00:00:00
Jml Capital,JML CAPITAL,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jml Capital Llc'),,,FALSE,1,CN992258SERV_GP,CN992258,Jml Capital Llc,SERV_GP,2025-12-08 00:00:00
Jn Linrose,JN LINROSE,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'J.N. Linrose'),,,FALSE,1,CN991967SERV_GP,CN991967,J.N. Linrose,SERV_GP,2025-10-08 00:00:00
Johnson and Galyon,JOHNSON AND GALYON,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Johnson & Galyon, Inc.')",,,FALSE,1,TN332133SERV_GP,TN332133,"Johnson & Galyon, Inc.",SERV_GP,2023-09-19 00:00:00
Johnsonnorthwest,JOHNSONNORTHWEST,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Johnson-Northwest, Inc')",,,FALSE,1,WV990261SERV_GP,WV990261,"Johnson-Northwest, Inc",SERV_GP,2022-05-13 00:00:00
Jones Lang Lasalle Americas,JONES LANG LASALLE AMERICAS,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Jones Lang Lasalle Americas, Inc')",,,FALSE,1,JONES LANG LASAMECH_GP,JONES LANG LASA,"Jones Lang Lasalle Americas, Inc",MECH_GP,2025-06-01 00:00:00
Jones Lang Lasalle JLL Amazon,JONES LANG LASALLE JLL AMAZON,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jones Lang Lasalle - Jll Amazon'),,,FALSE,1,WV990268SERV_GP,WV990268,Jones Lang Lasalle - Jll Amazon,SERV_GP,2025-12-01 00:00:00
Joseph Grenvicz,JOSEPH GRENVICZ,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Joseph Grenvicz'),,,FALSE,1,NV00073SERV_GP,NV00073,Joseph Grenvicz,SERV_GP,2024-11-13 00:00:00
Joy Global Underground Mining,JOY GLOBAL UNDERGROUND MINING,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Joy Global Underground Mining Llc'),,,FALSE,1,LX990454SERV_GP,LX990454,Joy Global Underground Mining Llc,SERV_GP,2024-05-28 00:00:00
Js Held,JS HELD,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Js Held Llc'),,,FALSE,1,CN992282SERV_GP,CN992282,Js Held Llc,SERV_GP,2024-10-01 00:00:00
Jtekt North America,JTEKT NORTH AMERICA,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jtekt North America'),,,FALSE,1,TN992182SERV_GP,TN992182,Jtekt North America,SERV_GP,2024-10-31 00:00:00
Jw Harris,JW HARRIS,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Jw Harris Co., Inc.')",,,FALSE,1,JW HARRISMECH_GP,JW HARRIS,"Jw Harris Co., Inc.",MECH_GP,2006-08-01 00:00:00
Jw Marriot,JW MARRIOT,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'J.W. Marriot'),,,FALSE,1,NV00175SERV_GP,NV00175,J.W. Marriot,SERV_GP,2022-03-15 00:00:00
Jwf Technologies,JWF TECHNOLOGIES,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jwf Technologies'),,,FALSE,1,CN991846SERV_GP,CN991846,Jwf Technologies,SERV_GP,2025-12-17 00:00:00
K and L Allstar Investments,K AND L ALLSTAR INVESTMENTS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'K&L Allstar Investments Llc C/O Equity'),,,FALSE,1,DY990962SERV_GP,DY990962,K&L Allstar Investments Llc C/O Equity,SERV_GP,2021-04-15 00:00:00
K4 Architecture,K4 ARCHITECTURE,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'K4 Architecture'),,,FALSE,1,K4 ARCHITECTMECH_GP,K4 ARCHITECT,K4 Architecture,MECH_GP,2013-06-01 00:00:00
KY Smelting Technolgies,KY SMELTING TECHNOLGIES,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Ky Smelting Technolgies'),,,FALSE,1,LX990129SERV_GP,LX990129,Ky Smelting Technolgies,SERV_GP,2025-11-01 00:00:00
Kaeser and Blair,KAESER AND BLAIR,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Kaeser & Blair'),,,FALSE,1,CN991890SERV_GP,CN991890,Kaeser & Blair,SERV_GP,2025-10-15 00:00:00
Kajima Building and Design Group,KAJIMA BUILDING AND DESIGN GROUP,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Kajima Building & Design Group, Inc')",,,TRUE,2,KBDMECH_GP,KBD,"Kajima Building & Design Group, Inc",MECH_GP,2022-05-01 00:00:00
Kajima Building and Design Group,KAJIMA BUILDING AND DESIGN GROUP,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Kajima Building & Design Group, Inc')",,,TRUE,2,KAJIMECH_GP,KAJI,"Kajima Building & Design Group, Inc.",MECH_GP,2013-11-01 00:00:00
Kao Brands,KAO BRANDS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Kao Brands'),,,FALSE,1,KAOMECH_GP,KAO,Kao Brands,MECH_GP,2007-06-01 00:00:00
Karen Harbin,KAREN HARBIN,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Karen Harbin'),,,FALSE,1,LX990373SERV_GP,LX990373,Karen Harbin,SERV_GP,2021-12-02 00:00:00
Karla Ricking,KARLA RICKING,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Karla Ricking'),,,FALSE,1,CN950451SERV_GP,CN950451,Karla Ricking,SERV_GP,2023-02-01 00:00:00
Kay Robinson,KAY ROBINSON,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Kay Robinson'),,,FALSE,1,DY991054SERV_GP,DY991054,Kay Robinson,SERV_GP,2022-06-23 00:00:00
Kbc Buyer Dba Klosterman Baking,KBC BUYER DBA KLOSTERMAN BAKING,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Kbc Buyer Inc Dba Klosterman Baking Company'),,,FALSE,1,CN992366SERV_GP,CN992366,Kbc Buyer Inc Dba Klosterman Baking Company,SERV_GP,2025-09-25 00:00:00
Kbd Group,KBD GROUP,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Kbd Group Inc'),,,FALSE,1,LV990498SERV_GP,LV990498,Kbd Group Inc,SERV_GP,2024-02-24 00:00:00
Kdc One,KDC ONE,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Kdc One'),,,FALSE,1,DY991064SERV_GP,DY991064,Kdc One,SERV_GP,2024-04-22 00:00:00
Keenland Heights,KEENLAND HEIGHTS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Keenland Heights Llc'),,,FALSE,1,TN992127SERV_GP,TN992127,Keenland Heights Llc,SERV_GP,2025-11-04 00:00:00
Keidel Supply,KEIDEL SUPPLY,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Keidel Supply Company'),,,FALSE,1,KEIDEL SUPPLYMECH_GP,KEIDEL SUPPLY,Keidel Supply Company,MECH_GP,2012-03-01 00:00:00
Keller Warehousing and Packing,KELLER WAREHOUSING AND PACKING,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Keller Warehousing & Co-Packing'),,,FALSE,1,CN992233SERV_GP,CN992233,Keller Warehousing & Co-Packing,SERV_GP,2025-11-01 00:00:00
Kenco Logistic Services,KENCO LOGISTIC SERVICES,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Kenco Logistic Services, Llc')",,,FALSE,1,KENCOMECH_GP,KENCO,"Kenco Logistic Services, Llc",MECH_GP,2016-11-01 00:00:00
Kenco Logistics,KENCO LOGISTICS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Kenco Logistics'),,,TRUE,2,DY990942SERV_GP,DY990942,Kenco Logistics,SERV_GP,2025-11-04 00:00:00
Kenco Logistics,KENCO LOGISTICS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Kenco Logistics'),,,TRUE,2,DY991053SERV_GP,DY991053,Kenco Logistics,SERV_GP,2025-11-12 00:00:00
Kenneth C Wood,KENNETH C WOOD,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Kenneth C. Wood'),,,FALSE,1,"WOOD, KENNETHMECH_GP","WOOD, KENNETH",Kenneth C. Wood,MECH_GP,2005-07-01 00:00:00
