BrandNormalized,EquipmentType,AttributeName,Code,SupportN,MostCommonTons,MostCommonTonsN,PurityPct,UniqueTruthTonsN,TruthTonsValuesJson
AMERICAN STANDARD,Heat Pump Condensing Unit,HVACExport_CoolingCode,48,3,4,3,100.0,1,"{""4"": 3}"
BARD,Packaged Unit,HVACExport_CoolingCode,36,2,3,2,100.0,1,"{""3"": 2}"
CARRIER/ICP,Air Handling Unit,HVACExport_CFMTonsCode,30,2,5,2,100.0,1,"{""5"": 2}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingCode,060,2,5,2,100.0,1,"{""5"": 2}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingCode,16,1,15,1,100.0,1,"{""15"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingCode,30,3,30,2,66.7,2,"{""2.5"": 1, ""30"": 2}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingCode,551,1,4,1,100.0,1,"{""4"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,028,1,25,1,100.0,1,"{""25"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,16,1,15,1,100.0,1,"{""15"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,17,2,28.333,1,50.0,2,"{""22.408"": 1, ""28.333"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,21,1,35,1,100.0,1,"{""35"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,30,3,30,2,66.7,2,"{""30"": 2, ""50"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,303,1,2.5,1,100.0,1,"{""2.5"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,35,1,60,1,100.0,1,"{""60"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,36,1,60,1,100.0,1,"{""60"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,50,3,83.333,2,66.7,2,"{""50"": 1, ""83.333"": 2}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,603,2,5,2,100.0,1,"{""5"": 2}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,85,1,141.667,1,100.0,1,"{""141.667"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,96,2,160,2,100.0,1,"{""160"": 2}"
CARRIER/ICP,Chiller,HVACExport_CoolingCode,006,1,500,1,100.0,1,"{""500"": 1}"
CARRIER/ICP,Chiller,HVACExport_CoolingCode,050,1,90,1,100.0,1,"{""90"": 1}"
CARRIER/ICP,Chiller,HVACExport_CoolingCode,106,1,210,1,100.0,1,"{""210"": 1}"
CARRIER/ICP,Chiller,HVACExport_CoolingCode,150,1,150,1,100.0,1,"{""150"": 1}"
CARRIER/ICP,Chiller,HVACExport_CoolingCode,305,2,30,2,100.0,1,"{""30"": 2}"
CARRIER/ICP,Chiller,HVACExport_CoolingCode,406,2,40,2,100.0,1,"{""40"": 2}"
CARRIER/ICP,Chiller,HVACExport_CoolingCode,456,1,40,1,100.0,1,"{""40"": 1}"
CARRIER/ICP,Chiller,HVACExport_CoolingCode,506,1,150,1,100.0,1,"{""150"": 1}"
CARRIER/ICP,Chiller,HVACExport_CoolingCode,906,2,190,2,100.0,1,"{""190"": 2}"
CARRIER/ICP,Chiller,HVACExport_CoolingTonCode,030,2,30,2,100.0,1,"{""30"": 2}"
CARRIER/ICP,Chiller,HVACExport_CoolingTonCode,090,1,90,1,100.0,1,"{""90"": 1}"
CARRIER/ICP,Chiller,HVACExport_CoolingTonCode,150,1,150,1,100.0,1,"{""150"": 1}"
CARRIER/ICP,Chiller,HVACExport_CoolingTonCode,186,2,175,2,100.0,1,"{""175"": 2}"
CARRIER/ICP,Chiller,HVACExport_CoolingTonCode,190,2,190,2,100.0,1,"{""190"": 2}"
CARRIER/ICP,Chiller,HVACExport_CoolingTonCode,210,1,210,1,100.0,1,"{""210"": 1}"
CARRIER/ICP,Chiller,HVACExport_CoolingTonCode,500,1,500,1,100.0,1,"{""500"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CFMTonsCode,37,1,4,1,100.0,1,"{""4"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CFMTonsCode,50,1,3.5,1,100.0,1,"{""3.5"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CFMTonsCode,62,30,5,30,100.0,1,"{""5"": 30}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,036,2,3,2,100.0,1,"{""3"": 2}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,04,1,100,1,100.0,1,"{""100"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,042,1,3.5,1,100.0,1,"{""3.5"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,048,1,4,1,100.0,1,"{""4"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,060,31,5,31,100.0,1,"{""5"": 31}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,08,3,7.5,3,100.0,1,"{""7.5"": 3}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,12,12,10,12,100.0,1,"{""10"": 12}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,14,1,12,1,100.0,1,"{""12"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,16,3,15,3,100.0,1,"{""15"": 3}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,18,1,1.5,1,100.0,1,"{""1.5"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,24,1,20,1,100.0,1,"{""20"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,28,1,25,1,100.0,1,"{""25"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,36,1,3,1,100.0,1,"{""3"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,360,1,3,1,100.0,1,"{""3"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,48,1,4,1,100.0,1,"{""4"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,60,2,5,1,50.0,2,"{""5"": 1, ""50"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,94,1,90,1,100.0,1,"{""90"": 1}"
CARRIER/ICP,Ductless Split System,HVACExport_CoolingCode,12,6,1,6,100.0,1,"{""1"": 6}"
CARRIER/ICP,Ductless Split System,HVACExport_CoolingCode,18,6,1.5,6,100.0,1,"{""1.5"": 6}"
CARRIER/ICP,Ductless Split System,HVACExport_CoolingCode,20,1,26500,1,100.0,1,"{""26500"": 1}"
CARRIER/ICP,Ductless Split System,HVACExport_CoolingCode,27,3,25000,3,100.0,1,"{""25000"": 3}"
CARRIER/ICP,Heat Pump Condensing Unit,HVACExport_CoolingCode,30,2,2.5,2,100.0,1,"{""2.5"": 2}"
CARRIER/ICP,Heat Pump Condensing Unit,HVACExport_CoolingCode,36,3,3,3,100.0,1,"{""3"": 3}"
CARRIER/ICP,Packaged Unit,HVACExport_CFMTonsCode,30,3,2,3,100.0,1,"{""2"": 3}"
CARRIER/ICP,Packaged Unit,HVACExport_CFMTonsCode,50,1,5,1,100.0,1,"{""5"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CFMTonsCode,51,12,10,9,75.0,2,"{""10"": 9, ""3"": 3}"
CARRIER/ICP,Packaged Unit,HVACExport_CFMTonsCode,61,1,3,1,100.0,1,"{""3"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,006,1,5,1,100.0,1,"{""5"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,012,9,10,9,100.0,1,"{""10"": 9}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,017,1,15,1,100.0,1,"{""15"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,030,4,2.5,4,100.0,1,"{""2.5"": 4}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,036,8,3,8,100.0,1,"{""3"": 8}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,042,1,3.5,1,100.0,1,"{""3.5"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,048,1,4,1,100.0,1,"{""4"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,07,2,6.25,2,100.0,1,"{""6.25"": 2}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,124,3,2,3,100.0,1,"{""2"": 3}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,146,1,12.5,1,100.0,1,"{""12.5"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,180,1,15,1,100.0,1,"{""15"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,24,1,2,1,100.0,1,"{""2"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,286,1,25,1,100.0,1,"{""25"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,354,1,3,1,100.0,1,"{""3"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,36,1,3,1,100.0,1,"{""3"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,60,1,5,1,100.0,1,"{""5"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,004,3,3,3,100.0,1,"{""3"": 3}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,005,15,4,15,100.0,1,"{""4"": 15}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,008,1,7.5,1,100.0,1,"{""7.5"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,009,1,8.5,1,100.0,1,"{""8.5"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,012,2,10,2,100.0,1,"{""10"": 2}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,014,1,12.5,1,100.0,1,"{""12.5"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,017,1,15,1,100.0,1,"{""15"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,020,1,20,1,100.0,1,"{""20"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,028,3,25,3,100.0,1,"{""25"": 3}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,030,2,30,2,100.0,1,"{""30"": 2}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,035,1,35,1,100.0,1,"{""35"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,036,1,3,1,100.0,1,"{""3"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,042,1,3.5,1,100.0,1,"{""3.5"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,125,9,10,9,100.0,1,"{""10"": 9}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,240,1,2,1,100.0,1,"{""2"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,243,3,2,3,100.0,1,"{""2"": 3}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,363,1,3,1,100.0,1,"{""3"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,365,3,3,3,100.0,1,"{""3"": 3}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,603,1,5,1,100.0,1,"{""5"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,72,1,120,1,100.0,1,"{""120"": 1}"
CARRIER/ICP,WSHP,HVACExport_CoolingCode,070,3,6,3,100.0,1,"{""6"": 3}"
CARRIER/ICP,WSHP,HVACExport_CoolingTonCode,070,3,6,3,100.0,1,"{""6"": 3}"
CLIMATEMASTER,WSHP,HVACExport_CoolingCode,036,9,3,9,100.0,1,"{""3"": 9}"
CLIMATEMASTER,WSHP,HVACExport_CoolingCode,060,36,5,36,100.0,1,"{""5"": 36}"
CONCORD,Packaged Unit,HVACExport_CoolingCode,36,1,3,1,100.0,1,"{""3"": 1}"
FUJITSU,Ductless Split System,HVACExport_CoolingCode,18,1,18000,1,100.0,1,"{""18000"": 1}"
GOODMAN/AMANA/DAIKIN,Air Handling Unit,HVACExport_CFMTonsCode,07,1,2.5,1,100.0,1,"{""2.5"": 1}"
GOODMAN/AMANA/DAIKIN,Air Handling Unit,HVACExport_CFMTonsCode,48,1,4,1,100.0,1,"{""4"": 1}"
GOODMAN/AMANA/DAIKIN,Air Handling Unit,HVACExport_CoolingCode,06,2,5,2,100.0,1,"{""5"": 2}"
GOODMAN/AMANA/DAIKIN,Air Handling Unit,HVACExport_CoolingCode,07,1,2.5,1,100.0,1,"{""2.5"": 1}"
GOODMAN/AMANA/DAIKIN,Air Handling Unit,HVACExport_CoolingCode,48,4,5,2,50.0,2,"{""4"": 2, ""5"": 2}"
GOODMAN/AMANA/DAIKIN,Air Handling Unit,HVACExport_CoolingCode,60,1,2.5,1,100.0,1,"{""2.5"": 1}"
GOODMAN/AMANA/DAIKIN,Air Handling Unit,HVACExport_CoolingMaxCode,01,2,5,2,100.0,1,"{""5"": 2}"
GOODMAN/AMANA/DAIKIN,Air Handling Unit,HVACExport_CoolingMinCode,60,2,5,2,100.0,1,"{""5"": 2}"
GOODMAN/AMANA/DAIKIN,Air Handling Unit,HVACExport_CoolingMinCode,86,2,5,2,100.0,1,"{""5"": 2}"
GOODMAN/AMANA/DAIKIN,Air Handling Unit,HVACExport_CoolingTonCode,807,1,2.5,1,100.0,1,"{""2.5"": 1}"
GOODMAN/AMANA/DAIKIN,Air Handling Unit,HVACExport_TonsCFMCode,6,2,5,2,100.0,1,"{""5"": 2}"
GOODMAN/AMANA/DAIKIN,Chiller,HVACExport_CoolingCode,41,1,241,1,100.0,1,"{""241"": 1}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_CFMTonsCode,30,16,5,5,31.2,7,"{""10"": 1, ""10.833"": 1, ""2.5"": 3, ""3"": 3, ""3.5"": 1, ""4"": 2, ""5"": 5}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_CFMTonsCode,40,3,1.5,1,33.3,3,"{""1.5"": 1, ""2"": 1, ""5"": 1}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_CFMTonsCode,48,1,4,1,100.0,1,"{""4"": 1}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_CoolingCode,00,1,100,1,100.0,1,"{""100"": 1}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_CoolingCode,30,15,5,5,33.3,7,"{""10"": 1, ""10.833"": 1, ""2.5"": 2, ""3"": 3, ""3.5"": 1, ""4"": 2, ""5"": 5}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_CoolingCode,40,3,1.5,1,33.3,3,"{""1.5"": 1, ""2"": 1, ""5"": 1}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_CoolingCode,48,1,4,1,100.0,1,"{""4"": 1}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_CoolingTonCode,130,15,5,5,33.3,7,"{""10"": 1, ""10.833"": 1, ""2.5"": 2, ""3"": 3, ""3.5"": 1, ""4"": 2, ""5"": 5}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_CoolingTonCode,140,3,1.5,1,33.3,3,"{""1.5"": 1, ""2"": 1, ""5"": 1}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_TonsCFMCode,0,3,5,2,66.7,2,"{""2.5"": 1, ""5"": 2}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_TonsCFMCode,1,14,3,3,21.4,7,"{""1.5"": 1, ""10"": 1, ""10.833"": 1, ""2"": 3, ""2.5"": 2, ""3"": 3, ""5"": 3}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_TonsCFMCode,3,10,4,4,40.0,4,"{""3"": 2, ""3.5"": 1, ""4"": 4, ""5"": 3}"
GOODMAN/AMANA/DAIKIN,Ductless Split System,HVACExport_CFMTonsCode,09,6,0.75,6,100.0,1,"{""0.75"": 6}"
GOODMAN/AMANA/DAIKIN,Ductless Split System,HVACExport_CFMTonsCode,12,6,1,6,100.0,1,"{""1"": 6}"
GOODMAN/AMANA/DAIKIN,Evaporator Coil,HVACExport_CoolingCode,36,1,3,1,100.0,1,"{""3"": 1}"
GOODMAN/AMANA/DAIKIN,Evaporator Coil,HVACExport_CoolingMaxCode,36,1,3,1,100.0,1,"{""3"": 1}"
GOODMAN/AMANA/DAIKIN,Evaporator Coil,HVACExport_CoolingMinCode,36,1,3,1,100.0,1,"{""3"": 1}"
GOODMAN/AMANA/DAIKIN,Evaporator Coil,HVACExport_TonsCFMCode,6,1,3,1,100.0,1,"{""3"": 1}"
GOODMAN/AMANA/DAIKIN,Heat Pump Condensing Unit,HVACExport_CFMTonsCode,30,1,4,1,100.0,1,"{""4"": 1}"
GOODMAN/AMANA/DAIKIN,Heat Pump Condensing Unit,HVACExport_CFMTonsCode,40,3,4,2,66.7,2,"{""4"": 2, ""5"": 1}"
GOODMAN/AMANA/DAIKIN,Heat Pump Condensing Unit,HVACExport_CoolingCode,30,1,4,1,100.0,1,"{""4"": 1}"
GOODMAN/AMANA/DAIKIN,Heat Pump Condensing Unit,HVACExport_CoolingCode,40,3,4,2,66.7,2,"{""4"": 2, ""5"": 1}"
GOODMAN/AMANA/DAIKIN,Heat Pump Condensing Unit,HVACExport_CoolingTonCode,130,1,4,1,100.0,1,"{""4"": 1}"
GOODMAN/AMANA/DAIKIN,Heat Pump Condensing Unit,HVACExport_CoolingTonCode,140,3,4,2,66.7,2,"{""4"": 2, ""5"": 1}"
GOODMAN/AMANA/DAIKIN,Heat Pump Condensing Unit,HVACExport_TonsCFMCode,1,3,4,2,66.7,2,"{""4"": 2, ""5"": 1}"
GOODMAN/AMANA/DAIKIN,Heat Pump Condensing Unit,HVACExport_TonsCFMCode,4,3,3,2,66.7,2,"{""3"": 2, ""4"": 1}"
GOODMAN/AMANA/DAIKIN,Packaged Unit,HVACExport_CoolingCode,144,1,4,1,100.0,1,"{""4"": 1}"
GOODMAN/AMANA/DAIKIN,Packaged Unit,HVACExport_TonsCFMCode,0,1,3.5,1,100.0,1,"{""3.5"": 1}"
LENNOX,Cooling Condensing Unit,HVACExport_CoolingCode,048,1,4,1,100.0,1,"{""4"": 1}"
LENNOX,Cooling Condensing Unit,HVACExport_CoolingCode,059,1,5,1,100.0,1,"{""5"": 1}"
LENNOX,Cooling Condensing Unit,HVACExport_CoolingCode,413,1,3,1,100.0,1,"{""3"": 1}"
LENNOX,Cooling Condensing Unit,HVACExport_CoolingCode,541,1,3,1,100.0,1,"{""3"": 1}"
LENNOX,Cooling Condensing Unit,HVACExport_CoolingCode,551,1,4,1,100.0,1,"{""4"": 1}"
LENNOX,Cooling Condensing Unit,HVACExport_CoolingCode,603,1,3,1,100.0,1,"{""3"": 1}"
LENNOX,Cooling Condensing Unit,HVACExport_CoolingCode,604,2,4,2,100.0,1,"{""4"": 2}"
LENNOX,Cooling Condensing Unit,HVACExport_CoolingCode,904,4,4,4,100.0,1,"{""4"": 4}"
LENNOX,Cooling Condensing Unit,HVACExport_CoolingCode,907,1,6,1,100.0,1,"{""6"": 1}"
LENNOX,Cooling Condensing Unit,HVACExport_CoolingCode,965,3,5,3,100.0,1,"{""5"": 3}"
LENNOX,Furnace,HVACExport_CoolingCode,51,1,45500,1,100.0,1,"{""45500"": 1}"
LENNOX,Furnace,HVACExport_CoolingMinCode,51,1,45500,1,100.0,1,"{""45500"": 1}"
LENNOX,Packaged Unit,HVACExport_CoolingCode,024,6,2,6,100.0,1,"{""2"": 6}"
LENNOX,Packaged Unit,HVACExport_CoolingCode,030,26,2.5,26,100.0,1,"{""2.5"": 26}"
LENNOX,Packaged Unit,HVACExport_CoolingCode,036,70,3,70,100.0,1,"{""3"": 70}"
LENNOX,Packaged Unit,HVACExport_CoolingCode,048,10,4,9,90.0,2,"{""3.958"": 1, ""4"": 9}"
LENNOX,Packaged Unit,HVACExport_CoolingCode,060,23,5,23,100.0,1,"{""5"": 23}"
LENNOX,Packaged Unit,HVACExport_CoolingCode,072,24,6,24,100.0,1,"{""6"": 24}"
LENNOX,Packaged Unit,HVACExport_CoolingCode,090,4,7.5,4,100.0,1,"{""7.5"": 4}"
LENNOX,Packaged Unit,HVACExport_CoolingCode,092,7,7.6,6,85.7,2,"{""7.5"": 1, ""7.6"": 6}"
LENNOX,Packaged Unit,HVACExport_CoolingCode,120,5,10,5,100.0,1,"{""10"": 5}"
LENNOX,Packaged Unit,HVACExport_CoolingCode,180,3,15,3,100.0,1,"{""15"": 3}"
LENNOX,Packaged Unit,HVACExport_CoolingCode,24,2,2,2,100.0,1,"{""2"": 2}"
LENNOX,Packaged Unit,HVACExport_CoolingCode,240,4,20,4,100.0,1,"{""20"": 4}"
LENNOX,Packaged Unit,HVACExport_CoolingCode,300,6,25,6,100.0,1,"{""25"": 6}"
LENNOX,Packaged Unit,HVACExport_CoolingCode,360,1,30,1,100.0,1,"{""30"": 1}"
LENNOX,Packaged Unit,HVACExport_CoolingMinCode,02,2,2,2,100.0,1,"{""2"": 2}"
LG,Ductless Split System,HVACExport_CoolingHundredsCode,090,1,0.75,1,100.0,1,"{""0.75"": 1}"
LG,Ductless Split System,HVACExport_CoolingHundredsCode,181,2,1.5,2,100.0,1,"{""1.5"": 2}"
LG,Ductless Split System,HVACExport_CoolingHundredsCode,240,1,2,1,100.0,1,"{""2"": 1}"
MCQUAY,WSHP,HVACExport_CoolingCode,042,4,3.5,4,100.0,1,"{""3.5"": 4}"
PANASONIC,Ductless Split System,HVACExport_CoolingCode,24,1,2,1,100.0,1,"{""2"": 1}"
REZNOR,Packaged Unit,HVACExport_CoolingCode,105,1,4.167,1,100.0,1,"{""4.167"": 1}"
REZNOR,Packaged Unit,HVACExport_CoolingCode,114,1,9.5,1,100.0,1,"{""9.5"": 1}"
REZNOR,Packaged Unit,HVACExport_CoolingCode,126,1,10.5,1,100.0,1,"{""10.5"": 1}"
REZNOR,Packaged Unit,HVACExport_CoolingCode,144,1,9.5,1,100.0,1,"{""9.5"": 1}"
TRANE,Air Handling Unit,HVACExport_CoolingCode,00,1,12.043,1,100.0,1,"{""12.043"": 1}"
TRANE,Air Handling Unit,HVACExport_CoolingCode,01,2,25.75,1,50.0,2,"{""24.384"": 1, ""25.75"": 1}"
TRANE,Air Handling Unit,HVACExport_CoolingCode,010,1,5,1,100.0,1,"{""5"": 1}"
TRANE,Air Handling Unit,HVACExport_CoolingCode,02,2,31.075,1,50.0,2,"{""31.075"": 1, ""31.567"": 1}"
TRANE,Air Handling Unit,HVACExport_CoolingCode,03,2,61.508,1,50.0,2,"{""61.508"": 1, ""76.042"": 1}"
TRANE,Air Handling Unit,HVACExport_CoolingCode,036,1,3,1,100.0,1,"{""3"": 1}"
TRANE,Air Handling Unit,HVACExport_CoolingCode,048,2,4,2,100.0,1,"{""4"": 2}"
TRANE,Air Handling Unit,HVACExport_CoolingCode,05,2,100,2,100.0,1,"{""100"": 2}"
TRANE,Air Handling Unit,HVACExport_CoolingCode,060,30,5,30,100.0,1,"{""5"": 30}"
TRANE,Air Handling Unit,HVACExport_CoolingCode,08,1,10.683,1,100.0,1,"{""10.683"": 1}"
TRANE,Air Handling Unit,HVACExport_CoolingCode,090,6,7.5,6,100.0,1,"{""7.5"": 6}"
