Source.Name,Building,EquipmentType,Area Served,Unit ID,QTY,"Operational
 Status",Make,ModelNumber,SerialNumber,KnownManufactureYear,KnownCapacityTons,"Cooling Capacity 
(Unit)","Cooling Efficiency
(Value)","Cooling Efficiency 
(Rating)","Heating Capacity 
(Input)","Heating Capacity 
(Unit)","Heating Efficiency
(Value)","Heating Efficiency 
(Rating)",Heating Fuel,Extras / Accessories / Configuration,"Fan 
(HP)","Fan Flow
(CFM)","Fan Static 
Pressure
(in. wc)",Extras / Accessories / Configuration2,"Pump 
(HP)","Pump Flow
(GPM)","Head
(Ft Head)","System Pressure
(PSI)",Extras / Accessories / Configuration3,"DHW 
Heating Capacity
(Value)","DHW 
Heating Capacity
(Unit)","DHW Efficiency
(Value)","DHW Efficiency 
(Rating)","DHW Storage Capacity
(Gallons)",Extras / Accessories / Configuration4,Refrigerant,"Voltage 
(Volt-Phase)",Amp,"Unit 
Weight
(lbs)",Column1
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,VRF - Condensing Unit,school,,1,Operational,Mitsubishi,PURY-P144YJMU-A,13W00643,2013,12,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,480V - Three Phase,40,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,VRF - Condensing Unit,school,,1,Operational,Mitsubishi,PURY-P144YJMU-A,13W00583,2013,12,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,480V - Three Phase,40,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,VRF - Condensing Unit,school,,1,Operational,Mitsubishi,PURY-P120YJMU-A,13W01418,2013,10,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,480V - Three Phase,30,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,VRF - Condensing Unit,school,,1,Operational,Mitsubishi,PURY-P120YJMU-A,13W01404,2013,10,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,480V - Three Phase,30,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,VRF - Condensing Unit,school,,1,Operational,Mitsubishi,PURY-P144YJMU-A,13W00581,2013,12,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,480V - Three Phase,40,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,VRF - Condensing Unit,school,,1,Operational,Mitsubishi,PURY-P144YJMU-A,13W00534,2013,12,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,480V - Three Phase,40,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,VRF - Condensing Unit,school,,1,Operational,Mitsubishi,PURY-P120YJMU-A,13W01277,2013,10,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,480V - Three Phase,30,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,VRF - Condensing Unit,school,,1,Operational,Mitsubishi,PURY-P120YJMU-A,13W01367,2013,10,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,480V - Three Phase,30,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,Boiler,school,,1,Operational,Lochinvar,SNR200-100,H12C20040938,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,Packaged Unit,school,MUA1,1,Operational,AAON,RN-015-3-0-EA09-3F9,201205-ANGL21525,2012,15,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,480V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,Packaged Unit,school,MUA2,1,Operational,AAON,RN-031-3-0-EB09-3C9,201205-BNGU21537,2012,31,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,480V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,MAU,kitchen,,1,Operational,Carrier,24ABB336A0061010,2413E13990,2013,2,Ton,13,SEER,,,,,,,,,,,,,,,,,,,,,,R-410A,480V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,Packaged Unit,school,MUA5,1,Operational,AAON,RN-031-3-0-EB09-3C9,201205-BNGU21539,2012,31,Ton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,Packaged Unit,school,MUA6,1,Operational,AAON,RN-031-3-0-EB09-3C9,201205-BNGU21538,2012,31,Ton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,Domestic Water Heater,school,,1,Operational,Lochinvar,9NP300-100,H12C20040938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,ERV,school,MUA8,1,Operational,AAON,RN-030-3-0-EB09-389,201205-BNGR21533,2012,30,Ton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,Packaged Unit,school,MUA3,1,Operational,AAON,RN-011-3-0-EA09-3F9,201205-ANGZ21524,2012,11,Ton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,ERV,school,MUA4,1,Not Functioning,AAON,RN-025-3-0-EA09-389,201205-BNGU21531,2012,25,Ton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,ERV,School,MUA7,2,Operational,AAON,RN-030-3-0-EB09-389,201205-BNGT21534,2012,30,Ton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Packaged Unit,kitchen,,1,Operational,AAON,RN-040-8-0-AB04-3B9,200608-BNGV02097,2006,40,Ton,,,,,,,Natural Gas,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,200,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA060A300A0,D02221593,1989,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,35,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA060A300A0,D02221643,1989,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA060A300A0,D02221719,1989,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA060A300A0,D02221679,1989,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA060A300A0,D02221687,1989,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA060A300A0,D02221705,1989,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA048A300A0,D08272896,1989,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA048A300A0,D08272926,1989,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA048A300A0,D08272920,1989,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA048A300A0,D08272915,1989,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA048A300A0,D08272901,1989,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA060A300A0,D02221718,1989,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA060A300A0,D02221665,1989,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA060D300A0,P311K00FF,1999,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA060A300A0,D02221686,1989,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA060A300A0,D02221681,1989,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,CAFETERIA,,1,Operational,Trane,TTA060D300A0,D02221644,1989,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,CAFETERIA,4WSZ-SM8Q,1,Operational,Trane,TTA060A300A0,D02221664,1989,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA060C300A0,K01289961,1995,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA060C300A0,K01289935,1995,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA060C300A0,K01289943,1995,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Ductless Split System,School,,1,Operational,Daikin,RX36NMVJUA,E003502,2021,3,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,208V/230V - Single Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA048A300A0,D08272919,1989,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA048A300A0,D08272922,1989,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA048A300A0,D08272913,1989,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA048A300A0,D08272924,1989,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA048A300A0,D08272921,1989,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA048A300A0,D08272898,1989,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Ductless Split System,School,,1,Operational,Trane,MUZ-GE12NA2,5005752T,,1,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,208V/230V - Single Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Heat Pump Condensing Unit,MEDIA CENTER,,1,Operational,Trane,TWA060C300A1,K211MKUFF,1995,5,Ton,,,57500,,,,Electric,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Heat Pump Condensing Unit,MEDIA CENTER,,1,Operational,Trane,TWA060C300A1,K203UCKFF,1995,5,Ton,,,57500,,,,Electric,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA048A300A0,D08272914,1989,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA048A300A0,D08272905,1989,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA060C300A0,D02221704,1989,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA060C300A0,D02221701,1989,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Ductless Split System,School,,1,Operational,MARS,A-VMH12SU,0850560362160130009,2008,1,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,120 V - Single Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA060C300A0,D02221712,1989,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA060C300A0,D02221780,1989,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA060C300A0,D02221791,1989,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA048C300A0,K19238103,1995,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA060C300A0,K01289925,1995,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTP048D300A0,P233P8M2F,1999,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTP048D300A0,P193RAD2F,1999,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA048C300A0,K19238102,1995,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA048A300A0,D08272918,1989,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA048A300A0,D08272924,1989,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Cooling Condensing Unit,School,,1,Operational,Trane,TTA048A300A0,D08282870,1989,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,208V/230V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Boiler,School,,1,Operational,WELL MClAIN/POWER FLAME BURNER,WCR3-G-25B,69570899,,,,,,4763000,BTU/hr,,,,,3,,,,,,,,,,,,,,,,480V - Three Phase,5,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Boiler,School,MOTOR,1,Operational,baldor,VM3158,P1094,,,,,,,,,,Natural Gas,,,,,,,,,,,,,,,,,,480V - Three Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Domestic Water Heater,School,,1,Operational,BRADFORD WHITE,DM80T1993N,PE30430832,,,,,,,,,,Natural Gas,,,,,,,,,,,199999,BTU/hr,,,80,,,,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Domestic Water Heater,School,,1,Operational,BRADFORD WHITE,DM80T1993N,SA40828801,,,,,,,,,,,,,,,,,,,,,199999,BTU/hr,,,80,,,,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Pump,School,,1,Operational,Marathon Electric,1VM213TTDR70260P L,H125,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,480V - Three Phase,24,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Pump,School,,1,Operational,Marathon Electric,2VA213TTDR7026GP L,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,480V - Three Phase,24,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Air Handling Unit,316C,,1,Operational,Trane,TUVA15HF1CS3AG114G11,S89C19905,1989,4,Ton,,,,,,,,,44930,,,,,,,,,,,,,,,R-22,120 V - Single Phase,3.2,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Air Handling Unit,315,,1,Operational,Trane,TUVA20HF1DS3AG14G11,,1989,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,120 V - Single Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Air Handling Unit,313,,1,Operational,Trane,TUVA20HF1DS3AG14G11,S89C19969,1989,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,120 V - Single Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Air Handling Unit,307,,1,Operational,Trane,TUVA20HF1DS3AG14G11,S89C19967,1989,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,120 V - Single Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Air Handling Unit,310,,1,Operational,Trane,TUVA15HF1CS3AG14G11,S89C19919,1989,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,120 V - Single Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Air Handling Unit,305,,1,Operational,Trane,TUVA20HF1DS3AG14G11,S89C19968,1989,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,120 V - Single Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Air Handling Unit,308,,1,Operational,Trane,TUVA15HF1CS3AG14G11,S89C19911,1989,4,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,120 V - Single Phase,,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Jefferson Elementary School,Air Handling Unit,300,,1,Operational,Trane,unit has a HWC in unit vent,,1995,5,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-22,120 V - Single Phase,,,
