Industrial Group,Industry Detail,Count,Pct of Group
Healthcare / Senior Living,Ambulatory Surgical Center,3,2.0
Commercial Services,Hotel Management,3,0.44
Healthcare / Senior Living,Assisted Living Facility,3,2.0
Commercial Services,Traveler accommodation,3,0.44
Construction,Commercial General Contractor,3,1.28
Individual / Misc,Residential / Individual,3,4.92
Construction,Plumbing Contractor,3,1.28
Manufacturing,Electronics manufacturing,3,0.69
Commercial Services,Legal services,3,0.44
Commercial Services,Legal services (verify names),3,0.44
Commercial Real Estate,Real Estate Holding,3,1.05
Manufacturing,Cold-Rolled Steel Manufacturing,3,0.69
Manufacturing,Mattress Manufacturing,3,0.69
Manufacturing,Beverage manufacturing,3,0.69
Commercial Services,Jewelry retail,3,0.44
Non-Profit / Religious,Non-profit recreation,3,1.71
Commercial Real Estate,Redevelopment/property entity,2,0.7
Commercial Real Estate,Property Ownership,2,0.7
Manufacturing,Industrial equipment,2,0.46
Municipal / Local Government,General Medical & Surgical Hospitals,2,1.8
Municipal / Local Government,Public School District,2,1.8
Commercial Services,Energy services (unclear),2,0.29
Commercial Real Estate,Property Owner,2,0.7
Manufacturing,Packaging (plastics) manufacturing,2,0.46
Manufacturing,Pharmaceutical Manufacturing,2,0.46
Manufacturing,Plumbing Fixture Manufacturing,2,0.46
Manufacturing,Chemical Manufacturing,2,0.46
Commercial Services,Food Service Management,2,0.29
Commercial Services,Trade association,2,0.29
Private Schools (K–12),Theological Seminary,2,16.67
Construction,Engineering (A/E),2,0.85
Commercial Services,CRE brokerage/property mgmt,2,0.29
Manufacturing,Building products manufacturing,2,0.46
Private Schools (K–12),Private School,2,16.67
Healthcare / Senior Living,Orthopedics practice,2,1.33
Commercial Services,Event Venue,2,0.29
Commercial Services,Architecture,2,0.29
Commercial Services,Commercial Real Estate Developer,2,0.29
Commercial Real Estate,Property acquisition entity,2,0.7
Manufacturing,Automotive rubber/plastics,2,0.46
Commercial Real Estate,Industrial property/logistics center,2,0.7
Healthcare / Senior Living,Substance Abuse Treatment,2,1.33
Financial Services,Insurance Agency,2,6.06
Commercial Services,Facilities Support Services,2,0.29
Commercial Services,Entity unclear,2,0.29
Commercial Services,Distribution/logistics (unclear),2,0.29
Commercial Services,Condo association,2,0.29
Commercial Real Estate,Retail Center,2,0.7
Commercial Services,Convenience/fuel retail,2,0.29
Commercial Services,Financial services,2,0.29
Manufacturing,Wire/cable manufacturing,2,0.46
Commercial Services,Golf club,2,0.29
Commercial Services,Telecommunications Services,2,0.29
Manufacturing,Metal fabrication,2,0.46
Manufacturing,Steel manufacturing,2,0.46
Non-Profit / Religious,Religious/nonprofit,2,1.14
Manufacturing,Aluminum manufacturing,2,0.46
Manufacturing,Structural Metal Mfg,2,0.46
Manufacturing,HVAC Equipment Wholesaler,2,0.46
Commercial Services,Services/property/contracting (unclear),2,0.29
Manufacturing,Industrial Packaging Wholesaler,2,0.46
Commercial Real Estate,Real Estate Leasing,2,0.7
Construction,Construction Management / GC,2,0.85
Commercial Services,Logistics & Warehousing,2,0.29
Commercial Services,Commercial Real Estate Brokerage,2,0.29
Healthcare / Senior Living,Orthodontist,2,1.33
Utilities,Electrical Apparatus Wholesaler,2,6.06
University / College,Community College,2,8.7
Commercial Services,HVAC Equipment Rep,2,0.29
Commercial Services,Machine Tool Distributor,2,0.29
Commercial Real Estate,Commercial Real Estate Owner,2,0.7
Manufacturing,Air Springs Mfg,2,0.46
Healthcare / Senior Living,Primary Care Clinic,2,1.33
Manufacturing,Automotive plastics,2,0.46
Commercial Real Estate,Property/site entity,2,0.7
Non-Profit / Religious,Faith-Based Thrift & Community Support Organization,2,1.14
Commercial Services,Real Estate Partnership,2,0.29
Commercial Services,Health & Wellness Retail,2,0.29
Non-Profit / Religious,Workforce nonprofit,2,1.14
Healthcare / Senior Living,Senior Living / Assisted Living,2,1.33
Municipal / Local Government,Local Government (Housing),2,1.8
Commercial Services,Grocery Wholesalers,2,0.29
Manufacturing,Motor Vehicle Parts Mfg,2,0.46
Construction,Commercial Building Construction,2,0.85
Manufacturing,Electronics Manufacturing Services,2,0.46
Commercial Services,Automotive Dealership,2,0.29
Manufacturing,Machine Tool Manufacturing,2,0.46
Healthcare / Senior Living,Psychiatric Hospital,2,1.33
Commercial Real Estate,Commercial Property Management & Brokerage,2,0.7
Commercial Services,Logistics / Warehousing,2,0.29
Commercial Services,3PL Provider,2,0.29
Municipal / Local Government,Police Protection,2,1.8
Construction,Commercial Contractor,2,0.85
Commercial Real Estate,Retail REIT,2,0.7
Manufacturing,Defense/aerospace,2,0.46
Construction,Paving/asphalt,2,0.85
Manufacturing,HVAC equipment manufacturing,2,0.46
Commercial Services,Nail salon,2,0.29
Manufacturing,Consumer products manufacturing,2,0.46
Healthcare / Senior Living,Outpatient endoscopy,2,1.33
Commercial Services,Apparel retail,2,0.29
Commercial Services,Office furniture distribution,2,0.29
Non-Profit / Religious,YMCA nonprofit,2,1.14
Manufacturing,Confectionery manufacturing,2,0.46
Commercial Real Estate,Residential entity,2,0.7
Construction,Electrical contractor,2,0.85
Healthcare / Senior Living,Neurological Surgery Office,2,1.33
Commercial Services,Medical Billing Services,2,0.29
Commercial Services,Energy efficiency services,2,0.29
University / College,Public University,2,8.7
Manufacturing,Plastics machinery,2,0.46
Commercial Services,Bakery/food service,2,0.29
Non-Profit / Religious,Social services nonprofit,2,1.14
Commercial Services,Facilities Management,2,0.29
Commercial Services,Testing services,2,0.29
Commercial Services,Ambiguous acronym,2,0.29
Commercial Real Estate,Healthcare REIT,2,0.7
Non-Profit / Religious,Vocational Rehabilitation,2,1.14
Manufacturing,Pharmaceutical manufacturing,2,0.46
Commercial Services,Transportation/logistics,2,0.29
Commercial Services,Salon/spa,2,0.29
Manufacturing,Chemicals manufacturing,2,0.46
Commercial Services,Food Distribution,2,0.29
Commercial Services,Hotel (Extended Stay),2,0.29
Commercial Services,Logistics/distribution (unclear),2,0.29
Commercial Services,Industrial services,2,0.29
Manufacturing,Automotive steering systems,2,0.46
Manufacturing,Rubber products,2,0.46
Commercial Services,Software,2,0.29
Manufacturing,Industrial tools/materials,2,0.46
Public Schools (K–12),Private school,2,5.13
Manufacturing,Packaging products,2,0.46
Commercial Services,Environmental services,2,0.29
Manufacturing,Ceramic tile manufacturing,2,0.46
Manufacturing,Protective packaging,2,0.46
Commercial Services,Envelope/packaging,2,0.29
Commercial Services,Brewery / taproom,2,0.29
Commercial Services,Business Consulting,2,0.29
Individual / Misc,Fitness Club Franchise,2,3.28
Commercial Real Estate,Property holding entity,2,0.7
Commercial Services,Entertainment venue,2,0.29
Manufacturing,Automotive Components Manufacturing,2,0.46
Commercial Real Estate,Real estate development,2,0.7
Commercial Real Estate,Shopping center ownership,2,0.7
Manufacturing,Packaging & paper,2,0.46
Commercial Services,Specialty retail,2,0.29
Construction,Millwork/cabinetry contractor,1,0.43
Commercial Services,Business/IT services (unclear),1,0.15
Construction,Building materials supplier/contractor,1,0.43
Commercial Real Estate,JV property entity,1,0.35
Construction,Technical services (construction/controls?),1,0.43
Commercial Services,Property Holding,1,0.15
Non-Profit / Religious,Nonprofit charity,1,0.57
Construction,Design-Build / Construction Services,1,0.43
Commercial Services,Wholesale / Optical Distribution,1,0.15
Commercial Services,Florist retail,1,0.15
Manufacturing,Machine tool distribution,1,0.23
Manufacturing,Specialty metals,1,0.23
Commercial Services,Entertainment/arcade,1,0.15
Healthcare / Senior Living,Substance Abuse Treatment Center,1,0.67
Commercial Services,Ag analytics/services,1,0.15
Commercial Services,Industrial services (unclear),1,0.15
Commercial Services,Printing/labels,1,0.15
Commercial Services,Security services,1,0.15
Manufacturing,Aerospace/industrial (likely “AELSPAN” related),1,0.23
Manufacturing,Industrial equipment/services,1,0.23
Manufacturing,Specialty lubricants,1,0.23
Healthcare / Senior Living,Physician Office (Specialist),1,0.67
Healthcare / Senior Living,Urgent care clinic,1,0.67
Healthcare / Senior Living,Dental clinic,1,0.67
Construction,Trades/services (unclear),1,0.43
Construction,Construction Materials,1,0.43
Commercial Real Estate,Commercial REIT,1,0.35
Commercial Real Estate,Real Estate Investment Trust,1,0.35
Healthcare / Senior Living,Skilled Nursing Facility,1,0.67
Commercial Real Estate,Property Owner / Holding Co,1,0.35
Commercial Services,IT Consulting & Business Technology Services,1,0.15
Commercial Services,Ambiguous (HVAC? airline? brand?),1,0.15
Manufacturing,Industrial gases,1,0.23
Manufacturing,Packaging Manufacturing,1,0.23
Manufacturing,Conveyor System Mfg,1,0.23
Construction,Commercial services/contractor,1,0.43
Commercial Services,Parking services,1,0.15
Commercial Services,Engineering/testing (ATG),1,0.15
Commercial Services,Distribution (unclear),1,0.15
Construction,Industrial abrasives supplier,1,0.43
Commercial Real Estate,Multifamily/parking operating entity (ALPARC),1,0.35
Commercial Services,Technology/services (unclear),1,0.15
Manufacturing,Rail/industrial manufacturing,1,0.23
Construction,Engineering/contracting,1,0.43
Construction,Refrigeration contractor,1,0.43
Commercial Services,Parking systems/services,1,0.15
Commercial Services,E-Commerce Retailer,1,0.15
Energy Services,Energy Engineering Services,1,7.69
Manufacturing,Packaging and Labels,1,0.23
Manufacturing,Greeting Card Publisher/Manufacturer,1,0.23
Manufacturing,HVAC Compressor Remanufacturing,1,0.23
Healthcare / Senior Living,Senior Living / Memory Care,1,0.67
Non-Profit / Religious,Emergency and Relief Services,1,0.57
Commercial Services,Professional association,1,0.15
Commercial Services,Jewelry Television / E-commerce,1,0.15
Healthcare / Senior Living,Ambulance / Medical Transport,1,0.67
Commercial Real Estate,Business Park Owner/Operator,1,0.35
Manufacturing,Industrial rubber products,1,0.23
Manufacturing,Manufacturing/engineering services,1,0.23
Manufacturing,Cargo securing equipment,1,0.23
Commercial Services,Logistics assets/entity,1,0.15
Non-Profit / Religious,Religious Nonprofit / Attractions,1,0.57
Utilities,Water Heater Mfg,1,3.03
Manufacturing,Water Treatment Manufacturing,1,0.23
Manufacturing,UV Water Treatment Systems,1,0.23
Commercial Services,Document Management / Printing,1,0.15
Construction,Design-Build General Contractor,1,0.43
Commercial Services,Casino Hotels,1,0.15
Manufacturing,Industrial Machinery (Leveling/Deburring),1,0.23
Commercial Services,Moving & Storage Services,1,0.15
Utilities,Telecommunications Provider,1,3.03
Commercial Services,Alcohol Retail,1,0.15
Individual / Misc,Real Estate Agent,1,1.64
Manufacturing,Zinc Products Manufacturing,1,0.23
Construction,HVAC Contractor,1,0.43
Commercial Services,Digital services/fulfillment,1,0.15
Construction,Chimney & Masonry Services,1,0.43
Construction,Contractor/property (unclear),1,0.43
Commercial Services,Air cargo,1,0.15
Commercial Real Estate,LP/property entity,1,0.35
Commercial Services,Commercial vehicle dealer,1,0.15
Manufacturing,Automotive Components,1,0.23
Commercial Services,Retail/personal care brand,1,0.15
Manufacturing,Life sciences/biorepository,1,0.23
Manufacturing,Metal finishing/galvanizing,1,0.23
Manufacturing,Defense/aerospace manufacturing,1,0.23
Commercial Services,Investment Partnership,1,0.15
Construction,Concrete Contractor,1,0.43
Manufacturing,Packaging manufacturing,1,0.23
Construction,HVAC equipment manufacturer (BAC),1,0.43
Commercial Services,Event Venue & Retail,1,0.15
Commercial Services,Office Property Entity,1,0.15
Commercial Services,Engineering & Staffing Services,1,0.15
Commercial Services,Staffing Services,1,0.15
Commercial Services,Consumer electronics brand,1,0.15
Commercial Services,Hospitality,1,0.15
Commercial Services,Hearing Aid Retail,1,0.15
Healthcare / Senior Living,Physical therapy,1,0.67
Manufacturing,Contract Chemical Manufacturing,1,0.23
Manufacturing,Sanitizer & Soap Manufacturing,1,0.23
Commercial Services,Auto Repair & Tire Service,1,0.15
Public Schools (K–12),School (verify public/private),1,2.56
Commercial Services,Facilities management,1,0.15
Non-Profit / Religious,CPA Firm,1,0.57
Commercial Services,Individual(s),1,0.15
Non-Profit / Religious,Private High School,1,0.57
Commercial Services,Coffee roaster and retailer,1,0.15
Manufacturing,Pet Food Manufacturing,1,0.23
Public Schools (K–12),Career/tech education,1,2.56
Commercial Services,Technology Distribution,1,0.15
Commercial Services,Logistics brokerage,1,0.15
Commercial Services,Boutique retail,1,0.15
Commercial Services,Individual/property,1,0.15
Commercial Services,Commercial Tire & Fleet Services,1,0.15
Construction,Specialty contractor (interiors/insulation),1,0.43
Commercial Services,Marketing/PR (not retail),1,0.15
Commercial Services,Accounting/consulting (likely),1,0.15
Commercial Services,Facility/contract services (unclear),1,0.15
Commercial Services,Distributor (packaging),1,0.15
Commercial Services,Entertainment,1,0.15
Construction,Construction Services,1,0.43
Commercial Real Estate,Multifamily property/community,1,0.35
Manufacturing,Hydroponic Produce,1,0.23
Manufacturing,Flour Milling & Dry Blending,1,0.23
Construction,General contractor,1,0.43
Commercial Services,Business services (unclear),1,0.15
Commercial Services,CRE/property management,1,0.15
Commercial Services,Professional services (unclear),1,0.15
Commercial Services,Beverage manufacturing,1,0.15
Commercial Services,CRE investment/management,1,0.15
Commercial Services,Equipment dealer,1,0.15
Commercial Services,Sports equipment distribution,1,0.15
Utilities,Electric Power Generation,1,3.03
Commercial Services,Distribution,1,0.15
Utilities,Electric Cooperative,1,3.03
Manufacturing,Packaging manufacturing (BWAY),1,0.23
Manufacturing,Manufacturing (brand),1,0.23
Construction,Engineering & Construction,1,0.43
Healthcare / Senior Living,Healthcare REIT,1,0.67
Commercial Services,Industrial Real Estate Developer,1,0.15
Manufacturing,Industrial cable (unclear),1,0.23
Commercial Services,Construction/GC,1,0.15
Commercial Services,Home organization retail/services,1,0.15
Commercial Services,Fragrance/ingredients (mfg),1,0.15
Manufacturing,Lubricants/refining,1,0.23
Manufacturing,Snack Food Manufacturing,1,0.23
Commercial Services,Services/solutions (unclear),1,0.15
Commercial Services,Consulting/services (unclear),1,0.15
Commercial Services,Home care (unclear),1,0.15
Commercial Services,Health Insurance,1,0.15
Commercial Services,Apparel brand,1,0.15
Commercial Services,Optical products,1,0.15
Manufacturing,Automotive Glass Mfg,1,0.23
Manufacturing,Tires/industrial,1,0.23
Commercial Services,Industrial services/distribution,1,0.15
Commercial Services,Business entity (unclear),1,0.15
Commercial Services,Casual fine dining restaurant,1,0.15
Commercial Services,CRE services (CBRE),1,0.15
Commercial Services,Corporate billing entity,1,0.15
Commercial Services,Wireless retail/services,1,0.15
Construction,Insulation contractor,1,0.43
Manufacturing,Mold making,1,0.23
Construction,Specialty Contractor,1,0.43
Healthcare / Senior Living,Affordable Senior Housing,1,0.67
Commercial Services,Medical Equipment Wholesaler,1,0.15
Commercial Services,Engineering/architecture,1,0.15
Commercial Real Estate,Nonresidential Property Managers,1,0.35
Healthcare / Senior Living,Healthcare Technology,1,0.67
Commercial Real Estate,Parking & Real Estate Mgmt,1,0.35
Municipal / Local Government,State Park,1,0.9
Manufacturing,Chemical Synthesis,1,0.23
Commercial Services,Pallet pooling/logistics,1,0.15
Construction,Millwright & Industrial Services,1,0.43
Commercial Services,Too generic,1,0.15
Non-Profit / Religious,Museum nonprofit,1,0.57
Healthcare / Senior Living,Social Advocacy Organization,1,0.67
Private Schools (K–12),Charter School Network,1,8.33
Public Schools (K–12),Public Charter School,1,2.56
Manufacturing,Cookie & Bakery Manufacturing,1,0.23
Commercial Real Estate,Property/site entity (coded),1,0.35
Commercial Services,Industrial Parts Distribution,1,0.15
Non-Profit / Religious,Autism Therapy & Support,1,0.57
Healthcare / Senior Living,Pediatric Hospital,1,0.67
Commercial Services,Contractor (also fits construction),1,0.15
Healthcare / Senior Living,Plastic Surgery Practice,1,0.67
Financial Services,Insurance Carrier,1,3.03
Commercial Services,Media/production (unclear),1,0.15
Manufacturing,Industrial Machinery Mfg,1,0.23
Commercial Services,Medical group (unclear),1,0.15
Commercial Services,Automotive repair/parts,1,0.15
Commercial Services,Sports Venue,1,0.15
Non-Profit / Religious,Non-Profit Tool Lending,1,0.57
Commercial Services,Truck parts distribution,1,0.15
Commercial Services,Deactivated record,1,0.15
Commercial Services,Contractor association/contractor,1,0.15
Commercial Services,Movie theater,1,0.15
Individual / Misc,HVAC Fabrication,1,1.64
Commercial Services,Industrial Launderers,1,0.15
Non-Profit / Religious,Social Services Non-Profit,1,0.57
Municipal / Local Government,Sports Complex,1,0.9
Construction,Engineering consulting,1,0.43
Manufacturing,Secure Financial & Payment Printing,1,0.23
Manufacturing,Millwork Manufacturing,1,0.23
Construction,Design-build / GC,1,0.43
Commercial Services,Recycling services,1,0.15
Manufacturing,Iron and Steel Mills,1,0.23
Manufacturing,Dry Ice Blasting Equipment,1,0.23
Commercial Real Estate,Bowling Center,1,0.35
Commercial Services,Construction/industrial distribution,1,0.15
Manufacturing,Colorants/chemicals,1,0.23
Commercial Services,Hospitality management,1,0.15
Manufacturing,Lifting/rigging equipment,1,0.23
Commercial Services,Telecom,1,0.15
Commercial Services,Mechanical services,1,0.15
Commercial Services,Software/services,1,0.15
Construction,Social Services Nonprofit,1,0.43
Commercial Services,Corrections/public safety (unclear),1,0.15
Commercial Services,IT repair,1,0.15
Construction,Construction/GC,1,0.43
Construction,Structural Metal Mfg,1,0.43
Manufacturing,Industrial printing presses,1,0.23
Construction,Controls contractor/system integrator,1,0.43
Commercial Services,Environmental equipment,1,0.15
Private Schools (K–12),Private Christian School,1,8.33
Healthcare / Senior Living,Eye care clinic,1,0.67
Commercial Services,Manufacturing/real estate (unclear),1,0.15
Commercial Services,Senior living,1,0.15
Commercial Services,RV dealer,1,0.15
Commercial Services,YMCA nonprofit,1,0.15
Commercial Services,Performing arts venue,1,0.15
Construction,HVAC/mechanical contractor,1,0.43
Commercial Services,Cosmetology school,1,0.15
Commercial Services,Coatings manufacturing,1,0.15
Construction,Contractor/fabricator,1,0.43
Construction,GC/developer,1,0.43
Manufacturing,Footwear Manufacturing,1,0.23
Commercial Services,Too ambiguous,1,0.15
Commercial Services,Ortho clinic,1,0.15
Commercial Services,Material handling equipment dealer,1,0.15
Manufacturing,Automotive acoustics,1,0.23
Manufacturing,Electronics repair/logistics,1,0.23
Commercial Services,Compounding pharmacy,1,0.15
Commercial Services,Printing/packaging,1,0.15
Commercial Services,Fitness studio,1,0.15
Manufacturing,Automotive Gears Mfg,1,0.23
Manufacturing,Tile Manufacturing,1,0.23
Manufacturing,Automotive Gaskets Mfg,1,0.23
Manufacturing,Automotive/Transport,1,0.23
Manufacturing,Bioplastics Manufacturing,1,0.23
Commercial Services,IT & Printer Repair,1,0.15
Commercial Services,Wholesale Distribution,1,0.15
Non-Profit / Religious,Art Museum,1,0.57
Manufacturing,Plastic & Industrial Component Manufacturing,1,0.23
Commercial Services,Dental Insurance Provider,1,0.15
Commercial Real Estate,Residential Property Mgmt,1,0.35
Healthcare / Senior Living,Hospital,1,0.67
Commercial Real Estate,Property/building entity,1,0.35
Manufacturing,PVC Window/Door Systems,1,0.23
Utilities,Natural Gas Distribution,1,3.03
Commercial Services,Nail Salon,1,0.15
Construction,Food Facility Design-Build,1,0.43
Manufacturing,Motor Vehicle Electrical Mfg,1,0.23
Commercial Real Estate,Retail property/site,1,0.35
Healthcare / Senior Living,Dental Insurance Provider,1,0.67
Municipal / Local Government,Municipal public works,1,0.9
Municipal / Local Government,Government veterans services,1,0.9
Commercial Real Estate,Medical Office Property,1,0.35
Healthcare / Senior Living,Dermatology practice,1,0.67
Commercial Services,Beverage Distribution & Wholesale,1,0.15
Commercial Services,Office Equipment & Services,1,0.15
Commercial Services,Logistics & Express Delivery,1,0.15
Utilities,Power Transformer Mfg,1,3.03
Commercial Real Estate,Office Building,1,0.35
Municipal / Local Government,State Education Dept,1,0.9
Non-Profit / Religious,Veterans nonprofit,1,0.57
Commercial Services,Insulation Distribution,1,0.15
Energy Services,Oil & Gas Production,1,7.69
Manufacturing,Valves & Fittings Mfg,1,0.23
Commercial Real Estate,Development entity,1,0.35
Healthcare / Senior Living,Orthopedic Practice,1,0.67
Manufacturing,Consumer Goods Manufacturing,1,0.23
Construction,Excavation Contractor,1,0.43
Individual / Misc,Invalid Record,1,1.64
Manufacturing,Food Processing,1,0.23
Commercial Services,Theme park,1,0.15
Commercial Services,Resort hotel and hospitality,1,0.15
Commercial Services,Uniform Rental,1,0.15
Commercial Real Estate,Multifamily developer/property,1,0.35
Manufacturing,Filtration Systems Mfg,1,0.23
Manufacturing,Industrial Equipment Repair & Rebuild Services,1,0.23
Commercial Real Estate,HOA/owners association,1,0.35
Healthcare / Senior Living,Therapy Practice,1,0.67
Utilities,Sewage Treatment Facility,1,3.03
Commercial Services,Engineering & Construction,1,0.15
Commercial Services,Restaurant/food service,1,0.15
Construction,Construction Contractor,1,0.43
Construction,Industrial Construction,1,0.43
Commercial Real Estate,Industrial REIT,1,0.35
Commercial Services,Data Science & Marketing,1,0.15
Manufacturing,HVAC Accessories Mfg,1,0.23
Manufacturing,Electron Beam Processing,1,0.23
Manufacturing,Motor Vehicle Stamping,1,0.23
Manufacturing,Motor Vehicle Body Mfg,1,0.23
Manufacturing,Aerospace Composites Mfg,1,0.23
Commercial Real Estate,Real Estate Asset Management,1,0.35
Municipal / Local Government,Public broadcasting,1,0.9
Commercial Services,Plumbing Distribution,1,0.15
Commercial Services,E-commerce Services,1,0.15
Commercial Services,Wholesale Convenience Dist.,1,0.15
Commercial Services,Prepress & Platemaking,1,0.15
Utilities,Fossil Fuel Power Generation,1,3.03
Commercial Services,Casino & Gaming,1,0.15
Construction,Mechanical / Energy Engineering Services,1,0.43
Manufacturing,Safety Equipment Mfg,1,0.23
Financial Services,Student Loan Servicing,1,3.03
Manufacturing,Industrial Seals/Heaters,1,0.23
Manufacturing,Ceramic Manufacturing,1,0.23
Commercial Services,Full-service Mexican restaurant,1,0.15
Utilities,R&D in Physical Sciences,1,3.03
Commercial Services,Materials Testing Labs,1,0.15
Commercial Services,Aircraft MRO,1,0.15
Commercial Services,Facility Management,1,0.15
Commercial Services,Comm Systems,1,0.15
Manufacturing,Electric Motor Mfg,1,0.23
Manufacturing,Metals Service Center,1,0.23
Non-Profit / Religious,HR Association,1,0.57
Healthcare / Senior Living,Rehabilitation Hospital,1,0.67
Manufacturing,Industrial Instrumentation,1,0.23
Construction,Energy Efficiency Contractor,1,0.43
Energy Services,Nuclear Waste Services,1,7.69
Energy Services,Energy Service Company (ESCO),1,7.69
Individual / Misc,Mechanical and HVAC contractor,1,1.64
Non-Profit / Religious,Membership org,1,0.57
Non-Profit / Religious,Youth/education nonprofit,1,0.57
Energy Services,Mineral Processing Solutions,1,7.69
Commercial Services,Design Studio,1,0.15
Commercial Services,Hotel management (Holiday Inn),1,0.15
Healthcare / Senior Living,Hospital System,1,0.67
Manufacturing,Electronics & Printers,1,0.23
Energy Services,Natural Gas Midstream,1,7.69
Energy Services,Natural Gas Production,1,7.69
Individual / Misc,Natural Gas Transmission,1,1.64
Energy Services,Natural Gas Transmission,1,7.69
Commercial Services,Equity Compensation Research,1,0.15
Commercial Real Estate,Industrial Property Ownership & Management,1,0.35
Commercial Services,Entertainment Venue,1,0.15
Construction,Roofing Contractor,1,0.43
Manufacturing,Paper Products Mfg,1,0.23
Healthcare / Senior Living,Clinical Laboratory,1,0.67
Financial Services,Asset Management,1,3.03
Commercial Services,Personal Care Services,1,0.15
