Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,Method,Status,Support Category,Company Website,Notes
ALTA REFRIGERATION,Construction,Refrigeration contractor,2382,Rule-Based,Final,Mechanical Contractor,,Imported from Batch4.md
AMANO CINCINNATI,Commercial Services,Parking systems/services,8129,Heuristic,Final,Hospitality,,Imported from Batch4.md
AMCOR RIGID PLASTICS USA AMCOR RIGIDS,Manufacturing,Packaging (plastics) manufacturing,3261,Entity Inference,Final,,,Imported from Batch4.md
AMCOR RIGIDS,Manufacturing,Packaging (plastics) manufacturing,3261,Entity Inference,Final,,,Imported from Batch4.md
AMERICAN FUJI SEAL,Manufacturing,Packaging and Labels,322220,AI Analyst Research,Final,,fujiseal.com,Imported from Batch_20260118_Batch3.md
AMERICAN GREETINGS,Manufacturing,Greeting Card Publisher/Manufacturer,513191,AI Analyst Research,Final,,americangreetings.com,Imported from Batch_20260118_Batch3.md
AMERICAN HERMETIC,Manufacturing,HVAC Compressor Remanufacturing,811310,AI Analyst Research,Final,,americanhermetics.net,Imported from Batch_20260118_Batch3.md
AMERICAN HOUSE HALLS,Healthcare / Senior Living,Senior Living / Memory Care,623312,AI Analyst Research,Final,,americanhouse.com,Imported from Batch_20260118_Batch3.md
AMERICAN REGENT,Manufacturing,Pharmaceutical Manufacturing,325412,AI Analyst Research,Final,,americanregent.com,Imported from Batch_20260118_Batch3.md
AMERICAN SOCIETY FOR CLINICAL PATHOLOGY,Commercial Services,Professional association,8139,Entity Inference,Final,,,Imported from Batch4.md
AMERICAN STANDARD,Manufacturing,Plumbing Fixture Manufacturing,327110,AI Analyst Research,Final,,americanstandard-us.com,Imported from Batch_20260118_Batch3.md
AMERICAS COLLECTIBLES NETWORK,Commercial Services,Jewelry Television / E-commerce,454110,AI Analyst Research,Final,,jtv.com,Imported from Batch_20260118_Batch3.md
AMERIMED,Healthcare / Senior Living,Ambulance / Medical Transport,621910,AI Analyst Research,Final,,amerimed.net,Imported from Batch_20260118_Batch3.md
AMERIPLEX 2,Commercial Real Estate,Business Park Owner/Operator,531120,AI Analyst Research,Final,,holladayproperties.com,Imported from Batch_20260118_Batch3.md
AMK SERVICES,Commercial Services,Services (unclear),,AI Analyst Research,Final,,,Imported from Batch4.md
AMMEGA US DBA MIDWEST INDUSTRIAL RUBBER,Manufacturing,Industrial rubber products,3262,Entity Inference,Final,,,"Imported from Batch4.md; expanded tokens ['MIDWEST', 'INDUSTRIAL', 'RUBBER'] -> 'AMMEGA US DBA MIDWEST INDUSTRIAL RUBBER'"
ANALYSIS AND MEASUREMENT SERVICES,Manufacturing,Manufacturing/engineering services,,AI Analyst Research,Final,,,Imported from Batch4.md
ANCRA CARGO,Manufacturing,Cargo securing equipment,3339,Heuristic,Final,,,Imported from Batch4.md
ANDREW KINTZ,Individual / Misc,Individual,,Manual Override,Final,,,Imported from Batch_20260118_Batch3.md
ANDY LINDSEY,Individual / Misc,Individual,,Manual Override,Final,,,Imported from Batch_20260118_Batch3.md
ANKAA GLOBAL LOGISTICS,Commercial Services,Logistics,4885,Rule-Based,Final,,,Imported from Batch4.md
ANN SCHAAD,Individual / Misc,Individual,,Manual Override,Final,,,Imported from Batch_20260118_Batch3.md
ANSON LOGISTICS ASSETS,Commercial Services,Logistics assets/entity,4885,Heuristic,Final,,,Imported from Batch4.md
ANSWERS IN GENESIS OF KY,Non-Profit / Religious,Religious Nonprofit / Attractions,813110,AI Analyst Research,Final,,answersingenesis.org,Imported from Batch_20260118_Batch3.md
AP TECH GROUP,Manufacturing,Water Treatment Manufacturing,325998,AI Analyst Research,Final,,aptechgroup.com,Imported from Batch_20260118_Batch3.md
AQUISENSE,Manufacturing,UV Water Treatment Systems,335999,AI Analyst Research,Final,,aquisense.com,Imported from Batch_20260118_Batch3.md
ARC,Commercial Services,Document Management / Printing,561439,AI Analyst Research,Final,,e-arc.com,Imported from Batch_20260118_Batch3.md
ARCO MURRAY NATIONAL CONST,Construction,Design-Build General Contractor,236220,AI Analyst Research,Final,,arcomurray.com,Imported from Batch_20260118_Batch3.md
ARK BROOKVALE,Commercial Real Estate,Property Owner,531120,AI Analyst Research,Final,,,Imported from Batch_20260118_Batch3.md
ARKU,Manufacturing,Industrial Machinery (Leveling/Deburring),333517,AI Analyst Research,Final,,arku.com,Imported from Batch_20260118_Batch3.md
ARMSTRONG RELOCATION LOUISVILLE,Commercial Services,Moving & Storage Services,484210,AI Analyst Research,Final,,goarmstrong.com,Imported from Batch_20260118_Batch3.md
ARROW WINE AND SPIRITS,Commercial Services,Alcohol Retail,445310,AI Analyst Research,Final,,arrowwineandspirits.com,Imported from Batch_20260118_Batch4.md
ART GEISSLER,Individual / Misc,Real Estate Agent,531210,AI Analyst Research,Final,,,Imported from Batch_20260118_Batch5.md
ARTAZN,Manufacturing,Zinc Products Manufacturing,331491,AI Analyst Research,Final,,artazn.com,Imported from Batch_20260118_Batch4.md
ARTISAN MECHANICAL,Construction,HVAC Contractor,238220,AI Analyst Research,Final,,artisan-mech.com,Imported from Batch_20260118_Batch5.md
ARTS RENTAL,Commercial Services,Equipment rental,5324,Rule-Based,Final,,,Imported from Batch4.md
ARVATO DIGITAL USA,Commercial Services,Digital services/fulfillment,5415,Heuristic,Final,,,Imported from Batch4.md
ASHBUSTERS CHIMNEY SERVICE,Construction,Chimney & Masonry Services,238140,AI Analyst Research,Final,,ashbusters.net,Imported from Batch_20260118_Batch4.md
ASPEN GROVETHE STANTON GROUP,Construction,Contractor/property (unclear),,AI Analyst Research,Final,Mechanical Contractor,,Imported from Batch4.md; resolved 'ASPEN GROVE THE STANTON GROUP' -> 'ASPEN GROVETHE STANTON GROUP'
ASPHALT INSTITUTE,Commercial Services,Trade association,8139,Entity Inference,Final,,,Imported from Batch4.md
ATECK,Commercial Services,Services (unclear),,AI Analyst Research,Final,,,Imported from Batch4.md
ATKINS AND PEARCE,Construction,Engineering (A/E),5413,Entity Inference,Final,Mechanical Contractor,,Imported from Batch4.md
ATKINS AND STANG,Construction,Engineering (A/E),5413,Heuristic,Final,Mechanical Contractor,,Imported from Batch4.md
ATLAS AIR,Commercial Services,Air cargo,4811,Entity Inference,Final,,,Imported from Batch4.md
ATRIUM LP,Commercial Real Estate,LP/property entity,5311,Rule-Based,Final,,,Imported from Batch4.md
AUDI KNOXVILLE,Commercial Services,Auto dealership,4411,Rule-Based,Final,Hospitality,,Imported from Batch4.md
AUSTIN LANDING NORTH,Commercial Real Estate,Commercial property entity,5311,Heuristic,Final,,,Imported from Batch4.md
AUTO TRUCK GROUP,Commercial Services,Commercial vehicle dealer,4412,Heuristic,Final,Hospitality,,Imported from Batch4.md
AUTOMOTIVE STEERING COLUMN,Manufacturing,Automotive Components,336330,AI Analyst Research,Final,,,Imported from Batch_20260118_Batch4.md
AVEDA MID AMERICA,Commercial Services,Retail/personal care brand,4461,Entity Inference,Final,Hospitality,,Imported from Batch4.md
AVI FOODSYSTEMS,Commercial Services,Food Service Management,722310,AI Analyst Research,Final,,avifoodsystems.com,Imported from Batch_20260118_Batch4.md
AVIS PHILLIPS,Commercial Services,Individual/entity unclear,,AI Analyst Research,Final,,,Imported from Batch4.md
AVISON YOUNG,Commercial Services,CRE brokerage/property mgmt,5312,Entity Inference,Final,,,Imported from Batch4.md
AVISON YOUNG BILLING,Commercial Services,CRE brokerage/property mgmt,5312,Entity Inference,Final,,,Imported from Batch4.md
AZEK,Manufacturing,Building products manufacturing,3219,Entity Inference,Final,,,Imported from Batch4.md
AZENTA US,Manufacturing,Life sciences/biorepository,5417,Entity Inference,Final,,,Imported from Batch4.md
AZZ GALVANIZING,Manufacturing,Metal finishing/galvanizing,3328,Entity Inference,Final,,,Imported from Batch4.md
BABYLIST,Commercial Services,E-commerce retail,4541,Entity Inference,Final,Hospitality,,Imported from Batch4.md
BAE SYSTEMS,Manufacturing,Defense/aerospace manufacturing,3364,Entity Inference,Final,,,Imported from Batch4.md
BALDWIN BUILDING,Commercial Real Estate,Property entity,5311,Rule-Based,Final,,,Imported from Batch4.md
BALL,Manufacturing,Packaging manufacturing,3324,Entity Inference,Final,,,Imported from Batch4.md
BALTIMORE AIR COIL,Construction,HVAC equipment manufacturer (BAC),3334,Entity Inference,Final,Mechanical Contractor,,Imported from Batch4.md
BAMBECK AND VEST,Construction,Contractor,2362,Rule-Based,Final,Mechanical Contractor,,Imported from Batch4.md
BAR LOUIE MURFREESBORO,Commercial Services,Restaurant/bar,7225,Entity Inference,Final,Hospitality,,"Imported from Batch4.md; expanded tokens ['BAR', 'LOUIE'] -> 'BAR LOUIE MURFREESBORO'"
BAR LOUIE NASHVILLE,Commercial Services,Restaurant/bar,7225,Entity Inference,Final,Hospitality,,"Imported from Batch4.md; expanded tokens ['BAR', 'LOUIE'] -> 'BAR LOUIE NASHVILLE'"
BARGER CONCEPTS,Commercial Services,Event Venue & Retail,561920,AI Analyst Research,Final,,,Imported from Batch_20260118_Batch4.md
BARK BOX,Commercial Services,E-commerce retail,4541,Entity Inference,Final,Hospitality,,Imported from Batch4.md
BATTERIES PLUS 294,Commercial Services,Retail,4441,Entity Inference,Final,Hospitality,,Imported from Batch4.md
BEACON ORTOHOPAEDICS,Healthcare / Senior Living,Orthopedics practice,6211,Rule-Based,Final,,,Imported from Batch4.md
BEARDED IRIS BREWING,Commercial Services,Brewery/taproom,3121,Entity Inference,Final,Hospitality,,Imported from Batch4.md
BELCAN,Commercial Services,Engineering & Staffing Services,541330,AI Analyst Research,Final,,belcan.com,Imported from Batch_20260118_Batch4.md
BELFLEX STAFFING NETWORK,Commercial Services,Staffing Services,561320,AI Analyst Research,Final,,belflex.com,Imported from Batch_20260118_Batch4.md
BELKIN,Commercial Services,Consumer electronics brand,3344,Entity Inference,Final,Hospitality,,Imported from Batch4.md
BELTONE,Commercial Services,Hearing Aid Retail,446110,AI Analyst Research,Final,,beltone.com,Imported from Batch_20260118_Batch5.md
BENCHMARK PHYSICAL THERAPY,Healthcare / Senior Living,Physical therapy,6213,Entity Inference,Final,,,Imported from Batch4.md
BENISON,Commercial Services,Event Venue,722320,AI Analyst Research,Final,,thebenison.com,Imported from Batch_20260118_Batch5.md
BERNARD LABORATORIES,Manufacturing,Contract Chemical Manufacturing,325998,AI Analyst Research,Final,,bernardlab.com,Imported from Batch_20260118_Batch4.md
BEST SANITIZERS,Manufacturing,Sanitizer & Soap Manufacturing,325611,AI Analyst Research,Final,,bestsanitizers.com,Imported from Batch_20260118_Batch2.md
BESTONE TIRE AND SERVICE OF LIMA,Commercial Services,Auto Repair & Tire Service,811111,AI Analyst Research,Final,,bestonecommercial.com,Imported from Batch_20260118_Batch2.md
BETHLEHEM HIGH SCHOOL,Public Schools (K–12),School (verify public/private),6111,Heuristic,Final,,,Imported from Batch4.md
BGIS US RE REGIONS,Commercial Services,Facilities management,5612,Entity Inference,Final,,,Imported from Batch4.md
BGR,Commercial Services,Ambiguous,,AI Analyst Research,Final,,,Imported from Batch4.md
BHDP ARCHITECTURE,Commercial Services,Architecture,5413,Entity Inference,Final,,,Imported from Batch4.md
BIG LOTS STORES,Commercial Services,Discount retail,4523,Entity Inference,Final,Hospitality,,Imported from Batch4.md
BILL AND LISA HUGHES,Commercial Services,Individual(s),,Rule-Based,Final,,,Imported from Batch4.md
BILL KENNEY,Commercial Services,Individual,,Rule-Based,Final,,,Imported from Batch4.md
BILLY HAYS,Commercial Services,Individual,,Rule-Based,Final,,,Imported from Batch4.md
BIRTLEY INDUSTRIAL EQUIPMENT,Manufacturing,Industrial equipment,4238,Heuristic,Final,,,Imported from Batch4.md
BLUE ASH ACQUISTIONS,Commercial Real Estate,Property acquisition entity,5311,Rule-Based,Final,,,Imported from Batch4.md
BLUE BUFFALO,Manufacturing,Pet Food Manufacturing,311111,AI Analyst Research,Final,,bluebuffalo.com,Imported from Batch_20260118_Batch2.md
BLUE RIVER CAREER PROGRAMS,Public Schools (K–12),Career/tech education,6111,Heuristic,Final,,,Imported from Batch4.md
BLUE STAR,Commercial Services,Technology Distribution,423430,AI Analyst Research,Final,,bluestarinc.com,Imported from Batch_20260118_Batch2.md
BLUE STAR PLASTICS,Manufacturing,Plastics manufacturing,3261,Heuristic,Final,,,Imported from Batch4.md
BLUEGRACE LOGISTICS,Commercial Services,Logistics brokerage,4885,Entity Inference,Final,,,Imported from Batch4.md
BLUEPEPPERMINT BOUTIQUE,Commercial Services,Boutique retail,4481,Rule-Based,Final,Hospitality,,Imported from Batch4.md
BOB ADAMS RESIDENCE,Commercial Services,Individual/property,5311,Rule-Based,Final,,,Imported from Batch4.md
BOB SOKOLER,Commercial Services,Individual,,Rule-Based,Final,,,Imported from Batch4.md
BOB SUMEREL TIRE,Commercial Services,Commercial Tire & Fleet Services,811198,AI Analyst Research,Final,,bobsumereltire.com,Imported from Batch_20260118_Batch2.md
BOGE RUBBER AND PLASTIC,Manufacturing,Automotive rubber/plastics,3363,Entity Inference,Final,,,Imported from Batch4.md
BOGE RUBBER AND PLASTICS USA,Manufacturing,Automotive rubber/plastics,3363,Entity Inference,Final,,,Imported from Batch4.md; auto-reconciled 'BOGE RUBBER AND PLASTIC USA' -> 'BOGE RUBBER AND PLASTICS USA'
BONITZ,Construction,Specialty contractor (interiors/insulation),2383,Entity Inference,Final,Mechanical Contractor,,Imported from Batch4.md
BORSHOFF,Commercial Services,Marketing/PR (not retail),5418,Entity Inference,Final,Hospitality,,Imported from Batch4.md
BOURBON II LOGISTICS CENTER,Commercial Real Estate,Industrial property/logistics center,5311,Rule-Based,Final,,,Imported from Batch4.md
BRAD DAVIDSON,Commercial Services,Individual,,Rule-Based,Final,,,Imported from Batch4.md
BRADY WARE AND,Commercial Services,Accounting/consulting (likely),5412,Heuristic,Final,,,Imported from Batch4.md
BRANDED GROUP,Commercial Services,Facility/contract services (unclear),,AI Analyst Research,Final,,,Imported from Batch4.md
BRANDI,Commercial Services,Individual/entity unclear,,AI Analyst Research,Final,,,Imported from Batch4.md
BRASCHBARRY,Commercial Services,Distributor (packaging),4241,Heuristic,Final,,,Imported from Batch4.md
BREAKOUT GAMES,Commercial Services,Entertainment,7139,Entity Inference,Final,Hospitality,,Imported from Batch4.md
BRI KIP,Commercial Services,Individual/entity unclear,,AI Analyst Research,Final,,,Imported from Batch4.md
BRIDGE AT HICKORY WOODS,Commercial Real Estate,Multifamily property/community,5311,Heuristic,Final,,,Imported from Batch4.md
BRIGHT FARMS GREENHOUSE,Manufacturing,Hydroponic Produce,111419,AI Analyst Research,Final,,brightfarms.com,Imported from Batch_20260118_Batch2.md
BRIGHTON MILLS,Manufacturing,Flour Milling & Dry Blending,311211,AI Analyst Research,Final,,brightonmills.com,Imported from Batch_20260118_Batch2.md
BRINKMANN CONSTRUCTORS,Construction,General contractor,2362,Entity Inference,Final,Mechanical Contractor,,Imported from Batch4.md
BRISTOL GROUP,Commercial Services,Business services (unclear),,AI Analyst Research,Final,,,Imported from Batch4.md
BROOKSTONE COMPANIES,Commercial Services,CRE/property management,5313,Heuristic,Final,,,Imported from Batch4.md
BROWN CAMPBELL,Commercial Services,Professional services (unclear),,AI Analyst Research,Final,,,Imported from Batch4.md
BROWN FORMAN DBA JACK DANIEL DISTILERY,Commercial Services,Beverage manufacturing,3121,Entity Inference,Final,,,"Imported from Batch4.md; expanded tokens ['JACK', 'DANIEL', 'DISTILERY'] -> 'BROWN FORMAN DBA JACK DANIEL DISTILERY'"
BROWNING INVESTMENTS,Commercial Services,CRE investment/management,5313,Entity Inference,Final,,,Imported from Batch4.md
BROWNSBURG COMMUNITY SCHOOL,Public Schools (K–12),Public school district,6111,Rule-Based,Final,,,Imported from Batch4.md
BRYAN EQUIPMENT SALES,Commercial Services,Equipment dealer,4238,Rule-Based,Final,,,Imported from Batch4.md
BSN SPORTS,Commercial Services,Sports equipment distribution,4239,Entity Inference,Final,,,Imported from Batch4.md
BUILDING 3800 REDBANK ROAD,Commercial Real Estate,Property entity,5311,Rule-Based,Final,,,Imported from Batch4.md
BULLITT II LOGISTICS CENTER,Commercial Real Estate,Industrial property/logistics center,5311,Rule-Based,Final,,,Imported from Batch4.md
BUNZL,Commercial Services,Distribution,4241,Entity Inference,Final,,,Imported from Batch4.md
BWAY,Manufacturing,Packaging manufacturing (BWAY),3324,Entity Inference,Final,,,Imported from Batch4.md
BWI INDIANA,Commercial Services,Entity unclear,,AI Analyst Research,Final,,,Imported from Batch4.md
BYRNA TECHNOLOGIES,Manufacturing,Manufacturing (brand),,AI Analyst Research,Final,,,Imported from Batch4.md
BYRON PRODUCTS,Manufacturing,Manufacturing (unclear),,AI Analyst Research,Final,,,Imported from Batch4.md
C5 GATEWAY 3,Commercial Real Estate,Property entity,5311,Rule-Based,Final,,,Imported from Batch4.md
CABLEMASTER,Manufacturing,Industrial cable (unclear),,AI Analyst Research,Final,,,Imported from Batch4.md
CAC,Commercial Services,Distribution/logistics (unclear),4931,Heuristic,Final,,,Imported from Batch4.md
CAC DISTRIBUTION,Commercial Services,Distribution/logistics (unclear),4931,Heuristic,Final,,,Imported from Batch4.md
CADENCE MCSHANE,Commercial Services,Construction/GC,2362,Entity Inference,Final,,,Imported from Batch4.md
CALIFORNIA CLOSETS,Commercial Services,Home organization retail/services,4422,Entity Inference,Final,,,Imported from Batch4.md
CALLISONS,Commercial Services,Fragrance/ingredients (mfg),325,Heuristic,Final,,,Imported from Batch4.md
CALUMET LUBRICANTS,Manufacturing,Lubricants/refining,3241,Entity Inference,Final,,,Imported from Batch4.md
CAMPBELLS SNACKS,Manufacturing,Snack Food Manufacturing,311919,AI Analyst Research,Final,,thecampbellscompany.com,Imported from Batch_20260118_Batch2.md
CANDEX SOLUTIONS,Commercial Services,Services/solutions (unclear),,AI Analyst Research,Final,,,Imported from Batch4.md
CANNON AUTOMOTIVE SOLUTIONS,Manufacturing,Automotive components,3363,Heuristic,Final,,,Imported from Batch4.md
CAPSTONE CONCEPTS,Commercial Services,Consulting/services (unclear),,AI Analyst Research,Final,,,Imported from Batch4.md
CAPTAINS WATCH COA,Commercial Services,Condo association,8139,Rule-Based,Final,,,Imported from Batch4.md
CAREGIVERS,Commercial Services,Home care (unclear),6216,Heuristic,Final,,,Imported from Batch4.md
CARHARTT,Commercial Services,Apparel brand,4481,Entity Inference,Final,,,Imported from Batch4.md
CARL ZEISS VISION,Commercial Services,Optical products,3391,Entity Inference,Final,,,Imported from Batch4.md
CARLSTAR GROUP,Manufacturing,Tires/industrial,3262,Entity Inference,Final,,,Imported from Batch4.md
CARLTON INDUSTRIAL SOLUTIONS,Commercial Services,Industrial services/distribution,4238,Heuristic,Final,,,Imported from Batch4.md
CAROLINA ALE HOUSE,Commercial Services,Restaurant/bar,7225,Entity Inference,Final,Hospitality,,Imported from Batch4.md
CAROTHERS CORNER,Commercial Real Estate,Retail Center,531120,AI Analyst Research,Final,,,Imported from Batch_20260118_Batch2.md
CARTRIDGE BREWING,Commercial Services,Brewery/taproom,3121,Rule-Based,Final,Hospitality,,Imported from Batch4.md
