Customer Key,Manual Master Name,Manual Segment
TN992101SERV_GP,HARPER AUTO,
TN992154SERV_GP,HARPER AUTO,
TN992158SERV_GP,HARPER AUTO,
TN992147SERV_GP,HARPER AUTO,
TN992160SERV_GP,HARPER AUTO,
TN991948SERV_GP,HARPER AUTO,
LX990264SERV_GP,FRESENIUS MEDICAL CARE,Medical
CN991848SERV_GP,FRESENIUS MEDICAL CARE,Medical
CN991849SERV_GP,FRESENIUS MEDICAL CARE,Medical
NV00063SERV_GP,FRESENIUS MEDICAL CARE,Medical
WV200316SERV_GP,FRESENIUS MEDICAL CARE,Medical
WV990225SERV_GP,FRESENIUS MEDICAL CARE,Medical
WV990175SERV_GP,FRESENIUS MEDICAL CARE,Medical
WV990238SERV_GP,FRESENIUS MEDICAL CARE,Medical
CN991579SERV_GP,FRESENIUS MEDICAL CARE,Medical
WV990077SERV_GP,FRESENIUS MEDICAL CARE,Medical
WV990091SERV_GP,FRESENIUS MEDICAL CARE,Medical
CN991580SERV_GP,FRESENIUS MEDICAL CARE,Medical
CN991575SERV_GP,FRESENIUS MEDICAL CARE,Medical
NV00068SERV_GP,FRESENIUS MEDICAL CARE,Medical
WV990092SERV_GP,FRESENIUS MEDICAL CARE,Medical
NV00066SERV_GP,FRESENIUS MEDICAL CARE,Medical
CN991810SERV_GP,FRESENIUS MEDICAL CARE,Medical
DY990943SERV_GP,FRESENIUS MEDICAL CARE,Medical
CN991576SERV_GP,FRESENIUS MEDICAL CARE,Medical
WV990095SERV_GP,FRESENIUS MEDICAL CARE,Medical
WV990101SERV_GP,FRESENIUS MEDICAL CARE,Medical
CN991578SERV_GP,FRESENIUS MEDICAL CARE,Medical
NV00067SERV_GP,FRESENIUS MEDICAL CARE,Medical
WV990147SERV_GP,FRESENIUS MEDICAL CARE,Medical
WV990093SERV_GP,FRESENIUS MEDICAL CARE,Medical
LX990326SERV_GP,FRESENIUS MEDICAL CARE,Medical
CN991577SERV_GP,FRESENIUS MEDICAL CARE,Medical
DY990940SERV_GP,FRESENIUS MEDICAL CARE,Medical
WV990149SERV_GP,FRESENIUS MEDICAL CARE,Medical
IN990293SERV_GP,FRESENIUS MEDICAL CARE,Medical
TN992048SERV_GP,FRESENIUS MEDICAL CARE,Medical
TN991938SERV_GP,FRESENIUS MEDICAL CARE,Medical
LX990431SERV_GP,FRESENIUS MEDICAL CARE,Medical
LV990470SERV_GP,FRESENIUS MEDICAL CARE,Medical
NV15044SERV_GP,FIRST FEDERAL BANK,
NV15048SERV_GP,FIRST FEDERAL BANK,
NV15050SERV_GP,FIRST FEDERAL BANK,
NV15045SERV_GP,FIRST FEDERAL BANK,
NV15049SERV_GP,FIRST FEDERAL BANK,
NV15046SERV_GP,FIRST FEDERAL BANK,
NV15047SERV_GP,FIRST FEDERAL BANK,
NV15053SERV_GP,FIRST FEDERAL BANK,
NV15051SERV_GP,FIRST FEDERAL BANK,
NV15052SERV_GP,FIRST FEDERAL BANK,
CN992236SERV_GP,DHL,
DHL EXPRESSMECH_GP,DHL,
CN940262SERV_GP,DHL,
CN991598SERV_GP,DHL,
DHL SUPPLY CHAIMECH_GP,DHL,
CN992061SERV_GP,DHL,
DY991049SERV_GP,DHL,
DY991081SERV_GP,DHL,
CN991800SERV_GP,DEERFIELD TOWNSHIP,Municipal
CN991876SERV_GP,DEERFIELD TOWNSHIP,Municipal
DEACONESSMECH_GP,DEACONESS MEMORIAL,Medical
LV990535SERV_GP,DEACONESS MEMORIAL,Medical
DY990726SERV_GP,DAYTON PUBLIC SCHOOLS,Public Schools
DAYTON SCHOOLSMECH_GP,DAYTON PUBLIC SCHOOLS,Public Schools
CORE CONSTMECH_GP,CORE CONSTRUCTION,
CORE CONST INDYMECH_GP,CORE CONSTRUCTION,
CN991117SERV_GP,CHICKFILA,
CN992090SERV_GP,CHICKFILA,
CN991527SERV_GP,CHICKFILA,
DY990963SERV_GP,CHICKFILA,
CN991517SERV_GP,CHICKFILA,
CN991920SERV_GP,CHICKFILA,
CN991913SERV_GP,CHICKFILA,
CN991921SERV_GP,CHICKFILA,
LX990419SERV_GP,BRIGHTVIEW HEALTH,
CN991855SERV_GP,BRIGHTVIEW HEALTH,
DY990970SERV_GP,BRIGHTVIEW HEALTH,
DY991024SERV_GP,BRIGHTVIEW HEALTH,
LX990418SERV_GP,BOURBON COUNTY FISCAL COURT,
BGRMECH_GP,BGR,
CN990123SERV_GP,BGR,
LV990510SERV_GP,BGR,
IN990514SERV_GP,BGR,
BEACONORTHOFACIMECH_GP,BEACON ORTOHOPAEDICS,
BEACONMECH_GP,BEACON ORTOHOPAEDICS,
ARROW WINEMECH_GP,ARROW WINE AND SPIRITS,
CN992207SERV_GP,ARROW WINE AND SPIRITS,
CN992368SERV_GP,10% CABINETRY,
IN990246SERV_GP,JLL PROPERTY MANAGEMENT,
DY991013SERV_GP,JLL PROPERTY MANAGEMENT,
DY991090SERV_GP,JLL PROPERTY MANAGEMENT,
DY991138SERV_GP,JLL PROPERTY MANAGEMENT,
CN992225SERV_GP,JLL PROPERTY MANAGEMENT,
LV990505SERV_GP,JLL PROPERTY MANAGEMENT,
DY991132SERV_GP,JLL PROPERTY MANAGEMENT,
CN992065SERV_GP,JLL PROPERTY MANAGEMENT,
CN992332SERV_GP,JLL PROPERTY MANAGEMENT,
CN992304SERV_GP,JLL PROPERTY MANAGEMENT,
