rule_type,brand,model_regex,attribute_name,value_extraction,units,examples,limitations,guidance_action,guidance_text,evidence_excerpt,source_url,retrieved_on,image_urls
guidance,York/JCI,,NominalCapacityTons,{},Tons,"[""4THAND5TH""]",Model decoder text did not include a deterministic extraction rule.,no_data,"Coleman Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Coleman Tonnage Decoder
Johnson Controls is the parent company of Coleman Products
All Coleman products are set up with a systematic coding system for both model numbers and serial numbers. Unit model number (including any dash numbers) and serial number must always be used when referring a problem to Coleman in regard to repair parts, literature, wiring diagrams, etc. Use of proper unit identification numbers and serial numbers will greatly help in expediting any material required for these products.
The sequence of letters and digits in the Coleman model number reflects specific information about the unit. The figures below analyze two typical model numbers.
Coleman Designates the tonnage by digits in the","Coleman Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Coleman Tonnage Decoder
Johnson Controls is the parent company of Coleman Products
All Coleman products are set up w",https://www.building-center.org/coleman-tonnage-decoder/,2026-01-25T03:40:00Z,"[""//www.building-center.org/wp-content/uploads/2023/10/New-BiC-Logo-2023-12.png"", ""https://www.building-center.org/wp-content/uploads/2024/12/Screenshot-2024-12-03-095704-e1733238689770.png"", ""https://www.building-center.org/wp-content/uploads/2024/12/Screenshot-2024-12-03-100243.png""]"
decode,Carrier/ICP,,NominalCapacityCode,"{""data_type"": ""Text"", ""positions"": {""start"": 7, ""end"": 8}}",,"[""24ACC3"", ""7THAND8THDIGITS""]",Extracts the capacity code only; no deterministic tons transform provided on the page.,,,"Comfortmaker Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Comfortmaker Tonnage Decoder
International Comfort Products manufactures multiple brands including Carrier, Hei",https://www.building-center.org/comfortmaker-tonnage-decoder/,2026-01-25T03:40:00Z,"[""//www.building-center.org/wp-content/uploads/2023/10/New-BiC-Logo-2023-12.png"", ""https://www.building-center.org/wp-content/uploads/2024/10/100_0006.jpg"", ""https://www.building-center.org/wp-content/uploads/2024/10/Screenshot-2024-10-28-143212.png""]"
decode,Concord,,NominalCapacityTons,"{""data_type"": ""Number"", ""positions"": {""start"": 7, ""end"": 8}, ""mapping"": {""18"": 1.5, ""24"": 2.0, ""30"": 2.5, ""36"": 3.0, ""42"": 3.5, ""48"": 4.0, ""60"": 5.0}}",Tons,"[""4AC13L"", ""7THAND8THDIGITS""]",,,,"Concord Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Concord Tonnage Decoder
You can determine the tonnage of all current Concord HVAC systems by finding the
7th and 8th",https://www.building-center.org/concord-tonnage-decoder/,2026-01-25T03:40:02Z,"[""//www.building-center.org/wp-content/uploads/2023/10/New-BiC-Logo-2023-12.png"", ""https://www.building-center.org/wp-content/uploads/2024/10/Screenshot-2024-10-02-204004.png""]"
guidance,Dakin,,NominalCapacityTons,{},Tons,"[""7TH8THAND9TH""]",Model decoder text did not include a deterministic extraction rule.,no_data,"Dakin Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Daikin Tonnage Decoder
Dakin products designate tonnage based on numerical digits in the Model number.
Unit model number (including any dash numbers) and serial number must always be used when referring a problem to Lennox in regard to repair parts, literature, wiring diagrams, etc. Use of proper unit identification numbers and serial numbers will greatly help in expediting any material required for these products.
Tonnage is based on the
7th 8th and 9th
numerical positions in the model number.
The sequence of letters and digits in the Lennox model number reflects specific information about the unit. The figures below analyze typical model numbers.
Welcome
Indexes
Business Directory","Dakin Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Daikin Tonnage Decoder
Dakin products designate tonnage based on numerical digits in the Model number.
Unit model numb",https://www.building-center.org/dakin-tonnage-decoder/,2026-01-25T03:40:03Z,"[""//www.building-center.org/wp-content/uploads/2023/10/New-BiC-Logo-2023-12.png"", ""https://www.building-center.org/wp-content/uploads/2024/12/Screenshot-2024-12-09-173959.png"", ""https://www.building-center.org/wp-content/uploads/2024/12/Screenshot-2024-12-09-174033.png""]"
decode,Carrier/ICP,,NominalCapacityCode,"{""data_type"": ""Text"", ""positions"": {""start"": 7, ""end"": 8}}",,"[""24ACC3"", ""7THAND8THDIGITS""]",Extracts the capacity code only; no deterministic tons transform provided on the page.,,,"Day and Night Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Day and Night Tonnage Decoder
International Comfort Products manufactures multiple brands including Carrier, H",https://www.building-center.org/day-and-night-tonnage-decoder/,2026-01-25T03:40:04Z,"[""//www.building-center.org/wp-content/uploads/2023/10/New-BiC-Logo-2023-12.png"", ""https://www.building-center.org/wp-content/uploads/2024/10/100_0006.jpg"", ""https://www.building-center.org/wp-content/uploads/2024/10/Screenshot-2024-10-28-143212.png""]"
guidance,Lennox,,NominalCapacityTons,{},Tons,[],Model decoder text did not include a deterministic extraction rule.,no_data,"Ducane Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
DucaneTonnage Decoder
Click Here to visit the Ducane Website
All Ducane products are set up with a systematic coding system for both model numbers and serial numbers. Unit model number (including any dash numbers) and serial number must always be used when referring a problem to Ducane in regard to repair parts, literature, wiring diagrams, etc. Use of proper unit identification numbers and serial numbers will greatly help in expediting any material required for these products.
The sequence of letters and digits in the Ducane model number reflects specific information about the unit. The figures below analyze two typical model numbers.
Tonnage is determined by the
7th & 8th
digits in the model number.
Welcom","Ducane Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
DucaneTonnage Decoder
Click Here to visit the Ducane Website
All Ducane products are set up with a systematic coding ",https://www.building-center.org/ducane-tonnage-decoder/,2026-01-25T03:40:05Z,"[""//www.building-center.org/wp-content/uploads/2023/10/New-BiC-Logo-2023-12.png"", ""https://www.building-center.org/wp-content/uploads/2024/10/Screenshot-2024-10-02-204004.png""]"
guidance,Frigidaire,,NominalCapacityTons,{},Tons,[],Model decoder text did not include a deterministic extraction rule.,no_data,"Frigidaire Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Frigidaire Tonnage Decoder
Click Here to visit the Nortek Website
Nortek Global is the parent company for several brands including Gibson, Frigidaire, Maytag, Miller, Broan and Intertherm.
The sequence of letters and digits in the Maytag model number reflects specific information about the unit. The figures below analyze typical model numbers.
Tonnage is determined by the
7th & 8th
digits in the model number.
Welcome
Indexes
Business Directory","Frigidaire Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Frigidaire Tonnage Decoder
Click Here to visit the Nortek Website
Nortek Global is the parent company for several",https://www.building-center.org/frigidaire-tonnage-decoder/,2026-01-25T03:40:06Z,"[""//www.building-center.org/wp-content/uploads/2023/10/New-BiC-Logo-2023-12.png"", ""https://www.building-center.org/wp-content/uploads/2024/11/Screenshot-2024-11-03-092446.png""]"
guidance,Gibson,,NominalCapacityTons,{},Tons,[],Model decoder text did not include a deterministic extraction rule.,no_data,"Gibson Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Gibson Tonnage Decoder
Click Here to visit the Nortek Website
Nortek Global is the parent company for several brands including Gibson, Frigidaire, Maytag, Miller, Broan and Intertherm.
The sequence of letters and digits in the Gibson model number reflects specific information about the unit. The figures below analyze typical model numbers.
Tonnage is determined by the
7th & 8th
digits in the model number.
Welcome
Indexes
Business Directory","Gibson Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Gibson Tonnage Decoder
Click Here to visit the Nortek Website
Nortek Global is the parent company for several brands ",https://www.building-center.org/gibson-tonnage-decoder/,2026-01-25T03:40:07Z,"[""//www.building-center.org/wp-content/uploads/2023/10/New-BiC-Logo-2023-12.png"", ""https://www.building-center.org/wp-content/uploads/2024/11/Screenshot-2024-11-03-092446.png""]"
decode,Grandaire,,NominalCapacityCode,"{""data_type"": ""Text"", ""positions"": {""start"": 7, ""end"": 8}}",,"[""24ACC3"", ""7THAND8THDIGITS""]",Extracts the capacity code only; no deterministic tons transform provided on the page.,,,"Grandaire Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Grandaire Tonnage Decoder
Grandaire is a brand of International Comfort Products
All Grandaire products are set up",https://www.building-center.org/grandaire-tonnage-decoder/,2026-01-25T03:40:09Z,"[""//www.building-center.org/wp-content/uploads/2023/10/New-BiC-Logo-2023-12.png"", ""https://www.building-center.org/wp-content/uploads/2024/10/Screenshot-2024-10-28-143212.png""]"
decode,Carrier/ICP,,NominalCapacityCode,"{""data_type"": ""Text"", ""positions"": {""start"": 7, ""end"": 8}}",,"[""24ACC3"", ""7THAND8THDIGITS""]",Extracts the capacity code only; no deterministic tons transform provided on the page.,,,"Heil Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Heil Tonnage Decoder
International Comfort Products manufactures multiple brands including Carrier, Heil, Bryant, Temps",https://www.building-center.org/heil-tonnage-decoder/,2026-01-25T03:40:10Z,"[""//www.building-center.org/wp-content/uploads/2023/10/New-BiC-Logo-2023-12.png"", ""https://www.building-center.org/wp-content/uploads/2024/10/100_0006.jpg"", ""https://www.building-center.org/wp-content/uploads/2024/10/Screenshot-2024-10-28-143212.png""]"
guidance,Intertherm,,NominalCapacityTons,{},Tons,[],Model decoder text did not include a deterministic extraction rule.,no_data,"Intertherm Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Intertherm Tonnage Decoder
Click Here to visit the Nortek Website
Nortek Global is the parent company for several brands including Gibson, Frigidaire, Maytag, Miller, Broan and Intertherm.
The sequence of letters and digits in the Maytag model number reflects specific information about the unit. The figures below analyze typical model numbers.
Tonnage is determined by the
7th & 8th
digits in the model number.
Welcome
Indexes
Business Directory","Intertherm Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Intertherm Tonnage Decoder
Click Here to visit the Nortek Website
Nortek Global is the parent company for several",https://www.building-center.org/intertherm-tonnage-decoder/,2026-01-25T03:40:11Z,"[""//www.building-center.org/wp-content/uploads/2023/10/New-BiC-Logo-2023-12.png"", ""https://www.building-center.org/wp-content/uploads/2024/11/Screenshot-2024-11-03-092446.png""]"
decode,Keeprite,,NominalCapacityCode,"{""data_type"": ""Text"", ""positions"": {""start"": 7, ""end"": 8}}",,"[""24ACC3"", ""7THAND8THDIGITS""]",Extracts the capacity code only; no deterministic tons transform provided on the page.,,,"Keeprite Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Keeprite Tonnage Decoder
International Comfort Products manufactures multiple brands including Carrier, Heil, Bryan",https://www.building-center.org/keeprite-tonnage-decoder/,2026-01-25T03:40:12Z,"[""//www.building-center.org/wp-content/uploads/2023/10/New-BiC-Logo-2023-12.png"", ""https://www.building-center.org/wp-content/uploads/2024/10/100_0006.jpg"", ""https://www.building-center.org/wp-content/uploads/2024/10/Screenshot-2024-10-28-143212.png""]"
guidance,Lennox,,NominalCapacityTons,{},Tons,[],Model decoder text did not include a deterministic extraction rule.,no_data,"Lennox Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Lennox Tonnage Decoder
* Please download the PDF for a complete guide to decoding tonnage for all Lennox Equipment. *
Click Here
Model Numbering Systems
All Lennox products are set up with a systematic coding system for both model numbers and serial numbers. Unit model number (including any dash numbers) and serial number must always be used when referring a problem to Lennox in regard to repair parts, literature, wiring diagrams, etc. Use of proper unit identification numbers and serial numbers will greatly help in expediting any material required for these products.
The sequence of letters and digits in the Lennox model number reflects specific information about the unit. The figures below analyze two typi","Lennox Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Lennox Tonnage Decoder
* Please download the PDF for a complete guide to decoding tonnage for all Lennox Equipment. *",https://www.building-center.org/lennox-tonnage-decoder/,2026-01-25T03:40:13Z,"[""//www.building-center.org/wp-content/uploads/2023/10/New-BiC-Logo-2023-12.png"", ""https://www.building-center.org/wp-content/uploads/2024/09/Screenshot-2024-09-20-102356.png""]"
guidance,York/JCI,,NominalCapacityTons,{},Tons,"[""4THAND5TH""]",Model decoder text did not include a deterministic extraction rule.,no_data,"Luxaire Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
LuxaireTonnage Decoder
Johnson Controls is the parent company of Luxaire Products
All Luxaire products are set up with a systematic coding system for both model numbers and serial numbers. Unit model number (including any dash numbers) and serial number must always be used when referring a problem to Luxaire in regard to repair parts, literature, wiring diagrams, etc. Use of proper unit identification numbers and serial numbers will greatly help in expediting any material required for these products.
The sequence of letters and digits in the Luxaire model number reflects specific information about the unit. The figures below analyze two typical model numbers.
Luxaire Designates the tonnage by digits in the
","Luxaire Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
LuxaireTonnage Decoder
Johnson Controls is the parent company of Luxaire Products
All Luxaire products are set up wi",https://www.building-center.org/luxaire-tonnage-decoder/,2026-01-25T03:40:13Z,"[""//www.building-center.org/wp-content/uploads/2023/10/New-BiC-Logo-2023-12.png"", ""https://www.building-center.org/wp-content/uploads/2024/12/Screenshot-2024-12-03-095704-e1733238689770.png"", ""https://www.building-center.org/wp-content/uploads/2024/12/Screenshot-2024-12-03-100243.png""]"
guidance,Maytag,,NominalCapacityTons,{},Tons,[],Model decoder text did not include a deterministic extraction rule.,no_data,"Maytag Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Maytag Tonnage Decoder
Click Here to visit the Nortek Website
Nortek Global is the parent company for several brands including Gibson, Frigidaire, Maytag, Miller, Broan and Intertherm.
The sequence of letters and digits in the Maytag model number reflects specific information about the unit. The figures below analyze typical model numbers.
Tonnage is determined by the
7th & 8th
digits in the model number.
Welcome
Indexes
Business Directory","Maytag Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Maytag Tonnage Decoder
Click Here to visit the Nortek Website
Nortek Global is the parent company for several brands ",https://www.building-center.org/maytag-tonnage-decoder/,2026-01-25T03:40:15Z,"[""//www.building-center.org/wp-content/uploads/2023/10/New-BiC-Logo-2023-12.png"", ""https://www.building-center.org/wp-content/uploads/2024/11/Screenshot-2024-11-03-092446.png""]"
decode,Payne,,NominalCapacityCode,"{""data_type"": ""Text"", ""positions"": {""start"": 7, ""end"": 8}}",,"[""24ACC3"", ""7THAND8THDIGITS""]",Extracts the capacity code only; no deterministic tons transform provided on the page.,,,"Payne Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Payne Tonnage Decoder
Model Numbering Systems
All Payne products are set up with a systematic coding system for both m",https://www.building-center.org/payne-tonnage-decoder/,2026-01-25T03:40:16Z,"[""//www.building-center.org/wp-content/uploads/2023/10/New-BiC-Logo-2023-12.png"", ""https://www.building-center.org/wp-content/uploads/2024/10/Screenshot-2024-10-28-143212.png""]"
guidance,Rheem/Ruud,,NominalCapacityTons,{},Tons,[],Model decoder text did not include a deterministic extraction rule.,no_data,"Rheem Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Rheem/Rudd Tonnage Decoder
Model Numbering Systems
All Rheem/Rudd products are set up with a systematic coding system for both model numbers and serial numbers. Unit model number (including any dash numbers) and serial number must always be used when referring a problem to Rheem/Rudd in regard to repair parts, literature, wiring diagrams, etc. Use of proper unit identification numbers and serial numbers will greatly help in expediting any material required for these products.
The sequence of letters and digits in the Rheem/Rudd model number reflects specific information about the unit. The figures below analyze two typical model numbers.
Below is chart examples from Rheem documentation. Other model lines may ","Rheem Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Rheem/Rudd Tonnage Decoder
Model Numbering Systems
All Rheem/Rudd products are set up with a systematic coding system ",https://www.building-center.org/rheem-tonnage-decoder/,2026-01-25T03:40:17Z,"[""//www.building-center.org/wp-content/uploads/2023/10/New-BiC-Logo-2023-12.png"", ""https://www.building-center.org/wp-content/uploads/2024/10/Screenshot-2024-10-24-151428.png"", ""https://www.building-center.org/wp-content/uploads/2024/10/Screenshot-2024-10-24-152317.png""]"
guidance,Trane,,NominalCapacityTons,"{""data_type"": ""Number"", ""pattern"": {""regex"": ""(18|24|30|36|42|48|60)"", ""group"": 1}, ""mapping"": {""18"": 1.5, ""24"": 2.0, ""30"": 2.5, ""36"": 3.0, ""42"": 3.5, ""48"": 4.0, ""60"": 5.0}}",Tons,[],Tonnage mapping exists but the model-code location is not deterministic from captured text.,chart_required,"Tonnage code location is ambiguous; manual review required. Images: //www.building-center.org/wp-content/uploads/2023/10/New-BiC-Logo-2023-12.png, https://www.building-center.org/wp-content/uploads/2024/09/100_0006.jpg, https://www.building-center.org/wp-content/uploads/2024/09/Screenshot-2024-09-20-124251.png","Trane Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Tonnage/BTU Decoder
A complete reference PDF can be downloaded HERE:
Trane PDF
You can determine tonnage of equipment ",https://www.building-center.org/trane-tonnage-decoder/,2026-01-25T03:39:55Z,"[""//www.building-center.org/wp-content/uploads/2023/10/New-BiC-Logo-2023-12.png"", ""https://www.building-center.org/wp-content/uploads/2024/09/100_0006.jpg"", ""https://www.building-center.org/wp-content/uploads/2024/09/Screenshot-2024-09-20-124251.png"", ""https://www.building-center.org/wp-content/uploads/2024/09/Screenshot-2024-09-24-133149.png""]"
guidance,Westinghouse,,NominalCapacityTons,{},Tons,"[""4THAD5TH"", ""WMA21S""]",Model decoder text did not include a deterministic extraction rule.,no_data,"Westinghouse Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Westinghouse Tonnage Decoder
The Westinghouse brand is currently used for foreign made mini split or efficiency systems. All Westinghouse products are sized according to published BTU's and in the Model Number.
Westinghouse documents tonnage by BTU ratings. The
4th ad 5th
positions in the Model number notate tonnage size also.
Example 1: WHS
12
WMA21S
Welcome","Westinghouse Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
Westinghouse Tonnage Decoder
The Westinghouse brand is currently used for foreign made mini split or efficiency",https://www.building-center.org/westinghouse-tonnage-decoder/,2026-01-25T03:40:18Z,"[""//www.building-center.org/wp-content/uploads/2023/10/New-BiC-Logo-2023-12.png"", ""https://www.building-center.org/wp-content/uploads/2024/12/Screenshot-2024-12-09-155633.png""]"
decode,York/JCI,,NominalCapacityTons,"{""data_type"": ""Number"", ""pattern"": {""regex"": ""(18|24|30|36|42|48|60)"", ""group"": 1}, ""mapping"": {""18"": 1.5, ""24"": 2.0, ""30"": 2.5, ""36"": 3.0, ""42"": 3.5, ""48"": 4.0, ""60"": 5.0}}",Tons,"[""4THAND5TH""]",,,,"York Tonnage Decoder | Building Intelligence Center
Navigation
Home
What’s New !
York Tonnage Decoder
Johnson Controls is the parent company of York Products
All York products are set up with a system",https://www.building-center.org/york-tonnage-decoder/,2026-01-25T03:40:18Z,"[""//www.building-center.org/wp-content/uploads/2023/10/New-BiC-Logo-2023-12.png"", ""https://www.building-center.org/wp-content/uploads/2024/12/Screenshot-2024-12-03-095704-e1733238689770.png"", ""https://www.building-center.org/wp-content/uploads/2024/12/Screenshot-2024-12-03-100243.png""]"
