Building,Unit ID,EquipmentType,Make,BrandNormalized,ModelNumber,SDI_Refrigerant,SDI_VoltageVoltPhase,SDI_KnownCapacityTons,Decoded_Refrigerant,Decoded_VoltageVoltPhaseHz,Decoded_NominalCapacityTons,Norm_SDI_Refrigerant,Norm_Decoded_Refrigerant,Norm_SDI_Voltage,Norm_Decoded_Voltage,CapacityResult,RefrigerantResult,VoltageResult,RefrigerantRuleEquipmentTypes,RefrigerantRuleModelRegex,RefrigerantRuleStartPos,RefrigerantRuleEndPos,RefrigerantRuleSource,VoltageRuleEquipmentTypes,VoltageRuleModelRegex,VoltageRuleStartPos,VoltageRuleEndPos,VoltageRuleSource,CapacityRuleEquipmentTypes,CapacityRuleModelRegex,CapacityRuleStartPos,CapacityRuleEndPos,CapacityRuleSource
Patriot Academy,,VRF - Condensing Unit,Mitsubishi,MITSUBISHI,PURY-P120YJMU-A,R-410A,480V - Three Phase,10,,,,R-410A,,480-3-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Patriot Academy,,VRF - Condensing Unit,Mitsubishi,MITSUBISHI,PURY-P120YJMU-A,R-410A,480V - Three Phase,10,,,,R-410A,,480-3-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Patriot Academy,,VRF - Condensing Unit,Mitsubishi,MITSUBISHI,PURY-P144YJMU-A,R-410A,480V - Three Phase,12,,,,R-410A,,480-3-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Patriot Academy,,VRF - Condensing Unit,Mitsubishi,MITSUBISHI,PURY-P144YJMU-A,R-410A,480V - Three Phase,12,,,,R-410A,,480-3-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Patriot Academy,,VRF - Condensing Unit,Mitsubishi,MITSUBISHI,PURY-P120YJMU-A,R-410A,480V - Three Phase,10,,,,R-410A,,480-3-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Patriot Academy,,VRF - Condensing Unit,Mitsubishi,MITSUBISHI,PURY-P120YJMU-A,R-410A,480V - Three Phase,10,,,,R-410A,,480-3-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Patriot Academy,,Boiler,Lochinvar,LOCHINVAR,SNR200-100,,,,,,,,,,,truth_missing,truth_missing,truth_missing,,,,,,,,,,,,,,,
Patriot Academy,MUA1,Packaged Unit,AAON,AAON,RN-015-3-0-EA09-3F9,R-410A,480V - Three Phase,15,,,,R-410A,,480-3-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Patriot Academy,MUA2,Packaged Unit,AAON,AAON,RN-031-3-0-EB09-3C9,R-410A,480V - Three Phase,31,,,,R-410A,,480-3-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Patriot Academy,,MAU,Carrier,CARRIER/ICP,24ABB336A0061010,R-410A,480V - Three Phase,2,,230-1-60,,R-410A,,480-3-60,230-1-60,no_decode,no_decode,mismatch,,,,,,[],^[A-Z0-9-]{16}$,5,5,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Patriot Academy,MUA5,Packaged Unit,AAON,AAON,RN-031-3-0-EB09-3C9,,,31,,,,,,,,no_decode,truth_missing,truth_missing,,,,,,,,,,,,,,,
Patriot Academy,MUA6,Packaged Unit,AAON,AAON,RN-031-3-0-EB09-3C9,,,31,,,,,,,,no_decode,truth_missing,truth_missing,,,,,,,,,,,,,,,
Patriot Academy,,Domestic Water Heater,Lochinvar,LOCHINVAR,9NP300-100,,,,,,,,,,,truth_missing,truth_missing,truth_missing,,,,,,,,,,,,,,,
Patriot Academy,MUA8,ERV,AAON,AAON,RN-030-3-0-EB09-389,,,30,,,,,,,,no_decode,truth_missing,truth_missing,,,,,,,,,,,,,,,
Patriot Academy,MUA3,Packaged Unit,AAON,AAON,RN-011-3-0-EA09-3F9,,,11,,,,,,,,no_decode,truth_missing,truth_missing,,,,,,,,,,,,,,,
Patriot Academy,MUA4,ERV,AAON,AAON,RN-025-3-0-EA09-389,,,25,,,,,,,,no_decode,truth_missing,truth_missing,,,,,,,,,,,,,,,
Patriot Academy,MUA7,ERV,AAON,AAON,RN-030-3-0-EB09-389,,,30,,,,,,,,no_decode,truth_missing,truth_missing,,,,,,,,,,,,,,,
Jefferson Elementary School,,Packaged Unit,AAON,AAON,RN-040-8-0-AB04-3B9,R-22,208V/230V - Three Phase,40,,,,R-22,,208/230-3-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA060A300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA060A300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA060A300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA060A300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA060A300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA060A300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA048A300A0,R-22,208V/230V - Three Phase,4,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA048A300A0,R-22,208V/230V - Three Phase,4,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA048A300A0,R-22,208V/230V - Three Phase,4,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA048A300A0,R-22,208V/230V - Three Phase,4,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA048A300A0,R-22,208V/230V - Three Phase,4,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA060A300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA060A300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA060D300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA060A300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA060A300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA060D300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,4WSZ-SM8Q,Cooling Condensing Unit,Trane,TRANE,TTA060A300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA060C300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA060C300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA060C300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Ductless Split System,Daikin,GOODMAN/AMANA/DAIKIN,RX36NMVJUA,R-410A,208V/230V - Single Phase,3,,208/230-1-60,,R-410A,,208/230-1-60,208/230-1-60,no_decode,no_decode,match,[],^[A-Z0-9-]{10}$,7,7,hvacexport:2026-01-24_v3.84_enriched2,[],^(?=.{10}$)(?:R),7,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA048A300A0,R-22,208V/230V - Three Phase,4,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA048A300A0,R-22,208V/230V - Three Phase,4,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA048A300A0,R-22,208V/230V - Three Phase,4,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA048A300A0,R-22,208V/230V - Three Phase,4,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA048A300A0,R-22,208V/230V - Three Phase,4,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA048A300A0,R-22,208V/230V - Three Phase,4,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Ductless Split System,Trane,TRANE,MUZ-GE12NA2,R-410A,208V/230V - Single Phase,1,,,,R-410A,,208/230-1-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,,Heat Pump Condensing Unit,Trane,TRANE,TWA060C300A1,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Heat Pump Condensing Unit,Trane,TRANE,TWA060C300A1,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA048A300A0,R-22,208V/230V - Three Phase,4,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA048A300A0,R-22,208V/230V - Three Phase,4,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA060C300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA060C300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Ductless Split System,MARS,MARS,A-VMH12SU,R-410A,120 V - Single Phase,1,,,,R-410A,,120-1-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA060C300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA060C300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA060C300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA048C300A0,R-22,208V/230V - Three Phase,4,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA060C300A0,R-22,208V/230V - Three Phase,5,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTP048D300A0,R-22,208V/230V - Three Phase,4,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTP048D300A0,R-22,208V/230V - Three Phase,4,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA048C300A0,R-22,208V/230V - Three Phase,4,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA048A300A0,R-22,208V/230V - Three Phase,4,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA048A300A0,R-22,208V/230V - Three Phase,4,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Cooling Condensing Unit,Trane,TRANE,TTA048A300A0,R-22,208V/230V - Three Phase,4,,208/230-3-60,,R-22,,208/230-3-60,208/230-3-60,no_decode,no_decode,match,,,,,,[],^(?=.{12}$)(?:T),8,8,hvacexport:2026-01-24_v3.84_enriched2,,,,,
Jefferson Elementary School,,Boiler,WELL MClAIN/POWER FLAME BURNER,WELL MCLAIN/POWER FLAME BURNER,WCR3-G-25B,,480V - Three Phase,,,,,,,480-3-60,,truth_missing,truth_missing,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,MOTOR,Boiler,baldor,BALDOR,VM3158,,480V - Three Phase,,,,,,,480-3-60,,truth_missing,truth_missing,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,,Domestic Water Heater,BRADFORD WHITE,BRADFORD WHITE,DM80T1993N,,,,,,,,,,,truth_missing,truth_missing,truth_missing,,,,,,,,,,,,,,,
Jefferson Elementary School,,Domestic Water Heater,BRADFORD WHITE,BRADFORD WHITE,DM80T1993N,,,,,,,,,,,truth_missing,truth_missing,truth_missing,,,,,,,,,,,,,,,
Jefferson Elementary School,,Pump,Marathon Electric,MARATHON ELECTRIC,1VM213TTDR70260P L,,480V - Three Phase,,,,,,,480-3-60,,truth_missing,truth_missing,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,,Pump,Marathon Electric,MARATHON ELECTRIC,2VA213TTDR7026GP L,,480V - Three Phase,,,,,,,480-3-60,,truth_missing,truth_missing,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,,Air Handling Unit,Trane,TRANE,TUVA15HF1CS3AG114G11,R-22,120 V - Single Phase,4,,,,R-22,,120-1-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,,Air Handling Unit,Trane,TRANE,TUVA20HF1DS3AG14G11,R-22,120 V - Single Phase,5,,,,R-22,,120-1-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,,Air Handling Unit,Trane,TRANE,TUVA20HF1DS3AG14G11,R-22,120 V - Single Phase,5,,,,R-22,,120-1-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,,Air Handling Unit,Trane,TRANE,TUVA20HF1DS3AG14G11,R-22,120 V - Single Phase,5,,,,R-22,,120-1-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,,Air Handling Unit,Trane,TRANE,TUVA15HF1CS3AG14G11,R-22,120 V - Single Phase,4,,,,R-22,,120-1-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,,Air Handling Unit,Trane,TRANE,TUVA20HF1DS3AG14G11,R-22,120 V - Single Phase,5,,,,R-22,,120-1-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,,Air Handling Unit,Trane,TRANE,TUVA15HF1CS3AG14G11,R-22,120 V - Single Phase,4,,,,R-22,,120-1-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,,Air Handling Unit,Trane,TRANE,UNIT HAS A HWC IN UNIT VENT,R-22,120 V - Single Phase,5,,,,R-22,,120-1-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,,Air Handling Unit,Trane,TRANE,UNIT HAS A HWC IN UNIT VENT,R-22,120 V - Single Phase,5,,,,R-22,,120-1-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,,Air Handling Unit,Trane,TRANE,UNIT HAS A HWC IN UNIT VENT,R-22,120 V - Single Phase,5,,,,R-22,,120-1-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,,Air Handling Unit,Trane,TRANE,UNIT HAS A HWC IN UNIT VENT,R-22,120 V - Single Phase,5,,,,R-22,,120-1-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,,Air Handling Unit,Trane,TRANE,UNIT HAS A HWC IN UNIT VENT,R-22,120 V - Single Phase,5,,,,R-22,,120-1-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,,PTAC,GE,GENERAL ELECTRIC,AZ65H15DBMW6,,,,,,,,,,,truth_missing,truth_missing,truth_missing,,,,,,,,,,,,,,,
Jefferson Elementary School,,PTAC,GE,GENERAL ELECTRIC,AZ65H15DBMW6,,,,,,,,,,,truth_missing,truth_missing,truth_missing,,,,,,,,,,,,,,,
Jefferson Elementary School,,PTAC,MCQUAY,MCQUAY,NE1 5C5E,,,,,,,,,,,truth_missing,truth_missing,truth_missing,,,,,,,,,,,,,,,
Jefferson Elementary School,,Air Handling Unit,Trane,TRANE,TUVA15HF1CS3AG14G11,R-22,120 V - Single Phase,4,,,,R-22,,120-1-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,,Air Handling Unit,Trane,TRANE,TUVA15HF1CS3AG14G11,R-22,120 V - Single Phase,4,,,,R-22,,120-1-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,,Air Handling Unit,Trane,TRANE,TUVA20HF1DS3AG14G11,R-22,120 V - Single Phase,5,,,,R-22,,120-1-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Jefferson Elementary School,,Air Handling Unit,Trane,TRANE,TUVA15HF1CS3AG14G11,R-22,120 V - Single Phase,4,,,,R-22,,120-1-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
