Customer Key,Original Name,Master Customer Name,Segment,Source
IN990258SERV_GP,Alo Property Management,ALO PROPERTY MANAGEMENT,Other,SERV_GP
LV990536SERV_GP,Aloft Louisville East,ALOFT LOUISVILLE EAST,Hospitality,SERV_GP
DY991103SERV_GP,Alp-Arc I Parkway Operating Company Llc,ALPARC I PARKWAY OPERATING,Other,SERV_GP
DY991106SERV_GP,Alp-Arc Ii Creek Run Operating Company Llc,ALPARC II CREEK RUN OPERATING,Other,SERV_GP
DY991105SERV_GP,Alp-Arc Ii Dearborn Park Operating Company Llc,ALPARC II DEARBORN PARK OPERATING,Other,SERV_GP
DY991104SERV_GP,Alp-Arc Ii Lakeview Operating Company Llc,ALPARC II LAKEVIEW OPERATING,Other,SERV_GP
DY991100SERV_GP,Alp-Arc Ii Tuller Ridge Operating Company Llc,ALPARC II TULLER RIDGE OPERATING,Other,SERV_GP
DY991102SERV_GP,Alp-Arc Iv Citygate Operating Company Llc,ALPARC IV CITYGATE OPERATING,Other,SERV_GP
DY991101SERV_GP,"Alp-Arc Iv Cramer Creek Operating Company, Llc",ALPARC IV CRAMER CREEK OPERATING,Other,SERV_GP
DY990987SERV_GP,Alpha Technologies Services Inc,ALPHA TECHNOLOGIES SERVICES,Other,SERV_GP
LV990350SERV_GP,Alpha Technologies Services Inc,ALPHA TECHNOLOGIES SERVICES,Other,SERV_GP
WV990246SERV_GP,Alpha Technologies Services Inc,ALPHA TECHNOLOGIES SERVICES,Other,SERV_GP
DY990973SERV_GP,Alpla Inc.,ALPLA,Other,SERV_GP
ALSTOMMECH_GP,Alstom,ALSTOM,Other,MECH_GP
CN990124SERV_GP,Alt & Witzig Engineering,ALT AND WITZIG ENGINEERING,Industrial,SERV_GP
CN992159SERV_GP,Alt & Witzig Engineering,ALT AND WITZIG ENGINEERING,Industrial,SERV_GP
ALTAMECH_GP,"Alta Refrigeration, Inc.",ALTA REFRIGERATION,Other,MECH_GP
CN940085SERV_GP,Amano Cincinnati Inc.,AMANO CINCINNATI,Other,SERV_GP
CN992042SERV_GP,"Amazon Data Services, Inc.",AMAZON,Other,SERV_GP
AMAZON.COMMECH_GP,Amazon.Com,AMAZON,Other,MECH_GP
AMAZONMECH_GP,Amazon.Com Services Llc,AMAZON,Other,MECH_GP
WV990109SERV_GP,Amazon.Com Services Llc,AMAZON,Other,SERV_GP
IN990187SERV_GP,Amcor Rigid Plastics Usa Inc,AMCOR RIGID PLASTICS USA,Other,SERV_GP
IN990397SERV_GP,Amcor Rigids C/O Aramark Gbs Facility Operations Center,AMCOR RIGIDS,Other,SERV_GP
AMERESCOMECH_GP,Ameresco,AMERESCO,Other,MECH_GP
LV990351SERV_GP,American Fuji Seal Inc,AMERICAN FUJI SEAL,Other,SERV_GP
LX990462SERV_GP,American Greetings Corporation,AMERICAN GREETINGS,Other,SERV_GP
AME001SERV_GP,American Hermetic,AMERICAN HERMETIC,Other,SERV_GP
TN992139SERV_GP,American House Halls,AMERICAN HOUSE HALLS,Other,SERV_GP
CN991108SERV_GP,American Mortgage,AMERICAN MORTGAGE,Other,SERV_GP
IN990328SERV_GP,American Mortgage Service Company,AMERICAN MORTGAGE SERVICE,Other,SERV_GP
CN992145SERV_GP,American Red Cross,AMERICAN RED CROSS,Other,SERV_GP
DY991045SERV_GP,American Regent,AMERICAN REGENT,Other,SERV_GP
IN990363SERV_GP,American Society For Clinical Pathology,AMERICAN SOCIETY FOR CLINICAL PATHOLOGY,Medical,SERV_GP
DY991139SERV_GP,American Standard,AMERICAN STANDARD,Other,SERV_GP
TN991469SERV_GP,America'S Collectibles Network,AMERICAS COLLECTIBLES NETWORK,Other,SERV_GP
AMERIMEDMECH_GP,Amerimed,AMERIMED,Medical,MECH_GP
CN992267SERV_GP,Amerimed,AMERIMED,Medical,SERV_GP
IN990372SERV_GP,Ameriplex 2 Llc C/O Jones Lang Lasalle Americas Inc,AMERIPLEX 2,Other,SERV_GP
NV15074SERV_GP,Amfine Chemical Corporation,AMFINE CHEMICAL,Industrial,SERV_GP
LX990479SERV_GP,Amk Services Llc,AMK SERVICES,Other,SERV_GP
LV990473SERV_GP,Ammega Us Inc Dba Midwest Industrial Rubber,AMMEGA US DBA MIDWEST INDUSTRIAL RUBBER,Industrial,SERV_GP
TN991940SERV_GP,Analysis And Measurement Services Corporation,ANALYSIS AND MEASUREMENT SERVICES,Other,SERV_GP
CN992050SERV_GP,Ancra Cargo,ANCRA CARGO,Industrial,SERV_GP
CN992363SERV_GP,Ancra Cargo,ANCRA CARGO,Industrial,SERV_GP
ANDERSONMECH_GP,Anderson County Fiscal Court,ANDERSON COUNTY FISCAL COURT,Municipal,MECH_GP
NV00117SERV_GP,Andrew Kintz,ANDREW KINTZ,Other,SERV_GP
LV990485SERV_GP,Andy Lindsey,ANDY LINDSEY,Other,SERV_GP
LV990500SERV_GP,Ankaa Global Logistics,ANKAA GLOBAL LOGISTICS,Industrial,SERV_GP
TN991722SERV_GP,Ann Schaad,ANN SCHAAD,Other,SERV_GP
DY991157SERV_GP,Annunciation Greek Orthodox Church,ANNUNCIATION GREEK ORTHODOX CHURCH,Religious,SERV_GP
DY991021SERV_GP,Anson Logistics Assets Llc,ANSON LOGISTICS ASSETS,Industrial,SERV_GP
ANSWERSINGENESIMECH_GP,"Answers In Genesis Of Ky, Inc.",ANSWERS IN GENESIS OF KY,Other,MECH_GP
CN991945SERV_GP,Anytime Fitness,ANYTIME FITNESS,Other,SERV_GP
NV00108SERV_GP,A.O. Smith Water Products Company,AO SMITH WATER PRODUCTS,Other,SERV_GP
CN991455SERV_GP,Ap Tech Group,AP TECH GROUP,Other,SERV_GP
CN992036SERV_GP,Aquisense,AQUISENSE,Other,SERV_GP
DY991113SERV_GP,Aramark Gbs,ARAMARK GBS,Other,SERV_GP
ARCMECH_GP,Arc,ARC,Other,MECH_GP
CN992205SERV_GP,Archdiocese Of Cincinnati,ARCHDIOCESE OF CINCINNATI,Religious,SERV_GP
ARCHDIOCESE CINMECH_GP,Archdioceses Of Cincinnati,ARCHDIOCESE OF CINCINNATI,Other,MECH_GP
ARCOMECH_GP,"Arco Design Build Midwest, Inc.",ARCO DESIGN BUILD MIDWEST,Other,MECH_GP
ARCOMURRAYMECH_GP,Arco Murray National Const. Co. Inc.,ARCO MURRAY NATIONAL CONST,Other,MECH_GP
ARGOSY CASINOMECH_GP,Argosy Casino Hotel,ARGOSY CASINO HOTEL,Hospitality,MECH_GP
TN992032SERV_GP,Ark Llc - Brookvale C/O Avison Young,ARK BROOKVALE,Office,SERV_GP
CN992147SERV_GP,Arku,ARKU,Other,SERV_GP
LV990436SERV_GP,Armstrong Relocation Louisville,ARMSTRONG RELOCATION LOUISVILLE,Other,SERV_GP
WV990284SERV_GP,Armstrong Utilities,ARMSTRONG UTILITIES,Other,SERV_GP
LX990505SERV_GP,Arrow Dental,ARROW DENTAL,Medical,SERV_GP
ARROW WINEMECH_GP,Arrow Wine & Spirits,ARROW WINE AND SPIRITS,Other,MECH_GP
CN992207SERV_GP,Arrow Wine And Spirits Mason,ARROW WINE AND SPIRITS MASON,Other,SERV_GP
LV990154SERV_GP,Art Geissler,ART GEISSLER,Other,SERV_GP
TN992081SERV_GP,Artazn Llc,ARTAZN,Other,SERV_GP
ARTISANMECH_GP,Artisan Mechanical,ARTISAN MECHANICAL,Other,MECH_GP
CN992128SERV_GP,Art'S Rental,ARTS RENTAL,Other,SERV_GP
LV990367SERV_GP,Arvato Digital Usa Llc C/O Accounts Payable,ARVATO DIGITAL USA,Other,SERV_GP
TN992172SERV_GP,Ashbusters Chimney Service,ASHBUSTERS CHIMNEY SERVICE,Other,SERV_GP
LX9900113SERV_GP,Ashland Avenue Baptist Church,ASHLAND AVENUE BAPTIST CHURCH,Religious,SERV_GP
WV990307SERV_GP,Ashland Credit Union,ASHLAND CREDIT UNION,Other,SERV_GP
NV15106SERV_GP,Aspen Grove-The Stanton Group,ASPEN GROVETHE STANTON GROUP,Other,SERV_GP
LX950226SERV_GP,Asphalt Institute,ASPHALT INSTITUTE,Other,SERV_GP
ATCHISON HELLERMECH_GP,Atchison Heller Construction Co,ATCHISON HELLER CONSTRUCTION,Industrial,MECH_GP
ATECK CORPMECH_GP,Ateck Corporation,ATECK,Other,MECH_GP
CN992238SERV_GP,Athenaeum Of Ohio/Mt. St. Mary'S Seminary,ATHENAEUM OF OHIOMT ST MARYS SEMINARY,Private Schools,SERV_GP
CN991568SERV_GP,Atkins & Pearce,ATKINS AND PEARCE,Other,SERV_GP
ATKINS STANGMECH_GP,Atkins & Stang,ATKINS AND STANG,Other,MECH_GP
CN991873SERV_GP,Atlas Air Inc,ATLAS AIR,Other,SERV_GP
ATLAS AIRMECH_GP,"Atlas Air, Inc",ATLAS AIR,Other,MECH_GP
TN992207SERV_GP,Atrium Lp C/O Commercial & Investmentproperties,ATRIUM LP,Other,SERV_GP
TN991899SERV_GP,Audi Knoxville,AUDI KNOXVILLE,Other,SERV_GP
CN991226SERV_GP,Auglaize County,AUGLAIZE COUNTY OH,Municipal,SERV_GP
AUGLAIZE COMECH_GP,Auglaize County Commissioners,AUGLAIZE COUNTY OH,Municipal,MECH_GP
TN992189SERV_GP,Aurora Properties Llc C/O Avison Young,AURORA PROPERTIES,Office,SERV_GP
DY990994SERV_GP,Austin Landing North Llc,AUSTIN LANDING NORTH,Other,SERV_GP
DY991020SERV_GP,"Austin Landing North, Llc",AUSTIN LANDING NORTH,Other,SERV_GP
LV990428SERV_GP,Auto Truck Group,AUTO TRUCK GROUP,Industrial,SERV_GP
CN992001SERV_GP,Automotive Steering Column Llc,AUTOMOTIVE STEERING COLUMN,Industrial,SERV_GP
CN991055SERV_GP,Aveda Mid America,AVEDA MID AMERICA,Other,SERV_GP
IN990469SERV_GP,Avi Foodsystems Inc,AVI FOODSYSTEMS,Other,SERV_GP
AVIMECH_GP,"Avi Foodsystems, Inc.",AVI FOODSYSTEMS,Other,MECH_GP
TN992102SERV_GP,Avis Phillips,AVIS PHILLIPS,Other,SERV_GP
TN960672SERV_GP,Avison Young,AVISON YOUNG,Office,SERV_GP
NV00086SERV_GP,Avison Young - Billing,AVISON YOUNG BILLING,Office,SERV_GP
DY991001SERV_GP,The Azek Company,AZEK,Other,SERV_GP
IN990478SERV_GP,Azenta Us Inc,AZENTA US,Other,SERV_GP
CN992016SERV_GP,Azz Galvanizing,AZZ GALVANIZING,Other,SERV_GP
TN991827SERV_GP,B&B Properties,B AND B PROPERTIES,Office,SERV_GP
DY991133SERV_GP,Babylist,BABYLIST,Other,SERV_GP
BAE SYSTEMSMECH_GP,"Bae Systems, Llc",BAE SYSTEMS,Industrial,MECH_GP
CN991599SERV_GP,"Baeolophus Partners, Llc.",BAEOLOPHUS PARTNERS,Office,SERV_GP
DY980007SERV_GP,Baker Construction Enterprises Inc,BAKER CONSTRUCTION ENTERPRISES,Industrial,SERV_GP
CN940029SERV_GP,Baldwin Building,BALDWIN BUILDING,Other,SERV_GP
BALFOUR BEATTYMECH_GP,"Balfour Beatty Construction, Llc",BALFOUR BEATTY CONSTRUCTION,Industrial,MECH_GP
CN991589SERV_GP,Ball Corporation,BALL,Other,SERV_GP
BACMECH_GP,Baltimore Air Coil Company,BALTIMORE AIR COIL,Other,MECH_GP
BAMBECKMECH_GP,Bambeck And Vest,BAMBECK AND VEST,Other,MECH_GP
NV15093SERV_GP,Bar Louie Murfreesboro,BAR LOUIE MURFREESBORO,Other,SERV_GP
NV15099SERV_GP,Bar Louie Nashville,BAR LOUIE NASHVILLE,Other,SERV_GP
TN992143SERV_GP,Barger Concepts Llc,BARGER CONCEPTS,Other,SERV_GP
CN992310SERV_GP,Bark Box Inc,BARK BOX,Other,SERV_GP
CN980097SERV_GP,Batavia Local School District,BATAVIA LOCAL SCHOOL DISTRICT,Public Schools,SERV_GP
NV00132SERV_GP,Batteries Plus 294,BATTERIES PLUS 294,Other,SERV_GP
NV15070SERV_GP,Battle Ground Academy,BATTLE GROUND ACADEMY,Private Schools,SERV_GP
CN992024SERV_GP,Bay Gov Llc Viking Partners Management Inc,BAY GOV VIKING PARTNERS MANAGEMENT,Office,SERV_GP
TN992079SERV_GP,Bc Terminals Llc C/O Commercial & Investment Properties,BC TERMINALS,Office,SERV_GP
LV990153SERV_GP,Bdg Properties,BDG PROPERTIES,Office,SERV_GP
BEACON ELECTMECH_GP,Beacon Electric Company,BEACON ELECTRIC,Other,MECH_GP
BEACONORTHOFACIMECH_GP,"Beacon Orthopaedics Facilities, Llc",BEACON ORTHOPAEDICS FACILITIES,Other,MECH_GP
BEACONMECH_GP,Beacon Orthopedics & Sports Medicine,BEACON ORTHOPEDICS AND SPORTS MEDICINE,Other,MECH_GP
NV15076SERV_GP,Bearded Iris Brewing,BEARDED IRIS BREWING,Other,SERV_GP
TN991798SERV_GP,Bearden Hill Office Partners,BEARDEN HILL OFFICE PARTNERS,Office,SERV_GP
CN992339SERV_GP,Beautiful Savior Lutheran Church And School,BEAUTIFUL SAVIOR LUTHERAN CHURCH AND SCHOOL,Private Schools,SERV_GP
TN960660SERV_GP,Beaver Dam Baptist Church,BEAVER DAM BAPTIST CHURCH,Religious,SERV_GP
WV990184SERV_GP,Beckley Arh Hospital,BECKLEY ARH HOSPITAL,Medical,SERV_GP
LX990112SERV_GP,Bedford Acres Christian Church,BEDFORD ACRES CHRISTIAN CHURCH,Religious,SERV_GP
BELCANMECH_GP,Belcan,BELCAN,Other,MECH_GP
LV990305SERV_GP,Belflex Staffing Network,BELFLEX STAFFING NETWORK,Other,SERV_GP
IN990317SERV_GP,Belkin Inc.,BELKIN,Other,SERV_GP
BELL COUNTYMECH_GP,Bell County Fiscal Court,BELL COUNTY FISCAL COURT,Municipal,MECH_GP
LV990382SERV_GP,Bellarmine University,BELLARMINE UNIVERSITY,College/University,SERV_GP
LV990499SERV_GP,Belterra Resort Indiana,BELTERRA RESORT INDIANA,Hospitality,SERV_GP
BELTERRAMECH_GP,"Belterra Resort Indiana, Llc",BELTERRA RESORT INDIANA,Hospitality,MECH_GP
LX990435SERV_GP,Beltone,BELTONE,Other,SERV_GP
TN992148SERV_GP,Benchmark Physical Therapy,BENCHMARK PHYSICAL THERAPY,Other,SERV_GP
CN992113SERV_GP,The Benison,BENISON,Other,SERV_GP
CN992242SERV_GP,Bernard Laboratories Inc,BERNARD LABORATORIES,Other,SERV_GP
BERTKE ELECTMECH_GP,"Bertke Electric Co., Inc.",BERTKE ELECTRIC,Other,MECH_GP
BEST SANITIZERSMECH_GP,Best Sanitizers Inc.,BEST SANITIZERS,Other,MECH_GP
DY991048SERV_GP,Best-One Tire & Service Of Lima,BESTONE TIRE AND SERVICE OF LIMA,Other,SERV_GP
LV990133SERV_GP,Bethlehem High School,BETHLEHEM HIGH SCHOOL,Private Schools,SERV_GP
CN991515SERV_GP,Bexley City School District,BEXLEY CITY SCHOOL DISTRICT,Public Schools,SERV_GP
IN990497SERV_GP,Bgis Us Llc Re: Regions,BGIS US RE REGIONS,Other,SERV_GP
TN992075SERV_GP,Bgis Us Llc Re: Regions,BGIS US RE REGIONS,Other,SERV_GP
BGRMECH_GP,Bgr,BGR,Other,MECH_GP
CN990123SERV_GP,Bgr Inc,BGR,Other,SERV_GP
LV990510SERV_GP,Bgr Packaging,BGR PACKAGING,Industrial,SERV_GP
IN990514SERV_GP,Bgr Packaging - Indianapolis,BGR PACKAGING INDIANAPOLIS,Industrial,SERV_GP
BHDP ARCHITECTUMECH_GP,Bhdp Architecture,BHDP ARCHITECTURE,Other,MECH_GP
WV990148SERV_GP,Bible Center Church,BIBLE CENTER CHURCH,Religious,SERV_GP
TN991797SERV_GP,Bible Harris Smith Pc,BIBLE HARRIS SMITH PC,Religious,SERV_GP
IN990167SERV_GP,Big Lots Stores Inc,BIG LOTS STORES,Other,SERV_GP
CN992226SERV_GP,Bill & Lisa Hughes,BILL AND LISA HUGHES,Other,SERV_GP
BILL KENNEYMECH_GP,Bill Kenney,BILL KENNEY,Other,MECH_GP
DY991150SERV_GP,Billerud Us Production Holdings Llc,BILLERUD US PRODUCTION HOLDINGS,Industrial,SERV_GP
LV990486SERV_GP,Billy Hays,BILLY HAYS,Other,SERV_GP
WV990306SERV_GP,Binford Electric,BINFORD ELECTRIC,Other,SERV_GP
LX990440SERV_GP,Birtley Industrial Equipment Corporation,BIRTLEY INDUSTRIAL EQUIPMENT,Industrial,SERV_GP
BISCANMECH_GP,Biscan Construction,BISCAN CONSTRUCTION,Industrial,MECH_GP
DY990915SERV_GP,Bishop Fenwick High School,BISHOP FENWICK HIGH SCHOOL,Private Schools,SERV_GP
NV00104SERV_GP,Black Rifle Coffee Company,BLACK RIFLE COFFEE,Other,SERV_GP
TN200410SERV_GP,Blaine Construction Corporation,BLAINE CONSTRUCTION,Industrial,SERV_GP
BLOOMFIELD SCHOMECH_GP,Bloomfield/Schon + Partners,BLOOMFIELDSCHON AND PARTNERS,Office,MECH_GP
TN992095SERV_GP,"Blount Memorial Hospital, Inc",BLOUNT MEMORIAL HOSPITAL,Medical,SERV_GP
COLLIERSINTMECH_GP,Blue Ash Acquistions C/O Collier,BLUE ASH ACQUISTIONS,Other,MECH_GP
CN991548SERV_GP,Blue Buffalo Co,BLUE BUFFALO,Other,SERV_GP
NV15029SERV_GP,Blue Holdings Llc Co Foundry Commerical Llc,BLUE HOLDINGS,Other,SERV_GP
TN991975SERV_GP,"Blue Ridge Realty, Inc C/O Lakeside Centre Realty Partners Llc",BLUE RIDGE REALTY,Office,SERV_GP
TN991871SERV_GP,"Blue Ridge Realty, Inc. C/O Brookvale Ii, Llc.",BLUE RIDGE REALTY,Office,SERV_GP
TN991863SERV_GP,"Blue Ridge Realty, Inc. C/O Brookview Promenade, Llc",BLUE RIDGE REALTY,Office,SERV_GP
TN991860SERV_GP,"Blue Ridge Realty, Inc. C/O Cross Park Plaza Association, Inc",BLUE RIDGE REALTY,Office,SERV_GP
TN991861SERV_GP,"Blue Ridge Realty, Inc. C/O Pellissippi South, Llc",BLUE RIDGE REALTY,Office,SERV_GP
TN991862SERV_GP,"Blue Ridge Realty, Inc. C/O Two Lakeside Realty, Llc",BLUE RIDGE REALTY,Office,SERV_GP
IN990479SERV_GP,Blue River Career Programs,BLUE RIVER CAREER PROGRAMS,Other,SERV_GP
BLUE STARMECH_GP,Blue Star,BLUE STAR,Other,MECH_GP
LX990179SERV_GP,Blue Star Plastics,BLUE STAR PLASTICS,Other,SERV_GP
IN990374SERV_GP,Bluegrace Logistics,BLUEGRACE LOGISTICS,Industrial,SERV_GP
LX990500SERV_GP,Bluegrass Community Hospital C/O Lifepoint,BLUEGRASS COMMUNITY HOSPITAL,Medical,SERV_GP
IN990429SERV_GP,Bluepeppermint Boutique,BLUEPEPPERMINT BOUTIQUE,Other,SERV_GP
TN992066SERV_GP,Bob Adams Residence,BOB ADAMS RESIDENCE,Other,SERV_GP
LV990337SERV_GP,Bob Sokoler,BOB SOKOLER,Other,SERV_GP
CN991852SERV_GP,Bob Sumerel Tire Company,BOB SUMEREL TIRE,Other,SERV_GP
