key,value
EEM,Energy Efficient Motor
EER,Energy Efficiency Ratio
EEV,Electronic Expansion Valve
EFF,Efficiency
EFS,Evaporator Freeze Sensor
EHS,Eco Heating Systems
EHY,Enthalpy
ELEC,Electric
ELECM,ElectroMechanical
ELECT,Electronic
ELV,Elevation
EM,Energy Management
EMM,Energy Management Module
EMS,Energy Management System
ENCLS,Enclosures
ENSD,Enclosed
EPC,Epoxy Coated
EQT,Extra Quiet
EQUD,Equipped
EQUIP,Equipment
ERV,Energy Recovery Ventilator
ESP,External Static Pressure
EVAP,Evaporator
EVI,Economized Vapor Injection
EWT,Entering Water Temperature
EXH,Exhaust
EXP,Export
EXPN,Expansion
EXT,External
EXTD,Extended
FA,Fresh Air
FAC,Factory
FAD,Fresh Air Damper
FAH,Degrees Fahrenheit
FAIL,Failure
FAM,Family
FC1,Fan Class I
FC2,Fan Class II
FCAS,Full Cased
FCC,Fan Cycle Control
FCF,Forward Curve Fan
FCU,Fan Coil Unit
FDCN,Fused Disconnect
FDD,Fault Detection and Diagnostics
FES,Full End Screen
FFD,Full Faced
FFM,Final Filter Measuring
FFW,Full-Flow
FG,Fiberglass
FI,Factory Installed
FJM,Free Joint Multi
FLD,Field
FLOD,Flooded
FLR,Floor
FLT,Filter
FLTR,Filtration
FMJ,Full Metal Jacket
FMU,Floor Mounted Unit
FNT,Fin and Tube
FPI,Fins per Inch
FPT,Female Pipe Taper
FS,Face-Split
FPS,Flow proving Switch
FSD,Field Supplied
FSS,Filter Status Switch
FT,Feet
FURN,Furnace
GALV,Galvanized
GBAS,Generic BAS Module
GEO,Geothermal
GF,Gas-Fired
GFI,Ground Fault Circuit Interrupter
GH,Gas Heat
GOV,Government
GPM,Gallons per minute
GRD,Guard
GRL,Grilles
GRS,GreenSource
GSPD,GreenSpeed
GW,Gigawatt
HACRB,Heating Air Conditioning Refrigeration breaker
h.p,Horsepower
H2O,Water
HB,High-Boy
HBP,High Back Pressure
HC,Honeywell Controller
HCAS,Half Cased
HDL,Handle
HDS,Hard Start
HERM,Hermetic
HFW,HI-Flow
HG,Hot Gas
HGBP,Hot Gas Bypass
HGD,Hail Guard
HGR,Hot Gas Reheat
HGT,Height
HH2O,Hot Water
HHD,High Head
HI,High
HMBP,High Medium Back Pressure
HNG,Hinged
HORZ,Horizontal
HP,Heat Pump
HPC,Head Pressure Control
HSCCR,High Short Circuit Current Rating
HSPF,Heating Seasonal Performance Factor
HST,High Starting Torque
HT,Heat
HTG,Heating
HTR,Heater
HUM,Humidity
HUMF,Humidifier
HUMZ,Humidi-MiZer
HWG,Hot Water Generator
HWL,Honeywell
HWR,Hot Water Reheat
HWTS,High Leaving Water Temperature Switch
HX,Heat Exchanger
HYD,Hydronic
HYDC,Hydronic Coil
HYDR,Hydraulic
HZ,Hertz
IA,Intake Air
IAQ,Indoor Air Quality
IC,Induced
ICS,Industrial Cooling System
ID,Identifier
IDU,Indoor Unit
IF,Indirect Fired
IFM,Indoor Fan Motor
IFW,Indoor Fan Wheel
IGN,Ignition
IGV,Inlet Guide Vanes
IN,Inches
IND,Indicator
INDP,Independent
INDR,Indoor
INF,Infinity
INFC,Interface
INLK,Interlocking
INS,Installed
INSUL,Insulation
INT,Internal
INTEL,Intelligence
INTR,Interrupt
INV,Inverter
IP,Intermittent Pilot
IPLV,Intergrated Part Load Value
ISO,Isolators
ISPD,IntelliSpeed
ISTT,IntelliStart
JB,Junction Box
JC,Johnson Controls Controller
JCI,Johnson Controls International
JCH,Johnson Controls Hitachi
KW,Kilo Watts
LAC,Low Ambient Control
LB,Low-Boy
LBP,Low Back Pressure
LCD,Locking Control Door
LCI,LonTalk Communication Interface
LEATPD,Low Entering Air Temperature Protect Device
LEN,Length
LF,Line Fuse
LFW,Low-Flow
LG,Louvered Grille
LH,Left Hand
LHD,Low Head
LHL,Louvered Hail
LIQ,Liquid
LL,Low Leak
LLN,Liquid Line
LMBP,Low Medium Back Pressure
LNOX,Low Nitrous Oxide
LOC,Location
LON,Local Operating Network
LOTO,Lockouts
LP,Liquid Propane
LRG,Large
LST,Low Starting Torque
LVR,Louver
LVTP,Low Voltage Terminal Package
MA,Mixed Air
MAGHC,Magnehelic
MAGST,Magnetic Starter
MANDP,Manual Damper
MANF,Manifold
MB,Modular Blower
MBH,Thousand British Thermal Unit per Hour
MBP,Medium Back Pressure
MBV,Motorized Ball Valve
MC,Microchannel
MDL,Model
MDV,Manual Discharge Valves
MECH,Mechanical
MED,Medium
MFR,Manufacturer
MH,Mobile Home
MINI,Minimum
MIT,Mitsubishi
MK,Mobility Kit
MLC,Minimum Load Control
MM,Millimeter
MOD,Module
MODU,Modulating
MOIL,Mineral Oil
MONT,Monitoring
MP,Multi-Position
MPC,Microprocessor
MPT,Male Pipe Thread
MTB,Medium Temperature Brine
MTD,Mounted
MTR,Motor
MTZ,Motorized
MTZD,Motorized Damper
MUDP,Manual Outdoor Air Damper
MULT,Multiple
MUM,Measurement
N/O,Normally Open
N2,Nitrogen
NA,Not Available / None
NAM,North America Market
NAV,Navigator
NC,Normally Closed
NDT,Natural Draft
NFD,Non-Fused Disconnect
NG,Natural Gas
NOX,Nitrous Oxide
NTH,North
NVC,Novar Controller
OA,Outside Air
OAMS,Outside Air Measuring Station
OATS,Outside Air Temperature Sensor
OD,Outside Diameter
ODP,Open Drip Proof
ODR,Outdoor
ODT,Outdoor Thermostat
ODU,Outdoor Unit
OFN,Oil Furnace
OLB,Oil Burner
OP,Operator
OPR,Operation
OPT,Options
OPTZ,Optimization
ORF,Orifice
OTC,Over The Counter
OVF,Overflow
OVS,Oversized
PDT,Product
PAC,Precision Air Conditioning
PCG,Packaging
PE,Power Exhaust
PERF,Performance
PFI,Plugged Filter Indicator
PFM,Power Exhaust Fan Motor
PH,phase
PHEN,Phenolic
PHM,Phase Monitor
PHT,Preheat
PIT,Pilot
PKG,Package
PL,Plastic
PLC,Programmable logic controller
PLM,Plenum
PLT,Pleated
PNL,Panel
POLY,Polymer
POS,Position
PP,Pump
PPG,Piping
PR,Pressure
PRI,Primary
PRM,Premium
PRO,Professional
PROC,Protocol
PROG,Programmable
PROP,Propeller
PROT,Protection
PSC,Permanent Split Capacitor
PSI,Pounds Per Square Inch
PT,Point
PTAC,Packaged Terminal Air Conditioner
PTC,Postive Temperature Co-efficient
PTCR,Positive Temperature Coefficient Resistor
PTD,Painted
PTHP,Packaged Terminal Heat Pump
PWR,Power
PZR,Piezo Ring
QC,Quick Connect
RA,Return Air
R1,R-22
R2,R-410A
R3,R-407C
R4,R-134A
R5,R-32
R6,R-454B
R7,R-404A
R8,R-507A
R9,R-407A
RAC,Room Air Conditioning
RAT,Return Air Temperature
RB,Riello Burner
RCC,Refrigerant Capacity Control
RCVY,Recovery
RDS,Refrigerant Leak Detection System
REC,Receiver
RECIP,Reciprocating
REF,Refrigerant
REFC,Reference
REG,Regulator
REL,Retail
REPL,Replacement
RES,Residential
RESIS,Resistance
REV,Reverse
RFW,Round-Flow
RH,Right Hand
RHC,Remote Humidifier Contact
RHI,Remote Humand Interface
RHT,Reheat
RK,Rack
RLF,Relief
RLY,Relay
RMT,Remote
RNG,Range
RQRS,Requires
RSIR,Resistance Start Induction Run
RST,Restraint
RT,Return
RTPF,Round Tube Plate Fin Coil
RTU,Rooftop Unit
RV,Relief Valve
RW,Read Write
SA,Supply Air
SAF,Supply Air Fan
SAV,Staged Air Volume
SCCR,Short Circuit Current Rating
SCL,Scroll
SCLMQ,Scrolling Marquee
SCR,Silicon Controlled Rectifier
SEC,Security
SECT,Sections
SEER,Seasonal Energy Efficiency Ratio
SEN,Sensor
SEP,Separator
SEPD,Separated
SER,Series
SERP,Serpentine
SERV,Service
SGL,Single
SGR,Shaft Grounding Ring
SGS,Sight Glass
SHPG,Shipping
SHPS,Ship Separate
SHT,Shell and Tube
SHW,Shrink Wrap
SIG,Signature
SLD,Solenoid
SLI,Suction Line Insulation
SLLFD,Sealed LLN Filter Drier
SMK,Smoke
SMKD,Smoke Detector
SML,Small
SND,Sound
SP,Static Pressure
SPD,Speed
SPG,Spring
SPL,Special
SPP,Single Point Power
SPT,Standing Pilot
SRT,Start
SRTR,Starter
SS,Stainless Steel
SSV,Suction Service Valve
ST,Static
STA,Stand-Alone
STD,Standard
STG,Stage
STH,South
STM,Steam
STN,Station
STNG,Standing
STR,Straight
STT,Start Torque
SUC,Suction
SUP,Supply
SUSP,Suspended
SW,Switch
SWR,Stripped Wire
SWT,Sweat
SYS,System
TAP,Toolless Access Panels
TC,Tin Coated
TCC,Technicoat Condenser Coil
TCI,Trane Communication Interface Module
TD,Time Delay
TEAO,Totally Enclosed Air Over
TEC,Technicoat Evaporator Coil
TEFC,"Totally Enclosed, Fan-Cooled"
TEMP,Temperature
TERM,Terminal
THK,Thickness
THRM,Thermal
THWY,Throwaway
TKL,Tankless
TNP,Tin Plated
TRL,Translator
TRSN,Transition
TSTAT,Thermostat
TTBC,Thru-The-Base Connections
TTW,Through The Wall
TUBR,Tubular
TXV,Thermal Expansion Valve
UCAS,Un-Cased
UF,Up Flow
UL,Underwriters Laboratories
ULNX,Ultra Low Nitrous Oxide
UNIV,Universal
UPTD,Unpainted
USA,United States
UV,Ultraviolet
V,Volts
V1,120-1-60
V2,208/230-1-60
V3,208/230-3-60
V4,460-3-60
V5,575-3-60
V6,208-1-60
V7,208-3-60
V8,230-1-60
V9,230-3-60
V10,277-1-60
V11,380-3-50
V12,380-3-60
V13,460-1-60
V14,460-3-50
V15,265-1-60
V16,265-3-60
V17,200-3-60
V18,400-3-60
V19,110-1-50
V20,220-1-50
V21,208/230-1-50
V22,380/415-3-50
V23,265-1-50
VAL,Valve
VAR,Variable
VARN,Variations
VAV,Variable Air Volume
VDC,Volts of Direct Current
VENT,Ventilation
VENTR,Ventilator
VERT,Vertical
VFD,Variable Frequency Drive
VFDB,Variable Frequency Drive Bypass
VOL,Volume
VOM,Ventilation Override Module
VRF,Variable Refrigerant Flow
VRV,Variable Refrigerant Volume
VSD,Variable Speed Compressor
VSEC,Variable Speed Electronically Commutated Motor
VYC,Vinyl Coated
W,With
WALM,Wall Mount
WASH,Washable
WC,Water-Cooled
WD,Width
WG,Wire Grille
WHL,Wheel
WO,With Out
WRL,Wireless
WSHP,Water-Source Heat Pump
XDCR,Transducer
XD,Extreme Duty
XFMR,Transformer
XLTH,Extra Low Temperature Heating
