SnapshotId,RecordId,RecordOrdinal,BrandRaw,BrandNormalized,Category,CategoryEquipmentTypes,Length,SegCountDeclared,SegmentCountObserved,OptionCountObserved,ExtraFieldsJson
2026-01-24_v3.84_enriched1,r00022,22,ADP,ADP,Coil,[],7,5,5,2,{}
2026-01-24_v3.84_enriched1,r00023,23,ADP,ADP,Coil,[],7,5,5,4,{}
2026-01-24_v3.84_enriched1,r00024,24,ADP,ADP,Coil,[],8,5,5,2,{}
2026-01-24_v3.84_enriched1,r00025,25,ADP,ADP,Coil,[],10,8,8,2,{}
2026-01-24_v3.84_enriched1,r00026,26,ADP,ADP,Coil,[],11,7,7,15,{}
2026-01-24_v3.84_enriched1,r00027,27,ADP,ADP,Coil,[],14,9,9,4,{}
2026-01-24_v3.84_enriched1,r00028,28,ADP,ADP,Coil,[],18,12,12,42,{}
2026-01-24_v3.84_enriched1,r00029,29,Allstyle,ALLSTYLE,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",11,9,9,2,{}
2026-01-24_v3.84_enriched1,r00030,30,Allstyle,ALLSTYLE,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",12,8,8,5,{}
2026-01-24_v3.84_enriched1,r00031,31,Marvair,MARVAIR,Package,"[""Packaged Unit""]",13,8,8,20,{}
2026-01-24_v3.84_enriched1,r00032,32,Marvair,MARVAIR,Package,"[""Packaged Unit""]",17,10,10,24,{}
2026-01-24_v3.84_enriched1,r00033,33,Marvair,MARVAIR,Package,"[""Packaged Unit""]",22,13,13,41,{}
2026-01-24_v3.84_enriched1,r00034,34,Marvair,MARVAIR,Package,"[""Packaged Unit""]",30,25,25,177,{}
2026-01-24_v3.84_enriched1,r00035,35,ARRCO,ARRCO,Compressor,[],10,8,8,13,{}
2026-01-24_v3.84_enriched1,r00036,36,Aspen,ASPEN,Air Handler,"[""Air Handling Unit""]",9,6,6,16,{}
2026-01-24_v3.84_enriched1,r00037,37,Aspen,ASPEN,Coil,[],14,8,8,16,{}
2026-01-24_v3.84_enriched1,r00038,38,Aspen,ASPEN,Coil,[],15,8,8,9,{}
2026-01-24_v3.84_enriched1,r00039,39,AUX,AUX,Mini-Split,"[""Ductless Split System""]",14,11,11,22,{}
2026-01-24_v3.84_enriched1,r00040,40,BAC,BAC,Cooling Tower,"[""Cooling Tower""]",10,5,5,11,{}
2026-01-24_v3.84_enriched1,r00041,41,BAC,BAC,Cooling Tower,"[""Cooling Tower""]",12,6,6,12,{}
2026-01-24_v3.84_enriched1,r00042,42,Grandaire,GRANDAIRE,Air Handler,"[""Air Handling Unit""]",9,7,7,3,{}
2026-01-24_v3.84_enriched1,r00043,43,Grandaire,GRANDAIRE,Air Handler,"[""Air Handling Unit""]",9,8,8,6,{}
2026-01-24_v3.84_enriched1,r00044,44,Grandaire,GRANDAIRE,Air Handler,"[""Air Handling Unit""]",10,8,8,3,{}
2026-01-24_v3.84_enriched1,r00045,45,Grandaire,GRANDAIRE,Furnace,"[""Furnace""]",13,8,8,12,{}
2026-01-24_v3.84_enriched1,r00046,46,Grandaire,GRANDAIRE,Package,"[""Packaged Unit""]",14,10,10,2,{}
2026-01-24_v3.84_enriched1,r00047,47,Grandaire,GRANDAIRE,Package,"[""Packaged Unit""]",14,9,9,2,{}
2026-01-24_v3.84_enriched1,r00048,48,Grandaire,GRANDAIRE,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",11,9,9,4,{}
2026-01-24_v3.84_enriched1,r00049,49,Bard,BARD,Package,"[""Packaged Unit""]",14,12,12,36,{}
2026-01-24_v3.84_enriched1,r00050,50,Bard,BARD,Package,"[""Packaged Unit""]",15,12,12,53,{}
2026-01-24_v3.84_enriched1,r00051,51,Bard,BARD,Package,"[""Packaged Unit""]",15,13,13,47,{}
2026-01-24_v3.84_enriched1,r00052,52,Bard,BARD,Package,"[""Packaged Unit""]",15,13,13,53,{}
2026-01-24_v3.84_enriched1,r00053,53,BellandGossett,BELLANDGOSSETT,Package,"[""Packaged Unit""]",20,13,13,34,{}
2026-01-24_v3.84_enriched1,r00054,54,BellandGossett,BELLANDGOSSETT,Package,"[""Packaged Unit""]",21,13,13,36,{}
2026-01-24_v3.84_enriched1,r00055,55,Bohn,BOHN,Refrigeration Unit Coolers,[],11,8,8,11,{}
2026-01-24_v3.84_enriched1,r00056,56,Bohn,BOHN,Refrigeration Unit Coolers,[],12,9,9,59,{}
2026-01-24_v3.84_enriched1,r00057,57,Bohn,BOHN,Refrigeration Unit Coolers,[],18,11,11,39,{}
2026-01-24_v3.84_enriched1,r00058,58,Bosch,BOSCH,Air Handler,"[""Air Handling Unit""]",11,8,8,6,{}
2026-01-24_v3.84_enriched1,r00059,59,Bosch,BOSCH,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",13,9,9,4,{}
2026-01-24_v3.84_enriched1,r00060,60,Bosch,BOSCH,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",16,12,12,7,{}
2026-01-24_v3.84_enriched1,r00061,61,Bosch,BOSCH,Furnace,"[""Furnace""]",12,9,9,2,{}
2026-01-24_v3.84_enriched1,r00062,62,Bosch,BOSCH,Mini-Split,"[""Ductless Split System""]",20,12,12,19,{}
2026-01-24_v3.84_enriched1,r00063,63,Bosch,BOSCH,Multi,[],15,13,13,21,{}
2026-01-24_v3.84_enriched1,r00064,64,Bosch,BOSCH,Package,"[""Packaged Unit""]",11,7,7,13,{}
2026-01-24_v3.84_enriched1,r00065,65,Bosch,BOSCH,Package Rooftop Unit,"[""Packaged Unit""]",14,10,10,7,{}
2026-01-24_v3.84_enriched1,r00066,66,Bosch,BOSCH,Package Rooftop Unit,"[""Packaged Unit""]",17,13,13,7,{}
2026-01-24_v3.84_enriched1,r00067,67,Bosch/FHP,BOSCH/FHP,Water Source HP,"[""WSHP""]",10,6,6,12,{}
2026-01-24_v3.84_enriched1,r00068,68,Bosch,BOSCH,Water Source HP,"[""WSHP""]",18,14,14,85,{}
2026-01-24_v3.84_enriched1,r00069,69,Bosch,BOSCH,Water Source HP,"[""WSHP""]",37,36,36,107,{}
2026-01-24_v3.84_enriched1,r00070,70,Bristol,BRISTOL,Compressor,[],11,10,10,79,{}
2026-01-24_v3.84_enriched1,r00071,71,Crown,CROWN,Boiler,"[""Boiler""]",14,10,10,17,{}
2026-01-24_v3.84_enriched1,r00072,72,Crown,CROWN,Boiler,"[""Boiler""]",14,10,10,19,{}
2026-01-24_v3.84_enriched1,r00073,73,California Heat Pump,CALIFORNIA HEAT PUMP,Multi,[],14,6,10,29,{}
2026-01-24_v3.84_enriched1,r00074,74,Carrier,CARRIER/ICP,Air Handler,"[""Air Handling Unit""]",10,5,5,19,{}
2026-01-24_v3.84_enriched1,r00075,75,Carrier,CARRIER/ICP,Air Handler,"[""Air Handling Unit""]",10,7,7,2,{}
2026-01-24_v3.84_enriched1,r00076,76,Carrier,CARRIER/ICP,Air Handler,"[""Air Handling Unit""]",12,7,7,14,{}
2026-01-24_v3.84_enriched1,r00077,77,Carrier,CARRIER/ICP,Air Handler,"[""Air Handling Unit""]",12,9,9,9,{}
2026-01-24_v3.84_enriched1,r00078,78,Carrier,CARRIER/ICP,Air Handler,"[""Air Handling Unit""]",12,9,9,9,{}
2026-01-24_v3.84_enriched1,r00079,79,Carrier,CARRIER/ICP,Air Handler,"[""Air Handling Unit""]",12,10,10,8,{}
2026-01-24_v3.84_enriched1,r00080,80,Carrier,CARRIER/ICP,Air Handler,"[""Air Handling Unit""]",16,9,9,17,{}
2026-01-24_v3.84_enriched1,r00081,81,Carrier,CARRIER/ICP,Air Handler,"[""Air Handling Unit""]",18,12,12,13,{}
2026-01-24_v3.84_enriched1,r00082,82,Carrier,CARRIER/ICP,Air Handler,"[""Air Handling Unit""]",18,10,10,21,{}
2026-01-24_v3.84_enriched1,r00083,83,Carrier,CARRIER/ICP,Air Handler,"[""Air Handling Unit""]",18,14,14,7,{}
2026-01-24_v3.84_enriched1,r00084,84,Carrier,CARRIER/ICP,Boiler,"[""Boiler""]",16,11,11,15,{}
2026-01-24_v3.84_enriched1,r00085,85,Carrier,CARRIER/ICP,Chiller,"[""Chiller""]",13,8,7,8,{}
2026-01-24_v3.84_enriched1,r00086,86,Carrier,CARRIER/ICP,Chiller,"[""Chiller""]",13,8,8,18,{}
2026-01-24_v3.84_enriched1,r00087,87,Carrier,CARRIER/ICP,Chiller,"[""Chiller""]",16,9,9,26,{}
2026-01-24_v3.84_enriched1,r00088,88,Carrier,CARRIER/ICP,Chiller,"[""Chiller""]",16,10,10,16,{}
2026-01-24_v3.84_enriched1,r00089,89,Carrier,CARRIER/ICP,Chiller,"[""Chiller""]",16,10,10,22,{}
2026-01-24_v3.84_enriched1,r00090,90,Carrier,CARRIER/ICP,Chiller,"[""Chiller""]",16,10,10,29,{}
2026-01-24_v3.84_enriched1,r00091,91,Carrier,CARRIER/ICP,Chiller,"[""Chiller""]",16,11,11,42,{}
2026-01-24_v3.84_enriched1,r00092,92,Carrier,CARRIER/ICP,Chiller,"[""Chiller""]",16,11,11,184,{}
2026-01-24_v3.84_enriched1,r00093,93,Carrier,CARRIER/ICP,Chiller,"[""Chiller""]",17,12,12,108,{}
2026-01-24_v3.84_enriched1,r00094,94,Carrier,CARRIER/ICP,Coil,[],9,7,7,9,{}
2026-01-24_v3.84_enriched1,r00095,95,Carrier,CARRIER/ICP,Coil,[],10,3,3,1,{}
2026-01-24_v3.84_enriched1,r00096,96,Carrier,CARRIER/ICP,Coil,[],12,8,8,14,{}
2026-01-24_v3.84_enriched1,r00097,97,Carrier,CARRIER/ICP,Coil,[],12,10,10,8,{}
2026-01-24_v3.84_enriched1,r00098,98,Carrier,CARRIER/ICP,Coil,[],12,10,10,9,{}
2026-01-24_v3.84_enriched1,r00099,99,Carrier,CARRIER/ICP,Coil,[],14,10,10,14,{}
2026-01-24_v3.84_enriched1,r00100,100,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",10,7,7,7,{}
2026-01-24_v3.84_enriched1,r00101,101,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",10,7,7,14,{}
2026-01-24_v3.84_enriched1,r00102,102,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",10,8,8,8,{}
2026-01-24_v3.84_enriched1,r00103,103,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",11,5,5,17,{}
2026-01-24_v3.84_enriched1,r00104,104,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",11,5,5,8,{}
2026-01-24_v3.84_enriched1,r00105,105,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",11,5,5,5,{}
2026-01-24_v3.84_enriched1,r00106,106,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",11,10,10,2,{}
2026-01-24_v3.84_enriched1,r00107,107,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",12,7,7,14,{}
2026-01-24_v3.84_enriched1,r00108,108,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",12,9,9,8,{}
2026-01-24_v3.84_enriched1,r00109,109,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",12,10,10,10,{}
2026-01-24_v3.84_enriched1,r00110,110,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",12,11,11,3,{}
2026-01-24_v3.84_enriched1,r00111,111,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",13,8,8,3,{}
2026-01-24_v3.84_enriched1,r00112,112,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",13,8,9,11,{}
2026-01-24_v3.84_enriched1,r00113,113,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",13,10,10,11,{}
2026-01-24_v3.84_enriched1,r00114,114,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",13,11,11,12,{}
2026-01-24_v3.84_enriched1,r00115,115,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",14,7,7,9,{}
2026-01-24_v3.84_enriched1,r00116,116,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",14,7,7,2,{}
2026-01-24_v3.84_enriched1,r00117,117,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",14,8,8,0,{}
2026-01-24_v3.84_enriched1,r00118,118,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",14,9,9,11,{}
2026-01-24_v3.84_enriched1,r00119,119,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",14,11,11,8,{}
2026-01-24_v3.84_enriched1,r00120,120,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",15,9,8,12,{}
2026-01-24_v3.84_enriched1,r00121,121,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",15,9,9,13,{}
2026-01-24_v3.84_enriched1,r00122,122,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",15,9,8,11,{}
2026-01-24_v3.84_enriched1,r00123,123,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",15,11,11,20,{}
2026-01-24_v3.84_enriched1,r00124,124,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",16,7,8,12,{}
2026-01-24_v3.84_enriched1,r00125,125,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",16,7,7,10,{}
2026-01-24_v3.84_enriched1,r00126,126,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",16,9,9,22,{}
2026-01-24_v3.84_enriched1,r00127,127,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",16,11,11,36,{}
2026-01-24_v3.84_enriched1,r00128,128,Carrier,CARRIER/ICP,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",18,14,14,33,{}
2026-01-24_v3.84_enriched1,r00129,129,Carrier,CARRIER/ICP,Condensing Furnace,[],13,5,5,6,{}
2026-01-24_v3.84_enriched1,r00130,130,Carrier,CARRIER/ICP,Furnace,"[""Furnace""]",8,4,4,3,{}
2026-01-24_v3.84_enriched1,r00131,131,Carrier,CARRIER/ICP,Furnace,"[""Furnace""]",11,5,4,17,{}
2026-01-24_v3.84_enriched1,r00132,132,Carrier,CARRIER/ICP,Furnace,"[""Furnace""]",12,6,6,14,{}
2026-01-24_v3.84_enriched1,r00133,133,Carrier,CARRIER/ICP,Furnace,"[""Furnace""]",12,8,8,3,{}
2026-01-24_v3.84_enriched1,r00134,134,Carrier,CARRIER/ICP,Furnace,"[""Furnace""]",13,4,4,29,{}
2026-01-24_v3.84_enriched1,r00135,135,Carrier,CARRIER/ICP,Furnace,"[""Furnace""]",13,5,5,8,{}
2026-01-24_v3.84_enriched1,r00136,136,Carrier,CARRIER/ICP,Furnace,"[""Furnace""]",14,7,7,12,{}
2026-01-24_v3.84_enriched1,r00137,137,Carrier,CARRIER/ICP,Furnace,"[""Furnace""]",16,11,11,19,{}
2026-01-24_v3.84_enriched1,r00138,138,Carrier,CARRIER/ICP,Mini-Split,"[""Ductless Split System""]",9,3,3,3,{}
2026-01-24_v3.84_enriched1,r00139,139,Carrier,CARRIER/ICP,Mini-Split,"[""Ductless Split System""]",11,5,7,9,{}
2026-01-24_v3.84_enriched1,r00140,140,Carrier,CARRIER/ICP,Mini-Split,"[""Ductless Split System""]",9,5,5,5,{}
2026-01-24_v3.84_enriched1,r00141,141,Carrier,CARRIER/ICP,Mini-Split,"[""Ductless Split System""]",9,5,5,11,{}
2026-01-24_v3.84_enriched1,r00142,142,Carrier,CARRIER/ICP,Mini-Split,"[""Ductless Split System""]",11,5,5,6,{}
2026-01-24_v3.84_enriched1,r00143,143,Carrier,CARRIER/ICP,Mini-Split,"[""Ductless Split System""]",12,8,8,4,{}
2026-01-24_v3.84_enriched1,r00144,144,Carrier,CARRIER/ICP,Mini-Split,"[""Ductless Split System""]",12,8,8,16,{}
2026-01-24_v3.84_enriched1,r00145,145,Carrier,CARRIER/ICP,Mini-Split,"[""Ductless Split System""]",12,9,9,29,{}
2026-01-24_v3.84_enriched1,r00146,146,Carrier,CARRIER/ICP,Mini-Split,"[""Ductless Split System""]",12,9,9,13,{}
2026-01-24_v3.84_enriched1,r00147,147,Carrier,CARRIER/ICP,Mini-Split,"[""Ductless Split System""]",12,10,10,10,{}
2026-01-24_v3.84_enriched1,r00148,148,Carrier,CARRIER/ICP,Mini-Split,"[""Ductless Split System""]",16,11,11,14,{}
2026-01-24_v3.84_enriched1,r00149,149,Carrier,CARRIER/ICP,Oil Furnace,[],13,4,4,4,{}
2026-01-24_v3.84_enriched1,r00150,150,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",10,4,4,28,{}
2026-01-24_v3.84_enriched1,r00151,151,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",10,4,4,4,{}
2026-01-24_v3.84_enriched1,r00152,152,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",10,5,5,1,{}
2026-01-24_v3.84_enriched1,r00153,153,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",11,6,6,5,{}
2026-01-24_v3.84_enriched1,r00154,154,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",11,7,7,18,{}
2026-01-24_v3.84_enriched1,r00155,155,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",11,7,6,14,{}
2026-01-24_v3.84_enriched1,r00156,156,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",11,8,8,6,{}
2026-01-24_v3.84_enriched1,r00157,157,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",12,5,5,22,{}
2026-01-24_v3.84_enriched1,r00158,158,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",13,5,5,2,{}
2026-01-24_v3.84_enriched1,r00159,159,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",13,7,7,4,{}
2026-01-24_v3.84_enriched1,r00160,160,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",14,6,6,12,{}
2026-01-24_v3.84_enriched1,r00161,161,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",14,10,10,69,{}
2026-01-24_v3.84_enriched1,r00162,162,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",14,10,10,45,{}
2026-01-24_v3.84_enriched1,r00163,163,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",15,6,6,14,{}
2026-01-24_v3.84_enriched1,r00164,164,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",15,8,8,5,{}
2026-01-24_v3.84_enriched1,r00165,165,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",15,8,8,30,{}
2026-01-24_v3.84_enriched1,r00166,166,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",16,7,7,21,{}
2026-01-24_v3.84_enriched1,r00167,167,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",16,10,10,20,{}
2026-01-24_v3.84_enriched1,r00168,168,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",16,11,11,37,{}
2026-01-24_v3.84_enriched1,r00169,169,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",16,11,11,57,{}
2026-01-24_v3.84_enriched1,r00170,170,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",17,12,12,40,{}
2026-01-24_v3.84_enriched1,r00171,171,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",18,15,15,172,{}
2026-01-24_v3.84_enriched1,r00172,172,Carrier,CARRIER/ICP,Package Rooftop Unit,"[""Packaged Unit""]",8,6,6,42,{}
2026-01-24_v3.84_enriched1,r00173,173,Carrier,CARRIER/ICP,Package Rooftop Unit,"[""Packaged Unit""]",8,6,6,47,{}
2026-01-24_v3.84_enriched1,r00174,174,Carrier,CARRIER/ICP,Package Rooftop Unit,"[""Packaged Unit""]",10,6,6,33,{}
2026-01-24_v3.84_enriched1,r00175,175,Carrier,CARRIER/ICP,Package Rooftop Unit,"[""Packaged Unit""]",10,6,6,32,{}
2026-01-24_v3.84_enriched1,r00176,176,Carrier,CARRIER/ICP,Package Rooftop Unit,"[""Packaged Unit""]",13,9,9,24,{}
2026-01-24_v3.84_enriched1,r00177,177,Carrier,CARRIER/ICP,Package Rooftop Unit,"[""Packaged Unit""]",13,9,9,90,{}
2026-01-24_v3.84_enriched1,r00178,178,Carrier,CARRIER/ICP,Package,"[""Packaged Unit""]",14,8,8,3,{}
2026-01-24_v3.84_enriched1,r00179,179,Carrier,CARRIER/ICP,Package Rooftop Unit,"[""Packaged Unit""]",14,9,9,12,{}
2026-01-24_v3.84_enriched1,r00180,180,Carrier,CARRIER/ICP,Package Rooftop Unit,"[""Packaged Unit""]",14,10,10,110,{}
2026-01-24_v3.84_enriched1,r00181,181,Carrier,CARRIER/ICP,Package Rooftop Unit,"[""Packaged Unit""]",15,10,10,62,{}
2026-01-24_v3.84_enriched1,r00182,182,Carrier,CARRIER/ICP,Package Rooftop Unit,"[""Packaged Unit""]",16,10,10,135,{}
2026-01-24_v3.84_enriched1,r00183,183,Carrier,CARRIER/ICP,Package Rooftop Unit,"[""Packaged Unit""]",18,15,15,132,{}
2026-01-24_v3.84_enriched1,r00184,184,Carrier,CARRIER/ICP,Package Rooftop Unit,"[""Packaged Unit""]",18,15,15,143,{}
2026-01-24_v3.84_enriched1,r00185,185,Carrier,CARRIER/ICP,Package Rooftop Unit,"[""Packaged Unit""]",18,16,16,114,{}
2026-01-24_v3.84_enriched1,r00186,186,Bryant,CARRIER/ICP,PTAC,"[""PTAC""]",13,9,9,14,{}
2026-01-24_v3.84_enriched1,r00187,187,Carrier,CARRIER/ICP,VRF,"[""VRF - Condensing Unit"", ""VRF - Terminal Unit""]",12,8,8,16,{}
2026-01-24_v3.84_enriched1,r00188,188,Carrier,CARRIER/ICP,VRF,"[""VRF - Condensing Unit"", ""VRF - Terminal Unit""]",14,10,10,5,{}
2026-01-24_v3.84_enriched1,r00189,189,Carrier-Toshiba,CARRIER-TOSHIBA,VRF,"[""VRF - Condensing Unit"", ""VRF - Terminal Unit""]",18,12,12,10,{}
2026-01-24_v3.84_enriched1,r00190,190,Carrier,CARRIER/ICP,Water Source HP,"[""WSHP""]",14,8,8,10,{}
2026-01-24_v3.84_enriched1,r00191,191,Carrier,CARRIER/ICP,Water Source HP,"[""WSHP""]",14,9,8,8,{}
2026-01-24_v3.84_enriched1,r00192,192,Carrier,CARRIER/ICP,Water Source HP,"[""WSHP""]",14,9,9,23,{}
2026-01-24_v3.84_enriched1,r00193,193,Carrier,CARRIER/ICP,Water Source HP,"[""WSHP""]",14,9,9,41,{}
2026-01-24_v3.84_enriched1,r00194,194,Carrier,CARRIER/ICP,Water Source HP,"[""WSHP""]",16,10,10,52,{}
2026-01-24_v3.84_enriched1,r00195,195,Carrier,CARRIER/ICP,Water Source HP,"[""WSHP""]",16,11,11,72,{}
2026-01-24_v3.84_enriched1,r00196,196,Carrier,CARRIER/ICP,Water Source HP,"[""WSHP""]",16,11,11,59,{}
2026-01-24_v3.84_enriched1,r00197,197,Carrier,CARRIER/ICP,Water Source HP,"[""WSHP""]",16,11,11,35,{}
2026-01-24_v3.84_enriched1,r00198,198,Carrier,CARRIER/ICP,Water Source HP,"[""WSHP""]",16,13,13,34,{}
2026-01-24_v3.84_enriched1,r00199,199,Bryant,CARRIER/ICP,Air Handler,"[""Air Handling Unit""]",12,9,9,45,{}
2026-01-24_v3.84_enriched1,r00200,200,Bryant,CARRIER/ICP,Air Handler,"[""Air Handling Unit""]",14,6,6,11,{}
2026-01-24_v3.84_enriched1,r00201,201,Bryant,CARRIER/ICP,Air Handler,"[""Air Handling Unit""]",16,10,10,42,{}
